mM1	mM2	mM3	mM4	mM5	mM6
0.6842520000000001	3.42689	4.5705	2.42447	7.98367	4.72116
1.3685	2.28459	1.14263	3.23263	1.2282600000000001	4.72116
88.4775	103.984	120.56200000000001	102.82700000000001	74.9632	105.978
199.533	407.848	321.362	351.82300000000004	271.33	372.915
93.0167	106.24600000000001	87.4286	68.9036	100.32700000000001	122.729
32.5982	36.2798	37.1151	23.6257	43.8862	32.7155
18.7097	0.0	7.810789999999999	0.0	0.0	0.0
97.7184	180.88400000000001	139.908	191.166	116.637	227.293
13.4271	30.6839	27.1303	22.889	38.7239	33.7839
247.96599999999998	349.955	318.927	269.19	486.778	399.69699999999995
105.721	0.969733	0.0	1.02911	1.04271	25.6509
1945.16	1649.76	1774.69	1653.07	1630.77	1638.3
12.9042	10.7712	12.6983	4.082380000000001	12.8226	7.949610000000001
22.9014	50.6403	39.7524	38.4372	57.3359	48.2358
139.283	253.24	257.91900000000004	171.02	299.527	238.828
223.972	242.021	264.561	186.606	302.308	263.548
1.75383	0.7319640000000001	2.56262	1.0357100000000001	2.3611400000000002	2.11767
79.5904	106.816	74.2718	74.6493	47.2724	76.72
175.731	226.00099999999998	353.22900000000004	225.233	421.76	241.602
523.596	416.48	447.46	532.923	328.955	465.398
30.8932	1.9835900000000002	17.8575	16.1386	3.19929	6.558610000000001
8.536480000000001	9.86598	8.22403	12.0212	11.7871	7.24918
2.77949	1.5467	6.962160000000001	1.6414	24.9464	9.58888
90.5428	32.1417	52.1368	19.3595	32.2253	42.0072
0.0	0.0	0.0	0.0	0.0	0.0
18.3267	12.8207	21.8598	13.9149	19.7383	16.6191
8.05771	24.6613	5.0458099999999995	9.68675	13.4307	12.7077
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
80.0138	105.052	98.8189	80.9672	72.5619	83.9614
0.0	0.0	0.0	0.0	0.0	0.0
11.2932	9.54288	5.93693	6.42211	12.7637	6.06048
80.8742	107.787	96.7032	85.2005	102.60600000000001	100.92399999999999
0.0	0.0	0.0	2.54389	0.0	0.0
22.3848	22.2437	29.3702	21.7172	41.6166	27.5803
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
4.78454	3.0428	2.66322	2.8254599999999996	3.68075	2.6724099999999997
155.078	158.21	478.36400000000003	747.903	726.8580000000001	303.16700000000003
0.0	0.0	0.0	0.0	0.0	0.0
0.41896700000000003	0.23314200000000002	0.699629	1.7319200000000001	5.64045	0.86723
194.516	195.10299999999998	164.416	219.813	157.339	225.342
4.82134	2.68293	0.0	0.7118	10.8181	2.49495
22.5492	46.0944	35.3493	27.4477	36.7593	43.8174
7.122439999999999	7.13415	2.37874	5.0473099999999995	5.1140099999999995	0.9828600000000001
7.168989999999999	15.9573	11.1163	11.4911	12.8686	10.5995
0.779571	0.867614	0.0	0.0	0.0	0.0
288.237	343.749	369.959	285.362	265.29200000000003	429.72900000000004
0.0	0.0	0.0	0.0	0.0	0.0
26.6455	29.6548	38.7646	26.2254	22.8278	25.9057
6.58188	2.33075	4.49633	2.4734599999999998	0.537032	1.6513900000000001
31.3948	22.4617	28.0853	27.8099	38.2407	32.4924
1.32371	0.0	1.10522	1.5634	1.18805	0.0
0.0	0.0	0.0	5.0018400000000005	7.60191	5.844040000000001
71.9741	140.736	176.11	268.599	494.355	224.851
164.861	129.779	144.365	144.849	118.19200000000001	120.686
20.1373	24.8129	25.8209	20.3861	35.5018	18.3603
148.412	175.49599999999998	150.469	145.55	173.639	131.658
59.2534	88.9181	79.8873	73.4249	75.4124	105.22399999999999
23.0715	26.0063	20.7452	19.9129	26.0165	28.5721
52.5367	73.0876	71.4086	58.4425	66.8909	77.5559
4.2825	6.46836	2.04323	2.8902799999999997	6.589060000000001	3.79905
0.0	0.0	0.0	0.0	0.0	0.0
3.2884300000000004	3.41583	2.37957	1.0357100000000001	8.46075	5.29418
390.70099999999996	386.87699999999995	441.523	353.407	418.463	486.211
3.5897699999999997	5.59328	2.3978099999999998	3.8158300000000005	9.02128	7.92593
0.0	0.0	0.0	0.0	0.0	0.0
2.1763	2.4220900000000003	1.81709	5.14078	0.0	1.50159
81.515	59.8454	64.6289	56.2283	57.1763	60.4969
15.544	24.2751	26.3755	15.6938	18.4514	15.9145
555.873	549.211	511.483	529.244	366.543	407.02
463.17199999999997	469.962	551.012	513.0980000000001	420.666	440.086
0.791632	2.86337	0.66097	1.8699599999999998	0.710504	2.4579299999999997
0.0	0.115816	0.0	0.0	0.0	0.0
637.364	667.482	867.63	727.765	495.833	714.34
0.0	7.587039999999999	0.0	0.0	0.719823	1.6601099999999998
11.7429	11.98	5.71937	2.88943	15.8091	3.37595
1253.55	2790.25	1046.65	0.0	3375.25	864.9169999999999
0.0	0.0	0.0	0.0	0.0	0.0
0.0	1.18031	0.0	0.0	0.0	0.0
1003.88	854.1110000000001	1030.58	881.084	696.3430000000001	885.655
40.8599	45.9035	56.0013	43.7061	42.8998	40.4266
0.0	0.0	0.0	0.0	0.736793	0.0
1.05874	0.0	0.0	0.0	3.80096	0.730504
14.8525	14.8769	19.8416	21.0504	29.3268	28.6939
41.193999999999996	53.1006	53.5513	49.5773	65.0526	55.0467
31.9132	51.145	41.5674	36.1844	59.5767	46.6809
1.24196	0.460741	0.345656	1.46685	1.8578	0.28564
0.417155	0.464267	0.0	0.24634699999999998	0.0	0.287826
117.874	98.3902	111.667	87.0121	93.5874	86.0225
73.3948	67.7605	60.5843	55.6558	53.8962	69.6307
16.3982	27.7132	25.3548	17.9329	17.4431	23.4667
32.3607	32.2243	19.909000000000002	31.1799	33.6302	24.6783
0.0	0.803642	3.61744	0.8528479999999999	1.9442700000000002	0.498224
74.5858	107.06299999999999	96.9509	105.11	99.6524	99.4158
0.0	0.602905	0.0	0.0	0.0	0.747552
32.4806	70.0386	40.6793	40.7599	84.7228	63.7307
0.0	0.0	0.0	0.0	0.0	0.0
2.63351	0.732733	2.19884	0.777596	0.0	5.45116
666.953	1032.93	1073.48	1078.38	1058.37	1157.38
0.0	0.0	0.0	4.0452	3.074	1.1815799999999999
28.3036	29.4277	24.2538	22.4325	25.4029	29.807
1.56303	1.1597	0.435015	0.923032	4.20854	1.43793
0.0	0.769087	0.0	0.0	0.0	0.0
864.5169999999999	1202.69	1046.65	1123.17	1047.49	775.443
38.2935	67.0612	70.5287	49.8835	111.194	101.801
