mV1	mV2	mV3	mV4	mV5	mV6
35.0502	55.143	33.6561	43.4172	37.2713	53.3045
79.0615	72.2864	98.1792	123.78399999999999	55.8034	59.9653
8.82504	9.84878	8.36749	12.8895	10.9224	10.6986
215.94400000000002	228.44299999999998	220.465	195.305	222.02599999999998	210.287
279.357	215.146	198.238	269.445	225.14	214.989
232.942	350.95099999999996	294.486	282.314	241.37099999999998	236.847
41.5695	38.0266	34.3553	36.1185	36.5824	34.0075
233.148	215.543	204.646	221.236	220.888	198.21599999999998
328.05699999999996	304.221	308.29	340.481	319.14099999999996	280.508
51.2453	1.6142299999999998	0.5714359999999999	0.0	0.416328	6.7878
415.694	357.25699999999995	313.788	376.006	346.12699999999995	258.35900000000004
38.361999999999995	34.8992	22.215	39.9413	38.3156	26.4778
48.4506	44.8	57.5079	46.1684	41.8982	38.146
195.24200000000002	178.2	222.484	272.113	174.94299999999998	167.859
303.866	296.726	278.4	331.171	310.47	292.488
0.935817	0.30461	0.431325	2.0356799999999997	0.0	0.853916
5.8289800000000005	2.4394400000000003	1.15141	7.245589999999999	0.838875	2.2795
747.362	665.5939999999999	855.4	616.451	747.296	737.7280000000001
151.195	149.783	166.643	185.89700000000002	176.597	206.945
26.2055	22.2879	18.7019	10.1138	18.7351	19.6696
27.096	22.8098	26.4848	23.8817	25.8847	27.4955
45.4815	32.8269	49.217	43.0157	47.8103	18.9462
11.1063	11.9298	1.53569	15.7037	7.8319399999999995	4.56042
0.0	0.0	0.0	0.0	0.0	0.0
8.94069	10.5495	8.241660000000001	4.86217	6.004580000000001	3.05933
51.1842	62.1771	49.2584	33.625	59.6069	65.5734
0.0	0.0	0.0	0.0	0.0	0.0
0.0	4.83821	0.0	5.38891	0.0	0.0
89.8356	89.1724	86.5015	87.0681	87.2151	67.7701
283.164	408.305	347.626	230.268	386.56699999999995	347.72900000000004
488.024	539.614	483.471	405.86699999999996	446.07	502.199
667.721	548.678	616.825	509.532	607.544	532.313
73.5533	47.8834	38.1389	120.0	58.6607	20.9738
45.5017	38.8785	37.7497	47.0155	29.795	29.5826
38348.8	42673.1	46860.0	44620.1	34140.5	47606.3
0.0	1.59283	1.12772	0.0	0.0	0.0
132.592	102.726	96.1514	126.40700000000001	115.93799999999999	112.039
42.9061	38.9052	38.1389	26.6667	33.9615	25.1685
19.0004	30.1503	24.6303	42.6233	21.5337	32.508
93.2967	99.8367	87.7884	92.3967	112.00399999999999	94.2432
194.768	198.53400000000002	224.425	202.549	206.537	208.122
5.14519	2.51215	2.37146	9.32695	2.59164	3.5211699999999997
63.8427	62.6623	58.8512	45.5802	49.4733	43.0193
105.398	63.3366	75.6711	61.7275	64.3198	43.001000000000005
74.3195	62.6122	66.4938	66.5688	68.2634	77.788
1.6638700000000002	1.62477	0.0	5.429119999999999	1.67618	0.0
24.1253	21.2026	19.4592	23.1786	21.8735	24.2153
0.0	0.0	0.0	0.0	0.0	0.0
11.2018	13.7433	16.6804	16.8696	15.625	14.5459
