mP1	mP2	mP3	mP4	mP5	mP6
3.99965	0.494737	0.0	0.0	0.0	0.579155
0.0	0.0	1.0018	0.0	0.0	0.0
11.0124	6.7308	6.7009300000000005	14.3618	27.9148	9.849110000000001
55.71	49.3592	25.5854	54.9495	60.4821	55.155
98.5051	68.4659	96.4142	68.469	64.3701	74.0354
8.72365	12.2018	91.5021	10.673	13.2537	14.624
206.24599999999998	200.87599999999998	182.81400000000002	192.602	230.697	193.13299999999998
293.181	224.705	217.662	224.463	232.981	228.922
265.691	276.063	299.824	384.162	190.821	350.099
41.3281	34.133	53.2145	36.4666	34.2485	36.0904
170.75900000000001	210.15099999999998	155.878	189.923	213.555	174.543
292.692	296.68	310.003	306.209	296.845	301.73900000000003
24.7469	0.952334	0.51715	0.0	0.0	5.01675
296.335	277.358	545.399	267.964	253.36900000000003	218.84
22.2516	17.7558	29.1311	29.0193	30.944000000000003	21.67
38.2271	40.5099	40.7773	42.8981	47.1241	41.638999999999996
160.584	131.131	163.289	173.669	164.09	144.243
298.332	319.514	282.094	283.611	294.39099999999996	300.726
3.73584	0.359415	2.3421	1.2003700000000002	4.84449	1.68297
7.75655	1.9189	20.8405	2.13623	4.97393	0.0
831.836	722.3919999999999	706.922	698.4860000000001	709.17	709.502
157.45600000000002	199.454	268.72	205.18	133.504	198.021
10.124	5.84399	4.231319999999999	5.4215599999999995	4.03949	6.84117
19.8932	18.3014	22.215	25.7673	26.7888	24.5748
36.8393	22.7842	17.3217	48.193000000000005	51.9715	45.3423
2.9558	8.95763	13.898	8.54757	10.6143	8.98808
0.0	0.0	0.0	0.0	0.0	0.0
5.9486300000000005	6.00917	7.458710000000001	10.0346	8.010639999999999	7.03453
50.4016	52.6051	34.0747	39.6548	46.7158	38.1086
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	13.3656
84.8244	79.5955	90.1564	85.9483	91.7362	77.9809
397.93199999999996	420.785	407.327	373.39599999999996	388.861	410.48699999999997
436.37	505.384	393.22900000000004	424.83	404.55199999999996	450.337
600.702	518.49	484.449	492.02099999999996	493.46	507.79699999999997
285.473	278.962	187.919	373.454	318.526	392.70099999999996
54.4937	31.4562	28.4696	61.283	48.9221	47.5638
32042.3	45213.0	40176.4	48045.9	29831.6	32478.4
0.0	0.0	0.0	0.0	0.0	0.0
105.475	86.4711	75.6583	93.5618	80.9421	86.1404
28.5473	31.7805	65.1965	23.5866	21.9673	37.2032
67.9499	54.7307	50.5251	109.67299999999999	87.95700000000001	70.4765
72.5855	80.0212	68.6316	75.3202	79.7637	75.1816
211.433	159.45	222.347	221.33900000000003	202.06099999999998	195.875
2.28222	3.9521900000000003	1.0730899999999999	6.599710000000001	3.0733099999999998	1.15664
57.5078	48.2851	39.7404	47.0346	46.9346	44.6011
53.9433	36.1984	35.5094	50.6977	29.0568	42.3751
82.4134	56.2476	55.6182	55.1413	48.7445	55.0349
1.47606	1.27807	1.3880700000000001	4.26847	4.638	2.9923
28.893	27.3339	86.0405	28.3666	21.6157	27.1169
0.0	0.0	0.0	0.0	0.0	0.0
17.1993	17.2089	16.1741	15.4737	13.382	12.3971
0.0	0.490486	0.532702	1.09208	0.0	0.0
48.8288	68.0144	65.8825	87.9961	57.1779	77.4679
0.0	1.0850799999999998	5.89234	2.41594	1.12504	3.8106800000000005
0.0	0.0	7.540610000000001	0.0	0.0	0.0
109.779	109.804	101.455	114.94200000000001	108.75	115.111
41.8742	53.5621	91.2855	48.6201	52.9717	53.0552
46.9799	35.3724	39.6974	44.6291	50.733999999999995	47.6193
135.485	165.106	160.441	210.40900000000002	157.672	216.167
189.43900000000002	206.628	172.958	198.562	180.803	173.375
265.465	243.435	240.16099999999997	240.775	232.29	265.105
61.303999999999995	61.0932	49.4917	66.8976	51.4016	58.0349
0.0	0.501497	1.08932	0.0	0.519968	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.41509399999999996	0.5391229999999999	1.17105	0.0	0.372653	0.21037199999999998
157.563	164.488	201.765	149.726	148.476	138.187
29.9067	21.7755	15.3403	28.1729	23.1877	29.6248
6.4991900000000005	16.8823	12.2235	8.77069	36.1751	21.0805
12.362	19.6237	5.81255	7.944089999999999	7.39871	22.9721
