mK1	mK2	mK3	mK4	mK5	mK6
10.0811	11.494000000000002	10.0995	10.0274	14.13	16.8361
7.56083	5.473330000000001	4.25244	7.38864	3.3247	2.80602
1579.24	669.23	1330.12	1439.09	864.102	756.1460000000001
1.63173	1.41746	0.5506409999999999	0.0	2.15255	3.6334699999999995
164.54	179.918	142.405	170.757	183.69	171.206
203.296	178.97099999999998	194.53099999999998	240.0	187.18900000000002	148.872
0.0	7.4829300000000005	7.2672300000000005	0.0	11.3635	0.0
80.0858	82.4626	84.7811	73.2977	92.1867	79.8705
52.0105	65.2293	58.5509	54.4737	57.1941	56.7143
300.231	351.11800000000005	284.437	334.49300000000005	434.51099999999997	402.423
216.09400000000002	25.0911	6.31757	0.896066	5.6449	86.9476
793.315	938.33	671.592	1020.89	1117.14	1124.7
72.5673	87.0001	71.6036	53.3192	63.2597	76.07
61.5989	59.7771	63.6721	63.6823	51.9772	58.6971
2486.35	1908.35	2618.25	2432.56	2199.47	2361.07
255.798	350.67199999999997	267.73	290.592	420.749	326.629
8.88223	5.962269999999999	6.13101	5.74905	4.26082	4.94464
0.0	2.80872	0.9092520000000001	0.0	0.0	0.0
553.77	691.383	736.171	595.374	697.317	673.94
207.03400000000002	243.903	179.449	156.787	205.77200000000002	179.985
1.0941100000000001	7.603510000000001	4.61521	5.49871	0.0	1.2181600000000001
8.46517	25.7375	14.7933	19.7524	22.3342	18.1767
48.6285	51.1362	19.433	19.2942	104.665	94.0359
74.7483	96.1506	56.9975	78.2635	51.1995	91.2254
0.0	0.0	0.0	0.0	0.0	0.0
14.9469	21.3611	18.7114	14.5392	14.6292	14.4943
0.529975	0.23019099999999998	0.223556	0.44391899999999995	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	8.45951	0.0
80.5852	80.0037	78.345	72.3213	77.958	96.1305
0.0	0.0	0.0	0.0	0.0	0.0
18.4871	62.565	17.5461	24.1956	20.8312	41.595
174.683	196.47	216.014	175.582	184.957	190.90599999999998
0.0	3.44575	0.0	0.0	0.0	0.0
27.9738	43.485	31.0526	38.2303	33.018	49.177
3462.86	6016.28	5842.85	3867.42	4568.14	2570.32
0.0	3.6679	0.8905430000000001	0.0	1.3925100000000001	1.17527
2.93712	21.8694	4.2478	3.33883	9.13295	17.0513
436.32800000000003	155.059	358.06699999999995	445.219	136.05	101.57600000000001
0.0	0.0	0.0	0.0	0.0	0.0
18.1322	37.1996	20.8301	30.699	23.9196	38.6578
276.41	195.93200000000002	201.47799999999998	253.753	207.112	219.11700000000002
77.6924	98.34299999999999	67.4175	58.5691	67.3507	90.2082
33.8997	39.7552	36.4642	30.8798	41.9249	35.3843
65.5845	12.5339	64.1828	48.3428	19.0339	35.0498
30.1774	36.8645	45.3489	38.7058	34.8333	37.7988
6.46056	10.6008	14.5345	6.01278	16.0983	26.3745
32.7863	17.179000000000002	25.4648	23.1034	18.5362	13.9061
0.0	0.0	0.0	0.0	0.0	0.0
39.7773	66.5246	45.1621	37.6778	68.1665	64.9822
121.214	105.775	145.955	161.066	77.0441	109.806
247.79	127.35700000000001	250.856	127.992	106.236	137.942
6.0944400000000005	9.52948	3.08493	15.3145	6.43173	1.3570799999999998
62.3939	67.7509	52.6383	71.8609	82.3088	95.5185
81.0026	83.1596	45.8171	70.1626	95.9284	60.466
63.8699	64.328	75.7493	79.8606	54.9495	56.683
37.7477	49.4741	47.4892	52.6972	54.1642	43.5022
156.183	161.112	137.939	173.748	183.498	179.324
116.726	133.255	114.699	115.75299999999999	116.22399999999999	154.856
16.8867	29.8117	23.4376	14.1447	15.8092	16.3753
47.81399999999999	64.9907	54.575	55.1277	48.9761	64.5084
94.6413	149.257	84.5963	67.9489	133.767	105.999
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.175361	0.0	0.0	0.0	0.0
268.464	221.88099999999997	265.918	264.92900000000003	184.96200000000002	231.135
5.94993	9.18867	4.46189	6.645060000000001	4.36057	6.6245199999999995
61.9497	24.1618	61.863	94.2499	26.685	29.56
2.0039700000000003	1.74082	1.6906400000000001	0.0	0.0	0.0
52.3529	66.2996	78.7561	106.196	80.7121	80.7613
41.5543	216.185	56.0914	26.2985	201.607	231.842
240.25900000000001	186.024	251.16299999999998	188.12099999999998	206.703	197.717
529.302	481.019	569.3430000000001	566.9830000000001	455.202	457.852
0.364473	3.48274	0.0	0.610581	0.48080600000000007	0.0
