Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male4
ENSOANG00000022036	116.43	51.4	24.47	12.71	46.77
ENSOANG00000000767	585.15	787.09	432.03	461.89	704.62
ENSOANG00000011303	19.1	36.56	45.95	55.94	58.59
ENSOANG00000020350	0	0.09	0	0	9.71
ENSOANG00000003000	1.47	6.6	8.96	19.38	4.71
ENSOANG00000011409	834.84	46.71	13.84	12.91	44.24
ENSOANG00000003607	41.26	0	0	0	2.05
Locus_184568	0	0	0	0	1.29
ENSOANG00000005419	10.34	901.74	716.7	587.83	21.59
ENSOANG00000003520	0	0	0	0	0
ENSOANG00000022768	0	0.34	0.24	0.24	0
ENSOANG00000015711	0	33.8	14.58	177.77	0.3
Locus_23714	0.34	0.23	0.08	0.4	1.29
ENSOANG00000010250	2.53	9.92	10.38	11.7	5.49
ENSOANG00000008727	0	0	0	0	0
Locus_108204	0.71	0.05	0.14	0.66	0
Locus_51854	0.33	3.08	0.91	4.29	0
Locus_14095	0	0	0	0	0.84
Locus_49247	0	0	0	0	1.22
ENSOANG00000003887	61.07	43.3	36.64	58.09	166.36
Locus_17553	0	0	0	0	0.63
ENSOANG00000009598	0	0	0.26	0	0
ENSOANG00000000720	4.37	2.4	0.69	1.1	1.2
ENSOANG00000008372	3.63	3.76	6.73	6.35	3.77
ENSOANG00000020635	35.09	85.95	32.81	43.95	35.83
ENSOANG00000013911	2.82	7.23	2.34	0.38	11.16
ENSOANG00000014880	42.83	0.48	0.08	0.17	6.11
ENSOANG00000005043	4.79	12.04	3.1	2.66	26.85
ENSOANG00000019955	3.22	16.67	10.22	25.04	31.77
Locus_128603	4.19	0.4	1.54	2	1.22
ENSOANG00000000625	79.72	92.98	121.08	104.04	41.41
Locus_37146	0.27	0.35	0.24	0.49	1.29
ENSOANG00000000423	144.56	43.44	57.85	30.27	41.62
ENSOANG00000002544	24.43	52.56	75.1	90.35	47.48
ENSOANG00000007415	9.85	10.85	24.5	19.73	30.19
Locus_42034	0	0.08	0	0	0.52
ENSOANG00000012398	13.43	3.19	3.08	2.85	0.98
ENSOANG00000021432	66.56	89.13	44.08	21.95	135.76
ENSOANG00000007979	8.86	3.48	2.84	4.03	1.53
Locus_115321	0.91	0.41	0	0.28	0
ENSOANG00000003600	18.89	290.81	155.47	334.11	91.7
Locus_155636	0	1.79	0.55	3.04	0
ENSOANG00000001469	30.06	122.48	61.31	54.29	427.46
ENSOANG00000004316	0.19	0	0.17	0.17	0
CUFF.149227	0	9.7	0	4.38	0
ENSOANG00000011275	66.73	60.3	22.77	21.1	104.6
Locus_166905	0	0	0	0	1.09
ENSOANG00000004994	17.62	9.64	3.68	1.35	14.3
ENSOANG00000001326	0	0	0	0.08	0
ENSOANG00000004541	0.96	2.37	5.57	13.6	3.17
Locus_174115	2.86	0	0	0	0.77
ENSOANG00000000660	41.87	3.78	1.71	1.59	3.58
Locus_98668	0	0.39	0.27	0.14	0
ENSOANG00000001237	92.67	145.18	86.69	93.4	279.18
Locus_19079	0	7.25	1.91	5.58	0.06
ENSOANG00000015346	33.41	27.27	33.43	42.68	35.98
ENSOANG00000013392	42.06	15.01	81.36	133.18	53.66
ENSOANG00000009177	21.46	19.69	3.69	5.51	5.94
ENSOANG00000010124	4.98	13.77	6.09	2.89	4.97
ENSOANG00000014077	12.21	1.74	2.19	2.07	0.55
ENSOANG00000012244	18.39	10.51	6.72	3.14	4.13
ENSOANG00000001958	25.88	22.56	64.32	102.86	30.03
ENSOANG00000003971	0	0	0	0	0.51
ENSOANG00000010758	0.17	0.06	0.08	0.15	0
ENSOANG00000007126	43.61	52.11	28.82	23.05	60.22
Locus_189043	0	0	0	0	0.95
ENSOANG00000005038	4.11	2.93	3.16	5.04	1.83
ENSOANG00000003849	0.4	0	0	0	0
ENSOANG00000006436	0	11.13	5.59	6.72	23.56
ENSOANG00000011347	5.29	5.91	2.47	2.59	6.39
Locus_96547	0	1.9	1.23	3.73	0.09
ENSOANG00000019807	0	0	0	0	0.09
ENSOANG00000003472	3.16	12.04	9.63	11.16	21.35
ENSOANG00000002099	1.35	312.44	264.06	564.87	9.02
ENSOANG00000020143	19.09	57.54	63.15	39.76	17.17
ENSOANG00000002246	0.72	1.69	5.08	6.7	12.66
ENSOANG00000010374	8.69	9.72	3.57	4.52	29.08
ENSOANG00000006763	111.8	174.35	104.15	120.86	94.6
Locus_71146	0	0	0	0	108.4
ENSOANG00000009454	1.81	0.27	1.21	0.55	7.96
ENSOANG00000002352	0.26	1.64	9.01	8.99	1.46
ENSOANG00000008199	168.74	178.06	32.56	43.58	130.75
ENSOANG00000013464	24.68	23.79	24.89	21.93	13.77
ENSOANG00000008124	3.1	18.83	5.39	9.55	92.08
ENSOANG00000007198	0	0.17	0	0	1.51
blastnMacaque.CUFF.283664	0	0	0	0	0
ENSOANG00000012149	127.63	67.39	33.86	31.16	214.22
ENSOANG00000005630	0.62	3.22	3	2.94	3.52
Locus_454	0	0.12	0	0	2.61
ENSOANG00000008904	62.52	14.72	12.2	6.64	5.28
ENSOANG00000001814	13.76	5.26	5.38	5.14	40.32
Locus_58568	0.84	0	0	0	0.36
ENSOANG00000008558	30.98	44.43	31.58	11.27	26.59
ENSOANG00000001820	0	0.35	0	0.35	0.24
ENSOANG00000022177	1.41	4.16	6.31	7.42	1.78
ENSOANG00000014855	10.64	10.98	16.4	24.38	10.88
Locus_46525	0	0.02	0.07	0	60.73
Locus_3387	0.78	1.88	1.72	0.73	1.69
ENSOANG00000002694	13.53	47.51	9.3	2.35	22.94
Locus_84040	1.26	1.68	0.29	0.88	0
ENSOANG00000020214	20.41	22.28	6.97	16.68	27.32
ENSOANG00000007562	19.05	6.51	13.68	23.85	62.66
ENSOANG00000004037	36.32	7.19	3.47	3.8	23.28
ENSOANG00000010847	0	0.32	1.53	1.99	0
Locus_183034	0.32	0.13	0.76	0.29	3.73
Locus_2409	0	0	0	0	1.04
ENSOANG00000008873	5.53	5.57	5.24	4.84	6.01
Locus_189369	0	0	0	0.28	0.16
ENSOANG00000005488	24.35	91.82	68.29	56.04	5.12
Locus_17239	1.15	0.77	0.13	0.4	0.31
ENSOANG00000006699	3.86	15.77	10.75	5.64	8.97
ENSOANG00000011526	0.54	3.31	2.56	2.03	3.01
ENSOANG00000009667	0	0	0	0	0
ENSOANG00000006912	10.59	8.16	13.37	17.32	14.13
Locus_46242	0	0	0	0	5.89
ENSOANG00000006310	29.89	51.82	26.5	33.2	89.75
ENSOANG00000015496	6.94	3.47	3.41	8.04	2.94
Locus_161547	0	0	0	0	4.17
ENSOANG00000010801	43.08	66.2	37.84	35.06	52.69
ENSOANG00000013308	0	0	0.04	0	0.13
blastnGorilla.Locus_258073	0	0	0	0	0
Locus_147207	0	0.84	0	0.29	1.19
blastnChicken.CUFF.248220	0	0	0	0	0
Locus_75770	0	0.86	0.85	3	72.65
ENSOANG00000002763	0	0.32	0.34	0.29	0.34
ENSOANG00000009349	5.29	16.62	23.55	41.74	3.36
Locus_106611	0.08	0	0.64	0	60.17
ENSOANG00000007163	10.71	11.94	21.35	25.8	8.79
ENSOANG00000011432	0.89	0.63	0.41	0.7	0.61
ENSOANG00000006871	0	54.36	43.24	81.82	0.1
ENSOANG00000010078	2.43	2.58	4.42	3.28	0.95
Locus_188662	0.97	0	0.3	0	0.87
ENSOANG00000006510	1.33	8.19	17.66	4.39	1.92
ENSOANG00000005470	17.66	39.06	30.97	24.62	25.31
Locus_158847	0	0	0	0	1.22
ENSOANG00000010912	10.18	21.17	7.55	2.56	14.58
ENSOANG00000002567	6.21	11.14	3.57	2.88	2.42
ENSOANG00000006535	0	0	0	0	0
ENSOANG00000022272	10.41	12.49	25.06	26.4	14.66
ENSOANG00000011024	5.67	4.18	3.7	5.73	12.52
ENSOANG00000007617	9.64	14.98	6.23	3.54	8.9
Locus_38830	0	0	0.07	0	2.13
ENSOANG00000015637	8.23	12.27	29.37	32.73	62.07
ENSOANG00000014236	37.59	32.91	62.44	138.15	68.97
ENSOANG00000015290	110.98	26.67	30.89	30.98	29.61
ENSOANG00000008789	281.9	361.44	82.5	85.77	440.29
ENSOANG00000007954	0	0	0.29	0.71	0
Locus_35462	0.5	0.33	3.45	5.81	9.06
Locus_118768	0.31	0	0	0	1.49
blastnHuman.ENSG00000254129	0	0	0	0	0
ENSOANG00000022027	13.05	2.23	0.92	2.48	4.51
ENSOANG00000021714	5.34	0.17	0.08	0.24	46.59
ENSOANG00000010421	4.55	6.42	33.29	38.53	2.55
Locus_119248	0.7	0	0	0	0.09
blastnGorilla.Locus_60620	0.98	0	0	0	0
blastnGorilla.Locus_18370	0	0	0	0	0
ENSOANG00000008161	0	0.06	0.08	0	0
ENSOANG00000006382	0.78	8.93	19.78	20.12	1.23
ENSOANG00000013223	1.55	19.25	23.45	9.34	5.61
ENSOANG00000015767	0.06	6.2	16.84	7.5	0.2
ENSOANG00000005812	0	0	0	0	0
ENSOANG00000014917	4.05	8.98	4.8	4.58	1.45
Locus_3881	0	0.39	0	0.36	0.74
ENSOANG00000004204	4.5	1.07	1.07	3.6	0.1
ENSOANG00000007778	115.91	178.05	20.55	15.44	237.29
ENSOANG00000013261	0	0	0	0	0.1
blastnHuman.ENSG00000236193	0	0	0	0	0
ENSOANG00000006746	0.52	7.8	3.48	6.24	0.03
ENSOANG00000000549	0.48	7.81	2.35	21	0.28
ENSOANG00000002396	8.55	15.07	7.08	3.43	8.29
CUFF.40278	0	0	0	0	1.66
ENSOANG00000000504	0.72	0.86	3.94	2.12	0.15
ENSOANG00000011792	41.05	132.56	27.67	38.23	203.86
ENSOANG00000004803	22.03	17.94	11.94	6.79	24.44
ENSOANG00000000309	0.65	0	0.07	0	0.26
ENSOANG00000014067	8.55	21.87	6.6	12.09	14.3
ENSOANG00000003582	0	0	0	0.11	165.97
ENSOANG00000003753	0	0.17	0	1.19	0
ENSOANG00000002579	1.47	0.49	0.5	1.15	2
ENSOANG00000005728	2.74	0.62	0.17	0	1.91
ENSOANG00000006669	2.57	2.24	5.81	5.34	2.58
Locus_24781	0.08	0.99	0.15	0.61	3.33
ENSOANG00000011897	17.72	7.59	27.85	40.73	7.01
ENSOANG00000012236	10.18	6.13	3.95	5.15	3.45
ENSOANG00000020580	0	1.4	7.95	10.74	1.6
ENSOANG00000005535	19.78	5.15	1.04	2.55	687.89
ENSOANG00000012389	0	0	0	0	0.04
Locus_177831	0	0.18	0	0.25	0.3
ENSOANG00000008170	16.78	5.49	5.47	4.81	17.53
ENSOANG00000015754	2.26	47.75	7.43	0.87	6.5
ENSOANG00000013677	4.37	8.94	8.77	3.71	0.36
Locus_157033	0	3.65	1.26	2.79	0.3
ENSOANG00000021213	22.77	39.25	46.82	12.2	9.94
Locus_117113	0	0.08	0.17	0.35	78.58
Locus_1688	0	0.12	0.08	0.17	1.47
ENSOANG00000011697	13.14	17.69	13.75	2.81	14.79
ENSOANG00000013178	7	16.49	84.16	76.28	4.31
Locus_145624	0.31	0.63	0.29	0.15	0
ENSOANG00000008819	94.22	107.11	70.27	62.37	772.67
ENSOANG00000005190	0.19	0.12	0.17	0.17	0.1
Locus_151802	0	0.15	0.1	0.11	37.3
Locus_109109	0	0.37	2.08	1.18	1.5
ENSOANG00000010763	0	0	0	0	0.07
ENSOANG00000005854	14.29	16.7	7.78	7.6	155.12
ENSOANG00000021927	0.89	1.01	4.09	3.97	0
Locus_27196	0	1.2	0.55	0.56	37.1
ENSOANG00000015115	0	47.38	20.69	46.08	8.02
ENSOANG00000002250	2.61	0.18	1.23	0.19	0.04
ENSOANG00000009284	0.12	1.03	1.34	1.76	0.28
ENSOANG00000012752	3.81	13.49	7.76	6.82	9.38
ENSOANG00000019824	0.2	105.72	32.38	35.18	12.14
ENSOANG00000021805	4.59	0.43	0.53	0.33	0.27
ENSOANG00000005963	59.43	1.22	0.11	0.53	0.9
ENSOANG00000003193	18.6	36.13	17.72	14.18	41.42
ENSOANG00000009499	2.53	0	6.48	2.81	108
ENSOANG00000000705	31.24	11.5	15.44	14.51	8.9
ENSOANG00000019907	2.94	0	0	0	0
ENSOANG00000013578	7.59	59.76	188.61	268.37	32.75
ENSOANG00000004449	0.02	14.38	6.66	23.95	0.09
ENSOANG00000000455	0.71	0.24	0.22	0.11	0.83
blastnHuman.Locus_158644	0	0	0	0	0
ENSOANG00000005460	53.4	106.76	49.75	59.39	602.29
Locus_48246	0	0	0	0	2.3
ENSOANG00000004498	442.52	153.88	77.45	97.14	169.03
ENSOANG00000003059	4.09	14.53	5.06	2.7	2.88
ENSOANG00000021584	5.52	17.29	8.61	5.43	82.16
ENSOANG00000011078	5.85	4.7	9.72	6.03	8.45
ENSOANG00000008509	17.92	22.95	18.74	15.92	5.96
ENSOANG00000022432	109.29	26.63	31.77	34.66	125.41
CUFF.119648	0.2	0.86	2.56	1.94	0.21
ENSOANG00000012682	38.71	26.55	23.54	31.97	253.22
ENSOANG00000012875	13.36	2.77	1.67	5.92	1.81
ENSOANG00000009763	2.36	3.62	3.57	3.41	2.04
ENSOANG00000005176	50.81	126.6	114.46	52.53	54.46
ENSOANG00000001297	0	0	0	0	0
Locus_107379	0	0	0	0	0.76
Locus_148403	0	0	0	0	1.23
ENSOANG00000002237	0.19	6.26	28.8	40.38	1.38
ENSOANG00000003176	0.13	0	0	0	0.31
ENSOANG00000015293	5.26	27.17	16.45	18	8.97
ENSOANG00000010266	0	0	0	0	0.05
ENSOANG00000009822	4.02	3.92	2.37	2.53	3.33
ENSOANG00000013629	7.15	22.95	7.94	7.49	1.06
ENSOANG00000008406	353.97	59.97	208.3	104.56	293.19
ENSOANG00000021686	15.04	2.35	2.81	1.29	1.98
ENSOANG00000000527	50.34	34.42	25.82	30.62	56.22
ENSOANG00000004827	77.17	53.4	58.1	82.67	219.88
ENSOANG00000014509	2.62	49.59	83.02	122.92	29.16
ENSOANG00000015059	0.09	0.12	0.25	0.92	2.09
ENSOANG00000005761	0.16	3.57	9.94	11.61	0.24
ENSOANG00000013315	36.21	30.72	16.78	32.53	181.57
ENSOANG00000011245	92.68	9.68	3.91	3.13	389.43
ENSOANG00000005907	30.11	53.74	25.98	7.81	14.73
Locus_82285	3.93	1.36	1.5	0.53	1.5
ENSOANG00000001158	9.84	8.21	10.49	5.15	11.15
CUFF.17966	16.82	9.39	5.47	6.2	4.38
Locus_193711	0.16	0.22	0.15	0.61	0.27
ENSOANG00000007537	49.56	108.97	37.73	49.29	48.32
ENSOANG00000013445	1.85	3.07	1.19	1.03	2.89
ENSOANG00000012747	0.15	4.55	2.18	5.31	0.08
ENSOANG00000005031	85.54	53.42	21.31	15.12	104.76
Locus_93849	0	0	0	0	1.94
ENSOANG00000010234	3.88	5.57	6.16	9.78	12.94
ENSOANG00000005154	0	0	0	0	0
ENSOANG00000006023	20.39	42.83	16.29	31.01	570.01
ENSOANG00000013169	3.08	1.45	2.14	5.5	0.31
ENSOANG00000000819	0	0.18	0.08	0.25	0
ENSOANG00000009803	0	0	0	0	0.05
ENSOANG00000006355	2.51	0	0	0.26	0
ENSOANG00000020944	173.99	179.54	11.92	14.53	90.73
ENSOANG00000011417	19.82	18.05	47.39	47.91	66.06
ENSOANG00000013078	278.42	129.31	200.33	241.77	660.86
Locus_87365	0	0	0	0	2.98
CUFF.117697	0	0	0.63	1.28	0
ENSOANG00000014831	2.4	0.59	0.51	0.07	0.04
ENSOANG00000002026	18.07	32.17	37.29	26.59	52.41
ENSOANG00000009905	74.31	74.91	31.09	24.27	130.29
Locus_71000	4.37	1.38	1.38	1.86	5.14
ENSOANG00000003666	0	0.05	0.2	0.2	0
Locus_15399	0	0	0	0	1.46
ENSOANG00000015258	177.19	67.68	56.37	96.2	35.92
ENSOANG00000007944	0	0.11	0	0.24	0
ENSOANG00000005608	47.74	2.95	0.63	1.58	5.05
blastnGorilla.Locus_391213	14.68	12.08	1.98	6	51.16
CUFF.9409	0.13	0.22	0	0.12	0.75
Locus_36134	0.27	1.15	2.32	1.11	0.36
ENSOANG00000010977	3.06	3.44	6.27	10.14	1.99
ENSOANG00000019865	0	0	0	0	0
ENSOANG00000001861	8.11	7.16	26.86	35.05	6.39
ENSOANG00000001592	56.95	22.66	28.71	18.08	31.52
Locus_28036	0	21.39	0.26	2.66	42.33
ENSOANG00000008224	0.64	0.12	0.43	0.54	1.11
ENSOANG00000001589	1.72	0	0.58	0.35	1.17
ENSOANG00000005941	0	0	0	0	0
Locus_189827	0.32	0.25	0.6	0.77	2.18
ENSOANG00000014133	113.64	91.99	22.34	13.47	38.37
ENSOANG00000007099	0	0	0	0	0
Locus_161580	0	0	0	0.75	0.29
ENSOANG00000007858	0	3.88	12.09	6.82	0.74
ENSOANG00000014885	38.74	345.07	543.3	1345.12	60.75
ENSOANG00000022675	22.62	32.39	8.99	4.43	2.44
CUFF.155738	0	0	0	0	0.31
ENSOANG00000005507	1.63	66.37	30.26	80.15	26.98
ENSOANG00000014970	38.56	23.21	11.44	8.52	3.11
ENSOANG00000012055	83.89	43.73	26.1	29.76	22.94
ENSOANG00000022104	0	0	0	0	0
ENSOANG00000000233	8.81	8.26	2.33	3.95	174.8
ENSOANG00000002267	7.82	24.24	19.67	35.13	3.86
ENSOANG00000012993	0.62	1.87	5.72	12.42	1.07
ENSOANG00000002686	50.94	30.3	65.14	81.94	5.21
ENSOANG00000013857	53.35	63.53	20.11	7.03	38.69
Locus_117512	0.99	0.33	0	0	0
ENSOANG00000013723	6.86	8.46	22.65	38.48	10.72
ENSOANG00000021567	37.56	26.52	20.88	22.98	20.23
ENSOANG00000003788	42.48	11.22	1.81	3.99	13.42
ENSOANG00000001308	11.27	5.36	38.19	61.37	1.95
ENSOANG00000003254	3.41	5.59	15	14.27	6.55
ENSOANG00000000331	13.31	3.82	2.12	2.06	6.47
ENSOANG00000007132	0.03	0	0	0.03	0.83
ENSOANG00000000267	0	0.38	0.59	0.82	0.04
ENSOANG00000012963	23.71	43.24	24.43	18.93	17.01
ENSOANG00000014357	0	0.24	0.06	0.28	5.59
ENSOANG00000012184	32.62	63.34	39.81	28.18	35.71
ENSOANG00000010490	11.87	3.19	3.03	2.13	32.87
Locus_125408	1.71	1.63	3.99	3.24	1.95
ENSOANG00000002644	0.1	0.64	2.45	5.05	0.26
Locus_108012	0	0.2	0	0	2.13
ENSOANG00000000862	184.6	70.7	8.13	12.57	1936.72
Locus_47037	0	0	0	0	36.45
ENSOANG00000009955	5.68	8.06	37.37	63.43	85.31
ENSOANG00000013824	1.17	0.74	1.24	1.14	0.6
ENSOANG00000003289	0	29.11	8.11	23.34	0.29
ENSOANG00000009400	211.87	17.66	16.13	25.74	0.53
ENSOANG00000004530	0	0.28	0.23	0.26	174.28
ENSOANG00000001201	24.24	43.19	16.05	12.96	11.44
ENSOANG00000020292	9.32	12.94	16.72	20.03	9.72
ENSOANG00000003122	16.6	31.05	14.88	16.4	4.73
Locus_104974	0	0	0	0	4.71
ENSOANG00000009537	0.42	0	0	0.03	58.01
ENSOANG00000004283	23.86	19.38	21.3	21.39	9.43
ENSOANG00000010710	6.24	7.57	28.95	36.74	8.34
Locus_51032	0.14	0.19	0.73	1.95	1.52
Locus_165	0	0	0	0	0.18
ENSOANG00000006242	3.81	1.95	1.4	0.71	1.44
blastnMouse.Locus_111510	0	0	0	0	0
ENSOANG00000004638	22.31	26	51.33	70.29	33.4
Locus_172076	0	0	0.27	0	0.56
ENSOANG00000007738	0	0.23	0	0.4	0.14
ENSOANG00000021984	321.02	56.77	16.5	23.77	6.27
ENSOANG00000022207	0.34	18.57	18.33	12.46	1
ENSOANG00000003745	23.22	20.45	35.12	36.92	181.49
Locus_108279	0	2.07	1.71	3.6	0
Locus_46260	0	1.11	0	1.54	0
ENSOANG00000022161	61.04	7.92	7.03	11.48	5.4
Locus_9319	0	5.53	2.17	6.12	0.09
ENSOANG00000009591	4.58	0.41	2.12	2.02	1.2
Locus_135881	6.85	4.46	3.47	4.86	12.32
ENSOANG00000006728	0	0	0	0	0
Locus_76821	1.69	0.05	0.07	0.07	0.17
ENSOANG00000021571	12.47	23.31	6.77	15.93	12.27
ENSOANG00000013565	38.62	18.66	13.58	12.95	61.49
Locus_61850	0.1	0	0	0	3.23
ENSOANG00000015671	48.86	19.21	26.21	32.27	90.71
ENSOANG00000007784	2.3	2.16	3.54	4.81	3.88
ENSOANG00000001946	0	0.17	0.69	1.17	0.82
ENSOANG00000002881	11.71	9.28	74.21	102.16	26.98
ENSOANG00000015721	1.36	11.06	6.53	11.66	6.91
ENSOANG00000006201	1.1	2.44	1.27	1.58	1.03
ENSOANG00000014867	187.42	43.02	9.35	5.41	10.22
ENSOANG00000010544	0	0	0	0	0
ENSOANG00000003170	47.61	7.43	14.1	4.58	6.36
ENSOANG00000005368	13.01	64.58	9.46	18.43	2.03
Locus_91761	0	4.31	3.58	4.62	0.15
ENSOANG00000006450	0	0	0.26	0	0
Locus_147445	0	0	0	0	0.86
ENSOANG00000015379	19.54	7.88	4.01	1.25	4.29
ENSOANG00000004307	15.84	13.01	26.92	44.3	30.16
ENSOANG00000009734	0	0	0.23	0.18	0.16
ENSOANG00000011478	235.9	216.99	112.41	114.61	197.85
ENSOANG00000005842	0.14	0.38	0.26	0.07	0.5
ENSOANG00000022141	13.22	15.03	10.2	5.08	1.82
ENSOANG00000012565	66.99	18.28	5.77	4.56	6.06
ENSOANG00000012949	0	0	0	0.32	0.09
ENSOANG00000011668	36.5	64.76	51.32	62.44	49.88
ENSOANG00000005203	6.91	7.46	5.42	4.02	7.62
ENSOANG00000000397	8.75	12	8.95	13.11	12.88
ENSOANG00000000190	0	0.13	0	0	0
Locus_186005	0.47	0.16	1.95	3.51	0.89
ENSOANG00000021966	14.95	6.93	5.04	6.57	10.32
ENSOANG00000001214	4.24	27.47	31.14	22.29	15.48
ENSOANG00000007432	22.05	18.29	9.13	8.32	31.63
Locus_70689	0	2.9	1.26	2.13	0.74
ENSOANG00000000133	0	0	0	0	0
ENSOANG00000008108	0.14	0.09	1.13	1.52	0.07
Locus_11239	0	0.18	0	1.24	0
Locus_121306	0.06	4.63	0.56	1.41	2.53
ENSOANG00000021537	0	0	0	0	0
Locus_29088	16.06	8.13	4.14	1.71	0.45
ENSOANG00000021440	29.37	0	0	0.08	0.39
Locus_38781	0.06	4.08	1.64	6.62	0.16
ENSOANG00000007663	22.8	123.17	49.45	118.72	34.15
ENSOANG00000004921	2.59	0.53	0.64	0.28	3.12
ENSOANG00000010472	7.23	22.33	22.69	16.39	5.45
ENSOANG00000002983	21.95	333.09	384.12	139.83	5.54
Locus_133786	0.17	0.56	0	0.16	0.36
ENSOANG00000015533	1.01	1.34	3.32	3.17	2.71
ENSOANG00000002370	0	0.54	2.84	2.26	1.49
ENSOANG00000020123	39.56	127.01	31.87	64.48	186.94
Locus_162258	0	0.19	0.26	1.57	0
Locus_125413	0	0.67	0.7	4.23	0
Locus_178999	0.52	0	0.12	0	0.14
ENSOANG00000004223	60.16	37.86	53.38	79.79	54.7
ENSOANG00000009112	47.65	109.1	168.33	350.45	23.07
ENSOANG00000020000	17.55	2.19	1.14	1.57	0.51
Locus_99431	0.52	1.62	0.32	0.16	2.62
ENSOANG00000003802	6.23	11.03	4.34	7.52	9.02
ENSOANG00000013245	17.73	0	0	0	0.08
Locus_177773	0	5.97	3.18	20.97	0
ENSOANG00000002725	0.72	0.48	1.4	2.46	2.97
ENSOANG00000007504	22.61	16.22	6.31	1.38	12.16
ENSOANG00000022168	0	0	0	0.06	0.04
Locus_163185	0	0.18	0	0	0.57
ENSOANG00000012555	0	0	0	0	0
ENSOANG00000014654	17.11	20.56	11.66	16.32	8.81
ENSOANG00000005145	5.69	15.2	5.87	2.71	16.89
ENSOANG00000003942	2.11	3.01	9.29	10.64	4.39
ENSOANG00000010199	27.33	23.22	32.47	47.81	66.91
ENSOANG00000002123	9.16	11.9	15.5	15.34	15.18
ENSOANG00000011399	5.02	24.18	6.28	3.52	27.51
ENSOANG00000005783	0.16	0	0.15	0.08	0.04
ENSOANG00000000807	121.38	147.03	69.56	36.56	99.8
ENSOANG00000012933	234.27	20.51	3.59	3.15	102.27
ENSOANG00000015372	1.99	0.97	2.43	1.41	0.39
ENSOANG00000020727	357.06	452.55	344.69	489.13	536.73
ENSOANG00000003411	0	0	0	0	0
blastnHuman.ENSG00000237359	0	0	0	0	0
ENSOANG00000014442	1.47	3.72	6.88	11.31	2.06
ENSOANG00000003872	11.38	2.03	3.7	3.16	0.26
ENSOANG00000004038	0.18	2.04	1.44	3.29	0.41
ENSOANG00000013482	0	0	0	0	0
CUFF.11990	0	0.37	0	0	0.4
ENSOANG00000006924	0.7	0.87	0.77	1.35	10.54
ENSOANG00000021677	1.6	0.8	2.89	2.87	29.43
Locus_174982	3.47	0.87	2.19	1.61	1.4
ENSOANG00000015313	3.35	6.68	7.67	12.71	3.42
ENSOANG00000011087	11.49	6.25	4.51	7.01	15.55
ENSOANG00000015389	46.73	5.19	4.42	2.95	2.34
Locus_124625	0	0.32	0.11	0.22	0.13
ENSOANG00000022261	4.19	2.53	4.03	6.48	5.59
Locus_82944	0.88	0.78	0.54	0.81	0.16
ENSOANG00000020935	6.79	30.62	13.34	15.85	2.61
ENSOANG00000013966	7.53	2.04	2.08	2.1	4.68
Locus_163394	0.19	0	0	0.18	0.31
ENSOANG00000001759	225.82	132.04	73.83	60.15	87.7
ENSOANG00000004438	6.71	10.29	17.9	39.29	32.29
Locus_48350	0	0.1	0.14	0.14	0.58
ENSOANG00000003953	0	0	0.18	0	0
Locus_157179	0.38	1.64	1.3	0.26	1.28
ENSOANG00000008221	27.14	29.3	20.03	10.74	24.5
ENSOANG00000013021	5.95	6.82	9.19	15.72	6.88
ENSOANG00000001689	10.13	0.13	3.28	0.31	0.36
ENSOANG00000013716	5.62	32.98	6.13	4.71	6.06
ENSOANG00000009289	65.48	8.38	44.55	46.66	40.59
ENSOANG00000009331	0	0.84	0	0.2	0.11
ENSOANG00000002856	0	0	0	0	0
ENSOANG00000020868	1.04	1.5	3.24	2.58	0.84
Locus_123358	0	1.16	6.4	2.43	0
ENSOANG00000000710	10.38	10.7	13.52	2.33	3.66
Locus_41051	0	0	0	0	2.34
ENSOANG00000013291	684.64	990.1	422.48	388.1	1431.58
ENSOANG00000015227	4.74	4.87	6.96	2.59	4.27
ENSOANG00000000540	27.16	34.17	22.05	29.25	64.11
ENSOANG00000002403	73.56	24.24	34.42	44.08	57.15
ENSOANG00000003469	0.66	3.81	1.33	0.85	0.32
Locus_31046	0	0	0	0	1.05
Locus_107638	0	0	0.4	0.14	57.65
ENSOANG00000007864	0	7.24	5.09	4.59	0.56
Locus_32418	0	0	0	0	4.69
ENSOANG00000003493	5.02	1.39	3.83	7.36	5.41
ENSOANG00000013807	103.13	362.17	200.49	166.98	258.25
ENSOANG00000008312	7.61	1.29	0.38	0.21	1.99
ENSOANG00000015032	1.88	6.72	49.51	94.01	0.63
ENSOANG00000002575	13.59	38.89	77.46	78.31	82.44
Locus_194555	0	0	0	0	2.2
ENSOANG00000020973	68.16	30	13.17	7.02	39.67
ENSOANG00000008583	12.12	0.2	0.27	0.46	2.18
ENSOANG00000008241	6.09	7	4.32	3.65	17.55
ENSOANG00000014034	16.5	12.31	29.94	22.23	19.61
ENSOANG00000009855	50.32	76.49	40.76	63.96	160.48
ENSOANG00000007659	367.39	407.25	80.33	85.84	280.55
ENSOANG00000004216	0	0	0	0	0
ENSOANG00000020060	0	0	0	0	0.92
ENSOANG00000021057	0.04	0.55	0.89	0.8	2.74
ENSOANG00000012254	6.91	18.89	15.41	28.24	23.47
ENSOANG00000007320	157.26	162.22	108.17	69.36	163.64
ENSOANG00000001435	1.55	8.44	6.9	15.08	7.22
