Gene	Brain_Male2	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male4
ENSOANG00000013841	0	1.06	2	3.95	2.78
ENSOANG00000007510	8.34	12.94	5.37	2.57	4.72
ENSOANG00000019964	33.54	55.94	407.96	561.98	87
ENSOANG00000011400	24.21	22.93	16.6	12.66	10.29
Locus_54754	0.28	0.37	0	0.13	0.07
ENSOANG00000012488	34.74	34.09	10.68	3.5	5.39
ENSOANG00000003905	5.12	2.5	4.45	5.76	5.51
ENSOANG00000014310	3.01	7.49	4.59	14.71	0.33
ENSOANG00000014095	25.02	58.5	45.67	29.87	7.3
ENSOANG00000012812	0.72	9.39	25.97	11.62	1.95
ENSOANG00000003913	19.9	29.12	35.03	40.66	17.72
blastnOpossum.Locus_377146	0	0	0	0	0
ENSOANG00000009824	47.59	52.24	63.36	65.29	16.21
Locus_177735	0	2.09	0.62	0.62	0
Locus_60680	0	2.55	0.54	2.45	0
Locus_66510	1.61	3.74	0.88	0.6	0.26
ENSOANG00000010466	4.14	7.85	13.29	10.93	10.04
ENSOANG00000006219	20.44	18.74	17.3	7.39	6.23
ENSOANG00000008959	19.96	45.23	36.08	21.49	44.91
ENSOANG00000006018	4.79	0.15	0.09	0	0
Locus_137200	3.24	0	0	0	0
ENSOANG00000012764	3.95	15.03	2.45	2.95	44.83
Locus_53695	0	0	0	0	1.93
ENSOANG00000008719	3.22	5.95	7.18	10.18	9.66
ENSOANG00000004585	5.19	32.65	23.64	36.09	8.9
ENSOANG00000006273	669.09	10.48	9.82	17.49	8.18
ENSOANG00000005685	3.32	2.81	2.63	4.08	6.14
ENSOANG00000006657	39.23	10.14	12.9	37.64	2.24
Locus_36525	0.13	0	0	0	1.74
Locus_15626	0.82	1.51	0.21	0.09	0.12
ENSOANG00000019878	45.63	37.84	11.09	20.81	36.83
ENSOANG00000021886	0	24.08	17.65	17.26	0.17
ENSOANG00000011598	10.65	4.22	1.33	0.32	1.88
blastnHuman.ENSG00000254010	0.22	0	0	0	0
ENSOANG00000011710	4.74	3.4	3.1	3.68	0.66
Locus_119391	0	0	0	0	1.73
ENSOANG00000002379	18.38	0.06	0.06	0.19	0.07
ENSOANG00000013423	41.7	54.22	30.84	51.97	91.71
ENSOANG00000000948	11.09	16.8	6.62	1.66	16.87
ENSOANG00000013240	132.83	61.92	17.3	31.62	166.1
ENSOANG00000021041	15.91	19.97	10.19	5.23	56.46
ENSOANG00000020713	31.76	106.28	20.85	4.47	76.24
ENSOANG00000000642	10.34	27.65	31.21	18.71	12.19
Locus_141286	0.33	0	0	0	0.36
ENSOANG00000014708	7.23	39.31	8.01	11.51	38.46
ENSOANG00000008077	14.03	4.35	1.98	3.84	3.95
ENSOANG00000006550	73.44	30.09	53.45	67.19	56.75
ENSOANG00000001293	55.61	22.33	8.84	7.82	12.8
ENSOANG00000003482	4.15	0	0	0	0
