Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
ENSMMUG00000018703	9.7	9.87	10.75	4.27	5.26	9.81	5.41	5.92	2.65	12.44	18.13	5.23	5.76
ENSMMUG00000006103	5.7	6.48	7.32	5.2	4.72	1.78	1.61	2.44	2.16	2.02	2.3	5.75	5.78
Locus_372472	0	0	0	0	0.15	0	0	0.27	0	0	0	0.64	0.24
ENSMMUG00000021691	3.64	4.58	4.53	4.81	4.06	1.61	0.86	1.22	1.9	2.06	0.97	3.8	4.05
ENSMMUG00000029506	0	0	0	0	0	0	0.2	0	0	0	0	0.07	0.03
blastnOpossum.Locus_374314	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_313686	0	0	0	0	0	0	0	0	0	0	0	1.78	1.79
ENSMMUG00000012389	2.64	3.13	2.06	7.45	4.64	2.81	1.93	3.01	2.41	3.2	1.8	8.12	9.98
blastnHuman.Locus_136268	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_126195	0	0.14	0	0	0	0	0	0.68	0	0	0	0	0
Locus_473347	0	0	0	0	0	0	0	0	0	0	0	1.49	2.63
blastnPan.CUFF.444096	0	0	0	0	0.41	0.88	0	0	0	0	0	0.21	0
Locus_394023	0.19	0.23	0	0	0	0.32	0	0	0	0	0.24	0.92	0.48
ENSMMUG00000017441	0	0.05	0.24	0	0.12	0	0	73.64	134.22	0	0	0	0
ENSMMUG00000003355	5.18	6.28	6.57	4.87	5.25	2.16	4.23	10.17	10.74	9.24	8.94	4.62	3.01
Locus_394402	0	0	0	0	0	0	0	0	0	0	0.41	0.13	1.03
ENSMMUG00000022363	19.08	17.21	19.28	4.57	6.79	0.59	4.16	0.36	0.65	0.16	0.74	10.45	12.03
ENSMMUG00000019892	2.21	2.98	2.73	1.1	3.15	676.22	217.99	4.43	4.42	1.95	2.7	5.84	5.04
blastnHuman.ENSG00000255119	0	0	0	0.23	0.81	0	0	0	0	0	0	0.07	0
Locus_273333	0.27	0.57	1.04	0	0	4.55	1.77	0	0	0	0.34	0.05	0
blastnGorilla.Locus_464958	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000030391	4.67	8.25	8.42	7.43	15.39	9.2	19.38	9.1	7.88	10.24	6.8	31.39	33.04
ENSMMUG00000030709	0	0	0	0	0.66	1.4	0	0	0	0	0	0	0.26
ENSMMUG00000007692	0.02	0.11	0.03	0.43	0.02	0.3	0.07	0.93	0.4	1299.64	397.6	0.05	0.04
ENSMMUG00000011542	0.37	0	0	0.5	0.29	485.4	278.01	0	0	0	0	0.29	0
Locus_339714	0.28	0.77	1.31	0	0	0	0	0	0	0	0	0.06	0
Locus_101654	0	0	0	0	0	0	0	0	0	0	0	3.64	2.09
ENSMMUG00000030557	10.29	9.46	8.47	10.48	10.48	8.83	12.42	12.91	11.11	9.95	20.2	17.88	17.3
ENSMMUG00000019105	16.58	15.36	17.3	19.59	17.39	22.08	14.49	14.79	13.85	6.87	13.63	7.17	13.33
Locus_187833	0.34	1.57	0.53	0	0.27	0.58	0	0	0	0	0	0.14	0
blastnHuman.ENSG00000234775	8.94	7.38	6.53	0.34	1.18	0	1.3	1.45	1.44	0	0	1.2	0.94
ENSMMUG00000002913	13.15	11.08	10.42	21.79	28.33	17.75	13.87	6.76	6.85	3.57	14.35	5	4.21
Locus_101021	0	0	0	0.24	0	0	0	0	0	0	0	1.26	0.55
blastnPan.CUFF.146072	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000009771	0.05	0.01	0.02	0.02	0.04	2.17	0.29	0	0.04	0	0	0.33	0.25
blastnHuman.ENSG00000235119	0	0.32	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000009126	10.23	13.69	14.08	4.9	7.58	9.41	13.71	12.51	5.63	20.47	8.48	3.51	1.86
blastnGorilla.Locus_417248	0	0	0	0	0	0	1.22	0	0	0	0	1.12	0.59
Locus_40517	0	0	0	0	0	0	0	0	0	0	0	0.48	0.75
ENSMMUG00000012380	10.14	10.69	12.53	6.5	9.01	4.39	3.08	3.98	0.72	3.66	12.98	2.56	2.27
ENSMMUG00000010936	2.32	3.34	1.64	1.94	4.3	3.72	22.3	19.83	26.6	0.37	0	1.01	0.26
CUFF.134763	0	0	0	0	0	0	0	0	0	0	0	0.77	0.34
ENSMMUG00000016834	0.26	0	0	0	0	0	0	0	0	0	0	0	0
blastnChicken.CUFF.63862	0	0	0	0	0	0	0	0	0	0	0	0.06	0
Locus_187583	0	0.13	0	0	0	0	0	0	0	0	0	3.31	6.18
ENSMMUG00000003644	10.57	10.26	11.27	7.05	10.6	14.68	14.17	14.78	6.46	12.37	36.39	11.08	15.34
blastnHuman.Locus_69444	0	0	0	0.36	0	0	0.7	0	0	0	0.67	0.75	0
ENSMMUG00000021840	8.78	8.96	5.42	13.98	20.08	4.94	6.1	9.75	8.66	15	21.05	39.98	19.38
ENSMMUG00000019178	0	0	0	0.14	5.07	0	0	0	0	0	0	0.1	0.13
ENSMMUG00000029243	0	0	0	0	0	0	0	0	0	0.72	0	0	0
ENSMMUG00000004220	0	0	0	0.05	0.06	8.2	1.14	0	0	0	0	0.03	0.23
Locus_342073	0	0	0	0	0	0	0.13	0	0	0	0	3.22	1.61
blastnGorilla.Locus_177881	0	0	0	0	0	0	0	0	0	0	0	0.04	0
ENSMMUG00000030882	0.94	2.17	1.02	1.67	2.38	0.63	0.49	1.37	0.54	0	0	4.26	3.34
ENSMMUG00000012140	20.82	16.7	10.83	5.28	8.53	21.79	31.64	18.87	38.93	21.22	8.86	12.54	33.58
Locus_221590	0	0.17	0.14	0.12	0	0	0	0	0	0	0	0.33	0
ENSMMUG00000010702	4.14	4.18	4.79	1.24	2.42	5.23	7.39	2.33	2.22	9.75	13.06	0.91	0.83
blastnHuman.Locus_126616	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031069	0	0	0	0	0	0	0	0	0.68	0.77	1.17	0.28	0
blastnHuman.ENSG00000224330	0	0.19	0	0	0	0	0	0	0	0	0	0.13	0
ENSMMUG00000022604	34.4	25.24	36.69	17.38	23.32	263.98	151.07	0.49	0.64	0.73	1.87	1.47	1.44
ENSMMUG00000032306	1.27	1.16	0.85	2.58	3.32	0	0.05	0	0.05	0.11	0.43	1.46	2.23
ENSMMUG00000009255	29.22	31.52	33.26	24.69	19.32	33.12	28.19	32.2	31.12	32.46	35.07	14.32	21.09
ENSMMUG00000022727	29.62	25.54	23.48	40.58	34.46	21.94	18.75	16.16	27.86	17.36	11.85	18.65	27.51
Locus_341883	0	0	0.18	0	0	0	0	0	0	0	0	0.83	0.29
blastnHuman.XLOC_005783	0	0	0	0	0	0	0.59	0	0	0	0	0.18	0
ENSMMUG00000018093	34.89	57.56	52.92	23.19	48.78	107.93	94.47	52.38	60.34	78.28	288.66	166.76	158.57
ENSMMUG00000018621	3.65	2.28	2.99	2.42	2.97	5.8	3.66	5.97	2.49	1.94	1.61	7.37	16.88
Locus_18036	0	0	0	0	0	0	0	0	0	0	0	0.48	2.11
Locus_115316	0	0	0.31	0	0.32	0.68	0	0	0	0	0	1.21	0
ENSMMUG00000015014	54.33	54.84	45.2	48.04	45.66	60.87	56.54	52.72	66.2	54.37	30.78	30.02	25.21
blastnHuman.ENSG00000235403	0	0.1	0	0	0	0	0	0	0	0.54	0	0.07	0.21
ENSMMUG00000021614	16.66	16.77	16.32	26.61	22.15	39.85	29.75	28.25	33.69	27.76	28.61	37.55	67.3
Locus_474791	0	0	0.33	0	0	0	0	0.62	0	0	0	1.1	0.53
ENSMMUG00000005956	0	0.04	0	0	0	0	0	0	0	0	0	0.51	0
CUFF.210577	0.63	2.05	0.73	0.54	1.62	0	0	0	0	0	0.2	0.06	0
ENSMMUG00000022111	6.79	7.87	4.44	31.55	47.09	2.24	3.69	35.32	24.54	45.71	44.71	3.6	3.36
blastnGorilla.Locus_226331	0	0	0	0	0	0	0	0	0	0	0	0.24	0
Locus_189555	0.18	0.11	0	0	0	0	0.24	0	0	0	0	1.77	1.03
blastnHuman.XLOC_003656	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_340504	0	0	0	0	0	0	0	0	0	0	0	0.86	1.41
ENSMMUG00000004147	0.16	0.29	0.12	0.11	0.13	0	0	0	0	0.53	0	0.13	0
ENSMMUG00000018450	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015249	2.06	3.05	1.5	1.23	1.12	22.89	33.16	0.38	0.19	136.95	95.26	1.48	2.29
ENSMMUG00000009468	5.16	6.67	6.37	7.23	7.01	4.21	3.44	6.19	9.54	8.35	8.56	6.99	7.9
ENSMMUG00000023706	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_429068	0	0	0	0	0.16	0	0	0	0	0	0	3.74	4.73
Locus_101479	0	0	0	0	0	0	0	0	0	0	0	0.33	0.35
ENSMMUG00000032215	0.48	0.29	0.74	0	0.38	2.44	0.63	1.41	0	0.79	0.6	0.39	0.31
ENSMMUG00000018997	50.7	43.18	62.86	62.06	48.41	125.06	142.44	108.32	93.17	240.96	384.97	93.7	66.32
ENSMMUG00000016082	5	3.54	6.45	12.51	14.51	14.08	2.19	4.88	12.06	10.97	2.08	37.48	66.58
ENSMMUG00000029600	0	0.1	0	0	0	0	0	0	0	0	0	0.13	0
ENSMMUG00000030395	2.51	4.84	7.75	1.5	4.22	1.06	2.05	1.83	0.91	0	1.17	203.57	231.75
ENSMMUG00000021641	37.22	36.32	37.7	20.93	39.7	187.42	274.91	9.34	23.6	3.21	12.18	9.36	5.84
ENSMMUG00000009336	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_003125	0	0	0	0	0	0	0	0	0	0	0	0.22	0.41
ENSMMUG00000023435	0	0.08	0	0.18	0	0.45	0	20.87	245.48	1571.74	2410.23	0.11	0
ENSMMUG00000013255	27.53	25.1	25.95	13.65	20.6	110.81	333.61	159.86	192.69	527.98	540.26	23.97	13.91
Locus_245494	0	0	0	0	0	0	0	0.83	5.77	0	0	0	0
ENSMMUG00000015148	4.88	5.33	5.05	1.08	1.93	5.94	10.73	34.98	23.28	11.7	9.6	147.68	144.94
Locus_314685	0	0	0	0	0	0	0	0	0	0	0	3.37	0.63
ENSMMUG00000011708	0.15	0	0	0	0	0	0	0	0.21	0	0	0	0
ENSMMUG00000022836	13.3	17.94	21.86	20.26	24.94	2.77	0.53	0.91	0.42	0	0	2.65	2.19
Locus_138949	0.13	0.24	0.82	1.9	0.74	0.22	0	0	0	0.22	0	0.64	1.18
Locus_472759	0.34	0	0	0	1.07	0	0	0	0	0.56	0.42	0	0
ENSMMUG00000001209	1.07	1.46	1.17	1.76	1.27	3.61	1.63	2.6	1.16	2.34	1.22	2.09	0.68
ENSMMUG00000031799	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_37351	0	0	0	0	0	0	0	0	0	0	0	0.06	0
blastnHuman.CUFF.24286	0	0.06	0	0	0.17	0	0	0	0	0	0	0.5	0.53
ENSMMUG00000021131	23.16	30.12	34.98	30.37	29.54	1.38	0.83	1.46	1.58	0.45	0.23	0.07	0
blastnHuman.Locus_37124	0	0	0	0	0	0	0	0	0	0	0	0.1	0.24
ENSMMUG00000020946	1.74	2.15	1.94	3.27	3.71	2.21	1.43	1.12	2.68	2.51	1.77	4.03	6.77
Locus_273010	0	0	0	0	0	0	0	0	0	0	0	0.37	0
ENSMMUG00000001489	0	0	0	0	0	0	0	0	0	0	0	1.6	1.26
blastnGorilla.Locus_57062	0	0.18	0	0.2	0	0.5	0	0	0	0	0	1.07	1.13
ENSMMUG00000010596	29.99	41.05	45.62	26.46	36.7	4.24	11.95	30.63	10.99	10.54	4.12	10.67	11.35
Locus_101150	0	0	0	0	0	0	0	0	0	0	0	0.83	0.88
blastnPan.CUFF.55379	0	0.74	1.88	0.83	1.93	0	0	0	0	0	0	2.2	4.63
ENSMMUG00000005629	0.49	0.5	0.25	0.11	0.04	0	0.22	0.16	0.4	0	0	128.52	162.6
Locus_428969	0	0	0	0	0	0	0	0.86	0	0	0	0.47	0
blastnGorilla.Locus_372109	0	0	0	0	0	0.39	0	0	0	0	0	0.33	0
ENSMMUG00000000233	0	0	0	0	0	0.07	0	0.06	0	0.2	0	3.82	2.12
Locus_500935	0.54	0.17	0.42	0	0.22	0	0	0	0	0	0	0.44	0.35
ENSMMUG00000021996	11.36	11.22	11.69	1.2	1.69	1.74	2.97	2.66	2.52	4.4	1.94	2.55	2.8
ENSMMUG00000013271	7.4	9.72	13.35	1.87	6.29	8.79	11.86	14.03	4.36	15.78	21.56	6.55	1.56
blastnHuman.XLOC_008895	0	0.13	0	0	0	0	0	0	0	0	0	0.7	0.28
ENSMMUG00000012939	0.5	0.99	1.26	0.3	0.79	1.8	2.96	2.2	0.45	15.26	26.54	1.91	1.27
ENSMMUG00000023634	9.96	11.07	11.91	11.05	11.19	8.31	13.35	15.32	14.74	10.45	6.79	13.82	10.48
blastnHuman.ENSG00000251270	0	0.11	0	0	0	0.62	0	0	0	0	0	0.22	0
ENSMMUG00000030949	1.54	1.07	0.35	0.12	0.14	5.05	9.14	5.3	2.88	4.47	7.58	6.35	0.98
Locus_115973	0.2	0.68	0	1.66	0	0	0	0	0	0.33	0	0.2	0
Locus_289985	0	0.2	0	0	0.52	1.12	0	0	0	0	0	1.06	0.42
ENSMMUG00000022672	0.34	0.41	0.33	0	0.2	31.57	32.89	5.24	3.46	0.7	0.53	6.65	1.57
Locus_313013	0	0	0	0.21	0	0	0	0	0.45	0	0	1.05	1.17
ENSMMUG00000018124	1.86	2.44	2.6	0.96	1.25	3.22	2.88	3.45	2.34	2.52	6.11	3.42	3.55
ENSMMUG00000015482	32.74	34.96	32.25	31.06	23.31	39.48	20.92	19.73	22.5	15.75	13.12	28.32	46.99
Locus_290024	0	0	0	0	0	0	0	0	0	0	0	0.48	0.45
blastnHuman.Locus_2208	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000030183	218.63	188.23	231.8	215.01	166.74	831.99	682	304.6	305.76	458.72	288.42	196.16	284.99
blastnHuman.XLOC_010410	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_140102	0	0	0	0	0	0	0	0	0	0	0	1.96	3.44
Locus_221566	0	0	0	0	0	0	0	0	0	0	0	0.75	0
blastnGorilla.Locus_57314	0	0	0	0	0	0	0	0	0	0	0	0.17	0
ENSMMUG00000001690	38.41	35.6	33.11	37.65	34.69	29.87	64.67	121.43	125.14	90.48	92.25	12.71	9.12
Locus_117457	0.3	0.45	0.23	0.81	0.23	0	0	0	0	0	0	0.36	0
blastnHuman.ENSG00000228204	43.72	41	52.83	3.73	4.87	9.23	13.43	8.99	4.94	6.74	11.09	3.57	1.73
blastnPan.CUFF.194644	0.2	0	0.31	0.14	0.16	6.06	3.14	0.58	0.58	0	0	0.04	0
blastnHuman.ENSG00000253100	0	0	0	0	0	0	0	0	0	0	0	0.11	0.21
ENSMMUG00000005273	0.74	1.11	1.06	0.86	0.73	0.29	0.68	0.92	0.83	0.38	0.21	1.93	1.23
ENSMMUG00000031520	3.78	5.4	3.96	3.98	4.68	5.59	4.65	3.92	3.99	5.58	14.08	5.59	7.7
Locus_115100	0	0.17	0.43	0	0	0	0	0	0	0	0	0.34	0.36
blastnGorilla.Locus_105238	0	0	0	0	0	0	0	0	0	0	0	0.31	0.99
blastnPan.CUFF.346207	0.35	0.11	0.27	0.95	0.55	0	0	0	0	0	0	0	0
ENSMMUG00000011931	30.34	27.24	33.39	10.62	24.32	18.4	28.56	35.28	31.52	58.87	130.68	4.06	2.71
ENSMMUG00000012282	6.32	3.63	2.83	12.41	4.83	9.84	4.36	9.33	3.18	11.66	9.88	1.02	1.01
Locus_246656	0	0	0	0	0	0	0	0	0	0	0	1.31	0
ENSMMUG00000020861	1.05	1.72	1.78	0.75	1.12	9.21	8.59	53.15	53.57	5.52	14.01	8.89	9.47
ENSMMUG00000011735	11.42	14.06	12.39	14.89	10.86	5.9	4.58	5.74	6.66	8.13	5.96	3.51	4.48
ENSMMUG00000018351	5.54	3.83	3.18	3.38	3.91	2.42	4.37	2.27	4.83	1.96	1.04	4.82	10.5
Locus_372379	0	0	0	0.19	0	0	0	0	0	0	0	1.39	1.4
ENSMMUG00000016446	37.84	38.24	38.19	30.96	37.38	33.53	42.69	31.76	22.64	53.41	55.45	20.77	23.62
blastnHuman.XLOC_009764	0	0	0	0	0	0	0	0	0	0	0	0.83	0.59
ENSMMUG00000022610	3.47	5.36	6.23	4.13	4.42	7.68	3.13	13.03	11.88	18.33	10.83	9.8	10.41
ENSMMUG00000015631	13.57	11.72	11.54	3.6	6.38	65.81	16.5	3.42	3.82	11.03	7.44	11.71	6.74
ENSMMUG00000011232	3.7	4.73	2.56	8.78	10.54	0.88	2.98	0.38	0.09	0	0.16	48.41	31.63
ENSMMUG00000023136	2.18	2.99	2.88	4.22	3.08	3.48	4.43	3.6	4.56	2.36	3.22	7.96	6.72
Locus_273543	0	0.04	0	0.05	0	0	0	0.11	0	0	0	8.3	15.34
Locus_273337	0.05	0.07	0.04	0.06	0	0	0	0	0	30.24	7.77	0.28	0.26
ENSMMUG00000008548	3.2	4.51	5.39	1.74	0.9	3.02	1.11	1.38	0.95	1.86	0.82	4.58	4.24
Locus_139124	0	0	0	0	0	0	0	0	0	0	0	1.55	1.72
Locus_342175	0	0	0	0	0	2.34	0	0	0	0	0	0.14	0
ENSMMUG00000021872	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnOpossum.Locus_228639	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000009936	3.98	4.27	3.62	4.34	3.65	5.54	9.43	6.03	4.14	8.61	13.25	7.88	8.19
ENSMMUG00000005712	16.91	14.46	15.16	15.22	14.78	7.71	10.88	10.02	14.26	12.12	13.86	11.95	18.54
blastnGorilla.Locus_135412	0	0.12	0	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_60103	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_341040	0	0	0	0	0	0	0	0	0	0	0	1.37	1.04
blastnMouse.Locus_40556	0	0	0	0	0	0	0	0	0	0	0	0.48	0
blastnHuman.ENSG00000232311	0	0	0.23	0	0	0	0	0	0	0	0	0.06	0
blastnHuman.CUFF.49258	0	0	0	0	0	0	0	0	0	0	0	0.32	0
ENSMMUG00000019483	0.12	1.53	0.09	0	0.14	0	0.4	0	0.17	0	0	23.97	19.76
ENSMMUG00000005180	0	0	0	0	0	0	0	0	0	0.3	0	0.63	0.12
ENSMMUG00000004892	16.39	9.89	13.07	5.94	8.47	13	14.91	28.15	25.91	33.03	39.91	11.62	17.18
ENSMMUG00000014463	0	0	0	0	0	0	0	0	0	0	0	1.62	1.75
ENSMMUG00000030035	0.16	0.15	0.13	0.11	0.13	0.28	0.65	0.48	0	0.81	0.41	7.23	3.54
ENSMMUG00000001328	1.02	1.48	0.97	0.15	0.58	1.25	11.53	0.41	1.23	0.28	0.71	0.35	0.36
ENSMMUG00000004132	16.34	19.26	24.31	11.81	11.1	5.39	3.93	7.5	13.02	63.8	9.54	169.81	229.33
ENSMMUG00000011188	4.76	2.92	2.47	0.01	0.05	0.55	1.35	1.47	1.39	2.7	3.52	0.59	0.21
ENSMMUG00000001741	27.47	23.52	21.45	15	15.8	12.9	15.46	19.6	17.65	42.33	22.93	10.46	16.56
ENSMMUG00000014587	1.01	1.87	0.93	2.28	1.43	0.88	0.53	0.77	1.11	0.93	0.65	11.49	11.12
ENSMMUG00000002034	3	2.92	4.8	3.95	4.91	0	0.28	0	1.24	0.35	0	0.39	0.54
blastnGorilla.Locus_226141	0	0	0.29	0	0	0	0	0	0	0	0	0.08	0
ENSMMUG00000002194	46.78	59.87	47.7	50.12	35.2	124.8	54.6	44.08	26.94	38.25	16.95	26.28	34.84
ENSMMUG00000012832	0.87	0.68	1.06	0.42	0.25	1.68	0.89	3.63	6.73	1.12	0.54	6.2	8.77
ENSMMUG00000018278	6.76	11.21	8.69	10.35	6.39	3.66	6.11	9.03	5.32	6.7	2.95	37.74	26.69
Locus_139193	0	0	0	0	0	0	0	0	0	0	0	0.93	1.83
blastnHuman.CUFF.263224	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_222061	0	0.07	0	0	0	0	0	0	0	0	0	1.12	1.16
ENSMMUG00000028841	0	0	0	0	0	0	0	0	0.89	0	0	0	0
blastnXenopus.Locus_81555	0	0	0	0	0	0	0	0	0	0	0	0.19	0
blastnGorilla.Locus_60946	0	0	0	0	0	0	0	0	0.99	0	0	0.14	0
ENSMMUG00000020817	2.62	3.11	3.28	2.05	2.44	0.91	1.82	2.15	1.23	1.02	1.06	3.27	2.4
blastnPan.Locus_86403	0	0	0	0	0	0	0	0	0	0	0	0.12	0
Locus_61661	0	0.05	0	0	0	0	0	0	0	0	0	1.61	2.43
Locus_209135	0	0	0.2	0	0	0	0	0	0	0	0	1.12	0.48
ENSMMUG00000032456	6.12	5.13	7.01	0.16	0.06	0	0.31	0	0.23	0	0.1	2.71	3.28
ENSMMUG00000029775	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_447586	0	0	0	0	0	0	0	0	0	0	0	0.61	0.53
ENSMMUG00000012716	6.11	5.42	6.61	4.48	5.34	41.24	57.43	9.96	10.08	121.89	62.8	8.34	4.2
blastnGorilla.Locus_105962	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_61614	0	0.09	0	0	0	0	0	0	0	0	0	0.75	1.28
ENSMMUG00000003538	9.62	11.57	11.49	9.24	8.62	5.47	6.27	13.6	16.95	9.9	6.72	1.76	0.92
Locus_289084	0.57	1.21	1.18	0.26	0.45	6.42	4.73	1.53	0.96	0.78	3.2	4.81	11.02
ENSMMUG00000013874	30.98	37.83	47.93	10.75	23.03	0	0.67	0.5	0.5	4.22	2.78	57.32	47.75
blastnGorilla.Locus_224448	5.19	1.92	3.12	4.72	4.56	0	5.29	0.84	0	0.95	0.72	6.48	7.31
blastnHuman.XLOC_008760	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000009694	2.17	3.66	2.54	2.52	2.69	2.38	5.84	1.63	1.61	13.99	4.32	1.24	1.41
Locus_61355	0	0	0	0	0	0	0	0	0	0	0	1.83	0.29
blastnHuman.Locus_87273	0	0	0	0	0	0	0	0	0	0	0	0.06	0
ENSMMUG00000005087	2.87	2.12	1.57	4.32	2.54	3.28	5.09	6.67	4.03	4.58	0.95	2.44	1.5
blastnGorilla.Locus_134058	0	0	0	0	0	0	0	1.67	0	0	0	0	0
blastnPan.Locus_130279	0.14	0.17	0.32	0.28	0.11	1.41	0.36	1.01	0.4	0	0	0	0
ENSMMUG00000020323	14.53	8.68	13.02	11.24	10.46	5.85	3.78	7.21	7.13	4.23	3.01	2.78	4.59
ENSMMUG00000032409	0	0	0.53	0.23	0.27	0	0.89	0.5	0.99	0	0.43	0.34	0
blastnGorilla.Locus_57701	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003715	37.77	36.14	35.63	3.79	4.82	0	0	0	0.1	0	0	0.58	0.51
blastnPan.CUFF.230320	0.29	0.26	0.22	0.39	0.23	0.48	0	0.84	1.24	0.94	5.01	0	0
ENSMMUG00000006148	38.53	34.56	38.87	19.89	21.67	44.93	33.59	19.17	44.72	31.53	29.56	83.27	80.83
Locus_61478	0	0	0	0	0	0	0	0	0	0	0	3.81	2.6
blastnHuman.ENSG00000236336	0	0	0	0	0	0	0	0	0	0	0	0.57	0.9
ENSMMUG00000031289	0	0.27	0	0	0	0	2.35	2.63	1.3	1.48	1.12	1.44	1.14
blastnHuman.ENSG00000223466	0	0	0	0	0	0	0	0	0	0	0	0.09	0
ENSMMUG00000019416	12.32	14.58	12.23	14.85	24.37	303.37	304.12	148.59	98.06	151.95	406.88	19.09	22.91
ENSMMUG00000029623	0	0.25	0	0.14	0	0	0	0	0	0	0	0.04	0.39
ENSMMUG00000018784	9.39	9.62	8.85	11.17	9.06	3.56	4.94	5.88	9.16	8.43	8.53	20.02	41.53
ENSMMUG00000022337	0	0	1.06	0	0	0	1.8	0	0	63.24	12	0	0.87
ENSMMUG00000020844	0	0.02	0	0	0	0.17	0	0	0	0	0	146.1	158.6
ENSMMUG00000004097	0	0.57	0	0	1.48	0	0	0	0	0	0	1.5	1.18
ENSMMUG00000023291	51.92	73.83	105.39	30.62	56.13	69.71	72.79	84.34	44.09	100.5	442.86	198.98	203.9
ENSMMUG00000015047	0.25	0.65	0.52	0.79	0.58	0.31	0.16	0.18	0.62	0.2	0.08	60.29	53.34
ENSMMUG00000006521	5.01	4.87	3.57	8.7	7.51	3.73	2.81	4.37	4.52	6.31	2.68	3	3.17
blastnHuman.ENSG00000250193	0	0	0	0	0	0	0	0	0	0	0	0.07	0
ENSMMUG00000012458	3.42	3.31	4.09	0.37	0.25	1.69	8.66	5.86	4.02	6.14	3.24	0.52	0.03
ENSMMUG00000017509	0.22	0.16	0.06	0	0	0	0	0.11	0	0	0.09	164.72	337.3
ENSMMUG00000021797	396.23	393.77	484.21	35.96	56.8	107.75	35.56	0.76	1.94	0.74	0.28	56.67	79.37
blastnHuman.ENSG00000229938	0.21	0.13	0.17	0	0	0	0	0	0	0	0	0.43	0.27
blastnMouse.CUFF.129372	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000023570	0	0	0	0	0	0	0	0	0	0	0	0.27	0.28
ENSMMUG00000031568	3.57	1.35	2.3	3.45	2.82	7.03	32.74	1.3	6.45	60.65	33.42	1.49	0.38
ENSMMUG00000031010	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_312474	0.08	0.22	0.18	0.05	0.25	0	0	0	0	0	0	0.78	1.06
ENSMMUG00000019524	1.36	1.51	1.05	0.72	1.55	1.28	1.78	1.33	0.66	1.49	3.4	5.61	3.64
ENSMMUG00000002264	0.33	0.07	0.38	0.48	0.47	0	0	0	0	0.09	0.07	0.13	0.31
Locus_372993	0.08	0	0.13	0.68	0.59	0.42	0	0.24	0.12	0	0	5.52	3.26
Locus_246088	0	0	0	0	0	0	0	0	0.4	0	0	0.28	0.35
blastnPan.Locus_177148	0	0.18	0	0	0.23	0	0	0	0	0	0	0	0
blastnGorilla.Locus_353524	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000225555	0	0.32	0.82	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000003779	0	0.02	0	0	0	0	0	0	0	0	0	0.01	0
ENSMMUG00000014002	166.66	172.88	219.02	206.49	279.49	118.43	121.96	83.95	85.6	41.89	116.43	210.81	138.67
blastnGorilla.Locus_96209	0.57	0.52	0	0.39	0	0	0	0	0	0	0	0	0.72
ENSMMUG00000002053	33.19	38.59	24.43	30.09	36.06	19	37.83	23.41	20.12	116.33	127.5	80.45	104.71
ENSMMUG00000002133	12.77	13.41	16.2	6.35	7.12	4.46	2.8	3.68	7.01	4.97	3.3	2.44	4.11
ENSMMUG00000022960	7.13	10.84	5.6	3.12	4.46	0.36	0.7	0.93	0.31	2.8	0.66	0.41	0.34
ENSMMUG00000000133	0	0.03	0	0	0	0	0	0	0	0	0	0.04	0
ENSMMUG00000018527	4.31	7.15	6.67	10.99	24.19	21.85	47.73	3.15	2.94	1.67	17.58	3.62	1.29
ENSMMUG00000007480	7.03	8.16	8.33	5.58	6.7	5.45	8.41	8.04	7.26	6.39	16.38	3.62	3.04
ENSMMUG00000032169	2.23	1.84	1	0.14	0.25	0.61	0.61	1.14	0.82	0.43	0.19	0.48	0.36
blastnHuman.ENSG00000237184	0	0	0	0	0	0	0	0	0	0	0	0	0
