Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
ENSMMUG00000003997	3.21	3.35	3.65	2.13	2.26	4.97	6.42	7.04	7.22	8.35	16.58	20.96	47.49
ENSMMUG00000014958	0	0.09	0	0	0	0	0.78	0.22	0	0	0	2.15	3.96
ENSMMUG00000006525	45.22	39.53	52.73	30.55	45.42	87.24	86.07	62.13	72.42	96.3	170.88	26.45	22.26
ENSMMUG00000030134	0.28	0.09	0.22	0.78	0	2.4	0.75	0	0.82	1.87	0.36	0	0
ENSMMUG00000008792	4.87	4.76	6.19	5.31	4.26	3.61	1.64	3.13	3.2	2.79	1.57	7.56	7.62
Locus_18283	0	0.11	0.13	0	0	0	0	0	0	0	0.22	0.84	0.99
ENSMMUG00000012953	61.77	54.73	83.73	48.13	64.2	73.49	52.3	34.89	37.36	34.85	73.51	155.07	252.63
ENSMMUG00000029087	143.05	67.96	121.84	68.68	79.4	159.2	250.66	112.77	141.27	259.72	140	188.6	91.54
ENSMMUG00000004630	0.55	0.72	0.64	0.49	0.96	1.4	2.25	0.49	0.8	0.91	10.02	9.27	13.33
ENSMMUG00000000961	0.32	0.55	0.92	0.15	0.51	0	0.42	0.63	0.16	0.53	3.09	3.61	8.19
ENSMMUG00000031412	0	0.17	0.14	0	0.15	0.93	0.24	0.54	0	0	0	8.84	6.31
ENSMMUG00000017983	4.13	5.51	4.38	5.48	4.02	4.99	2.79	5.35	4.44	5.83	1.18	4.03	6.21
ENSMMUG00000003745	5.12	5.55	3.88	8.51	5.69	7.41	3.88	4.83	8.1	6.21	0.86	3.22	3.65
blastnHuman.Locus_175338	0	0	0	0	0	0	0	0	0	0	0	0.1	0
ENSMMUG00000016892	6.62	9.37	7.84	8.61	5.62	5.4	2.58	4.34	2.1	1.75	1.65	13.62	25.33
ENSMMUG00000030444	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000016015	0.28	0.21	0.43	0.47	0.44	0.39	0.91	1.63	1.21	29.85	25.5	0.75	0.41
