Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
ENSGGOG00000001760	310	799	156	187	234	187	463	479	330	630	2358
ENSGGOG00000027732	13	86	13	5	0	1	4	7	4	1	1
ENSGGOG00000011001	2	13	1	0	4	10	21	17	31	98	11
ENSGGOG00000000324	20	48	15	11	5	9	12	14	16	14	869
blastnHuman.XLOC_005450	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_115177	0	0	0	0	0	0	0	0	0	0	1
Locus_94171	10	11	5	9	0	0	0	0	1	0	185
ENSGGOG00000015021	603	418	451	637	7	2	13	17	1067	2155	311
ENSGGOG00000003034	263	480	169	74	45	23	102	121	50	105	1528
ENSGGOG00000027936	34	61	57	20	16	11	14	32	28	18	4738
ENSGGOG00000011508	0	0	0	0	0	1	0	0	0	0	571
ENSGGOG00000002689	351	817	462	343	83	42	479	717	164	145	791
blastnMacaque.Locus_115061	0	1	1	0	0	0	0	0	0	0	3
Locus_415264	0	0	0	0	0	0	0	0	0	0	21
blastnMacaque.Locus_500478	0	0	0	0	0	0	0	0	0	0	1
blastnMacaque.Locus_341841	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000007112	7	3	2	0	2	1	12	2	5	15	2481
blastnMacaque.Locus_40697	0	1	0	1	0	0	4	5	0	0	6
blastnPan.Locus_152433	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000014292	134	214	69	41	25	20	52	65	83	92	1164
ENSGGOG00000014539	34	72	24	16	76	43	686	631	137	587	753
ENSGGOG00000013433	109	247	170	57	2	1	0	1	14	14	123
ENSGGOG00000008013	581	1801	47	37	51	106	281	199	173	232	561
ENSGGOG00000016988	165	246	66	33	2580	683	89	411	614	256	144
ENSGGOG00000016137	432	1088	419	312	166	83	335	289	241	224	784
ENSGGOG00000006807	661	1041	254	159	78	78	435	637	124	200	7923
Locus_18095	12	34	2	2	0	0	0	0	0	0	5
ENSGGOG00000007233	493	1050	291	198	67	55	292	375	523	595	3200
ENSGGOG00000010289	25	23	1	1	8	11	5	10	17	23	89
blastnMacaque.Locus_314833	0	3	0	0	0	0	0	0	0	1	0
ENSGGOG00000026241	58	83	56	60	16	15	19	27	37	86	311
blastnMouse.Locus_97956	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_17426	0	0	0	0	0	0	0	0	0	0	0
Locus_240488	0	0	0	0	0	0	0	0	0	0	77
ENSGGOG00000002412	85	280	28	28	58	21	16	38	8	23	297
ENSGGOG00000002236	67	307	0	1	1	2	2	1	1	7	155
blastnMacaque.Locus_140040	0	0	0	0	0	0	0	0	0	0	3
Locus_353631	0	0	0	0	0	0	2	3	0	0	0
blastnMouse.CUFF.170449	0	0	1	0	0	0	0	0	1	0	0
ENSGGOG00000023664	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_273141	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000027236	194	362	375	71	2309	439	7	9	6	11	789
ENSGGOG00000025772	223	606	200	151	63	44	408	505	140	336	1988
blastnMacaque.Locus_189194	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000028164	63	223	51	71	23	20	64	200	119	169	542
ENSGGOG00000006271	4	11	2	1	5	1	0	0	6	6	52
ENSGGOG00000004946	724	1311	605	366	2984	741	639	646	146	100	642
ENSGGOG00000024120	83	239	175	84	16	33	210	183	28	102	167
blastnHuman.ENSG00000231597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
blastnHuman.ENSG00000226440	0	0	0	0	0	0	0	0	0	0	2
Locus_224930	0	0	0	0	0	0	0	0	0	0	160
ENSGGOG00000009874	286	770	224	140	82	101	224	505	270	273	1222
blastnPlatypus.Locus_100731	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000023425	5	14	0	1	1	0	0	0	0	0	69
ENSGGOG00000005035	236	240	31	13	96	74	215	321	54	30	480
blastnHuman.ENSG00000249816	0	0	0	0	0	0	0	0	0	0	43
ENSGGOG00000025716	596	815	477	216	189	118	336	697	349	307	3098
ENSGGOG00000010539	1	6	1	3	1	0	0	0	0	0	5
ENSGGOG00000022543	0	0	0	0	0	0	12	1	5	4	3
ENSGGOG00000009408	0	0	0	0	3	0	410	226	1	1	32
ENSGGOG00000007008	0	6	1	0	0	0	0	1	1	1	24
ENSGGOG00000011697	5	30	18	9	1	2	0	2	8	21	9
blastnMacaque.Locus_61151	0	0	0	0	0	0	0	0	0	0	1
ENSGGOG00000028319	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000228058	2	3	2	0	0	0	0	0	0	0	2
ENSGGOG00000002522	704	1195	114	102	24	23	140	120	10	49	731
blastnHuman.ENSG00000256757	0	2	0	0	0	0	0	0	0	0	7
blastnPan.CUFF.49303	0	1	0	0	0	0	0	0	0	0	143
blastnMacaque.Locus_115008	1	0	0	0	0	0	0	0	0	0	1
blastnHuman.CUFF.186867	0	0	0	0	0	0	0	0	0	0	10
ENSGGOG00000009117	35	48	2	2	0	0	78	107	65	103	78
ENSGGOG00000005415	285	575	154	100	31	30	165	103	117	95	1871
blastnPan.Locus_94166	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000003137	256	436	689	344	0	0	3	1	3	3	375
blastnMacaque.Locus_474184	0	0	0	0	0	0	0	0	0	1	0
blastnPan.Locus_160146	0	1	0	1	0	0	0	0	0	0	0
blastnHuman.Locus_147183	0	0	0	0	0	0	0	0	0	0	3
ENSGGOG00000008697	8	11	1	0	2	6	0	3	9	4	16
ENSGGOG00000002840	208	230	36	39	76	41	87	136	70	108	535
ENSGGOG00000001121	65	110	16	37	291	260	462	450	508	623	753
ENSGGOG00000016779	29	21	2	0	1	1	2	1	0	2	1952
ENSGGOG00000010817	249	377	61	66	19	32	185	205	210	212	7536
blastnHuman.ENSG00000249417	0	4	0	0	0	0	0	1	0	0	3
ENSGGOG00000027348	251	517	184	104	132	46	324	358	489	616	2270
ENSGGOG00000004217	5	9	6	1	1	7	5	2	3	14	56
blastnMacaque.Locus_340122	0	0	0	0	47	6	0	0	0	0	8
