Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
ENSPPYG00000011854	52	37	1	0	0	1	2	1	0
ENSPPYG00000013125	105	25	68	339	176	594	1522	398	1723
ENSPPYG00000018806	45	24	104	172	57	184	320	43	44
ENSPPYG00000015597	196	62	197	267	81	132	162	109	215
blastnGorilla.Locus_464291	0	0	0	0	0	0	0	0	0
ENSPPYG00000014031	777	417	175	32	13	111	128	2	5
blastnPan.CUFF.171495	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_005450	0	0	0	0	0	0	0	0	0
ENSPPYG00000005103	790	438	414	91	63	257	205	721	1630
blastnMacaque.Locus_115177	0	0	0	0	0	0	0	0	0
ENSPPYG00000009444	1207	670	667	335	246	625	653	426	429
ENSPPYG00000017961	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_473951	1	0	0	0	0	0	0	0	0
blastnGorilla.Locus_338295	0	0	0	0	0	0	0	0	1
ENSPPYG00000007993	272	146	124	70	18	22	61	58	62
ENSPPYG00000020188	62	27	70	207	28	133	96	580	520
blastnHuman.ENSG00000227498	0	0	0	0	0	0	0	0	0
ENSPPYG00000004307	294	113	508	291	43	118	179	153	177
CUFF.156883	2	0	10	5	6	8	3	3	2
ENSPPYG00000015664	0	0	0	0	0	0	0	0	0
ENSPPYG00000015941	560	333	526	213	100	333	389	126	220
ENSPPYG00000002207	85	40	72	48	42	37	73	45	56
blastnMacaque.Locus_115061	1	0	1	1	0	0	0	0	0
Locus_183769	3	0	3	1	0	15	12	5	4
blastnHuman.ENSG00000253205	1	1	0	0	0	0	0	0	0
ENSPPYG00000016246	37	26	16	66	25	27	104	24	37
blastnMacaque.Locus_500478	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_341841	0	0	0	0	0	0	0	0	0
ENSPPYG00000019960	48	24	79	76	19	57	141	51	82
ENSPPYG00000012881	540	231	275	276	181	237	463	293	400
ENSPPYG00000005489	184	92	23	41	19	78	89	204	62
blastnGorilla.Locus_60761	0	0	0	0	0	0	0	0	0
blastnPan.Locus_152433	0	0	0	0	0	0	0	0	0
ENSPPYG00000012123	208	70	193	165	88	92	134	82	116
ENSPPYG00000009124	3	0	0	0	0	3	0	0	0
ENSPPYG00000012239	17	8	17	0	1	0	0	0	5
ENSPPYG00000003872	483	176	189	1251	722	373	689	168	278
blastnGorilla.Locus_293422	0	0	0	0	0	0	0	0	0
ENSPPYG00000014732	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_314833	4	1	0	0	0	0	0	0	0
ENSPPYG00000017018	114	3	17	78	18	24	29	443	293
ENSPPYG00000011427	221	147	197	127	19	57	80	48	44
blastnMouse.Locus_97956	0	0	0	0	1	0	0	0	0
ENSPPYG00000009951	13	16	5	10	5	43	43	15	21
blastnHuman.Locus_17426	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_140040	2	0	1	0	0	0	0	0	0
blastnMouse.CUFF.170449	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_273141	0	0	0	0	0	0	0	0	1
ENSPPYG00000018698	56	19	161	29	6	39	48	205	175
blastnHuman.ENSG00000250668	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_189194	0	0	0	1	0	0	0	0	0
ENSPPYG00000010629	29	9	43	31	10	15	37	17	21
ENSPPYG00000000971	34	24	35	65	25	53	45	59	66
ENSPPYG00000004384	3	2	6	0	0	1	2	1	6
ENSPPYG00000020200	199	76	164	187	101	111	150	71	118
blastnGorilla.Locus_392952	0	0	0	0	0	0	0	0	0
ENSPPYG00000013747	0	0	0	0	0	0	0	0	0
ENSPPYG00000009390	3150	1928	953	8	1	1	0	0	0
blastnHuman.ENSG00000231597	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSPPYG00000003185	33	42	0	1	0	1	1	0	0
blastnHuman.ENSG00000226440	0	0	0	0	0	0	0	0	0
ENSPPYG00000010642	177	109	244	1	7	103	91	2	30
ENSPPYG00000020486	53	16	47	27	6	8	24	4	20
ENSPPYG00000005939	593	259	318	389	183	434	487	303	334
blastnHuman.CUFF.105734	0	0	0	0	0	0	0	0	0
ENSPPYG00000016814	41	11	60	48	17	49	81	19	47
ENSPPYG00000013434	67	23	11	47	42	177	249	11	12
blastnPlatypus.Locus_100731	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000249816	0	0	0	0	0	0	0	0	0
ENSPPYG00000010263	90	89	37	24	12	64	109	17	32
ENSPPYG00000001904	6	5	3	46	9	7	10	0	2
Locus_218334	2	0	0	0	0	2	3	9	30
ENSPPYG00000007608	72	63	38	37	26	144	153	84	132
ENSPPYG00000019728	268	139	145	88	97	122	145	125	92
blastnMacaque.Locus_61151	0	0	0	0	0	0	0	0	0
ENSPPYG00000014264	58	6	74	0	1	6	0	2	1
blastnHuman.ENSG00000228058	3	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000256757	0	1	0	0	0	0	2	0	0
blastnPan.CUFF.49303	0	0	0	0	0	0	0	0	0
ENSPPYG00000004490	235	219	119	183	88	186	311	126	215
blastnMacaque.Locus_115008	1	2	0	0	0	0	0	0	0
blastnHuman.CUFF.186867	0	0	0	0	0	0	0	0	0
blastnPan.Locus_94166	0	0	0	0	0	1	30	0	0
ENSPPYG00000020030	8	3	11	10	4	0	12	1	6
blastnMacaque.Locus_474184	0	0	0	0	0	0	0	0	0
blastnPan.Locus_160146	0	0	1	0	0	0	0	0	0
blastnHuman.Locus_147183	0	0	0	0	0	0	0	0	0
ENSPPYG00000009111	1294	698	782	438	156	238	356	159	272
ENSPPYG00000008539	21	5	58	50	12	136	47	85	142
ENSPPYG00000020126	5	0	1	13	2	1	1	9	54
ENSPPYG00000016714	0	0	0	0	0	0	0	0	14
ENSPPYG00000006702	15	1	1	0	0	17	9	0	0
blastnHuman.ENSG00000249417	2	0	6	0	0	1	1	0	0
ENSPPYG00000004904	48	27	122	507	96	55	32	29	36
blastnOpossum.Locus_377146	0	0	0	0	0	0	0	0	0
ENSPPYG00000017658	0	0	0	0	0	0	0	0	0
ENSPPYG00000010568	322	440	231	138	67	139	216	112	77
ENSPPYG00000004590	0	0	0	0	0	13	13	0	0
ENSPPYG00000010284	106	108	46	13	14	48	69	32	39
ENSPPYG00000007102	1	0	0	0	0	0	0	0	0
ENSPPYG00000017256	68	0	17	114	48	256	103	454	162
blastnHuman.Locus_24871	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_012150	0	0	0	0	0	0	0	0	0
ENSPPYG00000018707	27	9	52	93	28	31	38	58	77
ENSPPYG00000014410	117	26	78	277	64	226	501	318	233
ENSPPYG00000003387	95	31	113	93	25	56	141	46	103
ENSPPYG00000019062	46	31	89	36	21	99	109	35	79
ENSPPYG00000011774	477	198	235	382	156	541	543	591	479
