Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1	Testis_Male2
ENSMMUG00000015659	106	379	137	92	118	126	106	95	82	67	239	313	108
blastnHuman.Locus_174899	0	0	0	0	0	0	0	0	0	0	0	1	0
blastnGorilla.Locus_195543	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMMUG00000022091	240	985	234	442	323	247	243	213	203	150	151	4926	2153
ENSMMUG00000010293	13	40	17	25	19	5	33	11	8	16	49	127	45
ENSMMUG00000015215	141	746	347	100	176	16	20	187	87	230	889	610	212
Locus_60321	0	0	0	0	0	1	1	0	0	0	0	1801	989
ENSMMUG00000016062	1	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_77362	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMMUG00000021126	2	4	0	5	0	69	796	16	17	0	0	144	33
Locus_246095	0	1	0	0	0	1	1	1	0	1	0	0	0
blastnPan.CUFF.134007	3	1	0	1	2	0	1	0	0	0	0	8	1
blastnMouse.ENSMUSG00000006462	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMMUG00000015582	226	922	367	92	200	67	123	218	108	88	1205	4055	828
ENSMMUG00000023025	5612	18834	10195	2500	3641	25	24	11	11	6	9	164	31
blastnMouse.Locus_3279	1	2	1	2	2	1	1	0	0	0	0	6	0
ENSMMUG00000020048	77	354	117	128	87	44	40	37	38	6	3	3212	1032
blastnHuman.Locus_70132	0	1	1	0	0	0	0	6	12	0	0	1	0
blastnGorilla.Locus_159577	1	1	0	0	0	0	1	0	0	0	0	0	0
ENSMMUG00000010066	105	269	160	77	42	10	30	26	39	113	57	440	144
Locus_339713	1	13	6	0	1	1	3	0	2	0	0	12	2
blastnHuman.ENSG00000235533	0	0	0	0	0	0	0	0	2	0	0	0	0
ENSMMUG00000008956	2	10	2	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000030818	1	1	1	1	1	0	1	0	4	1	0	18	7
ENSMMUG00000009317	152	371	277	88	119	126	164	171	132	93	144	967	286
ENSMMUG00000007727	118	344	120	180	134	79	94	103	141	91	91	3289	1084
ENSMMUG00000009472	127	445	166	66	41	144	172	51	51	19	17	1359	717
blastnHuman.Locus_37759	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000020527	469	1772	698	383	494	603	557	731	574	867	3256	1616	277
ENSMMUG00000030802	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_464291	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.171495	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015264	11	48	17	27	31	6	7	13	13	2	2	35	7
Locus_140411	0	0	0	0	0	0	0	0	0	0	0	21	66
Locus_450142	1	1	0	1	1	2	2	0	2	1	2	22	4
ENSMMUG00000007756	551	1850	1070	299	309	133	185	151	145	148	246	271	88
Locus_475188	0	0	0	0	0	0	0	0	0	0	0	5	0
ENSMMUG00000005597	448	1314	479	549	636	237	245	234	215	207	402	2042	1060
ENSMMUG00000015813	8	38	6	4	3	0	3	1	0	1	1	265	40
ENSMMUG00000000665	0	9	2	1	0	0	0	2	6	149	519	3	2
ENSMMUG00000018843	108	258	123	98	80	58	87	54	38	26	27	119	38
Locus_40782	0	2	0	6	4	0	0	2	2	1	0	5	3
ENSMMUG00000008756	0	0	0	0	0	0	0	0	0	0	0	3	1
blastnGorilla.Locus_338295	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_190514	1	2	0	1	1	1	1	0	2	0	1	0	0
blastnHuman.ENSG00000227498	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000018468	434	1440	563	709	428	244	177	231	237	265	158	22530	9847
ENSMMUG00000008266	0	0	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000253205	1	1	1	0	1	0	0	0	0	0	0	4	0
ENSMMUG00000029827	45	87	54	39	45	147	318	410	367	268	294	305	78
Locus_273977	0	0	0	0	0	0	0	0	0	0	0	38	7
ENSMMUG00000004664	27	94	53	74	32	30	27	20	17	16	11	310	109
