Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
ENSGALG00000016836	195	120	465	206	244	77	50	96	91	135	54	1465	511	1277	1867	5995
ENSGALG00000019987	550	388	918	475	584	1	3	9	4	1	2	124	44	530	255	986
ENSGALG00000001915	173	145	1024	152	228	31	25	369	266	1003	578	14138	3169	15	38	202
ENSGALG00000009439	165	112	264	219	259	0	1	9	22	0	0	18	49	78	80	275
Locus_127563	0	1	0	0	0	0	0	0	0	0	0	3	0	2	11	9
ENSGALG00000003492	495	294	908	439	572	213	212	666	423	535	725	2646	998	763	501	1352
ENSGALG00000010923	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
blastnMouse.ENSMUSG00000084810	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSGALG00000017394	27	23	61	55	54	12	6	122	138	180	370	115	84	25	37	100
ENSGALG00000022621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSGALG00000020969	10	3	8	90	252	11	4	6	4	2	4	86	92	26	78	37
Locus_65238	0	0	0	1	0	0	0	1	0	0	1	1	0	33	10	29
ENSGALG00000005265	1185	868	3442	1362	1492	15	22	38	25	4	1	132	210	313	447	1770
ENSGALG00000009572	30	21	142	89	81	3	8	1	1	1	0	14	2	78	62	566
ENSGALG00000016148	294	207	375	891	874	68	42	340	355	83	128	2717	785	204	257	530
ENSGALG00000019390	57	49	127	53	54	1	1	1	1	1	0	0	0	7	5	28
ENSGALG00000010110	238	168	85	179	191	19	18	135	174	151	261	126	213	1430	718	445
ENSGALG00000006819	48	36	78	17	16	189	108	58	48	5	0	178	17	44	70	188
ENSGALG00000012079	117	98	1405	124	157	16	11	223	106	183	42	8056	598	40	156	1128
ENSGALG00000004132	16	10	108	38	63	42	25	42	50	52	35	972	199	1158	1901	13642
ENSGALG00000003273	181	148	431	181	167	34	22	136	96	211	114	1121	483	206	232	732
ENSGALG00000018366	13593	6742	10594	14642	13117	41963	19948	21308	13422	24106	11444	5345	3126	2686	8821	3743
ENSGALG00000006717	159	121	315	9	13	3	3	873	797	1	1	2159	263	32	32	93
Locus_19552	0	0	0	0	0	0	0	1	1	0	0	0	0	7	4	22
Locus_80171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6
Locus_127344	2	0	0	1	0	0	0	0	0	0	0	0	0	4	10	10
ENSGALG00000005689	1	1	0	98	107	0	2	2400	1666	0	0	7727	3162	6	6	16
ENSGALG00000016358	256	200	281	163	181	246	227	28	44	7	9	179	104	146	137	168
ENSGALG00000001978	394	244	333	318	333	192	120	199	269	167	234	1579	1105	693	317	569
blastnMouse.ENSMUSG00000087626	0	0	0	0	0	1	0	12	2	0	0	17	5	0	0	0
CUFF.132302	9	0	0	7	0	3	0	6	0	9	0	72	51	0	2	1
ENSGALG00000010901	719	617	6633	672	1010	1	1	1963	1885	6	3	947	245	235	309	3117
ENSGALG00000015128	2197	1147	2986	1197	1527	1	7	40	20	1	0	5	4	7	9	30
ENSGALG00000005499	44	32	144	119	141	31	39	13	16	0	2	1092	167	84	123	433
CUFF.59666	0	1	0	0	1	0	0	0	1	1	0	0	0	1	2	7
Locus_127784	0	0	1	0	0	0	0	0	0	1	0	0	0	4	3	14
Locus_99215	3	5	5	3	1	0	1	2	0	1	1	2	0	9	8	9
CUFF.163912	2	0	3	0	0	0	0	0	0	0	0	0	0	2	1	5
ENSGALG00000001096	164	187	779	90	190	464	1401	251	302	374	828	789	223	562	142	1271
CUFF.220187	0	0	0	0	1	0	0	0	0	0	0	0	0	3	6	50
ENSGALG00000007929	402	299	1605	617	821	24	20	30	17	14	10	7633	1035	678	682	3488
Locus_28988	0	1	2	1	0	1	2	2	0	0	0	8	1	12	5	23
ENSGALG00000001992	10032	6324	17798	8890	10425	3704	5735	2020	1817	584	584	19688	6250	11481	7935	18192
ENSGALG00000017280	776	383	1645	1017	1146	5	6	3	3	0	0	25	6	62	80	278
ENSGALG00000017714	28	34	88	26	57	0	0	20	23	4	11	14735	739	205	281	2117
ENSGALG00000011331	331	215	736	185	182	218	204	8079	6663	1724	2755	6514	2418	687	821	2331
ENSGALG00000000800	199	121	463	144	197	97	70	178	154	115	73	1974	729	570	277	1580
Locus_20003	0	2	0	4	3	0	0	0	0	0	0	7	5	35	30	81
ENSGALG00000015309	16	5	34	0	0	0	1	0	1	0	0	0	0	24	14	27
