Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
ENSGALG00000009623	2	0	7	0	2	0	1	1	0	0	0	84	27	1986	334	831
ENSGALG00000008067	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSGALG00000008372	569	382	1576	545	676	349	232	487	362	395	299	9743	3073	854	1038	4287
CUFF.264046	2	3	7	0	1	0	0	1	0	1	0	1	0	2	6	8
ENSGALG00000015952	496	271	597	159	172	4	7	24	17	9	7	53	56	293	152	384
ENSGALG00000001312	476	373	1398	292	519	230	205	355	297	479	246	3891	1938	532	273	2329
ENSGALG00000006384	52	342	2307	37	733	132	71	88	82	444	97	84838	9215	4	54	794
ENSGALG00000005027	2555	1404	4339	1849	2643	444	550	857	715	530	647	7753	1883	5138	3199	10761
ENSGALG00000010052	144	67	468	108	139	79	46	67	78	92	80	1139	497	205	264	1689
Locus_87615	0	0	0	0	0	0	0	0	0	0	0	13	4	2	2	0
ENSGALG00000023937	24	12	9	27	22	13	11	39	21	21	21	88	68	40	20	39
ENSGALG00000009734	83	46	450	64	59	35	42	115	36	152	66	1208	193	78	102	668
CUFF.196301	0	0	0	0	0	1	0	0	0	0	0	0	0	8	13	46
Locus_50232	1	1	0	2	3	0	0	0	0	0	0	276	11	0	0	3
ENSGALG00000005410	72	39	276	6	13	37	25	77	80	8	23	3738	568	325	349	1226
ENSGALG00000010346	511	309	1055	367	526	151	158	69	111	68	178	2223	1317	63	143	324
Locus_48640	4	8	5	1	1	0	0	0	2	0	1	1357	333	26	16	80
ENSGALG00000015466	0	0	0	0	1	0	0	508	495	0	0	0	0	17	2	4
ENSGALG00000002655	229	139	504	409	566	132	128	384	353	359	157	10880	1716	349	471	2274
ENSGALG00000008200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000010206	21	9	205	14	19	7	6	38	55	39	10	2882	107	388	1899	19560
ENSGALG00000012396	2	1	0	0	1	2	1	2	1	1	6	21	30	5	1	2
Locus_88315	2	0	1	2	0	0	0	0	0	0	1	5	2	3	5	37
ENSGALG00000014956	81	89	686	103	239	38	36	52	81	98	58	2853	588	135	316	2282
ENSGALG00000008750	209	151	322	181	273	165	185	308	288	338	371	2243	1353	285	235	606
ENSGALG00000001895	616	343	1092	483	635	115	146	460	338	639	296	2165	666	653	843	2904
ENSGALG00000005703	21	46	172	13	42	49	39	14	49	28	51	241	72	87	71	248
ENSGALG00000019505	0	3	0	2	2	0	1	1	2	0	1	0	1	25	18	10
ENSGALG00000006837	179	127	165	850	981	139	135	140	143	114	185	795	999	89	139	172
ENSGALG00000014643	787	485	2641	776	813	357	206	700	512	434	265	13374	1761	1203	1771	8526
ENSGALG00000005282	665	536	2568	2084	2812	642	283	768	453	531	125	26448	7759	494	1482	7787
ENSGALG00000005452	227	158	918	157	201	150	122	90	61	229	171	1352	342	1178	785	5482
Locus_80054	0	0	0	0	0	0	0	0	0	1	0	0	1	5	11	12
ENSGALG00000016611	475	333	1037	551	696	700	621	479	418	214	203	8552	2509	449	544	2396
ENSGALG00000003885	12	9	6	7	19	4	15	46	12	10	19	63	188	29	11	5
ENSGALG00000011241	932	627	2202	111	104	55	33	102	98	219	306	2245	1114	1250	1252	3542
ENSGALG00000023653	43	37	64	31	55	21	13	77	37	49	39	642	342	144	95	391
ENSGALG00000004829	3903	1939	4519	4554	4261	121	118	12	20	1	0	2994	622	256	399	936
ENSGALG00000023657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_5292	0	0	0	0	0	1	0	1	1	0	0	20	0	113	30	41
ENSGALG00000003519	0	0	0	0	0	2	0	1	0	15	17	0	2	20	20	35
CUFF.26771	3	3	9	1	0	0	0	0	0	0	0	20	0	9	4	19
Locus_19968	1	0	0	0	0	0	1	0	0	0	0	0	0	55	17	31
ENSGALG00000012236	4	2	17	2	7	2	4	7	3	1	2	54	29	301	271	697
Locus_50281	2	3	19	0	0	0	0	0	0	0	0	0	0	0	0	1
CUFF.70762	2	2	7	10	10	0	1	0	0	1	0	0	2	4	12	13
ENSGALG00000021416	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	6
ENSGALG00000005060	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0
CUFF.18951	0	0	0	0	1	0	0	0	0	0	0	0	0	5	8	23
ENSGALG00000002083	0	0	0	0	0	0	0	0	0	0	0	0	0	96	43	129
ENSGALG00000015108	79	100	684	90	170	24	34	28	26	27	31	625	111	139	263	1469
ENSGALG00000005753	297	249	1220	281	363	200	214	306	341	308	314	4708	1365	1769	1988	8571
ENSGALG00000017291	308	187	231	694	722	37	23	19	19	29	22	592	314	4	8	14
ENSGALG00000001865	194	227	924	175	402	112	114	142	132	127	136	1172	314	215	255	1081
ENSGALG00000020741	261	144	248	102	163	99	114	347	301	144	291	1411	574	1540	816	1597
ENSGALG00000004517	16	11	14	5	21	11	14	110	99	44	112	467	221	61	38	86
ENSGALG00000005512	908	701	2842	668	1155	710	728	925	893	1745	1754	28987	4516	1752	2854	13062
blastnGorilla.CUFF.217954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUFF.12048	0	0	0	0	0	0	0	0	0	0	0	0	0	20	22	11
Locus_28942	1	2	26	1	1	0	0	24	14	16	7	37	6	6	12	110
ENSGALG00000002527	342	192	265	401	364	92	81	110	120	230	167	535	315	221	208	308
ENSGALG00000014837	100	51	103	62	117	11	25	44	46	6	1	213	110	14	9	21
ENSGALG00000004888	585	248	525	116	309	91	154	178	55	167	305	978	535	290	133	166
ENSGALG00000004594	3711	3676	4304	2384	5047	8486	6321	7553	8478	10588	10928	65894	75750	1972	1590	2994
Locus_102722	0	5	6	2	6	0	0	0	0	0	0	8	0	0	1	5
ENSGALG00000003720	40	18	100	33	30	33	10	37	21	19	15	404	164	892	963	3865
ENSGALG00000005192	6	11	4	1	10	10	11	28	44	16	48	53	303	17	7	7
ENSGALG00000015617	1049	951	1552	456	1701	1013	2372	3990	3429	1236	6444	5817	5777	7242	1649	5953
Locus_110013	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	79
CUFF.236513	0	0	0	0	0	1	2	0	0	0	0	1	1	3	1	4
ENSGALG00000022605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000016187	146	103	593	152	205	82	43	110	78	133	76	1985	438	246	342	2029
ENSGALG00000006160	206	95	159	94	259	40	111	370	126	115	354	1132	946	2265	702	1291
ENSGALG00000003625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSGALG00000011393	583	314	746	473	530	153	198	450	339	183	376	2787	726	1612	596	2256
ENSGALG00000004244	278	170	518	198	317	91	65	140	122	123	112	3728	1136	522	627	2006
ENSGALG00000000430	221	169	388	249	295	130	119	135	122	420	175	2237	577	708	1369	3587
ENSGALG00000015485	97	59	180	172	195	66	66	293	251	212	265	1685	618	292	223	864
ENSGALG00000023000	0	0	0	0	0	0	0	0	0	0	0	0	0	94	65	157
ENSGALG00000004304	771	482	1823	685	804	464	416	356	405	247	211	8020	3487	831	960	2838
ENSGALG00000010598	36	20	62	99	105	0	0	0	0	1	5	28	15	57	69	213
ENSGALG00000024182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000010502	216	134	345	88	115	51	45	94	58	31	19	5060	1216	1795	2159	6455
CUFF.68561	0	0	0	0	0	0	0	0	0	0	0	4	2	16	21	51
Locus_66209	0	0	0	0	0	0	0	0	0	0	0	3	1	1	9	196
Locus_119186	0	0	0	0	0	0	0	0	0	0	0	38	8	0	0	0
ENSGALG00000011387	872	575	2145	817	961	813	598	917	1126	861	547	10697	3803	1222	1417	5923
ENSGALG00000013175	16	21	44	4	19	4	6	16	6	10	5	147	129	14	70	115
ENSGALG00000007015	22	27	23	21	36	59	69	128	113	76	206	599	345	113	40	104
ENSGALG00000017004	49	53	235	38	61	13	15	45	14	42	16	856	218	443	552	4525
Locus_50448	0	0	0	0	1	0	0	0	0	1	0	2	1	8	9	28
ENSGALG00000016843	667	342	1362	1809	2743	2000	1616	2487	1973	324	340	3935	1833	276	269	723
ENSGALG00000008291	405	259	451	264	527	231	376	576	324	178	592	2601	1639	406	151	382
Locus_118116	0	0	1	0	0	0	0	1	0	0	0	20	3	3	13	69
Locus_99171	1	3	3	42	61	0	2	0	0	0	0	2	3	0	1	1
ENSGALG00000001664	146	116	91	22	89	25	86	63	59	49	200	160	181	929	182	269
ENSGALG00000002318	1	4	10	5	7	2	2	6	8	2	0	8490	9614	13	42	158
ENSGALG00000002155	118	61	520	36	50	39	34	112	99	238	370	1009	140	88	70	556
ENSGALG00000008058	702	408	2377	480	597	93	90	84	39	101	37	2520	455	131	345	1245
ENSGALG00000001233	23	16	65	6	21	24	29	27	24	30	19	196	82	42	130	219
ENSGALG00000001006	13	11	22	13	16	6	5	17	11	21	11	1536	411	279	161	445
blastnMouse.Locus_3279	0	0	0	0	0	0	0	2	1	0	0	5	0	1	7	14
ENSGALG00000014226	130	95	364	127	151	34	25	152	166	421	223	2574	589	1132	1464	3265
ENSGALG00000009332	476	330	5122	638	753	317	136	1293	317	609	210	27124	2266	410	1892	14447
ENSGALG00000001848	256	147	328	255	272	190	184	274	318	338	388	2472	1079	965	782	1276
ENSGALG00000012921	77	42	112	112	141	76	76	261	209	154	131	3456	1291	159	246	458
ENSGALG00000012222	2041	1350	5577	2336	2453	192	146	698	667	591	486	4951	2028	397	406	879
ENSGALG00000001737	1133	683	9142	788	1069	470	267	650	346	687	230	28858	1974	629	2010	21768
ENSGALG00000002988	1310	648	712	322	665	9	24	7265	4679	11978	35919	48	22	215	60	48
ENSGALG00000016049	118	81	403	62	85	42	37	86	62	102	45	1819	400	203	228	1556
ENSGALG00000002522	1	2	5	42	160	117	343	169	164	89	254	4	6	15	7	27
ENSGALG00000004165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000000166	111	49	36	89	135	184	165	217	196	184	393	317	793	129	26	20
ENSGALG00000008043	2065	1199	1394	1567	2272	36	18	12	8	16	35	367	225	37	31	12
ENSGALG00000022384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_104893	3	2	0	6	5	3	2	4	1	11	3	5	1	140	113	113
Locus_109982	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	21
ENSGALG00000013754	148	102	160	111	135	120	175	95	114	290	166	965	581	126	94	193
ENSGALG00000009123	75	35	92	5	20	1	0	2	2	2	1	98	19	95	39	115
CUFF.143704	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	7
Locus_117237	26	19	133	31	35	6	1	3	7	3	1	143	41	6	15	80
ENSGALG00000010827	1656	1106	3139	1817	2883	177	128	317	327	331	263	10586	2848	898	1255	2912
ENSGALG00000021232	5	7	5	10	13	6	2	0	1	2	2	5	3	3	6	15
ENSGALG00000012953	743	416	1811	661	724	235	208	504	323	440	247	4751	755	2995	3980	13446
ENSGALG00000010241	152	124	264	137	289	38	19	166	87	49	56	2817	1078	326	265	403
Locus_20501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	12
Locus_102269	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4
ENSGALG00000024240	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000014303	329	153	320	216	321	70	91	496	251	153	461	2042	606	833	349	706
Locus_73583	10	9	7	14	11	14	3	14	13	10	9	120	8	9	4	17
ENSGALG00000015295	3	0	10	3	2	6	1	0	2	0	0	2315	343	2	0	8
ENSGALG00000015653	539	291	1195	203	214	202	263	22	15	308	384	800	247	727	738	2054
CUFF.37501	0	0	0	0	0	0	0	1	0	2	0	1	0	2	0	7
ENSGALG00000012550	208	163	81	168	345	27	37	472	349	4194	6468	1397	2471	34	41	45
ENSGALG00000004001	1231	675	3668	1130	1191	593	517	1424	819	1994	1463	15567	1637	736	1152	4361
Locus_49657	2	0	0	0	0	0	1	0	0	0	0	3	5	34	48	108
blastnMouse.CUFF.110475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000009932	134	86	328	117	145	53	47	235	237	49	27	3994	1415	139	223	658
ENSGALG00000011574	589	466	718	558	687	291	238	229	250	196	155	1649	1114	316	203	616
ENSGALG00000018565	385	506	893	346	771	91	100	212	397	212	164	1064	980	197	451	543
ENSGALG00000011990	91	87	783	95	146	95	66	81	74	53	18	4052	327	120	236	2408
ENSGALG00000003894	57	21	21	5524	7223	0	3	95	48	0	0	14	60	451	399	765
ENSGALG00000007806	17	7	75	15	16	3	1	0	0	0	0	39	22	162	174	852
ENSGALG00000005770	293	167	412	319	373	130	108	257	160	202	147	2149	787	342	292	664
ENSGALG00000004554	335	270	1401	407	541	414	187	322	230	396	210	3474	1143	174	559	2186
ENSGALG00000004660	57	51	202	75	130	14	5	19	12	5	6	328	143	62	133	797
ENSGALG00000002646	783	460	1211	1068	1158	2	4	3	9	3	1	400	118	670	1148	2572
ENSGALG00000019142	274	126	497	101	179	80	111	139	48	81	78	740	262	410	297	1198
Locus_99536	0	0	0	0	0	0	0	0	0	0	0	0	0	4	28	38
ENSGALG00000008544	501	351	1522	188	226	1341	1959	199	307	10	8	453	107	32	39	125
CUFF.187615	0	0	0	0	0	0	0	0	0	0	0	0	0	6	9	10
ENSGALG00000023231	1	0	0	0	2	0	0	2	0	7	7	2	0	6	2	0
ENSGALG00000016631	299	256	304	192	230	66	67	142	152	107	130	609	664	1514	1463	1410
ENSGALG00000010486	605	359	1422	432	725	0	0	66	23	0	3	83	11	31	41	42
blastnHuman.ENSG00000253205	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3
Locus_97703	0	0	1	0	0	1	0	1	0	0	0	5	1	2	9	15
ENSGALG00000006680	152	100	254	77	107	118	175	5257	6383	3637	6312	825	245	376	342	1059
Locus_66061	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	8
ENSGALG00000022497	55	37	281	54	70	74	39	266	99	118	71	2244	127	443	577	2372
CUFF.139693	0	0	0	0	0	0	0	1	0	0	0	0	0	25	8	47
ENSGALG00000015579	4	14	55	8	18	2	2	7	4	112	133	57	37	56	67	273
ENSGALG00000010716	148	87	279	103	100	103	141	435	339	357	354	4284	1610	573	589	1117
ENSGALG00000024485	36	26	85	17	54	16	22	57	40	147	161	372	256	127	101	208
blastnMouse.ENSMUSG00000091106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSGALG00000013922	44	69	18	8	75	3	3	6	18	1256	159	63	715	120	10	8
ENSGALG00000023225	4	2	2	1	7	5	12	50	17	17	43	29	89	208	129	96
ENSGALG00000003414	1129	604	560	578	744	753	1021	1217	976	634	1662	1753	1995	873	215	308
ENSGALG00000010892	130	97	286	219	332	566	260	813	537	1279	657	4911	3280	162	252	916
CUFF.139810	1	0	0	0	0	0	0	1	0	0	0	1	0	0	5	2
Locus_46224	0	0	0	0	0	0	0	0	0	0	0	0	0	47	12	17
Locus_127620	0	0	2	2	1	0	0	0	0	0	0	5	0	5	6	25
ENSGALG00000006034	915	578	1362	543	575	138	106	100	95	39	19	1034	412	237	222	795
Locus_117772	0	0	0	0	2	0	0	0	0	0	0	2	0	9	17	20
ENSGALG00000001334	4519	3182	8332	3318	3735	955	568	1489	1408	1241	714	12465	7991	1153	1684	4212
ENSGALG00000024381	0	0	0	0	1	0	2	0	0	0	0	2	0	38	18	37
ENSGALG00000004394	199	65	75	122	142	4	1	17	10	14	12	81	47	120	100	73
ENSGALG00000005791	921	424	1036	496	726	30	29	11	3	4	5	185	83	9	10	18
ENSGALG00000016807	194	170	297	260	374	317	285	86	142	125	68	978	782	64	134	323
blastnOpossum.Locus_421117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000012303	4	0	0	107	145	11	5	0	2	0	0	1	0	10	10	19
ENSGALG00000005733	1	2	1	4	2	2	0	2	2	9	4	9	4	10	3	11
ENSGALG00000000639	1450	803	951	280	396	1	5	139	35	0	9	2	2	35	14	31
ENSGALG00000005049	46	27	63	22	43	170	194	131	80	96	197	499	281	45	14	46
Locus_65751	0	0	0	0	0	0	0	0	0	0	0	0	0	32	17	25
ENSGALG00000002797	508	333	1126	458	528	298	230	880	790	365	341	5219	2016	587	682	2197
ENSGALG00000000766	123	68	2777	99	99	47	40	100	28	77	29	8064	207	40	175	5637
Locus_21872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11
CUFF.236466	0	0	0	0	0	0	1	0	1	0	0	5	0	0	2	1
ENSGALG00000017604	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1
ENSGALG00000005087	1	1	3	2	1	2	0	167	94	7	18	454	171	27	15	33
ENSGALG00000022533	0	0	0	0	0	1	0	0	0	0	0	10	1	0	0	1
ENSGALG00000006358	98	63	101	68	90	13	17	9	13	788	333	133	45	35	33	53
ENSGALG00000016931	14	8	33	18	11	13	3	4	5	4	1	165	59	418	511	2077
Locus_18993	0	1	0	0	0	0	0	0	0	0	0	0	0	15	23	128
ENSGALG00000023217	0	2	0	0	0	1	0	9	2	2	12	10	9	1	2	2
ENSGALG00000014729	1	6	20	0	3	2	1	1	6	2	2	213	44	126	211	965
Locus_7098	1	1	0	0	2	0	1	3	3	11	37	11	13	3	1	4
ENSGALG00000015305	60	60	83	7	7	1	1	0	0	0	2	9	2	10	13	26
ENSGALG00000000362	1817	775	1028	345	477	191	222	106	84	35	71	534	351	430	156	313
Locus_63587	5	7	12	0	1	0	0	0	0	0	0	160	49	41	82	244
ENSGALG00000016919	38	26	56	5	25	4	2	5	10	50	74	42	66	38	44	135
ENSGALG00000007539	1	1	7	4	10	2	1	23	16	5	4	80	39	9	8	21
ENSGALG00000003490	47	42	66	31	69	15	13	14	19	16	17	185	111	89	40	44
CUFF.95779	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	6
Locus_118796	0	0	2	0	0	0	0	0	0	5	5	0	0	0	0	0
CUFF.128078	2	0	2	1	1	1	5	1	0	3	2	4	3	7	1	3
ENSGALG00000022447	99	53	15	52	99	39	54	313	96	92	142	98	514	319	286	26
blastnPlatypus.Locus_41980	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000005958	119	23	86	116	35	19	4	35	12	21	4	432	77	168	196	299
CUFF.72857	0	1	1	0	0	0	0	0	0	0	0	0	0	7	4	10
ENSGALG00000003265	330	252	642	236	312	670	601	564	585	994	829	3772	1840	2077	3194	5705
ENSGALG00000013647	69	36	130	55	49	78	34	103	38	122	48	1387	491	247	490	1456
ENSGALG00000007449	44	27	60	46	40	20	13	37	30	30	13	315	88	79	122	216
ENSGALG00000011335	20	21	51	18	46	18	16	47	32	71	64	137	40	116	30	217
ENSGALG00000006342	64	31	135	51	83	50	26	147	92	80	57	2442	517	57	48	348
ENSGALG00000006277	198	107	187	200	219	216	127	191	213	135	141	1049	599	1176	901	2006
ENSGALG00000008857	149	123	272	146	195	147	129	367	244	223	213	2063	1174	406	372	840
ENSGALG00000006723	471	222	908	308	348	41	58	50	29	416	1589	256	105	2022	1811	5068
ENSGALG00000004999	754	477	3223	284	370	200	160	328	245	283	211	5106	1075	336	306	1698
Locus_77394	2	0	3	1	1	2	0	15	6	17	6	150	17	57	58	372
ENSGALG00000022047	3	2	0	1	3	0	0	1	2	1	1	2	4	1	2	3
ENSGALG00000023040	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
ENSGALG00000016891	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
CUFF.139664	0	0	0	0	0	0	0	1	0	0	0	10	4	5	2	1
ENSGALG00000014936	282	222	777	290	334	143	97	198	166	449	217	8274	2202	1127	2372	9262
ENSGALG00000003251	532	450	1625	793	1276	1008	1183	873	1424	742	1027	16815	3075	2004	3830	9904
ENSGALG00000005150	121	56	154	55	101	44	61	204	73	142	191	1063	627	463	298	830
ENSGALG00000015424	783	449	2079	181	219	114	168	26	16	28	19	716	271	217	253	1296
ENSGALG00000018700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000008354	64	38	53	44	46	25	30	99	82	76	133	106	94	372	216	217
Locus_118666	0	0	0	0	0	5	8	0	0	0	0	0	0	0	0	1
ENSGALG00000016463	1347	993	4095	280	464	101	70	186	152	235	94	3915	2705	138	312	1396
ENSGALG00000006669	1	1	2	1	1	0	0	5	2	0	0	21	9	14	8	7
ENSGALG00000015025	64	46	101	74	109	52	45	229	226	94	68	1729	330	128	105	255
ENSGALG00000006188	101	61	209	48	80	83	62	699	500	280	164	1983	1000	182	402	1429
ENSGALG00000007821	543	343	1461	576	582	871	923	966	779	1003	754	4273	1222	1175	1157	3971
ENSGALG00000019026	0	25	0	2	1	1	1	2	0	0	0	0	2	6	0	2
ENSGALG00000016554	1	4	15	10	12	0	0	309	226	57	75	13	2	49	78	382
ENSGALG00000022382	39	19	41	17	42	32	49	119	36	211	81	967	395	15	14	19
ENSGALG00000014687	3	0	6	3	7	2	2	53	39	8	3	1095	247	323	275	904
CUFF.248538	3	8	8	2	5	4	12	15	7	109	283	36	31	94	67	143
ENSGALG00000004280	0	0	0	0	0	11	6	114	77	89	87	564	134	118	102	209
ENSGALG00000008602	278	296	943	271	529	0	0	0	0	0	0	32	12	9	42	161
ENSGALG00000012338	53	26	156	45	73	140	89	1198	636	501	151	5502	1282	80	74	363
ENSGALG00000002199	105	83	113	225	299	18	20	46	33	23	24	186	131	79	31	61
ENSGALG00000008527	462	333	1056	340	528	107	165	161	144	105	50	1594	542	358	471	1621
ENSGALG00000004482	47	21	25	11	30	13	16	87	58	4	31	84	122	24	10	12
Locus_127348	4	1	23	0	1	0	0	0	0	0	0	2	0	0	0	0
ENSGALG00000023308	59	18	12	17	36	8	40	44	20	32	148	19	128	148	21	18
ENSGALG00000016238	587	375	516	707	720	284	240	397	416	368	373	2382	1515	1112	998	1594
Locus_64840	8	4	0	3	11	6	8	19	6	8	23	7	58	19	5	2
ENSGALG00000008135	633	249	1468	5	6	1	1	282	208	3	0	15	5	196	296	604
ENSGALG00000015775	410	256	988	335	448	173	167	119	117	193	551	2559	1103	2334	1786	7363
Locus_104940	1	0	2	1	1	0	0	0	1	1	0	16	3	1	4	57
ENSGALG00000004881	0	0	0	0	0	0	0	0	0	0	0	137	0	3	7	0
CUFF.95880	1	1	16	0	2	1	1	0	0	0	0	39	3	9	10	90
ENSGALG00000012909	118	72	116	123	103	67	49	90	49	82	40	520	358	432	316	816
Locus_105116	2	0	2	5	3	1	1	3	1	0	3	3	1	48	61	97
ENSGALG00000001791	78	40	171	31	43	102	115	231	143	348	974	763	250	458	124	1153
ENSGALG00000006101	92	98	349	161	166	87	52	241	150	170	99	2189	872	394	686	2053
ENSGALG00000019213	72	40	100	52	76	245	419	108	245	90	137	692	258	43	31	92
ENSGALG00000013552	417	233	436	402	619	575	556	568	601	448	527	3823	1196	7458	4450	8537
ENSGALG00000004687	3	8	17	3	6	6	1	4	2	1	3	69	73	105	110	373
Locus_80374	10	7	75	25	14	3	0	18	16	11	9	74	16	4	3	19
ENSGALG00000015810	15	18	79	13	33	3	0	69	21	2	2	3761	494	1238	1503	12311
CUFF.71848	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	17
ENSGALG00000023866	4	4	5	11	10	6	10	17	15	64	213	22	25	33	8	11
blastnMacaque.Locus_289498	0	0	0	0	3	1	0	0	0	0	0	1	1	0	0	0
ENSGALG00000022348	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSGALG00000007684	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSGALG00000008087	0	1	0	0	0	0	0	0	0	0	0	1	0	60	26	56
ENSGALG00000015189	67	59	19	5	16	4	0	112	248	195	1055	240	474	3563	1627	1253
ENSGALG00000016426	16	15	13	2	0	237	83	644	443	0	2	114	30	49	82	164
blastnHuman.Locus_159237	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Locus_117474	1	0	0	3	0	0	0	0	0	0	0	3	1	18	12	28
ENSGALG00000009415	146	80	174	34	33	0	3	7	1	2	0	584	113	200	164	582
blastnOpossum.Locus_317445	0	0	0	0	0	0	1	0	1	1	0	5	1	0	0	0
Locus_50303	1	0	0	1	0	0	1	0	0	0	0	0	0	31	7	19
ENSGALG00000005269	483	374	1457	414	557	210	179	588	512	573	429	6621	2208	465	447	1929
ENSGALG00000024321	30	9	21	12	10	32	31	74	38	10	8	32	30	443	332	557
ENSGALG00000001505	9019	4550	15072	905	1156	23	41	13	11	904	1563	195	41	972	670	2203
ENSGALG00000016881	10	14	16	9	16	7	3	9	28	15	6	188	390	6	7	19
ENSGALG00000020253	19	8	679	20	18	25	5	17	2	22	3	8749	119	62	862	20333
ENSGALG00000009917	190	119	206	156	198	147	165	154	131	161	164	463	474	682	515	1094
ENSGALG00000017041	140	88	268	15	17	14	15	179	92	12	5	271	66	96	89	343
ENSGALG00000011660	95	60	212	112	131	37	22	52	46	52	31	886	204	70	89	520
ENSGALG00000014943	164	106	1483	149	316	1	0	30	11	0	1	3139	103	70	168	1766
ENSGALG00000009384	300	199	565	263	358	175	150	157	205	104	50	2938	1158	330	579	1356
Locus_19104	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15	25
blastnHuman.ENSG00000254010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSGALG00000006705	66	35	106	47	54	184	105	30	23	8	4	25375	4454	174	574	1068
ENSGALG00000004197	120	93	256	121	139	155	139	195	205	163	227	1737	689	650	589	2237
Locus_127781	15	26	98	0	2	0	0	0	0	0	0	1	0	0	3	6
ENSGALG00000002639	868	623	4587	758	887	133	104	115	111	99	36	4893	1260	216	382	2750
ENSGALG00000013677	635	412	574	497	681	150	151	333	335	357	521	1660	953	1455	1157	2179
ENSGALG00000017053	428	303	924	509	679	149	162	212	190	275	157	2782	678	161	213	1038
Locus_69153	1	0	0	0	0	0	0	0	1	0	0	16	2	1	4	13
ENSGALG00000008735	0	2	16	1	3	4	2	7	3	11	5	232	33	108	191	1064
ENSGALG00000013452	295	230	1632	315	387	188	110	420	295	638	321	13821	3455	392	896	5029
ENSGALG00000017426	38	20	2	39	54	14	15	49	29	15	39	27	88	163	47	27
Locus_99826	0	2	3	5	2	0	0	0	0	0	0	2	0	1	0	1
ENSGALG00000006978	69	30	162	81	71	145	70	136	89	101	24	2832	543	73	116	768
ENSGALG00000023446	7	10	5	5	13	2	6	18	7	9	29	23	20	24	3	3
Locus_49043	0	0	0	3	0	0	0	1	0	0	0	2	0	38	24	40
ENSGALG00000005596	121	85	507	116	138	89	71	256	169	120	70	4505	768	208	360	2437
ENSGALG00000004717	837	413	255	455	796	2127	3729	1131	1003	906	2537	434	1079	3255	885	490
CUFF.183456	1	0	1	1	1	0	1	0	0	0	0	4	3	0	1	1
Locus_49412	4	5	36	0	0	1	0	1	0	0	1	143	11	0	0	1
ENSGALG00000012204	4	5	9	1	10	4	4	4	7	1465	14	139	69	183	85	155
Locus_46850	1	3	7	2	10	8	5	4	3	0	1	5	14	7	1	3
ENSGALG00000001640	8	6	3	1	5	29	22	66	26	5	21	183	256	67	22	50
ENSGALG00000004623	207	172	504	28	63	300	335	873	709	437	355	3215	1950	925	801	2319
Locus_104964	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10	101
Locus_118757	0	0	0	0	0	0	1	0	1	0	1	1	0	150	49	13
ENSGALG00000006479	80	36	16	170	278	62	94	55	39	8	66	18	51	41	18	22
