Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
ENSGGOG00000006381	11.62	17.35	9.75	26.71	10.6	13.27	70.3	62.68	51.59	73.52	4.29
Locus_59732	0.33	0.49	0.55	0.86	0.29	0	0	0.19	0.27	0.21	3.39
ENSGGOG00000003217	0.2	0.07	0.34	0.35	0.18	0.25	17.58	45.94	176.84	37.57	0.01
ENSGGOG00000028090	8.9	11.26	13.16	19.04	11.19	9.05	12.87	11.19	7.99	8.59	4.22
ENSGGOG00000003548	8.68	8.87	23.72	13.04	2.19	4.04	3.32	2.76	2.82	2.88	5.06
ENSGGOG00000011789	0.06	0.05	0	0	0.2	0	0.25	0.39	0.27	0.35	0.13
ENSGGOG00000010912	33.34	44.67	31.23	41.09	104.95	69.13	38.79	42.74	68.09	62.46	32.83
ENSGGOG00000009921	119.95	105.66	68.99	95.52	137.36	149.37	178.49	179.15	112.42	179.6	81.06
ENSGGOG00000005545	170.62	126.42	112.98	57.8	206.62	152.29	170.24	142.27	82.4	42.68	79.13
ENSGGOG00000023662	0	0	38.24	22.2	0	0	0	0	0	0	0.17
ENSGGOG00000005862	0.32	0.1	0	0.92	0.37	0	1.58	1.13	1363.8	837.17	4.52
blastnMouse.ENSMUSG00000020624	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000005535	21.74	20.04	20.23	9.71	32.57	18.37	11.88	10.79	16.56	7.73	31.08
Locus_73502	0	0.1	0.77	0	0	0	0	0	0.37	0	0.47
ENSGGOG00000023948	194.84	104.32	55.26	50.83	69.84	101.24	98	109.21	78.23	99.64	31.72
Locus_57136	0	0.09	0	0	0	0.95	0	0	0	0	1
ENSGGOG00000027834	0	0	0	0	0	0	0	0	0	0	0.02
blastnMacaque.Locus_115918	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000012903	0.14	0.04	0.1	0.1	7.18	3.39	0.97	0.94	6.35	2.72	1.09
blastnHuman.Locus_175134	0	0	0	0	0	0	0.49	0	0	0	0
ENSGGOG00000015067	20.24	16.45	23.82	18.18	28.05	23.09	18.07	15.67	20.93	15.8	54.53
ENSGGOG00000000074	74.39	66.12	82.9	43.32	85.83	61.74	102.63	62.37	65.53	35.86	125.27
blastnHuman.Locus_12698	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000001218	4.37	1.04	0.11	0	0	0	0	0	0.05	0.04	0.97
ENSGGOG00000010342	6.09	6.44	3.32	5.59	7.13	10.61	25.5	20.89	28.59	23.61	12.12
ENSGGOG00000017110	20.02	16.45	19.57	15.83	53.34	49.03	65.62	40.11	118.43	54.9	19.25
Locus_134045	0	0	0	0	0	0	0	0	0	0	0.28
ENSGGOG00000027497	13.22	11.17	9.67	5.24	7.76	3.46	5.42	4.62	4.81	2.99	3.88
Locus_196728	0	0	0.27	0	0	0	0.36	0	0	0	0.44
ENSGGOG00000014085	2.57	1.32	4.5	2.48	6.58	4.38	3.03	1.43	517.19	295.64	4.02
blastnHuman.ENSG00000245688	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000251145	0	0.03	0	0	0	0	0	0	0	0	0.01
ENSGGOG00000016328	66.2	55.69	13.86	7.36	38.72	11.27	6.37	4	4.21	5.47	1.16
ENSGGOG00000024154	0	0	0	0	0	0	0	0.36	0	0	0.07
blastnPan.Locus_176675	0	0	0	0	0	0	0	0	0	0	0.19
blastnMacaque.Locus_312887	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_47170	0	0	0	0	0	0	0	0	0	0	0.49
blastnMacaque.Locus_314500	0	0.29	0	0	0	0	0	0.25	0	0	0.1
Locus_225681	0	0.06	0	0	0	0	0.2	0	0	0	0.6
blastnHuman.ENSG00000240708	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000016122	6.18	6.11	14.03	9.67	0.86	1.98	8.5	6.65	3.46	1.08	5.47
ENSGGOG00000028051	0	0	0	0	0	0	0	0	0	0.85	0
ENSGGOG00000010254	0.25	0.11	0	0.07	0.21	0.19	0.06	0.02	0	0	5.3
ENSGGOG00000007181	6.47	7.66	5.71	5.55	8.25	21.35	23.94	24.19	14.29	13.19	16.24
blastnHuman.ENSG00000233835	0	0.28	0	0	0	0	0	0	0	0	0.14
ENSGGOG00000008537	24.76	15.2	0	0	0	0	43.75	27.17	11.25	1.35	1.06
blastnHuman.ENSG00000234705	0	0	0.28	0	0	0	0.74	0.29	0	0	0.06
Locus_133583	0	0	0	0	0	0	0	0.35	0	0	0.34
ENSGGOG00000012453	12.19	10.25	1.82	2.04	12.96	13.45	9.37	6.14	23.21	30.42	18.53
ENSGGOG00000013628	1.77	0.58	0.05	0.08	34.62	5.04	0.5	0.17	0.47	0.18	0.86
ENSGGOG00000027812	4.19	4.47	6.95	6.69	4.11	5.37	2.34	2.54	2.46	4.42	2.77
blastnMouse.ENSMUSG00000085338	0	0.44	0	0	0	0	0	0	0	0	0
ENSGGOG00000025048	0	0	0	0	0	0	0.26	0	0	0.22	0
ENSGGOG00000026747	15.98	22.56	11.74	13.22	9.73	7.36	19.47	44.75	33.98	36.47	20.56
blastnMacaque.Locus_100714	0.19	0	0	0.33	0	0	0.29	0	0	0.49	0.04
CUFF.98038	0	0	0	0	0	0	0	0	0	0	0.73
Locus_18105	0	0	0	0	0	0	0	0	0	0	0.75
ENSGGOG00000014736	21.55	17.11	13.73	16.78	6.59	11.33	14.86	9.59	4.16	6.53	9.36
ENSGGOG00000011057	10.51	12.12	9.44	8.24	19.9	10.43	11.65	14.04	14.86	14.31	9.63
ENSGGOG00000016661	0	0.02	0	0	0	0	0	0	0	0	0.02
ENSGGOG00000006668	45.27	40.8	35.46	21.24	90.01	76.54	55.6	41.3	48.72	31.86	33.9
ENSGGOG00000005081	4.07	3.62	7.21	9.95	13.19	20.85	7.1	6.15	4.89	7.51	2.89
blastnPan.CUFF.444640	0.06	0.12	0	0	0	0	0	0	0	0	0.01
Locus_94921	0.2	0.05	1	0.34	0	0	0	0	0	0	0.02
ENSGGOG00000002685	2.08	1.73	1.73	2.37	0.42	0.84	2.69	3.2	1.4	1.21	4.54
Locus_391118	0.21	0.29	0.23	0	0	0	0	0	0	0	0.1
ENSGGOG00000022514	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_46044	0	0	0	0	0	0	0	0	0	0	0.58
ENSGGOG00000016971	0	0.05	0	0.1	0.83	0	0.7	0.9	0	0.15	0.38
ENSGGOG00000022844	6.79	7.32	3.93	5.12	32.78	18.9	10.91	10.2	17.41	29.04	24.29
blastnMacaque.Locus_312493	0	0	0	0	0	0	0	0	0	0	0.08
ENSGGOG00000002669	15.69	17.25	15.16	15.56	57.73	56.8	20.91	19.5	21.94	15.45	57.28
ENSGGOG00000008222	0	0.02	0.13	0.07	0.84	0.2	0	0	0	0	0.31
ENSGGOG00000026184	28.22	26.4	31.88	16.31	30.51	26.03	27.87	22.98	23.51	21.88	38.14
blastnHuman.ENSG00000250822	0	0	0	0	0	0	0	0	0	0	0.01
ENSGGOG00000000626	38.11	35.38	25.74	21.04	27.99	10.88	34.41	46.9	28.22	28.68	47.24
ENSGGOG00000024030	55.07	46.34	22.22	19.91	15.33	9.86	25.98	35.01	22.36	25.48	95.97
ENSGGOG00000005360	4.13	4.79	2.73	4.64	3.56	5.92	4.17	6.66	5.37	8.77	5.85
blastnPan.CUFF.319688	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000015561	4.9	5.05	4.86	5.36	5.04	3.38	7.36	6.57	6.75	9.03	4.35
blastnHuman.ENSG00000226277	0	0.05	0	0	0	0	0	0	0	0	0.03
ENSGGOG00000024004	0	0.04	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000227116	0	0	0.25	0	0	0	0	0	0	0	0.25
ENSGGOG00000008313	16.94	11.9	2.28	4.07	96.57	24.36	5.64	9.59	1.9	2.81	8.11
blastnPan.Locus_160089	0	0	0	0	0	0	0	0	0	0	0.2
Locus_439827	0	0	0	0	0	0	0	0	0.29	0	1.17
blastnMacaque.Locus_187639	0	0	0	0	0	0	0	0	0	0	0.08
blastnMouse.Locus_111510	0	0	0	0	0	0	0	0	0	0	0
blastnPlatypus.Locus_143737	0	0	0	0	0	0	0	0	0	2.3	0
ENSGGOG00000000215	3.09	4.35	2.61	0.45	0.91	0.64	0.19	0.46	0.63	0.82	15.5
ENSGGOG00000003638	83.36	107.32	66.61	27.67	76.35	44.85	57.98	63.7	60.76	41.32	25.88
Locus_415142	0	0	0	0	0	0	0	1.12	0	0	0
blastnHuman.XLOC_012889	0	0.08	0	0	0	0	0	0	0	0	0.01
ENSGGOG00000008175	26.13	26.46	15.16	11.29	75.57	14.42	10.07	6.83	6.62	7.61	5.21
ENSGGOG00000014891	14.68	15.49	8.32	8.77	3.07	9.99	7.8	5.65	2.6	1.49	21.74
ENSGGOG00000000505	0.47	0.84	0.06	0.27	0	0	0.23	0.12	0.76	3.43	0.22
ENSGGOG00000022822	0	0.05	0.11	0	0	0	0	0.23	0	0.25	0.07
blastnHuman.Locus_193694	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000002862	9.19	4.79	8.94	2.47	15.02	6.38	11.88	5.87	2.3	0.9	2.72
ENSGGOG00000028362	2.96	3.4	2.8	3.92	4.93	4.47	7.76	6.64	7.91	9.1	3.54
ENSGGOG00000007675	0	0	0	0	0	0	0	0.38	0	0	0.15
blastnHuman.ENSG00000229402	0	0	0	0	0	0	0	0	0	0	0.09
ENSGGOG00000001381	6.14	6.57	5.4	7.56	6.5	6.85	4.23	7.8	6.31	7.29	3.63
ENSGGOG00000012277	7.99	7.21	24.14	12.5	10.49	8.77	6.22	2.63	1.63	1.67	3.32
ENSGGOG00000015977	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000011460	0	0	0	0	0	0	0	0	0	0.09	22.16
ENSGGOG00000011151	23.19	14.78	17.53	8.86	7.82	4.71	7.38	6.42	4.13	2.73	1.69
ENSGGOG00000009363	4.04	4.53	3.96	3.46	2.43	2.68	97.77	164.19	129.21	101.04	6.6
ENSGGOG00000013379	69.38	70.05	47.67	31.25	84.73	52.74	43.23	30.02	48.41	40.08	59.62
ENSGGOG00000006385	19.37	26.18	6.39	4.51	10.39	15.63	18.71	26.58	1.61	4.05	0.84
blastnHuman.Locus_147246	0	0	0	0	0	0	0	0	0	0	0.31
blastnHuman.XLOC_008746	0	0	0	0	0	0	0	0	0	0	0
Locus_293929	0.21	0.3	0.15	0.23	0.09	0.13	0.93	0.92	2.77	4.37	0.3
ENSGGOG00000003891	0.62	0.13	0.39	0.12	0.25	0	1.35	0.25	0.34	0	8.15
Locus_393719	0	0	0	0	0	0	0	0	0	0	0.23
blastnMacaque.Locus_190527	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_100615	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000025346	54.89	34.69	33.19	27.5	36.43	68.29	46.91	44.06	70.49	69.37	59.1
blastnHuman.ENSG00000254130	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000011264	2.85	2.9	2.48	2.36	1.99	2.81	8.35	3.33	12.45	19.35	4.24
ENSGGOG00000004319	9.96	15.62	16.68	13.65	3.68	4.53	5.29	3.57	5.89	5.43	7.24
ENSGGOG00000024477	59.86	68.8	32.21	40.67	4141.46	3646.84	197.13	201.51	142.06	308.65	391.88
Locus_391791	0	0	0	0	0	0	0	0	0	0	0.23
Locus_18431	0	0.33	0	0.25	0	0	0	0	0	0	0.4
ENSGGOG00000013811	3.96	3.74	4.06	11.61	11.39	12.9	1.85	1.76	1.82	4.83	2.93
blastnMacaque.Locus_114954	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_340955	0	0	0	0	0	0	0	0	0	0	0.24
ENSGGOG00000024249	6.32	10.41	8.41	11.77	7.27	6.77	6.56	7.05	6.84	7.54	10.73
ENSGGOG00000000577	16.98	20.17	23.86	23.07	4.17	4.95	0.92	1.34	0.27	1.14	4.26
blastnPan.Locus_55328	0	0	0	0	0	0	0	0	0	0	2.2
blastnHuman.ENSG00000235488	1.21	1.22	0.69	2.12	0.72	1.01	0.3	2.16	2.3	0.26	46.8
ENSGGOG00000012436	3.9	3.77	1.56	2.75	2.72	7.03	6.65	10.35	2.96	7.68	4.48
blastnHuman.Locus_183918	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000023904	1.02	1.56	0.33	1.02	1.3	2.2	1.76	0.87	2.5	5.76	0.68
Locus_132606	0.13	0.35	0	0.22	0	0	0	0.45	0	0	0.06
ENSGGOG00000023839	0.86	1.19	1.74	0.9	0.61	0.86	0.26	0.81	0.28	0.65	0.51
ENSGGOG00000002785	0.04	0	0	0	0	0	0	0	0	0	0.58
ENSGGOG00000025372	12.19	33.96	6.17	18.94	0.37	0.35	0	0.13	0.06	0.04	0.03
ENSGGOG00000026172	0.1	0.07	0	0.08	1.37	0.73	32.1	6.55	51	89.11	5.77
blastnMacaque.Locus_394441	0	0	0	0.81	0.83	0	0	0	0	0	0.11
blastnMacaque.Locus_314008	0	0	0.15	0	0	0	0	0	0	0	0.06
blastnMacaque.Locus_340158	0	0	0	0	0	0	0	0	0	0	0
blastnMouse.ENSMUSG00000091371	0	0.59	0	0	0	0	0	0	0	0	0
ENSGGOG00000011802	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_62719	0.13	0	0	0	0.46	0	0	0	0	0	0.12
ENSGGOG00000005524	7.8	7.2	4.39	4.94	2.52	4.15	3.7	4.64	3.71	4.02	8.23
ENSGGOG00000005677	0	0	0	0	0	0	0	0	0	0	20.39
ENSGGOG00000022817	1.01	1.14	0.36	0.81	3.68	5.87	7.05	6.43	5.02	6.07	14.5
ENSGGOG00000014910	37.51	29.96	14.01	11.96	0	0	0.02	0.13	0.65	1.09	0.29
ENSGGOG00000001815	2.46	2.16	3.24	2.41	3.04	2.43	1.57	2.25	2.36	2.37	13.12
blastnHuman.ENSG00000236003	0.42	0.39	0.16	0.24	0.99	0	0	0.17	0.23	0.18	0.23
blastnHuman.Locus_86132	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_314492	0.18	0.12	0.7	0.31	0	0	0	0	0	0	0.04
blastnHuman.ENSG00000254295	0.9	1.25	0.51	3.14	0	0	0.67	0.53	0.73	0	2.5
ENSGGOG00000022635	1.43	2.5	1.88	3.1	1.83	0.86	1.64	1.5	1.58	2.33	2.93
ENSGGOG00000009798	1.2	1.07	0.28	2.53	0.22	0.16	2.64	1.16	0	0.08	0.71
ENSGGOG00000015900	2.24	1.72	1.59	1.59	2.02	2.17	3.03	4.1	6.19	3.53	21.52
blastnMacaque.Locus_244972	0	0	0	0	0	0	0	0	0	0	0.36
Locus_177616	0	0	0	0	0	0	0	0	0	0	0.8
ENSGGOG00000016680	57.37	62.87	39.68	58.22	88.97	158.45	129.93	101.29	78.05	106.17	68.15
Locus_58036	1.76	1.2	0.53	0.82	3.32	3.53	0.88	0.14	0.95	0.74	0.46
blastnHuman.ENSG00000229307	0	0	0	0	0	0	0	0	0	0	0.11
ENSGGOG00000004918	25.26	30.05	17.74	30.5	269.98	225.9	60.72	78.37	54.63	94.92	73.37
ENSGGOG00000023543	12.06	14.75	21.32	9.78	12.32	7.83	7.03	5.22	7.15	7.48	194.11
blastnMacaque.Locus_191952	0	0	0	0	0	0	0	0.46	0	0.49	0.09
ENSGGOG00000016352	9.4	7	18.63	19.36	15.55	15.7	5.83	7.32	8.82	4.27	10.19
ENSGGOG00000005898	0.62	0.82	11.11	10.81	0.55	1.57	0.31	0.31	1.35	2.18	181.49
Locus_73029	0.43	0.44	0	0	0	0	0	0	0	0	0.04
ENSGGOG00000024188	1.83	1.93	1.23	2.36	0.85	1.07	127.54	50.06	22.87	20.88	2.5
Locus_72659	0	0	0	0	0	0	0	0	0	0	1.63
ENSGGOG00000009087	0.06	0.04	0.37	0.34	1.65	0.23	1.13	1.3	6.79	7.38	0.56
ENSGGOG00000005760	0.04	0.1	0.38	0.73	1.04	0.21	0	0	0	0	0.11
ENSGGOG00000005958	9.32	9.4	10.52	16.7	6.89	11.81	9.6	11.85	18.21	26.33	10.45
ENSGGOG00000010250	2.18	2.11	2.46	0.69	2.1	1.98	0.3	1.17	0.64	0.75	0.82
ENSGGOG00000000491	8.72	10.44	8.88	7.23	37.97	17.55	19.41	19.5	23.09	18.15	19.7
blastnMacaque.Locus_115763	0	0.06	0	0.21	0	0	0	0	0	0	0.06
blastnHuman.ENSG00000254143	0	0	0	0	0.79	0	0	0	0	0	0.1
blastnHuman.ENSG00000244493	0	0	0	0	0	0	0.66	0	0	0	0
ENSGGOG00000000050	7.77	10.53	10.01	9.03	9.17	7.49	108.2	111.53	276.52	214.34	3.64
ENSGGOG00000015117	10.81	11.81	7.12	4.61	3.4	5.72	5.86	4.99	11.61	11.14	15.74
ENSGGOG00000001647	39.44	41.71	22.01	25.03	18.8	18.29	14.81	17.58	13.83	16.25	8
blastnHuman.ENSG00000237399	0.73	1.36	0.83	0	2.59	0	1.65	0.43	0.59	0.93	2.03
blastnHuman.Locus_119280	0	0	0	0	0	0	0	0	0	0	0.11
ENSGGOG00000027199	0.68	0.43	1.06	0.59	0	0	0.13	0	0	0	2.03
ENSGGOG00000025325	0	0	0	0	0	0	0	0	1.28	4.02	0
ENSGGOG00000016451	2.02	2.05	0.53	0.07	0	0	0	0	0.06	0.1	0.04
ENSGGOG00000022518	17.17	9.71	12.25	12.34	16.46	21.61	19.91	27.97	20.45	24.03	102.08
ENSGGOG00000005920	0	0	0	0	0	0	0	0.04	0	0	0.19
Locus_225053	0	0	0	0	0	0	0	0	0	0	0.28
blastnHuman.XLOC_009419	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000012749	0	0	0	0.11	0	0	0	0	0	0.08	0.01
ENSGGOG00000000741	0	0	0	0.19	0	0.55	0	0	0	0.28	28.64
ENSGGOG00000001973	47.79	58.86	45.43	25.55	0.5	1.05	0.11	0.67	0	0.09	4.44
ENSGGOG00000015328	0.73	6	0.49	1.52	2.06	4.37	5.45	3.62	4.49	28.43	0.91
ENSGGOG00000027633	0	0.11	0	0	0	0	0	0	0	0	0.05
blastnMacaque.Locus_340498	0	0	0	0	0	0	0	0	0	0	0.03
ENSGGOG00000016502	77.54	69.32	71.78	50.6	0.2	0	0.17	0	0	0	1.31
ENSGGOG00000012604	54.56	31.77	21.71	6.44	0	0.11	0.07	0.03	0.07	0.26	1.21
ENSGGOG00000010518	0.35	0.22	0	0	0.21	0	0	0	0	0	0.07
ENSGGOG00000013883	2.05	2.38	7.84	7.75	6.85	22.25	0.17	1.22	1.11	1.16	0.9
blastnPan.CUFF.407388	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000022392	3.76	3.92	5.1	3.94	6.66	4.71	3.1	3.35	2.75	2.39	4
blastnHuman.Locus_159205	0	0	0	0	0	0	0	0	0	0	0.52
blastnPan.Locus_42362	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_190292	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000010383	0.31	0.47	0.1	0.15	0.94	0.89	101.02	51.2	37.51	41.84	13.5
blastnMacaque.Locus_189231	0	0.25	0	0	0	0	0	0	0	0	0
ENSGGOG00000014041	9.41	6.49	5.71	3.96	0.91	0.18	0.22	0.04	0.54	0.05	0.54
Locus_337996	0.21	0.2	0	0	0	3.16	0.32	0.75	0.68	0.53	0.58
blastnPan.Locus_177717	0	0	0	0	0	0	0	0	0	0	0.4
ENSGGOG00000013168	6.51	4.93	4.65	2.51	1.7	2.41	5.66	3.09	1.67	2	4.47
blastnMacaque.Locus_371946	0	0	0	0	0	0	0	0.31	0	0	0.06
blastnHuman.CUFF.271154	0	0	0	0	0.85	1.21	0	0	0	0	0.45
ENSGGOG00000003292	3.05	3.14	0.84	1.43	16.96	29.49	2.34	1.21	3.31	9.08	6.97
ENSGGOG00000023863	5.64	5.04	7.79	3.93	0.11	0.08	7.51	2.98	0.63	1.63	0.74
ENSGGOG00000002877	0.38	0.35	0.28	0	11.59	40.39	1.89	1.49	0.2	1.92	0.38
blastnMacaque.Locus_140379	0	0	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000237359	0	0	0	0	0	0	0	0	0	0	0.02
ENSGGOG00000002270	16.75	23.09	16.9	17.03	18.25	16.94	22.49	15.23	26.75	19.36	9.7
ENSGGOG00000027268	0	0	0	0	0	0	0	0	0	0	0.01
Locus_106309	0.11	0.21	0.13	1.37	0.4	0	0.17	0.27	0.18	0	0.86
ENSGGOG00000003164	134.26	135.4	67.33	94.51	374.31	374.95	251.48	281.56	228.96	223.08	60.51
Locus_371475	2.23	1.22	3.18	2.37	1.03	0.97	1.02	0.69	1.58	0.74	1.46
Locus_59069	0.21	0.19	0	0	0	0	0	0	0.34	0	0.15
ENSGGOG00000027061	15.51	19.4	12.47	14.85	15.84	9.72	7.66	13.62	8.68	11.91	6.28
blastnMouse.ENSMUSG00000089797	0	0.22	0	0	0	0	0	0	0	0	0
ENSGGOG00000021992	0	0	0	0	0	0	0.16	0	0	0	0.07
ENSGGOG00000026351	6.4	4.6	4.26	6.1	10.15	8.24	3.64	3.75	7.01	3.61	21.54
ENSGGOG00000001280	10.59	14.81	7.63	8.51	87.28	24.44	11.52	8.56	1.37	2.24	6.39
ENSGGOG00000012200	1.12	1.18	0.39	0.75	4.49	11.32	1.94	1.12	1.3	2.38	1.2
ENSGGOG00000010755	0	0.02	0	0	0.12	0.17	0.5	0.08	0.05	0.17	0.04
blastnOpossum.Locus_120654	0	0	0	0	0	0	0	0	0	0	0.19
blastnMacaque.Locus_371862	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000016601	4.78	4.83	2.84	4.53	0.1	0.42	11.88	6.88	0.22	0.23	0.13
ENSGGOG00000003557	4.68	4.27	6.26	7.16	7.23	6.5	8.97	7.4	4.17	3.96	4.55
Locus_258116	0	0	0	0	0	0	0	0	0	0	2.06
ENSGGOG00000010104	7.05	10.1	13.9	15.29	219.31	110.28	109.01	111.89	71.75	43.34	7.03
Locus_463843	5.24	3.07	5.32	0.8	0	0.66	0.69	0.78	0.21	0.17	0.42
ENSGGOG00000009107	20.55	18.84	25.24	15.37	18.83	13.33	12.62	15.07	20.73	17.11	13.93
ENSGGOG00000013832	2.57	2.16	0.26	0.31	0	0	0.03	0	0.1	0.03	0.06
ENSGGOG00000000450	9.55	10.58	8.4	10.48	3.41	3.95	5.01	4.12	5.58	7.34	9.63
ENSGGOG00000011373	0	0.03	0.15	0.24	0	0	0	0.08	0.22	0.17	2.83
Locus_440487	0.2	0.28	0	0	0	0	0	0.24	0	0	0.42
Locus_293918	0	0	0	0	0	0	0	0	0	0	0.75
ENSGGOG00000022511	0	0	0	0	0	0	0	0	0	0	0.89
Locus_268916	52.33	113.81	69.75	0	43.31	0	81.3	0	101.28	0.16	1.02
blastnHuman.ENSG00000247006	0.13	0	0	0	0	0	0	0	0	0	0.4
Locus_133167	0	0	0	0	0	0	0	0	0	0	1.22
ENSGGOG00000022930	87.05	109.08	66.23	75.95	57.43	57.63	56.29	86.23	57.43	66.31	73.47
blastnPan.Locus_73397	0	0	0	0	0	0	0	0	0	0	0.33
ENSGGOG00000009031	7.88	7.28	5.24	3.56	7.97	4.23	6.23	4.01	5.03	6.34	10.06
ENSGGOG00000004145	4.04	5.08	13.07	16.29	0.39	0.3	1.85	0.45	0.5	0.41	2.15
ENSGGOG00000008063	0.73	2.26	0.18	0.82	9.82	17.83	4.63	2.48	7.48	4.65	1.83
ENSGGOG00000007377	5.15	2.68	5.02	2.01	2.83	4.01	2	2.74	2.16	1.8	5.67
ENSGGOG00000008339	13.19	12.46	10.07	8.17	9.42	8.32	14.75	12.37	8.84	8.91	31.1
ENSGGOG00000006889	6.86	6.94	4.98	5.59	10.06	6.36	4.81	8.78	16.24	29.43	7.01
ENSGGOG00000016846	0.14	0.19	0.15	0	0.48	0.68	0.41	0	0.89	0.35	0.25
ENSGGOG00000012350	12.52	7.59	38.77	15.68	0.18	0	0	0.24	0	0.13	0.18
ENSGGOG00000003168	2.28	4.13	5.15	10.19	9.34	10.36	5.56	6.43	8.45	19.64	5.85
ENSGGOG00000015107	12.9	12.65	6.39	12.47	74.29	158.19	43.88	21.58	26.98	56.34	21.67
ENSGGOG00000012408	2.51	2.68	4.44	1.74	0.83	0.9	1.29	1.17	2.87	1.65	0.8
Locus_465350	0	0	0	0	0	0	0	0	0	0	5.73
ENSGGOG00000027551	36.52	27.46	65.35	14.74	32.03	13.63	7.18	9.12	7.87	3.53	5.92
blastnPan.Locus_129995	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000009029	0.74	0.54	0.55	0.64	0.43	0.92	1.2	1.38	2.59	1.25	0.98
Locus_337684	0	0	0	0	0	0	0	0.17	0	0	0.49
blastnHuman.Locus_136540	0	0	0	0	0	0	0	0	0	0	0.33
ENSGGOG00000009289	2.96	3.84	4.02	4.98	4.55	4.58	3.03	2.55	2.62	3.02	3.16
ENSGGOG00000007092	4.68	5.15	6.98	9.35	9.6	13.04	2.96	4.9	1.05	5.1	4.6
ENSGGOG00000015824	17.77	16.36	11.8	14.94	20.38	34.61	34.1	26.7	19.1	18.35	7.47
ENSGGOG00000012264	0	0	0	0	0	0	0	0	0	0	0.12
ENSGGOG00000014001	11.88	13.39	15.86	16.67	22.8	29.16	30.57	24.22	41.88	23	15.22
blastnMacaque.Locus_138788	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_139904	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000003470	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000004807	16.93	15.15	15.37	6.18	0.3	0.55	0.11	0.12	0.02	0.02	1.4
blastnHuman.XLOC_007307	0	0	0	0	0	1.69	0	0.6	0	0.64	0
blastnMacaque.Locus_209696	0	0.1	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000225457	0	0.14	0.35	0.27	0	0	0	0	0	0	0
ENSGGOG00000024656	0.13	0.06	0	0	0	0	0	0	0	0	0.43
ENSGGOG00000026906	0.39	0.43	2.8	6.6	0	0	12.69	5.54	0.17	0.4	3.09
blastnMacaque.Locus_115980	0	0	0	0	0	0	0	0	0	0	0.3
ENSGGOG00000016056	119.06	147.97	105.9	100.09	16.62	25.03	157.95	185.54	35.11	13.57	25.87
blastnHuman.XLOC_008709	0	0	0	0	0	0	0	0	0	0	0.41
Locus_370883	0	0	0	0	0	0	0	0	0	0	0.36
ENSGGOG00000009808	37.58	36.72	39.06	37.89	56.41	62.25	94.27	82	96.31	112.02	62.43
blastnMacaque.Locus_341394	0	0	0	0	0	0	0	0.37	0	0	0.07
blastnPan.CUFF.1616	0	0	0	0	0	0	0	0	3.91	0.22	0
ENSGGOG00000003134	0.24	0.38	0.11	0.25	0	0	0.07	0	0	0	0.04
Locus_227684	0	0	0	0	0	0	0.23	0	0	0.2	0.54
blastnMouse.CUFF.195049	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000004077	4.8	5.11	4.93	8.1	7.25	10.65	13.11	13.02	7.22	7.99	9.57
ENSGGOG00000012673	59.06	39.74	27.42	18.76	0	0.11	0.1	0.08	0.04	0.06	1.41
ENSGGOG00000006864	2.66	2.62	3.41	3.14	2.96	2.8	2.38	2.57	2.72	3.26	4.5
ENSGGOG00000006540	0	0.07	0.07	0.63	0.21	0.45	0.09	0.11	0	0.11	1
ENSGGOG00000012041	18.81	22.2	33.08	40.38	23.96	23.21	15.18	15.11	13.76	12.72	13.62
ENSGGOG00000023308	197.74	89.77	109.42	41.19	9.29	11.4	6.04	5.39	7.67	2.22	10.56
