Gene	Brain_Female1	Brain_Female2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Testis_Male1
blastnPan.CUFF.134007	0	0	0	0	0	1.49	0	0.35	0	0	0.07
blastnMouse.ENSMUSG00000006462	0	0	0	0	0	0	0	0	0	0	0.04
blastnMouse.Locus_3279	1.1	2.9	0.42	16.03	0	1.84	0	0.87	0	0.93	0
ENSGGOG00000011031	0.53	0.41	0.49	0.46	0.87	1.42	0.43	0.87	0.4	0.38	0.99
ENSGGOG00000025043	75.42	54.56	58.98	26.35	100.95	57.08	27.84	42.56	26.2	11.22	20.04
ENSGGOG00000034967	1.2	1.64	1.76	1.36	1.06	2.1	1.17	0.57	1.65	1.06	5.44
blastnHuman.Locus_70132	0	0.14	0	0	0	0	0	0	0	0	0
Locus_106235	0	0	0	0	0	0.37	0.11	0.09	0	0	4.4
blastnPan.CUFF.164853	0	0.18	0	0	0	0	0	0.47	0	0.25	0.64
Locus_392324	0	0	0	0	0	0	0	0	0	0	3.65
blastnHuman.ENSG00000241884	0	0	0	0	0	0	0	0.18	0	0	0
Locus_371983	0	0	0	0	0	0	0	1.75	0	0	0.17
Locus_73833	0	0	0	0	0	0	0	0	0.96	0	0.82
ENSGGOG00000013200	86.9	173.55	123.11	86.7	171.67	212.2	76.11	58.48	83.69	123.36	69.28
ENSGGOG00000013643	6.61	5.53	5.99	7.52	4.95	6.24	5.13	4.79	6.07	5.62	9.32
ENSGGOG00000007031	6.58	15.14	28.05	24.7	39.58	18.67	8.57	13.7	63.32	39.11	4.6
Locus_133356	0	0	0	0	0	0	0	0.38	0.26	1.44	0.15
ENSGGOG00000002419	0.04	0.04	0.05	0	0	0	0.19	0.9	0.07	0.38	2.75
blastnMacaque.CUFF.183373	0	0	0	0	0	0	0	0	0	0	0.14
blastnMacaque.Locus_313737	0	0	0	0	0	0	0	0	0	0	0.3
ENSGGOG00000010914	0.93	0.97	2.7	6.93	1.06	2.06	0.75	0.56	1.98	2.69	0.77
blastnHuman.Locus_37759	0	0	0	0	0	0	0	0	0	0	0.08
ENSGGOG00000001760	18.2	21.75	10.35	19.16	48.66	55.04	40.8	33.37	31.46	46.97	32.04
ENSGGOG00000027732	1.57	4.83	1.78	1.06	0	0.61	0.73	1.01	0.79	0.15	0.03
ENSGGOG00000011001	0.05	0.16	0.03	0	0.38	1.33	0.83	0.53	1.33	3.3	0.07
ENSGGOG00000000324	0.89	1	0.76	0.86	0.79	2.02	0.81	0.74	1.16	0.8	9
blastnHuman.XLOC_005450	0	0	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_115177	0	0	0	0	0	0	0	0	0	0	0.02
Locus_94171	0.45	0.23	0.25	0.7	0	0	0	0	0.07	0	1.92
ENSGGOG00000015021	29.77	9.57	25.15	54.88	1.22	0.5	0.96	1	85.57	135.14	3.55
ENSGGOG00000003034	7.83	6.63	5.69	3.85	4.75	3.43	4.56	4.28	2.42	3.97	10.53
ENSGGOG00000027936	1.28	1.06	2.42	1.31	2.13	2.07	0.79	1.43	1.71	0.86	41.19
ENSGGOG00000011508	0	0	0	0	0	0.99	0	0	0	0	26.21
ENSGGOG00000002689	33.61	36.28	49.97	57.31	28.15	20.16	68.84	81.46	25.5	17.63	17.53
blastnMacaque.Locus_115061	0	0.13	0.32	0	0	0	0	0	0	0	0.2
Locus_415264	0	0	0	0	0	0	0	0	0	0	1.56
