Brain	Cerebellum	Heart	Kidney	Testis
ENSGALG00000025340	0	0	0	0	3
ENSGALG00000021908	0	0	0	0	0
ENSGALG00000025492	0	0	0	0	0
ENSGALG00000018353	253	152	361	224	100
ENSGALG00000025477	0	0	0	0	0
ENSGALG00000021910	0	0	0	0	0
ENSGALG00000025381	0	0	0	0	0
ENSGALG00000025524	0	0	0	0	0
ENSGALG00000018277	0	0	0	0	0
ENSGALG00000025539	0	0	0	0	0
ENSGALG00000025338	0	0	0	0	1
ENSGALG00000025194	0	0	0	0	0
ENSGALG00000021730	521	501	213	83	28
ENSGALG00000025428	0	0	0	0	0
ENSGALG00000025440	0	0	0	0	0
ENSGALG00000025343	0	0	0	0	0
ENSGALG00000025225	0	0	0	0	0
ENSGALG00000025312	1	0	0	0	0
ENSGALG00000025487	2	0	0	1	0
ENSGALG00000018332	53	9	12	2	11
ENSGALG00000021727	1000	144	13	9	81
ENSGALG00000025275	1	0	0	0	0
ENSGALG00000025287	0	0	0	1	0
ENSGALG00000021802	77	27	6	8	55
ENSGALG00000021729	5	1	70	26	1
ENSGALG00000018344	1068	302	420	2020	729
ENSGALG00000021722	4537	1409	5	0	37
ENSGALG00000018283	157	27	14	0	105
ENSGALG00000018324	15	2	4	5	81
ENSGALG00000018312	2	2	2	0	67
ENSGALG00000025191	0	0	0	0	0
ENSGALG00000018306	366	137	185	862	1550
ENSGALG00000018263	45	3	0	0	1
ENSGALG00000025219	1	0	0	0	0
ENSGALG00000025295	0	0	1	0	0
ENSGALG00000025410	0	0	0	0	1
ENSGALG00000025227	0	0	0	0	0
ENSGALG00000018242	3649	2142	1636	439	1565
ENSGALG00000024504	10	11	18	48	32
ENSGALG00000018329	27	3	12	20	2045
ENSGALG00000018294	2	1	4	2749	57
ENSGALG00000025520	0	0	0	0	0
ENSGALG00000018321	0	0	0	0	0
ENSGALG00000025288	0	1	0	0	14
ENSGALG00000025433	0	0	0	0	0
ENSGALG00000025400	25	0	0	2	0
ENSGALG00000018303	20282	12743	2897	6900	13064
ENSGALG00000018346	3404	1889	162	1	23
ENSGALG00000025369	0	0	0	0	0
ENSGALG00000018275	61	47	137	14	145
ENSGALG00000024500	0	1	0	0	0
ENSGALG00000018310	15	10	7	3	8
ENSGALG00000025404	0	0	1	1	1
ENSGALG00000025332	1	1	0	0	0
ENSGALG00000021725	260	115	51	179	1320
ENSGALG00000025360	1	2	1	0	2
ENSGALG00000025344	0	0	0	0	0
ENSGALG00000025396	1	0	0	0	0
ENSGALG00000018269	1	3	1	0	0
ENSGALG00000025294	4	2	0	0	0
ENSGALG00000021731	0	1	2	1	0
ENSGALG00000025443	0	0	0	0	0
ENSGALG00000025544	26	13	7	4	52
ENSGALG00000025554	1	1	0	0	0
ENSGALG00000025425	0	0	0	0	0
ENSGALG00000021799	0	0	0	0	0
ENSGALG00000025155	0	0	0	0	0
ENSGALG00000025363	0	0	0	0	0
ENSGALG00000021771	0	0	0	0	0
ENSGALG00000025167	0	0	0	0	0
ENSGALG00000018235	33	16	12	4	27
ENSGALG00000025324	0	0	0	0	0
ENSGALG00000025579	0	1	1	0	0
ENSGALG00000018315	5	3	1	5	63
ENSGALG00000025521	0	0	0	0	0
ENSGALG00000025632	8	0	5	4	32
ENSGALG00000025235	1	0	0	0	9
ENSGALG00000025151	0	0	0	0	0
ENSGALG00000018259	1444	131	151	23	1319
ENSGALG00000021782	1196	937	9803	1581	10035
ENSGALG00000025378	74	14	0	0	0
ENSGALG00000025525	0	0	0	0	0
ENSGALG00000018354	2319	2374	1325	622	490
ENSGALG00000018278	2634	1688	320	180	497
ENSGALG00000025149	13	6	1	9	4
ENSGALG00000018311	22	15	20	5	7
ENSGALG00000025326	1	2	0	0	0
ENSGALG00000025491	0	0	0	0	0
ENSGALG00000018286	255	84	44	170	626
ENSGALG00000025189	2	1	5	0	11
ENSGALG00000025379	1	1	0	0	4
ENSGALG00000025160	0	0	0	0	0
ENSGALG00000021726	39	38	7	9	4
ENSGALG00000025636	0	0	0	0	0
ENSGALG00000018299	234	142	8517	12	43
ENSGALG00000025548	48	2	0	0	0
ENSGALG00000025159	0	0	0	0	0
ENSGALG00000018252	241	68	21	29	179
ENSGALG00000018331	10	66	185	38609	745
ENSGALG00000025673	1	0	0	0	0
ENSGALG00000025659	0	0	0	0	0
ENSGALG00000025371	0	0	0	0	3
ENSGALG00000025184	0	0	0	0	0
ENSGALG00000025354	0	0	0	0	3
ENSGALG00000025450	0	1	1	0	0
ENSGALG00000018350	207	524	1002	412	825
ENSGALG00000018239	465	241	32	306	117
ENSGALG00000018284	219	162	0	0	12
ENSGALG00000025508	21	2	0	1	1
ENSGALG00000025480	0	0	0	0	0
ENSGALG00000018279	10153	12021	3102	4929	4756
ENSGALG00000025570	0	0	0	0	3
ENSGALG00000025350	0	1	0	0	0
ENSGALG00000025298	0	0	0	0	0
ENSGALG00000025514	0	0	0	0	0
ENSGALG00000025176	0	0	0	0	0
ENSGALG00000025230	0	0	0	0	2
ENSGALG00000025505	0	0	0	0	0
ENSGALG00000021773	0	0	0	0	0
ENSGALG00000025465	0	0	0	0	0
ENSGALG00000025138	0	0	0	0	0
ENSGALG00000025201	0	0	0	0	0
ENSGALG00000025359	0	0	0	0	20
ENSGALG00000025488	0	1	0	0	0
ENSGALG00000025195	0	0	0	0	0
ENSGALG00000025247	0	0	0	0	0
ENSGALG00000025310	0	0	0	0	0
ENSGALG00000025217	0	0	0	0	0
ENSGALG00000025439	0	0	0	0	0
ENSGALG00000025588	0	0	0	0	0
ENSGALG00000025386	0	0	0	0	2
ENSGALG00000025180	0	0	0	0	0
ENSGALG00000025145	0	0	0	0	0
ENSGALG00000025437	0	0	0	0	0
ENSGALG00000025347	0	0	0	0	0
ENSGALG00000025223	0	0	0	0	0
ENSGALG00000025123	0	0	0	0	0
ENSGALG00000025447	0	0	0	0	0
ENSGALG00000025511	0	0	0	0	0
ENSGALG00000025547	0	0	0	0	0
ENSGALG00000025239	0	0	0	1	0
ENSGALG00000025383	0	0	0	0	0
ENSGALG00000025258	0	0	0	0	0
ENSGALG00000025162	0	0	0	0	0
ENSGALG00000025555	0	0	0	0	0
ENSGALG00000025232	0	0	0	0	0
ENSGALG00000025512	0	0	0	0	0
ENSGALG00000025163	0	0	0	0	0
ENSGALG00000025226	0	0	0	0	0
ENSGALG00000024498	0	0	0	0	5
ENSGALG00000025352	0	0	0	0	0
ENSGALG00000025414	0	0	0	0	0
ENSGALG00000025634	0	0	0	0	0
ENSGALG00000025118	0	0	0	0	0
ENSGALG00000021772	0	0	0	0	493
ENSGALG00000025481	0	0	0	0	0
ENSGALG00000025445	0	0	0	0	2
ENSGALG00000025173	0	0	0	0	0
ENSGALG00000025348	0	0	0	0	0
ENSGALG00000025335	0	0	0	0	1
ENSGALG00000025278	0	0	0	1	2
ENSGALG00000025112	0	0	0	0	0
ENSGALG00000025231	0	0	0	0	0
ENSGALG00000025408	0	0	0	0	0
ENSGALG00000025131	0	0	0	0	1
ENSGALG00000025146	0	0	0	0	0
ENSGALG00000025500	0	0	0	0	0
ENSGALG00000025221	0	0	0	0	6
ENSGALG00000025140	0	0	0	0	0
ENSGALG00000025507	0	0	0	0	7
ENSGALG00000025299	0	0	0	5	0
ENSGALG00000025224	0	0	0	0	0
ENSGALG00000025228	0	0	0	0	108
ENSGALG00000025133	0	0	0	0	0
ENSGALG00000025113	0	0	0	0	0
ENSGALG00000025471	0	0	0	0	0
ENSGALG00000025516	0	0	0	0	0
ENSGALG00000025391	0	0	0	0	0
ENSGALG00000025323	0	0	0	0	0
ENSGALG00000025272	0	0	0	0	1
ENSGALG00000025241	0	0	0	0	2
ENSGALG00000025316	0	0	0	0	0
ENSGALG00000025567	0	0	0	0	2
ENSGALG00000025236	0	0	0	0	0
ENSGALG00000025540	0	0	0	0	0
ENSGALG00000025411	0	0	0	0	0
ENSGALG00000025382	0	0	0	0	2
ENSGALG00000025430	0	0	0	0	4
ENSGALG00000025558	0	0	0	0	0
ENSGALG00000025290	0	0	0	0	0
