Gene	Brain_Female1	Brain_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2
ENSXETG00000022688	12.13	11.5	11.75	8.73	15.55	16.86	13.5	10.47	34.26	36.66	12.46	10.29
ENSXETG00000015766	12.37	11.86	16.3	17.47	52.94	27.91	36.52	27.01	20.03	27.57	17.02	21.43
ENSXETG00000010946	54.25	46.01	282.54	274.48	41.55	47.45	93.63	102.13	4.22	1.99	53.75	20.09
Locus_65653	0	0	0	0	1.03	0	0.1	0	82.43	77.12	0.24	0.2
ENSXETG00000031551	1	1.56	4.02	1.9	3.74	2.89	3.19	2.35	10.84	2.99	3.56	2.85
ENSXETG00000009487	136.12	137	109.92	193.47	65.39	102.16	94.42	106.89	47.14	56.75	182.45	152.16
ENSXETG00000032499	0.09	0	0	0.16	0.69	4.33	0	0	0	0	0.26	0.11
ENSXETG00000027478	24.99	8.68	197.13	163.43	112.72	141.64	90.89	60.92	18.01	43.62	81.89	47.47
ENSXETG00000018904	5.36	4.58	15.6	12.05	9.26	6.2	7.11	4.92	16.7	9.57	15.58	6.43
ENSXETG00000026962	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000032951	1.31	0.85	11.56	10.62	4.27	5.72	12.52	13.66	1.12	1.53	5.63	6.62
blastnMouse.Locus_41155	0	0	0	0	0	0	0	0	0	0	0	0.67
Locus_111507	0	0	0	0	0	0	0	0	0	0	7.92	13.33
ENSXETG00000000600	14.38	10.54	12.44	12.9	21.74	23.96	10.26	9.07	7.58	10.92	34.98	41.91
ENSXETG00000020204	19.76	16.24	54.46	64.33	25.04	31.08	30.18	30.55	16.72	24.2	19.42	22.89
ENSXETG00000025843	16.82	10.75	23.91	16.11	28.76	21.96	27.63	16.19	26.09	13.31	13.59	7.22
Locus_98513	0.09	0	0	0	0	0.6	0.69	0	0	0.18	1.73	0.96
ENSXETG00000008651	5.67	5.69	1.41	1.69	0.57	1.01	0.24	0.31	0.12	0.05	2.44	3.08
ENSXETG00000012092	6.95	6.3	1.22	0.45	1.27	1.39	0.11	0.06	8.02	4.89	0.38	0.66
ENSXETG00000000899	2.91	3.68	2.46	2.7	3.62	4.35	5.59	5.91	8.81	11.51	5.44	8.35
blastnPlatypus.Locus_194329	0.37	0	0	0	0	0	0	0	0	0.19	0	0.23
ENSXETG00000003193	0.31	0.02	1.96	0.76	53.96	71.59	2.22	1.55	0.07	0.2	6.29	4.6
Locus_98801	0.26	0.12	1.2	0	0.15	0	1.33	0.73	0	0.07	0.68	1.63
ENSXETG00000031882	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000033679	0	0	0	0	0	0	0	0	0	0	0	0
ENSXETG00000014056	1.1	1.53	0	0	0.77	1.04	0.49	0.4	21.53	9.01	16.54	12.72
ENSXETG00000002698	10.68	4.31	5.77	8.12	4.37	7.64	43.76	59.39	1.15	0.54	21.67	10.89
ENSXETG00000030400	0.13	0.5	0	0.4	0	0	0	0	0	0	0.42	1.22
ENSXETG00000012440	2.35	3.5	2.52	3.86	1.17	1.18	0.68	1.35	1.13	1.29	2.02	1.99
ENSXETG00000032550	0.07	0.03	0.44	0.37	0.08	0.04	0.86	0.44	0	0	0.03	0
