Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
ENSOANG00000000192	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	2	0	0
ENSOANG00000009739	39	15	7	41	27	11	10	32	30	13	19	1	9	17	4	21	15	10
ENSOANG00000008211	239	217	214	165	175	374	348	277	627	220	314	264	149	329	59	327	126	275
ENSOANG00000004001	87	40	60	32	15	2	4	9	14	6	6	95	23	19	4	13	2	35
ENSOANG00000005794	243	141	617	269	199	208	272	160	406	370	196	3895	1058	985	180	907	589	5476
ENSOANG00000014410	179	125	76	85	94	307	279	156	241	357	321	123	396	604	116	488	277	235
CUFF.114082	1762	267	90	8	129	0	0	0	1	0	0	0	0	1	0	0	0	0
ENSOANG00000004155	451	482	1510	540	459	570	586	715	1461	389	310	3801	2340	1695	156	878	369	1341
ENSOANG00000021088	5	0	1	1	2	4	6	1	7	47	23	74	18	62	3	43	14	70
ENSOANG00000000270	2383	1504	2398	1962	1232	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000021897	13	15	9	20	33	2	1	12	13	9	11	42	42	54	83	144	127	233
Locus_56652	0	0	0	0	0	0	0	0	0	0	0	5	1	5	0	0	0	0
ENSOANG00000021265	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1
ENSOANG00000020373	332	136	172	234	449	88	72	204	231	6	7	266	263	310	22	64	17	57
ENSOANG00000009942	211	133	54	255	420	160	70	149	299	1135	1481	22	17	48	179	675	263	201
ENSOANG00000002004	65	24	137	73	98	160	148	230	137	779	1350	742	345	264	41	120	55	215
ENSOANG00000009611	47	29	93	52	30	58	37	128	117	160	61	607	271	146	75	343	111	374
Locus_38746	0	0	0	0	0	0	0	0	0	0	0	294	40	90	1	0	0	3
ENSOANG00000007793	0	0	0	0	0	0	0	1	0	8	9	18	24	24	0	0	0	0
ENSOANG00000013406	244	177	873	244	150	26	30	69	125	40	26	1582	281	202	183	538	255	2186
ENSOANG00000004772	340	325	593	587	310	247	233	248	524	642	307	2933	625	827	309	1050	929	3965
CUFF.79230	2	0	0	2	1	2	1	2	4	1	1	0	13	3	1	26	22	4
ENSOANG00000007225	3	1	1	0	0	8	1	27	15	2	69	30	8	3	1	0	0	4
ENSOANG00000013321	2	0	2	193	151	3	0	341	22	2546	951	27	20	66	4	20	8	38
ENSOANG00000011665	104	70	37	99	99	39	48	22	57	44	30	62	90	95	16	156	67	94
ENSOANG00000004191	50	25	20	17	19	45	49	13	39	13	12	66	96	125	14	51	20	44
ENSOANG00000000351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000020257	36	51	42	92	80	33	12	31	29	37	33	147	267	201	29	90	53	99
ENSOANG00000001625	196	175	429	124	75	5	1	3	10	1	0	3	1	7	0	0	0	1
ENSOANG00000000515	12	6	1	4	8	20	12	2	6	3	2	38	22	55	1	26	8	3
ENSOANG00000008301	17	14	1	2	4	12	1	71	23	1	1	85	176	349	31	313	47	53
ENSOANG00000021937	14	6	39	17	13	6	0	4	8	16	3	129	96	52	23	56	17	123
ENSOANG00000015727	39	39	40	34	44	8	3	10	20	2	4	3	5	0	3	5	3	3
ENSOANG00000013697	30	19	34	28	41	29	17	87	54	50	94	94	81	82	49	165	41	142
Locus_44123	0	0	0	32	22	2	0	1	2	0	0	0	2	2	2	1	2	1
Locus_72874	1	2	10	10	9	0	0	0	1	0	0	7	7	5	0	9	2	7
CUFF.38099	14	4	6	10	7	0	0	0	0	0	0	1	1	2	3	4	2	8
Locus_9670	17	25	2	16	15	1	3	1	3	2	2	0	2	6	2	3	4	4
Locus_37519	0	0	1	0	0	1	0	3	1	9	1	1	6	14	0	0	1	0
ENSOANG00000005818	382	320	1494	234	143	31	45	39	118	51	30	965	278	130	51	189	90	959
ENSOANG00000013613	91	59	115	13	15	0	1	31	47	1	0	241	141	119	10	84	36	171
