Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Ovary_Female3	Testis_Male1	Testis_Male2	Testis_Male3	Testis_Male4
ENSOANG00000005647	112	79	245	350	193	28	14	85	168	223	128	1801	1044	507	84	439	94	656
ENSOANG00000014901	40	31	113	28	24	30	29	46	27	24	24	249	107	119	66	225	101	485
ENSOANG00000010240	1408	1094	7781	2163	1385	321	227	375	396	39	40	8322	1905	607	265	1004	422	3281
ENSOANG00000011513	89	43	30	79	124	12	6	82	72	0	1	10	44	22	0	8	3	9
ENSOANG00000008626	11	2	22	12	11	0	0	7	4	0	0	10	1	2	159	398	259	1688
ENSOANG00000012043	0	0	2	1	2	10	2	0	0	0	0	1	0	2	0	0	2	1
ENSOANG00000002269	647	268	690	330	314	229	272	107	237	320	153	2178	1481	1577	265	1283	485	2964
ENSOANG00000010524	57	30	15	16	25	2	1	3	1	1	1	2	6	5	2	13	4	9
ENSOANG00000004454	142	52	361	81	69	38	76	12	84	82	24	1061	177	205	107	416	219	2973
Locus_148009	0	0	0	0	1	0	0	0	1	0	0	15	9	37	55	122	82	186
ENSOANG00000013042	6	1	2	0	0	0	0	0	2	3	0	0	0	2	1	3	1	1
ENSOANG00000001593	224	157	2015	223	128	57	50	110	209	152	65	6719	858	1401	247	682	603	6673
ENSOANG00000007522	347	148	425	186	151	130	225	59	191	328	146	1651	715	1122	175	660	506	2651
ENSOANG00000011334	660	320	2437	508	545	143	140	161	560	482	218	3481	646	563	171	758	627	13892
ENSOANG00000019978	102	104	53	84	64	35	28	14	23	15	11	71	54	48	37	123	53	147
ENSOANG00000007994	97	112	66	9	13	84	0	0	0	0	0	24	11	18	46	107	77	108
ENSOANG00000007914	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2
Locus_83729	2	2	0	1	0	0	0	0	0	0	0	0	0	0	6	21	6	20
ENSOANG00000012643	118	39	23	26	42	4	2	540	229	387	465	2	5	12	12	39	52	39
ENSOANG00000015042	377	205	1154	290	272	77	122	112	286	136	109	2838	788	1025	218	989	414	6284
Locus_68241	17	57	60	192	95	18	9	8	8	1	5	4	9	3	1	11	9	6
ENSOANG00000011788	429	324	569	353	298	222	128	205	136	137	99	621	442	324	126	617	231	947
Locus_81573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	188	174	503
ENSOANG00000022153	0	0	1	0	0	0	0	2	0	0	0	4	0	2	0	0	1	3
ENSOANG00000005372	484	145	392	308	258	36	57	805	1165	40	26	412	471	438	95	617	109	669
Locus_154018	2	0	3	2	6	1	0	0	2	2	2	5	0	2	2	6	1	3
Locus_50281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	8
ENSOANG00000008596	6	2	6	1	0	7	9	2	2	1	1	1968	621	591	15	167	33	185
ENSOANG00000003186	2823	1784	2450	2750	2557	5009	5321	1313	1831	1915	1508	1938	1758	2102	847	4866	2729	6769
ENSOANG00000004218	73	181	73	34	56	38	0	1	1	12	3	19	29	70	0	2	2	0
ENSOANG00000022498	1	1	39	2	0	0	0	0	0	0	0	174	26	40	70	160	144	2654
ENSOANG00000004166	0	3	1	0	0	33	10	899	950	0	3	1	1	2	1	0	1	0
ENSOANG00000015220	1	0	2	1	0	0	0	4	6	1	2	37	21	27	1	0	0	1
Locus_94636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	62	48	184
ENSOANG00000020385	343	142	165	575	570	0	0	0	1	0	0	11	3	1	21	47	42	254
Locus_195570	0	0	9	0	2	0	0	1	1	0	0	1	1	0	1	2	1	4
ENSOANG00000010105	26	5	9	17	9	8	12	6	13	8	8	51	135	138	3	29	13	24
ENSOANG00000002698	1095	715	1241	156	150	9	9	2	13	1	3	258	149	276	268	912	604	2841
ENSOANG00000011641	125	47	517	67	58	71	50	358	354	105	123	2179	261	401	17	92	32	473
ENSOANG00000001163	766	1007	1196	1644	1325	200	77	90	103	77	119	670	396	123	35	177	47	233
Locus_144669	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	5	5	12
Locus_36144	1	0	0	0	0	0	0	0	1	0	0	0	0	0	13	46	78	10
Locus_185726	46	32	193	43	44	0	0	1	0	1	0	0	2	1	0	0	0	5
Locus_173162	0	0	1	0	0	0	0	0	0	0	0	96	27	45	2	11	1	29
Locus_48382	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
ENSOANG00000003743	41	14	16	23	18	2	3	1	5	20	28	14	13	29	5	24	10	14
ENSOANG00000006618	1321	682	1628	1243	1315	1408	1291	432	613	379	429	1682	915	1025	360	1242	963	3675
ENSOANG00000004287	42	17	13	41	54	34	25	53	86	56	124	25	2	13	230	619	573	735
ENSOANG00000014078	0	0	0	0	0	0	0	1	0	0	0	2	2	4	263	932	499	2238
ENSOANG00000011423	4037	2871	5664	2519	1639	1415	1426	4716	5193	676	779	9603	2486	2003	847	3370	1520	4519
ENSOANG00000004966	530	328	1395	276	258	0	4	10	9	0	0	50	2	3	30	102	58	575
ENSOANG00000003960	88	51	81	63	81	157	225	50	116	64	100	127	153	174	59	277	129	570
Locus_172095	5	7	54	9	7	7	1	2	0	3	1	423	34	43	24	97	39	536
ENSOANG00000003502	38	32	32	92	58	37	21	30	31	9	10	131	112	140	143	606	335	750
ENSOANG00000008530	1616	818	1472	1100	691	173	144	274	362	19	14	2342	1769	1465	221	1022	565	1509
blastnHuman.ENSG00000235533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000004928	0	0	0	0	0	0	0	0	0	0	0	0	2	0	20	96	82	302
ENSOANG00000006296	115	55	87	249	61	77	44	46	56	74	40	725	210	227	36	132	133	235
ENSOANG00000007757	444	223	138	399	498	287	126	238	233	150	159	707	484	669	824	3103	1217	2295
Locus_84600	6	1	10	5	8	2	1	0	0	0	0	1	0	1	2	5	2	7
Locus_77376	1	2	2	0	1	0	0	2	2	0	0	0	3	0	3	3	1	3
ENSOANG00000007243	3	0	5	1	0	4	1	2	4	17	3	285	30	46	35	118	95	1509
ENSOANG00000003275	1593	973	1362	859	893	377	343	304	718	565	333	2334	4908	6384	261	1567	405	1060
CUFF.80889	2	2	4	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
ENSOANG00000003770	496	608	917	1136	761	276	143	153	227	151	110	1763	570	436	423	1429	1332	3561
Locus_109587	0	2	0	2	1	1	0	0	0	0	1	2	1	3	14	24	27	13
ENSOANG00000000798	2	0	2	2	3	3	5	0	0	464	1190	1	1	1	14	68	22	69
ENSOANG00000021817	50	19	48	32	36	9	26	27	47	112	108	316	205	207	115	234	123	571
ENSOANG00000006469	8	6	19	3	1	1	7	8	18	5	6	130	17	37	93	348	194	1479
ENSOANG00000010448	331	82	386	107	84	30	125	13	108	227	46	619	1339	1325	47	276	136	816
ENSOANG00000010149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
ENSOANG00000008410	1	0	6	9	4	0	0	159	216	0	0	77	154	20	1	2	3	6
ENSOANG00000008165	6	3	2	3	1	2	3	530	297	5	53	346	380	316	66	592	244	485
blastnMacaque.Locus_100049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_52783	7	4	6	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1
ENSOANG00000022644	0	0	1	0	0	1	0	1	0	1	0	5	2	1	0	0	0	0
ENSOANG00000001079	194	112	102	1	0	0	0	0	0	0	0	16	28	9	2	5	1	13
ENSOANG00000020565	109	39	243	69	69	29	27	60	133	171	118	2939	865	1464	156	1469	437	4562
ENSOANG00000021124	9	8	22	15	4	1	1	0	7	2	6	14	0	0	2	13	14	25
Locus_17208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	6	24
ENSOANG00000021742	56	33	82	157	135	0	0	0	0	0	0	12	11	0	1	3	1	13
ENSOANG00000000552	1846	843	4016	1095	946	482	349	252	572	527	331	5190	2058	2536	435	1666	982	7602
ENSOANG00000005026	34	6	110	41	23	25	42	36	42	31	12	1496	375	527	37	234	89	973
ENSOANG00000001002	33	22	11	20	31	40	16	26	31	165	286	111	73	259	37	115	44	64
ENSOANG00000019950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSOANG00000004141	57	4	43	27	6	3	0	1	4	27	6	288	91	201	0	0	3	4
ENSOANG00000015632	12	4	68	22	21	1388	1447	20	52	6	12	18	15	3	22	99	65	246
ENSOANG00000000365	530	338	693	557	556	89	92	81	162	119	132	3062	1079	2269	292	3248	701	6452
ENSOANG00000006826	4	5	5	4	2	22	14	0	0	0	0	1	1	1	0	2	0	0
ENSOANG00000002485	389	241	599	298	241	118	151	59	117	70	47	1139	381	398	152	564	229	983
ENSOANG00000014051	775	362	3144	502	307	126	173	158	452	366	265	5118	1337	1106	196	802	410	5323
ENSOANG00000003834	1665	528	1159	935	486	1340	1216	485	482	771	217	1165	1024	1258	84	384	186	1132
ENSOANG00000009139	335	315	149	268	355	419	435	306	392	144	166	213	516	760	257	1132	550	931
ENSOANG00000003705	118	72	50	599	436	2	2	2	1	0	0	3	4	14	127	344	185	311
ENSOANG00000011937	584	368	1912	524	264	23	26	10	17	7	3	597	134	88	216	643	357	3557
Locus_136212	0	0	0	0	0	0	0	0	0	0	0	8	0	4	0	2	0	1
Locus_66155	182	74	746	109	62	21	45	37	119	69	24	1298	472	413	213	763	662	5946
ENSOANG00000001396	58	37	15	72	92	173	126	163	179	102	151	54	108	146	129	332	184	76
ENSOANG00000009141	56	51	39	139	139	70	26	32	52	14	18	71	102	49	10	86	25	51
ENSOANG00000001081	0	0	0	0	0	0	0	0	0	1	0	363	51	87	80	198	127	1056
Locus_900	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ENSOANG00000008055	969	894	318	959	1819	886	490	470	296	162	279	216	141	415	828	2590	882	1180
ENSOANG00000006604	950	808	2930	2474	1033	30	30	22	52	71	30	531	302	180	30	185	80	533
ENSOANG00000022158	116	29	132	58	12	8	4	10	7	3	2	96	69	13	4	7	5	15
ENSOANG00000002658	146	58	446	128	75	25	23	15	64	43	19	1126	270	201	115	319	240	1750
ENSOANG00000007467	38	1	7	8	5	5	9	5	1	22	8	114	259	450	3	32	15	53
ENSOANG00000010728	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0
ENSOANG00000010926	102	70	267	28	80	1	9	0	1	0	0	34	16	17	615	1343	822	9002
ENSOANG00000004795	17	16	33	25	18	42	25	38	23	42	28	500	235	262	18	73	27	70
ENSOANG00000001310	19	26	9	15	8	2	1	1	3	3	2	1	36	11	2	2	5	4
blastnPan.Locus_94166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000013841	0	0	0	0	1	0	0	3	2	1	1	17	25	43	21	78	24	52
ENSOANG00000007510	135	71	437	127	81	34	21	13	45	24	15	1018	307	145	30	106	56	459
ENSOANG00000019964	926	507	234	702	631	548	671	373	535	558	295	496	3292	4581	298	1666	1357	1069
ENSOANG00000011400	148	78	182	105	78	116	55	85	70	41	24	285	157	120	28	116	32	142
Locus_54754	1	0	2	1	0	0	0	1	0	0	0	4	0	1	1	1	0	1
ENSOANG00000012488	85	65	340	251	118	25	30	95	75	125	34	501	114	37	6	32	6	98
ENSOANG00000003905	286	229	135	250	196	99	68	87	192	112	95	99	129	168	48	278	136	270
ENSOANG00000014310	22	13	39	10	8	3	3	3	6	4	7	146	65	207	0	14	1	8
ENSOANG00000014095	121	55	176	91	66	46	50	205	190	55	38	660	449	292	18	74	25	104
ENSOANG00000012812	12	16	6	24	21	74	35	131	39	422	607	117	235	104	35	111	28	30
ENSOANG00000003913	227	121	288	152	142	68	65	32	65	46	34	628	639	710	74	362	129	469
blastnOpossum.Locus_377146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000009824	1157	855	1055	909	944	520	458	468	660	211	206	1753	1537	1569	88	701	258	671
Locus_177735	0	0	0	0	0	0	0	0	0	0	0	14	3	3	0	0	0	0
Locus_60680	0	0	0	0	0	0	0	0	0	0	0	13	2	9	0	0	0	2
Locus_66510	0	0	10	0	0	0	0	0	0	0	0	35	6	4	0	1	3	4
ENSOANG00000010466	14	13	6	14	15	8	6	16	23	1	4	14	36	29	3	40	8	19
ENSOANG00000006219	2409	2446	2217	4721	3685	859	457	1401	1024	98	88	3038	2106	882	563	1983	581	1140
ENSOANG00000008959	158	59	234	94	98	401	300	136	174	54	59	755	469	278	86	321	230	912
ENSOANG00000006018	20	21	103	1	4	0	0	0	0	1	0	5	2	0	0	1	0	1
Locus_137200	0	1	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000012764	8	0	31	12	19	0	1	0	0	0	0	177	21	26	11	35	19	653
Locus_53695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16
ENSOANG00000008719	70	22	44	28	32	26	28	26	44	22	20	123	108	150	31	138	83	245
ENSOANG00000004585	97	95	87	78	67	202	174	49	52	521	259	829	434	658	66	333	170	279
ENSOANG00000006273	897	8305	14498	474	1006	0	0	119	131	0	0	341	232	413	30	147	98	329
ENSOANG00000005685	21	7	8	12	19	1	4	2	3	7	4	23	13	15	2	15	4	41
ENSOANG00000006657	1	0	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Locus_36525	3	0	1	2	0	0	0	0	1	0	0	0	4	1	11	9	8	25
Locus_15626	11	13	31	127	151	0	0	0	0	0	0	71	6	3	0	3	0	7
ENSOANG00000019878	356	200	758	263	179	39	87	8	68	104	46	944	201	374	40	243	176	1138
ENSOANG00000021886	0	0	0	0	0	0	0	18	7	9	2	231	123	119	0	0	0	2
ENSOANG00000011598	11	43	183	44	39	48	34	10	8	4	0	109	25	6	23	25	14	60
blastnHuman.ENSG00000254010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSOANG00000011710	64	39	98	123	182	2	0	6	4	0	0	100	63	67	6	19	14	25
Locus_119391	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	3	1	11
ENSOANG00000002379	1037	929	775	1135	872	105	50	3	0	0	0	3	3	8	5	13	8	6
ENSOANG00000013423	1215	583	995	496	436	223	371	84	323	236	165	1690	753	1286	254	1448	558	3666
ENSOANG00000000948	133	91	719	279	152	63	30	54	87	49	45	1639	464	117	131	433	317	2042
ENSOANG00000013240	254	122	881	172	148	143	194	28	59	81	41	617	126	228	44	478	230	2044
ENSOANG00000021041	145	92	321	231	156	35	15	37	59	26	20	615	237	114	201	736	502	2117
ENSOANG00000020713	55	24	250	41	31	6	8	18	27	34	27	1256	179	38	82	175	117	1114
ENSOANG00000000642	127	119	144	151	129	27	9	40	21	101	137	578	474	282	100	325	110	317
Locus_141286	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2
ENSOANG00000014708	156	129	423	133	95	25	41	15	63	41	31	2724	411	578	199	839	394	3297
ENSOANG00000008077	38	120	247	16	8	352	473	44	49	29	6	115	38	75	20	41	37	129
ENSOANG00000006550	2658	2007	1515	2073	2020	1161	1132	1092	2107	1117	931	918	1302	1692	531	2477	1077	2160
ENSOANG00000001293	565	530	1962	312	209	94	71	253	170	446	394	1202	291	243	109	348	217	847
ENSOANG00000003482	20	23	11	27	27	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSOANG00000009525	170	148	277	2	3	0	0	0	1	0	0	86	36	77	17	34	147	25
ENSOANG00000001104	8	9	11	5	2	7	5	24	29	8	10	133	132	76	4	16	10	19
ENSOANG00000006233	2	4	17	3	1	2	29	1	4	2	2	91	18	14	1	3	0	4
ENSOANG00000006000	0	0	0	0	0	0	0	0	0	1	0	1	6	8	1	10	8	7
ENSOANG00000008649	504	254	1375	716	451	80	80	89	230	193	110	7906	1180	1251	564	1669	1143	10399
ENSOANG00000008186	558	328	1480	429	458	87	67	421	471	402	263	5775	1622	1564	342	1257	385	3374
ENSOANG00000019859	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSOANG00000014963	207	82	123	100	74	21	7	117	55	43	29	187	285	115	19	64	18	81
ENSOANG00000005990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000014218	0	0	0	0	0	0	0	2	6	0	0	126	31	23	5	10	9	69
Locus_67087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	9	8	29
Locus_131337	7	0	6	19	14	0	0	3	2	0	0	0	0	0	1	6	4	3
Locus_89496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	3	26
ENSOANG00000014907	15799	9620	13810	9138	11060	29098	23607	12098	13868	11648	9852	13960	11312	12801	3182	17089	4717	27734
ENSOANG00000000909	342	141	726	271	220	130	75	82	157	99	56	3114	1025	691	2270	6966	4197	29548
blastnHuman.ENSG00000232586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CUFF.161684	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	6	1	5
Locus_173301	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	5
ENSOANG00000003513	12	3	1	0	1	6	276	77	201	0	0	665	583	429	9	22	12	56
Locus_188670	0	0	2	1	1	0	2	0	0	2	5	0	1	5	0	1	1	2
ENSOANG00000007997	93	61	69	13	7	5	0	0	0	0	0	25	37	35	0	1	0	0
ENSOANG00000002530	521	365	624	518	508	61	52	205	280	102	98	762	428	274	416	899	545	1682
ENSOANG00000019728	0	0	0	1	0	4	0	5	2	0	0	1	2	1	0	1	0	6
ENSOANG00000014513	159	98	95	121	122	154	94	23	16	17	7	167	105	144	70	336	89	203
Locus_26036	1	0	0	0	0	0	0	0	0	1	0	17	3	14	0	0	1	1
ENSOANG00000001138	586	378	104	577	599	154	102	247	220	210	161	150	219	467	34	118	52	48
Locus_193352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	16
ENSOANG00000012913	41	14	30	27	14	62	27	82	99	5	5	83	63	228	42	129	68	105
ENSOANG00000020444	31	8	26	29	31	9	7	15	15	19	14	522	173	205	71	298	136	368
ENSOANG00000022441	0	0	1	0	0	1	0	0	0	0	0	5	0	1	0	0	0	1
ENSOANG00000014432	1125	536	1533	871	567	410	427	228	542	472	270	4521	2228	2147	327	1610	652	4400
ENSOANG00000014323	345	235	399	178	158	126	100	24	48	39	49	242	155	86	143	450	199	728
Locus_75576	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	21
ENSOANG00000020844	3	2	30	2	2	70	142	21	34	11	16	724	344	113	3	40	26	55
Locus_148271	1	1	1	0	0	0	0	1	1	12	6	1	2	1	2	9	4	9
ENSOANG00000003429	242	129	316	80	74	17	10	21	45	1	2	506	242	172	175	430	324	593
ENSOANG00000007775	69	34	30	94	191	36	37	332	363	481	513	63	62	96	63	252	131	122
ENSOANG00000014571	21	12	11	3	4	12	4	9	4	1	0	2	46	61	0	0	0	0
Locus_104651	0	0	0	0	1	0	0	0	0	0	0	0	2	0	4	3	2	14
ENSOANG00000009330	7	4	17	1	1	2	4	9	6	3	3	61	22	5	3	26	5	37
ENSOANG00000012695	440	185	636	268	326	1380	1636	305	534	233	121	3062	1997	2103	357	1464	722	3548
ENSOANG00000010386	882	405	427	433	409	423	603	96	378	253	141	793	662	1262	214	833	517	1555
Locus_5729	0	0	0	0	0	0	1	2	1	0	0	0	0	1	1	11	7	5
ENSOANG00000008192	130	68	171	135	120	85	90	66	69	45	39	477	258	156	86	332	139	468
ENSOANG00000005877	313	213	616	175	280	660	439	210	288	36	45	28838	8013	14931	163	1713	482	1426
ENSOANG00000002296	720	956	401	367	531	0	0	1	0	0	0	0	0	6	0	2	1	0
ENSOANG00000009772	240	113	50	108	77	135	125	183	177	393	439	166	402	457	29	96	81	40
Locus_101835	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	14	2	37
ENSOANG00000007657	208	202	286	773	571	86	85	185	273	154	204	769	241	263	53	198	93	384
ENSOANG00000014232	617	275	1381	442	352	153	241	162	511	338	203	3168	765	862	187	851	620	3665
ENSOANG00000012436	5102	2383	5978	1128	1611	552	581	445	516	2603	1487	1091	497	763	304	1126	392	1377
ENSOANG00000013714	15	7	11	149	137	6391	3352	6	6	8	20	226	46	94	2	35	11	11
ENSOANG00000006189	0	0	0	0	0	0	0	4	18	0	0	1	0	0	0	0	0	0
Locus_127463	0	0	3	0	0	0	0	0	0	0	0	15	3	11	1	0	0	6
Locus_161538	0	0	0	0	0	0	0	0	0	0	0	7	1	3	0	0	0	0
ENSOANG00000000758	3409	2090	2352	1006	1224	1994	2059	1027	1988	220	160	3496	2776	7649	349	2144	819	1559
Locus_117534	3	0	0	0	1	0	0	1	7	14	14	4	2	3	1	0	0	0
ENSOANG00000015678	979	559	1508	498	459	397	460	298	441	347	257	2206	1028	999	216	888	459	2555
ENSOANG00000006744	26	24	25	24	18	41	42	29	57	20	27	359	122	166	32	106	42	265
Locus_141311	1	0	0	0	0	1	2	1	0	0	0	3	1	1	0	1	0	0
Locus_108881	6	5	21	3	0	0	0	10	36	14	20	11	16	9	0	0	0	0
ENSOANG00000020605	3	1	3	0	0	1	0	0	2	11	0	78	8	23	2	6	2	19
Locus_93882	1	1	0	0	0	0	0	5	16	0	1	272	60	376	0	0	4	4
ENSOANG00000009042	965	596	608	614	505	525	581	604	759	239	207	485	643	459	350	2283	934	2978
ENSOANG00000007871	5392	4588	14761	4882	2370	13	4	3	2	0	0	46	38	9	6	9	16	34
ENSOANG00000015833	579	395	2721	320	163	1	0	0	2	0	0	26	3	6	14	46	27	296
ENSOANG00000004734	987	572	2543	1070	751	726	555	535	923	635	427	8120	1867	1612	762	2926	1292	9944
ENSOANG00000004423	444	585	583	572	405	58	34	401	337	77	90	472	277	231	305	996	749	711
ENSOANG00000014536	267	158	743	170	116	95	151	56	184	183	113	2970	918	1378	336	1276	723	6569
ENSOANG00000022463	187	74	247	185	105	231	255	274	423	171	85	248	245	175	50	287	117	428
ENSOANG00000011968	99	155	1278	630	385	11	1	23	2	0	0	1089	239	38	16	16	6	81
ENSOANG00000015503	423	457	446	519	361	55	32	628	549	75	83	234	108	48	29	213	46	143
ENSOANG00000009751	230	212	173	204	216	74	39	47	133	58	65	85	155	184	24	159	52	131
ENSOANG00000004956	15	6	6	28	25	27	3	7	11	1	1	28	11	19	384	818	843	1393
Locus_180857	0	0	0	0	1	0	0	0	0	0	0	12	0	2	0	0	0	0
ENSOANG00000014528	0	0	3	0	0	0	0	1478	1493	2640	1343	99	36	34	171	362	266	3605
blastnMouse.ENSMUSG00000066041	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSOANG00000011298	219	28	178	91	62	33	29	80	120	191	133	495	333	152	134	349	144	746
ENSOANG00000000714	2244	1998	3952	3453	2888	1609	797	1795	1510	1509	2171	14360	3696	2738	4578	12166	6537	17035
ENSOANG00000010778	17	18	26	6	7	1	1	2	6	0	5	36	22	21	37	100	44	86
ENSOANG00000005396	202	217	204	270	344	110	64	121	162	56	52	313	202	241	942	2174	1633	3546
Locus_88591	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
ENSOANG00000009983	5	4	3	6	0	115	130	13	12	23	40	63	77	115	177	518	498	1364
ENSOANG00000012320	32	12	4	26	10	137	12	11	7	2	1	55	135	146	9	50	14	19
ENSOANG00000011470	939	484	643	336	232	22	44	44	77	25	16	358	292	343	901	2645	1906	3695
ENSOANG00000008893	6	3	10	1	2	0	0	0	3	1	0	289	26	37	56	187	70	2293
ENSOANG00000021853	58	25	88	48	37	29	13	9	16	45	11	857	214	229	20	133	83	676
ENSOANG00000009093	343	168	577	189	181	99	121	65	177	179	92	1206	475	607	85	474	302	1422
ENSOANG00000005860	70	130	44	48	27	0	0	6	0	0	0	1	0	0	0	0	1	0
ENSOANG00000008099	62	33	313	14	14	118	195	6	14	0	0	485	115	101	129	462	388	5102
ENSOANG00000006927	102	66	84	91	72	41	55	42	69	95	52	457	252	299	46	211	74	293
Locus_27478	1	1	3	1	0	6	8	5	4	7	10	4	6	6	2	7	2	8
ENSOANG00000002961	190	129	459	221	102	58	24	38	68	81	33	1038	338	142	71	292	176	884
ENSOANG00000003372	150	80	124	66	47	2	5	8	1	14	7	35	22	9	1	5	0	2
ENSOANG00000006078	172	149	997	203	157	50	34	81	128	134	74	3559	835	383	349	1028	551	4174
ENSOANG00000021665	451	320	66	175	203	127	227	59	172	118	114	87	141	326	194	608	364	325
ENSOANG00000002973	406	74	521	171	85	99	32	70	67	1416	645	1266	805	268	144	1012	168	1416
ENSOANG00000014766	184	103	117	71	94	39	52	52	151	63	90	350	434	472	35	137	58	166
ENSOANG00000004387	857	357	1358	726	615	846	1023	595	858	399	293	3114	1714	1399	709	1981	1169	5934
Locus_160358	10	3	5	12	11	0	1	2	5	3	0	5	8	3	1	15	2	7
ENSOANG00000008346	1324	958	988	1284	994	785	485	1503	1605	1137	884	1091	987	824	311	1589	655	1506
CUFF.117591	1	2	0	0	2	0	0	2	3	0	0	1	0	0	23	66	34	50
ENSOANG00000005610	34	38	80	56	39	6	5	5	7	1	1	313	98	105	114	312	282	973
Locus_63483	26	14	13	4	6	0	0	0	0	0	0	1	0	0	1	2	3	6
ENSOANG00000011733	58	32	36	19	23	3	4	4	10	1	6	49	47	76	23	89	22	83
ENSOANG00000005882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000003792	83	66	452	189	122	52	11	29	47	39	26	591	174	44	73	172	117	861
ENSOANG00000009837	8	15	20	2	3	2	0	0	0	1	0	6	2	2	2	6	4	22
ENSOANG00000014458	173	83	380	198	56	801	436	308	177	1	6	1361	385	314	120	252	141	716
ENSOANG00000002221	1589	1062	1588	1566	1174	5	4	1207	692	8	24	1203	508	445	641	1762	336	1131
ENSOANG00000005230	2061	1918	5644	1092	1392	396	236	287	494	140	102	1132	367	401	44	263	90	660
ENSOANG00000022757	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSOANG00000009083	277	319	274	275	267	191	76	63	133	74	82	528	296	278	61	394	86	421
Locus_124105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	7
ENSOANG00000003815	13	5	31	12	7	128	50	8	9	16	23	489	184	71	43	121	81	233
ENSOANG00000001858	217	123	97	247	111	87	47	50	118	183	119	786	435	919	329	1621	739	1609
ENSOANG00000021903	0	1	10	6	0	1	0	0	3	4	0	509	82	129	61	151	133	842
ENSOANG00000012083	1743	1341	1333	992	1054	298	299	253	516	380	226	2149	2669	3490	180	1009	344	1022
ENSOANG00000022039	1	5	14	4	4	1	0	0	1	0	0	10	1	4	0	8	8	26
ENSOANG00000013074	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0
Locus_183242	4	4	11	7	8	0	1	0	0	1	2	24	1	4	3	4	3	16
ENSOANG00000008253	0	0	1	4	3	0	0	90	61	1	0	3	3	6	0	1	0	3
ENSOANG00000020826	24	24	115	18	15	11	10	3	1	2	4	103	14	7	25	35	19	240
ENSOANG00000012463	33	15	26	15	19	0	2	11	10	2355	213	5	7	1	1	8	5	7
ENSOANG00000003845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000011616	957	780	3878	727	554	205	157	102	186	159	144	3301	891	637	611	2270	1040	8862
ENSOANG00000009419	15	8	28	35	25	7	5	14	31	13	4	146	126	29	65	184	94	441
Locus_38841	0	0	0	0	0	0	0	0	0	0	0	12	5	7	0	3	1	2
