Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male1	Testis_Male2	Testis_Male3
ENSMODG00000006749	0	0	2	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	2
ENSMODG00000011756	3	0	1	1	0	0	4	9	6	75	57	44	33	864	1062	2593	2	11	9
Locus_122199	9	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000023364	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000020188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000012671	17	3	6	2	0	1	4	4	6	2	0	308	493	79	9	105	85	108	300
ENSMODG00000005219	6063	1340	4535	3198	2998	709	1293	874	460	304	183	1352	1200	526	224	312	381	692	1197
ENSMODG00000023736	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	10	4
ENSMODG00000023964	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	4	4	7	4
ENSMODG00000023239	839	114	94	506	321	4	15	1	2	0	0	6	14	0	0	0	50	54	60
Locus_91035	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1
Locus_418873	2	0	0	0	0	0	0	0	0	0	0	17	4	0	0	0	0	0	0
blastnPan.Locus_42364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMODG00000004890	1	0	1	0	0	1	0	96	59	0	0	22	43	157	138	339	68	183	186
Locus_315310	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	6	29
Locus_86715	0	0	0	0	0	0	0	0	0	0	0	412	53	3	0	1	0	2	1
ENSMODG00000014565	147	36	52	86	85	62	111	76	31	36	20	94	188	133	215	102	45	167	69
ENSMODG00000014518	3116	1024	3280	2004	2094	944	1799	954	622	883	822	2267	1647	1766	2731	1162	496	1395	3352
Locus_319533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	17
Locus_122119	0	0	0	0	0	1	0	1	0	0	0	1	0	5	35	4	0	0	0
ENSMODG00000004713	196	45	124	68	68	58	439	76	87	66	40	161	344	130	131	139	25	41	100
ENSMODG00000016552	88	54	35	149	198	187	473	175	149	125	51	120	280	136	377	113	1997	2882	2713
ENSMODG00000020506	114	37	21	14	26	38	64	51	27	1	2	17	29	10	15	11	30	26	60
ENSMODG00000016229	54	8	23	27	22	31	101	21	28	30	11	119	251	15	119	28	387	797	1489
ENSMODG00000010239	82	17	18	4	2	9	8	25	34	10	6	43	126	25	92	67	129	177	200
Locus_193262	20	3	22	12	3	1	1	2	0	0	0	1	2	1	0	0	3	0	1
ENSMODG00000010521	78	17	16	44	32	68	63	98	30	10	5	2674	6734	387	3485	22007	37	115	82
ENSMODG00000024336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_320704	0	0	0	0	0	0	0	0	0	0	0	13	9	1064	69	4856	1	0	0
ENSMODG00000017398	44	8	29	34	33	2	4	206	156	1	0	481	644	374	313	904	0	0	0
ENSMODG00000006724	559	114	67	236	244	265	495	243	119	93	44	116	451	132	185	245	308	1070	390
ENSMODG00000009292	180	42	104	84	72	42	152	96	85	55	48	256	506	263	271	166	41	122	237
ENSMODG00000000141	493	152	352	123	205	291	1479	180	151	119	86	331	635	678	790	530	108	288	383
ENSMODG00000007331	706	134	311	407	341	71	336	164	172	185	249	1073	1902	550	576	559	61	133	298
