Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Placenta_Indiv1	Placenta_Indiv2	Placenta_Indiv3	Testis_Male1	Testis_Male2	Testis_Male3
ENSMODG00000004817	397	124	172	171	175	166	291	234	137	253	163	278	707	212	791	394	172	415	491
ENSMODG00000012348	5524	1742	5063	95	88	0	0	0	0	0	0	0	2	14	9	11	3	13	27
Locus_191487	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	4
ENSMODG00000024072	403	118	718	151	177	30	147	95	52	79	45	378	296	612	328	1027	73	357	504
Locus_391275	7	3	1	5	4	0	4	0	0	0	0	0	0	1	2	1	1	2	2
Locus_230713	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	7	11
ENSMODG00000018720	487	69	553	45	38	8	48	111	51	10	6	769	257	250	28	65	40	110	555
ENSMODG00000024341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_88916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	5
ENSMODG00000015039	131	48	122	97	103	36	141	106	105	65	50	797	614	241	338	184	91	207	548
ENSMODG00000006424	6939	1162	4648	2695	2489	6644	19686	591	344	398	158	3694	2079	4860	300	956	276	737	1379
Locus_314463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	21	54
ENSMODG00000023867	2	0	0	0	0	5	31	0	0	0	0	1	3	3	0	48	4	6	2
ENSMODG00000017053	73	18	31	21	8	1	6	36	25	97	164	14	31	97	65	71	46	121	214
ENSMODG00000024936	147	21	116	24	33	15	92	18	22	48	18	209	116	234	37	87	20	49	100
ENSMODG00000005244	513	112	229	8	7	0	2	18	1	0	0	28	51	0	4	14	0	2	9
ENSMODG00000006309	167	42	343	46	49	23	43	5	5	12	8	611	298	20	6	3	18	15	86
ENSMODG00000021551	218	61	148	89	125	59	180	82	62	66	36	217	176	219	101	77	100	170	700
Locus_190493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8
Locus_228902	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	10	4	69
Locus_92020	2	4	0	0	0	3	5	1	1	0	0	0	1	0	1	1	0	5	5
ENSMODG00000010377	575	91	209	46	45	167	297	186	82	204	216	463	275	213	24	136	230	394	621
ENSMODG00000002604	223	87	174	94	129	34	82	13	14	1	1	317	681	22	30	19	16	79	46
Locus_90236	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	21	15
Locus_87151	0	0	0	0	0	0	2	2	0	0	0	14	14	0	9	3	7	8	9
ENSMODG00000013967	171	40	438	66	63	46	153	45	46	20	12	537	143	430	104	93	35	188	780
Locus_89627	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	24	16
ENSMODG00000013087	53	6	9	19	14	95	317	125	94	10	2	200	412	92	116	91	42	95	117
ENSMODG00000007436	685	147	665	236	220	63	362	141	157	107	60	2091	1653	752	381	365	175	444	1122
ENSMODG00000002784	14	3	3	197	140	2	2	2837	3782	9	8	1	2	2	60	4	1	0	2
ENSMODG00000009335	363	91	157	125	154	155	253	225	101	109	53	297	273	138	225	91	128	280	365
Locus_374091	11	1	2	5	2	1	11	4	4	1	1	13	11	6	4	3	4	3	6
ENSMODG00000020191	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000024955	163	42	232	45	59	6	65	29	32	13	13	205	274	182	119	96	31	97	398
ENSMODG00000020378	277	25	113	88	66	36	77	74	35	77	38	328	297	222	9	69	61	156	293
ENSMODG00000015598	260	55	248	79	61	7	51	37	29	13	10	635	266	114	9	39	60	165	751
ENSMODG00000025298	593	178	511	270	256	114	529	49	87	9	9	1773	1038	187	92	77	92	237	1531
ENSMODG00000011467	249	85	136	96	123	25	72	95	44	101	23	227	410	73	437	145	44	102	110
ENSMODG00000020105	199	55	133	311	247	12	1	7	3	44	28	102	242	47	44	21	14	48	54
Locus_230465	1	0	0	0	0	0	1	0	0	0	0	0	0	59	2	1	0	0	0
Locus_89246	79	31	44	35	32	24	41	20	20	12	13	70	176	2	59	8	14	24	30
ENSMODG00000023536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000003074	350	102	2728	157	146	149	494	188	108	185	106	6034	729	2998	307	252	57	194	2284
ENSMODG00000003048	26	2	4	17	15	0	5	0	0	0	1	5	10	2	2	1	8	10	36
ENSMODG00000021284	7608	1646	9576	2785	2814	1479	4143	1933	1020	1165	499	12759	11923	5146	4224	3536	550	1161	4147
ENSMODG00000004857	2	0	4	0	0	0	3	0	1	2	0	9	17	1	1	0	64	98	290
ENSMODG00000015933	380	147	55	308	339	570	1144	711	380	287	190	332	2699	133	1057	586	338	445	322
ENSMODG00000022620	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Locus_33283	1	0	1	0	1	0	1	0	0	0	0	2	0	8	0	0	1	0	24
ENSMODG00000005843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMODG00000005931	320	63	188	66	72	40	182	115	81	100	58	280	460	400	556	410	13	32	172
ENSMODG00000011845	214	55	75	39	32	0	0	2	1	0	0	1	21	2	0	1	2	9	12
Locus_185726	103	25	35	47	19	5	35	30	21	7	2	136	177	26	45	16	4	2	6
Locus_189857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8
Locus_390891	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	6	71
ENSMODG00000011674	4469	1241	3782	3419	3448	331	1092	600	464	523	303	1377	1612	555	959	490	496	1252	1638
ENSMODG00000003297	51	12	30	3	0	3	7	443	142	2	0	81	96	3	0	0	197	341	803
ENSMODG00000023452	19	1	7	2	3	0	4	0	0	0	0	1	1	1	0	0	26	42	69
Locus_229949	0	0	0	0	0	1	5	11	8	3	4	4	5	0	0	0	0	1	0
ENSMODG00000012847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000007926	382	67	121	184	160	43	165	103	80	75	72	89	471	93	212	173	87	149	158
ENSMODG00000013593	1332	446	314	915	751	70	131	112	25	12	12	107	223	24	95	26	28	21	43
Locus_317045	2	0	0	2	1	0	1	11	3	0	0	15	4	0	28	2	2	4	37
blastnMouse.Locus_3279	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000013796	9	0	106	13	0	3	3	8	0	35580	29044	26	3	34	46	1	2	0	0
Locus_228275	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	3	8	7
Locus_35319	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	6	13
ENSMODG00000000167	86	36	175	45	37	21	103	27	27	16	10	709	517	222	128	145	53	220	561
ENSMODG00000008866	202	43	195	43	54	113	890	27	25	44	22	140	166	62	37	66	28	39	129
ENSMODG00000012763	2703	645	1146	1431	1336	1009	2376	929	527	497	338	1340	2183	1245	705	996	1400	3403	5659
ENSMODG00000013337	267	43	60	102	73	2	4	3	4	0	0	49	76	37	21	11	1	8	6
ENSMODG00000005511	2122	285	1745	912	880	3	5	6	10	0	0	95	76	2	0	7	597	1485	4212
ENSMODG00000012511	656	112	148	334	363	45	44	21	2	74	0	42	127	3	2	3	0	3	2
ENSMODG00000019183	1309	357	1214	575	651	420	997	509	293	405	356	1640	1409	2055	1163	830	278	789	1754
ENSMODG00000009553	36	12	11	52	36	3	21	9	3	4	3	81	96	43	82	117	4	0	4
ENSMODG00000020081	294	53	69	6	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSMODG00000001213	1822	431	1101	106	106	0	7	1	1	0	0	29	44	0	2	3	3	11	8
ENSMODG00000014855	266	41	37	69	58	118	237	75	51	41	20	79	289	31	57	73	42	65	90
Locus_391856	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	10
ENSMODG00000002138	1594	334	534	197	151	61	219	47	53	27	22	610	1182	300	307	279	141	323	273
ENSMODG00000019409	39	6	12	18	24	84	172	245	150	14	9	82	254	40	39	35	44	79	87
ENSMODG00000018936	1288	414	1251	915	867	1009	2630	1431	1031	938	518	6260	5982	8025	4758	7306	119	266	496
ENSMODG00000000969	1237	543	607	481	489	548	2037	2094	1621	1241	822	4091	15236	1517	5330	3557	496	1237	1473
ENSMODG00000019857	8	7	10	2	0	0	0	0	0	0	0	146	65	4	5	4	87	259	609
ENSMODG00000004971	261	41	199	97	86	11	71	48	70	31	27	556	508	427	89	166	166	352	1560
ENSMODG00000003469	63	12	16	4	3	285	609	50	35	1	0	42	73	13	21	4	1	0	1
ENSMODG00000013212	20	6	13	4	2	0	0	0	0	1	1	12	4	31	2	2	1	1	3
ENSMODG00000017969	0	0	0	1	1	0	0	0	0	0	0	5	17	0	0	0	617	981	2384
ENSMODG00000009719	602	115	323	217	236	48	173	156	76	85	46	310	408	301	131	263	83	235	362
ENSMODG00000008747	4	1	1	0	1	0	0	0	0	0	0	17	22	5	6	2	0	9	4
Locus_316948	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	41	32
ENSMODG00000003349	811	161	426	551	477	66	171	856	435	331	344	298	541	205	388	175	35	42	93
ENSMODG00000008968	1407	426	1622	790	851	28	67	69	42	13	17	552	394	188	102	104	1673	2941	14930
Locus_372750	1	1	1	0	0	0	3	99	87	0	0	0	1	1	16	1	0	0	0
ENSMODG00000006034	131	30	47	95	108	109	222	181	113	65	48	104	323	49	253	110	162	311	430
Locus_230442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ENSMODG00000014711	5	0	0	1	0	0	1	0	0	3	2	2	6	1	1	3	0	0	0
ENSMODG00000015178	625	126	330	107	84	159	413	176	109	926	250	331	736	626	894	967	57	119	243
blastnHuman.ENSG00000253205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000025697	105	27	137	52	59	113	344	191	127	82	62	644	289	183	59	72	293	1105	1973
ENSMODG00000024763	9	3	3	4	6	0	2	1	0	6	2	3	7	0	1	4	6	10	23
ENSMODG00000016457	23	12	15	36	82	3	1	1	1	1	0	10	21	8	0	123	0	1	1
ENSMODG00000017395	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	1	0	0	1
ENSMODG00000004518	239	74	563	114	118	58	204	75	87	58	40	1285	755	687	324	240	233	527	1840
ENSMODG00000025366	161	24	95	30	21	6	29	21	4	35	2	142	184	16	32	39	3	3	7
Locus_419568	767	270	431	203	173	2	13	5	8	5	3	54	190	9	24	14	3	4	7
ENSMODG00000012361	294	26	135	71	56	13	48	57	44	164	95	819	575	192	7	77	73	128	366
Locus_231581	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	1	6	11	13
Locus_232246	5	0	3	1	0	2	1	0	0	2	0	2	2	6	6	6	24	79	282
ENSMODG00000002207	11	9	11	16	11	5	65	10	16	6	5	23	43	54	157	40	1808	2875	4679
ENSMODG00000016991	1139	278	210	957	916	1102	996	592	208	190	194	531	1152	430	489	382	141	275	205
Locus_232257	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	5	11	11
ENSMODG00000013463	1673	574	916	1563	1922	47	123	179	52	20	6	446	415	131	106	49	61	237	283
ENSMODG00000021241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMODG00000003576	1466	228	721	507	503	6	28	1	1	8	1	6	8	2	2	0	0	0	4
ENSMODG00000000109	293	64	195	67	99	14	57	88	75	7	4	299	509	66	174	49	194	296	706
ENSMODG00000005464	143	38	31	107	100	1474	2669	731	477	151	173	161	425	208	239	349	28	67	53
ENSMODG00000002127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Locus_187806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	10	16
Locus_89020	6	4	0	1	6	0	5	1	1	2	1	4	2	4	3	1	0	4	8
ENSMODG00000012418	150	38	82	1	0	0	0	0	0	0	0	17	21	6	1	2	1	1	3
blastnPlatypus.Locus_162020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_318877	119	21	221	14	13	12	122	32	31	18	20	260	260	309	458	182	11	14	125
ENSMODG00000016864	407	97	268	354	338	171	404	241	109	195	124	832	792	368	235	204	144	300	881
ENSMODG00000006377	482	84	181	138	158	893	2652	5	8	7	3	157	153	23	21	25	462	742	932
ENSMODG00000006978	2564	1047	1983	984	1179	1454	4995	236	325	13	4	893	2644	164	720	261	9	13	47
ENSMODG00000006436	4658	510	2820	317	261	0	2	3	0	0	1	35	77	20	3	6	2	5	5
ENSMODG00000012546	1045	150	582	321	310	28	52	36	26	3	0	574	415	43	10	25	20	79	194
ENSMODG00000009881	0	0	0	0	0	0	0	0	0	0	0	8	6	1	4	1	3	1	29
Locus_90243	0	0	0	0	0	3	15	0	0	0	0	2	0	0	0	0	0	0	0
ENSMODG00000021170	462	147	302	211	259	10	17	7	13	1	3	1007	667	374	71	254	684	1031	4537
Locus_122365	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	5
ENSMODG00000013681	283	56	120	113	114	65	165	67	55	44	32	159	224	63	78	58	53	129	117
ENSMODG00000013322	436	71	358	253	206	299	621	205	127	107	53	869	519	601	154	161	2103	4416	5326
ENSMODG00000006107	0	0	0	0	0	0	0	124	42	0	0	1	5	2	2	2	0	0	1
ENSMODG00000022564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000017687	783	141	597	191	187	37	158	148	104	27	18	344	457	169	58	94	170	512	1345
Locus_373841	6	3	5	3	4	3	6	2	1	3	0	5	3	0	0	2	7	15	29
Locus_377910	17	1	1	11	6	8	16	6	2	1	2	20	7	4	6	4	7	19	67
Locus_320123	1	0	0	0	0	2	8	1	4	37	22	96	36	6	8	2	0	0	7
ENSMODG00000014721	163	21	107	71	61	25	117	46	26	35	13	356	280	146	130	67	24	45	183
Locus_193277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	21	18
Locus_391501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	122
ENSMODG00000025051	16	0	8	8	1	3	8	8	0	2	1	20	19	7	1	4	108	143	912
Locus_320068	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	5	4	35
Locus_99211	56	8	10	31	37	7	25	16	14	8	2	25	68	9	18	11	8	7	10
Locus_121603	0	0	0	2	3	0	0	10	2	1	2	0	0	2	1	0	0	0	0
ENSMODG00000009460	196	13	70	4	3	0	0	3	0	0	0	16	3	7	0	2	0	0	0
blastnPan.Locus_94166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000006743	167	25	48	81	73	6	31	48	38	29	16	130	362	40	158	34	203	407	914
ENSMODG00000020538	716	150	618	128	127	12	40	281	102	1	2	319	211	25	10	15	297	912	1422
blastnMacaque.Locus_474184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000001504	458	164	136	212	242	142	292	147	180	120	92	319	632	739	613	459	256	322	472
ENSMODG00000010161	219	50	211	72	89	38	155	58	41	24	13	241	138	167	59	92	22	68	104
ENSMODG00000011261	179	57	129	128	151	344	565	161	56	70	50	519	717	376	554	318	167	508	592
ENSMODG00000022735	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	0	0
ENSMODG00000013948	157	25	55	129	108	24	51	55	23	29	19	123	138	55	11	27	211	417	669
ENSMODG00000010763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMODG00000007057	2124	417	1081	1355	1273	0	50	0	3	0	0	35	81	0	0	0	3	23	9
ENSMODG00000015566	1668	388	399	1448	1473	1361	2293	1595	469	1863	978	631	1286	589	245	862	53	108	106
Locus_187477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	10
Locus_372121	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0
ENSMODG00000004201	273	97	130	134	125	78	393	108	100	76	54	99	514	87	641	381	39	49	107
Locus_191100	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	1	18	31	43
ENSMODG00000023488	29	5	6	7	11	182	273	16	9	42	24	14	26	10	11	51	91	157	129
ENSMODG00000017663	217	35	63	10	9	6	12	0	1	1	0	27	57	10	19	12	12641	17176	46816
ENSMODG00000005491	2	0	0	1	1	0	0	0	0	0	0	15	23	1	2	0	3	12	26
blastnHuman.Locus_159237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000007419	22	11	19	5	7	2	19	15	9	14	10	134	184	82	137	39	7	21	88
ENSMODG00000016022	207	51	169	126	122	140	415	236	161	119	87	752	434	784	303	215	67	190	501
ENSMODG00000016619	183	69	130	185	229	244	298	216	121	50	33	233	498	236	552	171	108	153	281
ENSMODG00000021047	169	77	22	86	120	112	205	288	126	235	187	54	427	18	191	69	79	119	76
ENSMODG00000014988	102	31	14	33	39	16	19	9	0	22	33	17	58	2	47	10	8	17	7
Locus_188569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	19
ENSMODG00000008062	183	27	35	82	42	26	71	3	1	4	1	55	144	2	6	8	9	30	14
ENSMODG00000021070	1501	411	309	307	255	1	0	0	0	0	0	4	23	0	0	0	0	0	1
ENSMODG00000025101	139	14	34	13	8	0	0	0	0	0	0	2	5	1	0	2	0	0	3
ENSMODG00000008958	2	0	1	4	1	0	0	1	2	0	0	11	34	3	2	30	0	0	0
blastnHuman.ENSG00000254010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMODG00000002637	451	69	160	380	259	212	253	342	142	67	46	1197	778	165	26	34	30	87	120
Locus_89213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	18
ENSMODG00000001445	441	157	861	67	71	20	191	67	92	51	21	1453	1003	1000	783	427	422	1815	6521
ENSMODG00000000198	242	98	183	31	64	542	956	221	246	145	101	216	246	515	711	264	9	23	58
ENSMODG00000009964	249	67	630	91	75	45	257	54	57	49	50	2137	907	516	366	164	143	475	2317
ENSMODG00000017600	324	35	85	166	117	67	246	107	45	86	69	264	268	166	36	183	247	357	677
ENSMODG00000022889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000001177	1348	426	2967	373	385	164	798	260	202	193	101	4243	1265	1022	570	291	382	1480	4145
ENSMODG00000015690	18	5	6	2	6	1	1	4	8	0	0	27	15	60	105	52	1	13	18
blastnGorilla.Locus_338665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	7
ENSMODG00000024698	93	34	44	68	43	127	284	57	41	44	45	214	196	55	32	30	285	554	863
ENSMODG00000014627	5	2	8	5	0	4	4	949	147	38	22	133	1330	0	3	0	0	1	0
ENSMODG00000009637	995	412	316	189	103	0	0	0	0	0	0	1	2	2	0	1	36	46	79
ENSMODG00000018836	99	26	83	115	81	63	108	174	79	99	63	352	187	178	43	40	52	190	245
ENSMODG00000024225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSMODG00000015632	239	51	134	99	130	41	107	556	217	73	59	232	265	215	126	136	133	215	756
CUFF.174153	2	2	1	0	3	2	10	7	3	0	0	23	44	0	1	0	0	0	0
ENSMODG00000017509	1199	275	366	390	263	129	270	2749	1110	101	50	197	452	4280	3214	2980	62	139	247
ENSMODG00000004710	239	75	289	83	78	25	112	1164	445	16	19	521	456	1149	529	188	59	228	813
ENSMODG00000017317	2	0	2	0	0	0	0	0	0	1604	1182	0	3	0	2	7	3	13	9
Locus_192145	0	1	0	0	0	0	0	1	0	0	0	18	11	1	1	0	40	42	317
ENSMODG00000006324	734	232	303	362	333	225	573	133	104	193	141	854	1812	361	772	552	121	324	343
ENSMODG00000011701	61	9	33	49	52	14	28	109	69	13	6	23	20	122	103	71	0	2	10
ENSMODG00000012331	464	53	417	49	25	16	96	69	48	0	0	177	70	120	55	47	4	7	53
ENSMODG00000006572	434	118	26	273	147	944	1123	399	207	7	6	109	551	77	483	132	46	64	45
blastnGorilla.Locus_226342	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMODG00000005480	273	48	98	228	275	14	54	196	61	26	14	134	271	996	308	503	50	131	288
ENSMODG00000006347	3666	690	1330	991	723	25803	38621	1891	1185	513	407	8316	9718	1451	1728	1488	577	1099	1378
Locus_318178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	25
ENSMODG00000008817	692	242	569	674	939	405	965	488	358	274	200	809	1462	949	1365	1060	229	402	779
blastnHuman.ENSG00000232586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Locus_120873	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3
Locus_375809	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	21	20
Locus_314328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	17
CUFF.346220	31	6	13	1	1	2	24	3	3	0	0	6	4	2	1	0	0	0	2
Locus_419027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	4
ENSMODG00000011305	109	21	14	72	67	30	32	38	23	7	7	11	54	8	11	8	13	20	12
ENSMODG00000014039	17	122	11	18	7	22	53	85	83	12	3	548	946	452	749	784	148	242	423
ENSMODG00000007260	0	0	0	0	0	0	0	20	4	0	0	0	0	3	1	0	0	0	0
Locus_193352	3	1	0	1	1	0	15	1	0	1	0	2	5	1	0	0	1	2	0
Locus_230307	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	3	4	1
ENSMODG00000013171	1	0	2	0	0	0	4	6	4	2	1	1286	992	1442	508	622	35	162	138
blastnMouse.Locus_82502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000014584	3	3	0	0	0	0	0	1	0	0	0	3	20	0	0	0	51	103	70
ENSMODG00000018172	26	5	24	19	22	9	21	18	9	10	6	113	92	25	7	23	10	59	74
ENSMODG00000010180	2676	559	1524	562	502	699	1307	553	318	229	133	6828	4940	5714	1507	3630	83	223	413
ENSMODG00000007528	6	4	4	6	6	0	0	609	337	0	0	133	245	0	0	0	150	439	278
ENSMODG00000018849	1	1	1	0	0	0	2	15	9	0	0	224	257	88	26	106	11	9	11
ENSMODG00000002914	3296	531	2474	535	416	209	973	617	404	474	289	4634	2026	2029	261	783	1042	2152	4778
ENSMODG00000017434	611	210	643	298	326	239	992	308	270	269	241	1133	884	1121	939	565	106	224	448
Locus_372985	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	2	20
ENSMODG00000004622	609	151	423	280	257	22	94	59	46	3	2	461	422	202	98	150	104	278	615
ENSMODG00000003818	460	113	481	196	186	32	133	92	81	51	19	707	784	319	403	238	34	119	223
ENSMODG00000020895	511	204	405	123	168	28	84	37	39	20	11	635	560	162	143	74	20	35	59
ENSMODG00000017157	659	212	572	232	232	157	468	196	196	116	85	1169	1851	903	1003	764	335	659	1730
ENSMODG00000014172	270	126	43	260	253	428	553	275	141	175	144	91	559	137	394	129	270	674	521
ENSMODG00000018955	68	11	15	36	19	367	533	112	86	1	1	1298	1051	100	112	566	314	663	920
blastnPan.CUFF.266292	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	5	3	1
ENSMODG00000013713	188	40	80	183	162	50	147	253	204	177	108	574	878	1222	1530	665	221	503	678
ENSMODG00000014370	319	64	149	162	150	132	347	18	14	2	9	488	551	49	31	34	92	196	377
ENSMODG00000002229	8	6	2	7	8	0	1	2	0	3	3	0	1	2	3	0	5	8	18
ENSMODG00000011561	429	131	136	393	427	1275	1799	1070	534	669	636	365	1308	356	906	831	1042	1755	1889
ENSMODG00000000829	0	0	0	0	0	0	0	3	13	0	1	0	0	0	0	0	2	1	7
ENSMODG00000006364	51	15	26	16	18	16	15	193	101	51	17	57	125	554	138	1819	155	332	345
Locus_317485	1	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	5	17	15
ENSMODG00000010405	337	57	194	80	65	70	222	56	66	39	39	463	368	168	138	105	12	19	44
Locus_34415	0	2	2	0	0	0	0	1	0	4	0	5	0	0	0	2	5	22	97
ENSMODG00000001730	6	0	2	1	0	0	0	8	14	0	3	536	887	255	58	72	10	45	68
ENSMODG00000015785	135	66	99	110	125	28	129	59	67	57	33	316	511	293	812	234	304	509	917
ENSMODG00000025035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000017113	1131	305	706	647	612	118	677	611	447	232	183	2989	3148	1151	1058	892	330	828	1487
ENSMODG00000015728	329	24	70	103	58	1	14	20	4	0	1	46	67	39	7	4	20	33	47
ENSMODG00000004933	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	111	370	296
ENSMODG00000001642	397	132	722	86	76	211	774	96	112	53	55	1035	471	486	324	120	200	847	1685
Locus_320871	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	2	0	0	0
ENSMODG00000007858	384	129	162	385	472	213	281	343	167	133	145	278	531	342	524	536	87	229	185
ENSMODG00000013434	3710	1409	629	2370	2566	3812	4364	6971	2788	3982	2923	3283	17772	1775	9361	4806	670	1219	1219
Locus_228386	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	22	35	152
ENSMODG00000016241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSMODG00000011979	244	87	171	162	137	142	313	211	164	158	134	740	763	535	694	434	993	2454	5309
ENSMODG00000023460	3	0	0	0	1	0	0	0	0	0	0	4	2	0	0	0	1	3	0
ENSMODG00000019191	5	1	0	16	14	1	0	1	0	1	0	1	0	2	2	0	0	0	6
ENSMODG00000016829	0	0	0	0	0	0	0	13	4	3	0	4	8	1	9	2	2	0	4
ENSMODG00000002921	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMODG00000008475	3394	682	1742	1691	1566	858	2024	1175	596	654	395	4275	3795	1466	932	695	1184	2891	4057
ENSMODG00000005635	63	11	208	17	15	6	48	50	33	106	85	555	220	505	184	246	24	31	589
blastnPan.Locus_177320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000022930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMODG00000012771	4	0	0	0	0	1	4	2	0	0	0	2	1	4	2	1	0	0	0
ENSMODG00000014398	177	25	73	51	43	1	4	5	0	2	1	332	295	105	78	149	40	117	211
ENSMODG00000009618	1152	263	491	341	267	440	986	13	15	8	3	467	458	40	15	41	28	41	113
ENSMODG00000016742	329	161	105	277	363	108	191	121	90	41	13	211	567	67	610	145	44	47	46
Locus_228942	0	2	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Locus_231252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	32
ENSMODG00000018252	22	3	4	3	0	0	1	17	26	1	1	180	101	194	216	45	497	1139	2488
Locus_419205	1	1	1	0	1	0	0	0	0	1	0	36	46	2	2	0	346	672	988
ENSMODG00000015294	140	58	92	96	110	44	183	70	70	22	10	104	337	73	267	161	14	21	16
ENSMODG00000003631	1	0	0	0	0	0	4	1	0	0	0	1	1	0	0	0	6	21	7
Locus_418909	0	0	0	0	0	0	0	3	0	0	0	2	1	0	0	0	1	0	4
ENSMODG00000006383	54	24	64	11	11	31	175	38	18	53	47	493	198	2056	101	341	22	44	89
