Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
ENSPPYG00000005989	0.66	0.27	1.06	7.19	7.3	5.11	9.21	0.61	0.2
blastnMacaque.Locus_189216	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_77362	0	0	0	0	0	0	0	0	0
ENSPPYG00000011753	0.39	1.22	1.16	0.17	0	0	0	0	0.13
ENSPPYG00000001616	149.75	210.57	46.2	4573.84	11322.94	152.71	415.35	1.24	2.8
ENSPPYG00000018859	0	0	0.07	0	0	0.09	0.19	4.91	2.13
blastnPan.CUFF.134007	0	0	0	0	0	0	0	0	0
ENSPPYG00000007954	4.86	5.65	7.46	2.98	1.54	7.78	4.83	4.47	5.05
ENSPPYG00000009559	16.07	12.17	16.27	10.83	20.43	13.8	14.05	8.22	9.35
blastnMouse.ENSMUSG00000006462	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_3279	0	0	0	0	0	0	0	0	0
ENSPPYG00000005967	8.78	9.27	9.51	10.41	8.1	18.72	18.13	16.14	12.87
blastnHuman.Locus_70132	0	0	0	0	0	0	0	0	0
ENSPPYG00000006644	2.31	4.86	0.52	0.43	5.26	1.08	1.72	13.76	46.85
blastnPan.CUFF.164853	0	0	0	0	0	0	0	0	0
ENSPPYG00000008467	24.13	19.6	16.38	13.35	21.37	15.43	17.59	10.44	12.39
blastnHuman.ENSG00000241884	0	0	0	0	0	0	0	0.1	0
blastnHuman.ENSG00000235533	0	0	0	0.29	1.25	0	0	0	0
ENSPPYG00000016117	1.99	1.45	2.71	1.73	1.03	0.64	0.97	0.6	0.81
ENSPPYG00000015865	26.13	20.71	24.34	36.39	47.01	27.14	34.99	25.39	20.67
ENSPPYG00000006357	0.38	0.26	0.16	0.21	0	0.38	0.14	0.91	1.72
blastnMacaque.CUFF.183373	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_313737	0	0	0	0	0	0	0	0	0
ENSPPYG00000015068	3.25	3.23	4.68	10.13	5.36	4.88	3.57	7.88	5.34
ENSPPYG00000011854	8.21	12.09	0.2	0	0	0.24	0.35	0.38	0
ENSPPYG00000013125	5.38	2.65	4.35	29.68	33.3	46.31	86.44	49.57	120.76
ENSPPYG00000018806	0.84	0.93	2.43	5.49	3.93	5.23	6.63	1.95	1.12
ENSPPYG00000015597	2.55	1.67	3.2	5.94	3.89	2.61	2.34	3.45	3.83
blastnGorilla.Locus_464291	0	0	0	0	0	0	0	0	0
ENSPPYG00000014031	13.56	15.05	3.81	0.95	0.84	2.95	2.47	0.08	0.12
blastnPan.CUFF.171495	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_005450	0	0	0	0	0	0	0	0	0
ENSPPYG00000005103	8.95	10.26	5.86	1.76	2.63	4.43	2.57	19.84	25.24
blastnMacaque.Locus_115177	0	0	0	0	0	0	0	0	0
ENSPPYG00000009444	26	29.85	17.94	12.32	19.55	20.47	15.58	22.29	12.63
ENSPPYG00000017961	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_473951	0.16	0	0	0	0	0	0	0	0
blastnGorilla.Locus_338295	0	0	0	0	0	0	0	0	0.25
ENSPPYG00000007993	11.63	12.91	6.62	5.11	2.84	1.43	2.89	6.02	3.62
ENSPPYG00000020188	7.66	6.9	10.8	43.65	12.76	24.98	13.13	174.02	87.79
blastnHuman.ENSG00000227498	0	0	0	0	0	0	0	0	0
ENSPPYG00000004307	17.97	14.28	38.75	30.36	9.69	10.96	12.11	22.71	14.78
CUFF.156883	0.5	0	3.1	2.12	5.5	3.02	0.83	1.81	0.68
ENSPPYG00000015664	0	0	0	0	0	0	0	0	0
ENSPPYG00000015941	10.66	13.11	12.5	6.92	7.02	9.64	8.2	5.83	5.72
ENSPPYG00000002207	4.31	4.2	4.56	4.16	7.86	2.85	4.1	5.55	3.88
blastnMacaque.Locus_115061	0.27	0	0.34	0.47	0	0	0	0	0
Locus_183769	0.55	0	0.69	0.32	0	4.21	2.46	2.24	1.01
blastnHuman.ENSG00000253205	0.03	0.05	0	0	0	0	0	0	0
ENSPPYG00000016246	2.22	3.22	1.2	6.75	5.53	2.46	6.9	3.49	3.03
blastnMacaque.Locus_500478	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_341841	0	0	0	0	0	0	0	0	0
ENSPPYG00000019960	3.13	3.23	6.42	8.45	4.56	5.64	10.17	8.07	7.3
ENSPPYG00000012881	20.56	18.19	13.07	17.94	25.42	13.72	19.52	27.09	20.81
ENSPPYG00000005489	5.4	5.58	0.84	2.05	2.06	3.48	2.89	14.53	2.48
blastnGorilla.Locus_60761	0	0	0	0	0	0	0	0	0
blastnPan.Locus_152433	0	0	0	0	0	0	0	0	0
ENSPPYG00000012123	7.27	5.06	8.42	9.85	11.35	4.89	5.19	6.96	5.54
ENSPPYG00000009124	0.08	0	0	0	0	0.11	0	0	0
ENSPPYG00000012239	0.68	0.66	0.85	0	0.15	0	0	0	0.27
ENSPPYG00000003872	10.14	7.64	4.95	44.83	55.92	11.9	16.02	8.57	7.98
blastnGorilla.Locus_293422	0	0	0	0	0	0	0	0	0
ENSPPYG00000014732	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_314833	0.79	0.41	0	0	0	0	0	0	0
ENSPPYG00000017018	4.98	0.27	0.93	5.82	2.9	1.59	1.4	47.02	17.5
ENSPPYG00000011427	7.77	10.68	8.64	7.62	2.46	3.05	3.11	4.1	2.11
blastnMouse.Locus_97956	0	0	0	0	1.52	0	0	0	0
ENSPPYG00000009951	1.38	3.5	0.66	1.81	1.95	6.92	5.04	3.85	3.04
blastnHuman.Locus_17426	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_140040	0.48	0	0.3	0	0	0	0	0	0
blastnMouse.CUFF.170449	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_273141	0	0	0	0	0	0	0	0	0.38
ENSPPYG00000018698	1.78	1.25	6.39	1.57	0.7	1.88	1.69	15.83	7.6
blastnHuman.ENSG00000250668	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_189194	0	0	0	0.5	0	0	0	0	0
ENSPPYG00000010629	1.38	0.88	2.55	2.51	1.75	1.08	1.95	1.96	1.36
ENSPPYG00000000971	1.28	1.86	1.64	4.16	3.46	3.02	1.87	5.37	3.38
ENSPPYG00000004384	0.21	0.28	0.51	0	0	0.1	0.15	0.17	0.56
ENSPPYG00000020200	2.62	2.07	2.7	4.2	4.91	2.22	2.19	2.27	2.12
blastnGorilla.Locus_392952	0	0	0	0	0	0	0	0	0
ENSPPYG00000013747	0	0	0	0	0	0	0	0	0
ENSPPYG00000009390	85.16	107.8	32.17	0.37	0.1	0.04	0	0	0
ENSPPYG00000003185	5.31	13.98	0	0.27	0	0.24	0.18	0	0
blastnHuman.ENSG00000226440	0	0	0	0	0	0	0	0	0
ENSPPYG00000010642	4.46	5.68	7.67	0.04	0.65	3.94	2.54	0.12	1.03
ENSPPYG00000020486	4.3	2.68	4.76	3.74	1.79	0.99	2.15	0.79	2.22
ENSPPYG00000005939	57.51	51.94	38.5	64.4	65.47	63.98	52.3	71.37	44.27
blastnHuman.CUFF.105734	0	0	0	0	0	0	0	0	0
ENSPPYG00000016814	0.78	0.43	1.43	1.56	1.2	1.42	1.71	0.88	1.23
