Gene	Brain_Female1	Brain_Male1	Cerebellum_Female1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1
ENSPPYG00000008597	2.43	1.22	16.51	4.42	6.37	57.81	35.07	18.01	38.14
blastnMacaque.Locus_372335	0	0	0	0	0	0	0	0	0
ENSPPYG00000015741	0	0	0.05	0	0	0.47	0.65	0	0
ENSPPYG00000002583	33.13	22.07	14.3	9.85	17.78	7.33	7.26	6.7	8.33
blastnMacaque.Locus_209641	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000231178	0	0	0	0	0	0	0	0	0
ENSPPYG00000016922	0	0	0	0.07	0	0.33	0.1	0.42	0.12
blastnMacaque.Locus_312405	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000253427	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000236780	0	0	0	0	0	0	0	0	0
ENSPPYG00000013033	0	0	0	0	0	0	0	0	0
ENSPPYG00000015991	2.49	4.41	1.12	2.6	2.6	1.5	0.46	2.54	1.98
blastnPan.CUFF.107341	0	0	0	0	0	0	0	0	0
ENSPPYG00000010757	1.1	3.27	1.98	0	0	0	0	0	0
blastnHuman.ENSG00000225128	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_45878	0	0	0	0	0	0	0	0	0
ENSPPYG00000000918	0	0	0	0	0	0	0	0	0
Locus_78526	0	0	0	0	0	0.48	1.04	0	0
ENSPPYG00000003217	0.75	0	0	12.43	2.32	0.57	0.83	1.83	7.21
blastnHuman.ENSG00000250233	0.18	0.13	0.08	0.52	0.22	0.46	0.6	0.59	0.83
blastnHuman.Locus_145642	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000229051	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_224321	0	0	0	0	0	0	0	0	0
ENSPPYG00000014712	0	0	0	0.06	0	0.4	0.21	1.82	6.1
ENSPPYG00000013518	4.44	1.44	1.96	13.61	13.09	4.67	3.43	3.27	3.66
ENSPPYG00000009498	0.34	0.6	0.01	0	0	0	0	0	0
blastnMacaque.Locus_100926	0	0	0	0	0	0	0	0	0
ENSPPYG00000019293	13.18	7.17	4.61	129.74	50.5	15.54	11.39	21.8	13.2
ENSPPYG00000011744	0.03	0	0	10.38	18.2	0.75	3.71	0.72	0.58
Locus_106542	2.16	8.93	0.32	0	0	0	0	0	0
blastnHuman.CUFF.13514	0	0	0	0	0	0	0	0	0
ENSPPYG00000006380	2.97	2.79	6.19	6.22	4.93	3.26	3.03	3.26	3.68
blastnHuman.ENSG00000227269	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_289201	0.63	0.56	0	0	0.33	0.14	0.1	0.66	0
ENSPPYG00000000535	13.27	8.18	5.99	9.76	9.9	9.88	11.81	6.35	6.56
blastnMacaque.Locus_313880	0	0	0	0.5	0	0	0	0	0
ENSPPYG00000005392	9.4	5.29	5.97	13.68	9.14	10.08	9.41	15.03	6.7
blastnHuman.Locus_126663	0	0	0	0	0	0	0	0	0
ENSPPYG00000004723	1.14	0.43	0.8	1.48	0.42	1.39	1.37	2.16	0.78
blastnGorilla.Locus_132898	0	0.67	0	0	0	0	0	0	0
blastnHuman.ENSG00000232606	0.19	0	0	0	0	0	0	0	0
ENSPPYG00000020025	0.99	4.29	3.15	3.39	0	1.1	1.5	1.31	1.48
blastnPan.CUFF.296990	0	0	0	0	0	0	0	0.13	0.76
blastnHuman.Locus_12152	0	0	0	0	0	0	0	0	0
ENSPPYG00000013575	0.19	0.2	0.06	0.24	0	2.59	0	0	0
ENSPPYG00000009128	3.07	3.59	4.32	6.19	3.22	2.29	2.39	2.63	2.37
blastnPan.Locus_178157	0	0	0	0	0	0	0	0	0
ENSPPYG00000010967	96.75	99.39	50.81	4.03	7.89	13.09	12.78	2.29	1.49
ENSPPYG00000020698	0.18	0	0	1.21	0	0.81	0	2.58	0.73
blastnMacaque.Locus_62423	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_184358	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000253664	0	0.48	0	3.2	0.86	0	0	0	0
ENSPPYG00000004507	1.31	3.33	4.05	1.42	1.98	112.19	140.51	16.06	109.82
ENSPPYG00000004429	1.81	1.87	0.45	4.63	6.54	0.71	0.76	0.61	0.49
ENSPPYG00000010066	6.17	7.67	4.59	2.24	7.38	3.74	2.33	2.63	1.97
blastnGorilla.Locus_441960	0	0.2	0.12	0.16	0	0	0	0	0.13
blastnHuman.Locus_24376	0	0	0	0	0	0	0	0	0
ENSPPYG00000013661	14.24	18.59	11.49	8.36	8.09	9.61	9.15	7.25	10.46
ENSPPYG00000001347	6.68	6.64	15.26	9.57	6.53	7.23	6.32	11.41	11.06
blastnHuman.Locus_28761	0	0	0	0	0	0	0	0	0
ENSPPYG00000001062	14.09	14.24	16.55	12.65	9.62	11.42	6.7	22.3	76.3
ENSPPYG00000025835	7.35	5.29	2.99	18.01	12.38	6.8	13.98	12.42	14.2
ENSPPYG00000003211	0	0	0	0	0	0	0	0	0
ENSPPYG00000020351	0	0	0	0.07	0	0.06	0.05	0	0
ENSPPYG00000015182	21.78	16.92	8.57	16	18.5	2.01	0.51	0	0
ENSPPYG00000007160	7.76	6.14	7.88	9.64	8.43	5.44	8.48	7.64	7.05
blastnHuman.ENSG00000224944	0	0	0	0	0	0	0	0	0
ENSPPYG00000008874	0.82	1.16	10.99	0	0	0	0	0	0
ENSPPYG00000004535	22.39	14.36	10.31	4.68	6.44	40.48	30.32	2.59	10.02
blastnMouse.ENSMUSG00000086243	0	0	0	0	0	7.9	6.78	0	0
blastnPan.Locus_176810	0	0.51	0.15	0	0.45	0.19	0	0	0
ENSPPYG00000012303	6.79	6.8	0.3	0	0.14	23.34	18.52	0.09	0.09
ENSPPYG00000015818	8.25	8.22	8.7	3.24	1.53	1.53	3.75	2.09	2.55
ENSPPYG00000005473	7.31	5.71	7.32	14.99	21.75	16.97	28.41	68.48	80.97
ENSPPYG00000011885	20.02	38.61	5.44	0.18	0	0	0	0	0
blastnHuman.ENSG00000229609	0	0	0	0	0	0	0	0	0
ENSPPYG00000012654	14.77	6.89	6.43	32.33	41.08	61.04	63.51	156.77	35.62
ENSPPYG00000000621	3.11	2.93	1.63	10.61	9.26	30.93	11.9	43.85	38.39
ENSPPYG00000012733	0	0	0	0	0	0	0.57	0	1.22
ENSPPYG00000003149	7.51	10.2	1.76	4.41	3.46	6.78	7.8	13.12	5.46
ENSPPYG00000000272	8.09	2.37	0.72	15.38	48.05	21.02	21.35	3.2	4.63
ENSPPYG00000003745	9.47	6.55	6.24	9.95	8.95	7.64	5.24	7.47	7.72
ENSPPYG00000011562	4.38	3.54	5.47	3.33	2.02	1.67	1.63	5.9	2.39
ENSPPYG00000016318	0.13	0.27	0.16	5.35	9.15	2.98	4.05	0.95	0.36
ENSPPYG00000010874	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_87502	0	0	0	0	0	0	0	0	0
ENSPPYG00000004199	304.82	449.3	141.28	96.83	105.64	123.48	106.73	131.08	96.34
ENSPPYG00000020230	0	0	0	0	0	0	0	0	0.49
ENSPPYG00000015131	2.01	0.65	1.22	6.92	3.02	0.57	0.7	6.41	3.44
Locus_156660	0	0	0	0	0	0	0.12	14.78	3.79
ENSPPYG00000014836	0	0	0	0	0	0	0	0.41	0
blastnHuman.ENSG00000236373	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_18862	0	0	0	0	0	0	0	0	0
ENSPPYG00000013001	0	0.03	0	0	0	0	0.03	0	0.02
ENSPPYG00000016480	3.79	4.29	1.52	0.63	1.58	4.36	4.67	4.45	3.84
ENSPPYG00000014268	0	0	0	0	0	0	0	0.19	0.02
ENSPPYG00000015707	0.5	0	1.04	1.99	3.38	1.01	1.01	1.01	0.45
ENSPPYG00000017138	0	0	0	0	0	0	0	0	0.21
ENSPPYG00000014613	4.46	5.64	5.49	3.81	2.71	3.06	4.52	10.13	7.35
ENSPPYG00000007555	6.47	4.1	1.24	24.04	37.3	32.68	25.75	58.53	21.63
ENSPPYG00000020419	33.19	8.27	10.81	93.05	100.32	125.86	85.66	110.91	47.27
blastnMacaque.Locus_313912	0	0	0	0	0	0	0	0	0
ENSPPYG00000005584	162.42	32.54	120.32	70.03	54.94	24.35	37.65	25.93	117.9
blastnHuman.ENSG00000238054	0	0	0	0	0	0	0	0	0
ENSPPYG00000017325	8.14	8.86	4.01	2.93	5.34	5.46	4.45	2.86	2.86
ENSPPYG00000000987	3.12	4.15	2.93	2.11	3.47	4.16	1.94	2.91	0.53
ENSPPYG00000012855	8.86	3.12	4.15	7.05	14.86	11.33	6.24	13.69	7.29
ENSPPYG00000018513	5.62	9	3.36	2.88	5.68	1.38	2.17	3.09	3.51
ENSPPYG00000015912	0.05	0.11	0	0	0	0	0	0	0
blastnHuman.ENSG00000256197	0	0	0	0.27	0	0.24	0.36	0	0
ENSPPYG00000018977	39.76	90.61	31.91	20.78	40.41	45.64	37.29	23.65	22.18
blastnGorilla.Locus_177370	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_395819	0	0	0.19	0.27	0	0.47	0	0	0
ENSPPYG00000015892	15.73	16.72	14.66	37.96	49.78	24.91	22.33	28.66	20.83
ENSPPYG00000010892	0.91	0.95	0.7	0.66	0.39	0.37	0.16	0.94	4.95
ENSPPYG00000018429	0.41	0.21	0	106.78	85.31	0	0.11	0.25	0
ENSPPYG00000019074	0	0	0	0	0	0.11	0	0	0
ENSPPYG00000004362	5.98	4.48	4.77	5.04	1.67	6.05	9	6.41	5.73
ENSPPYG00000020655	0	0	0	0	0	0	0	0	0
ENSPPYG00000002543	15	18.48	4.08	0.07	0	7.03	6.89	0.19	0.05
ENSPPYG00000004248	0.63	1.74	1.05	0.36	0.78	0	0	0.51	0.14
blastnHuman.ENSG00000235584	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_61981	0	0	0	0	0	0	0	0	0
blastnMouse.CUFF.226927	0	0	0	0	0	0	0	0	0
blastnPan.Locus_159764	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_87099	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_473673	0	0	0	0	0	0	0	0	0
blastnPan.CUFF.147657	0.07	0	0.08	0.12	0	0	0.15	0	0
ENSPPYG00000006542	0.1	0.4	0	2.17	3.24	0	0.32	0	0.27
ENSPPYG00000001189	3.62	2.78	5.03	3.44	1.61	2.09	4.16	3.26	4.45
ENSPPYG00000001775	4.36	1.22	0.65	0.13	0	0.56	0.33	12.56	0.91
blastnMacaque.Locus_273395	0	0	0	0	0	0	0	0	0
ENSPPYG00000007460	31.47	42.88	19.27	18.22	21.98	32.49	23.26	10.43	13.27
ENSPPYG00000002206	0.92	0.42	0.38	0.81	0.38	0.62	0.68	0.16	0.56
ENSPPYG00000016633	20.29	29.75	9.61	28.96	51.88	16.89	10.26	15.79	8.57
ENSPPYG00000007646	4.7	10.95	3.24	4.18	3.5	5.24	4.15	11.77	4.37
ENSPPYG00000016945	140.02	71.17	94.45	14.8	33.92	28.75	23.56	5.1	25.85
ENSPPYG00000012019	0	0	0	0	0	0	0	0	0
ENSPPYG00000008434	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_441105	0	0	0	0	0	0	0	0	0
ENSPPYG00000001215	0.79	0.1	0.29	4.62	1.55	1.42	0.62	2.84	1.66
blastnHuman.XLOC_008683	0	0	0	0	0	0	0	0	0
ENSPPYG00000002685	67.21	54.85	9.81	3.19	1.66	39.93	24.81	6.72	2.82
blastnHuman.ENSG00000237978	0.3	0	0	0	0	0	0	0	0
ENSPPYG00000006374	16.65	18.49	12.07	12.93	12.76	7.76	6.77	9.84	7.85
ENSPPYG00000017329	1.45	0.99	2.18	3.49	1.43	0.93	2.21	3.2	2.24
ENSPPYG00000019757	4.47	8.48	0.47	0.64	1.37	2.27	8.67	2.71	1.02
ENSPPYG00000013950	8.75	9.46	9.5	6.8	8.64	10.69	9.04	5.6	5.97
blastnMacaque.Locus_115593	0	0	0	0	0	0	0	0	0
ENSPPYG00000006329	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_188495	0	0	0	0	0	0	0	0	0
ENSPPYG00000016671	6.86	4.11	20.47	9.5	6.96	6.65	8.91	0.24	0.95
blastnHuman.ENSG00000223475	0	0	0.16	0	0	0	0	0	0
blastnHuman.CUFF.421365	0	0.18	0	0	0	0	0	0	0
blastnMacaque.CUFF.283664	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_273502	0	0	0	0	0	0	0	0	0
ENSPPYG00000013471	4.31	2.46	1.3	5.32	5.85	8.54	6.69	14.33	12.83
ENSPPYG00000013364	4.05	6.52	3.65	2.5	1.25	3.77	2.87	3.28	3.69
ENSPPYG00000009906	0.1	0.41	0.43	1.1	1.64	0.08	0.11	0.36	0.41
blastnHuman.Locus_100686	0	0	0	0	0	0	0	0	0
ENSPPYG00000003503	5.53	6.32	8.29	6.12	8.55	9.13	6.36	6.02	5.55
ENSPPYG00000002416	0.55	0.88	0.11	0.22	0.16	0.32	0.09	0.31	0.06
ENSPPYG00000010234	257.98	231.8	309.7	88.69	166.24	356.34	333.01	148.31	190.79
ENSPPYG00000009131	1.88	1.69	2.05	5.45	3.02	1.62	2	1.39	1.68
ENSPPYG00000012666	7.29	6.07	7.01	12.39	10.95	7.2	11.4	10.35	8.93
ENSPPYG00000019869	0.14	1.12	0.51	0	0	0	0.15	0	0
ENSPPYG00000013912	3.68	2.14	3.54	3.46	7.22	4.13	3.72	5.03	2.39
ENSPPYG00000007391	17.98	32.27	7.67	6.64	5.59	45.2	36.29	6.76	8.45
ENSPPYG00000000531	0.69	0.2	0.58	5.9	1.2	7.21	5.27	71.33	91.55
blastnPan.CUFF.227983	0.25	0	0	0	0	0	0	0	0
blastnGorilla.Locus_73777	1.32	2.12	0.18	0	0	0	0.16	0	0
ENSPPYG00000011129	1.14	4.73	0.95	0	0	0	0	0.93	0
blastnHuman.ENSG00000230945	0	0.26	0	0	0	0	0	0	0
ENSPPYG00000008553	0.9	0.34	1.71	0.17	0.12	1.42	0.55	0.89	0.55
blastnPan.Locus_177998	0	0	0	0	0	0	0	1.94	0
ENSPPYG00000009562	11.64	14.52	21.38	18.26	29.93	32.16	30.37	16.68	19.06
ENSPPYG00000016909	6.71	11.17	12.97	4.76	2.63	7.58	3.16	10.67	2.11
blastnHuman.Locus_126971	0	0	0	0	0	0	0	0	0
blastnPan.Locus_2425	0	0	0	0	0	0	0	0	0
ENSPPYG00000008164	1.59	2.81	2.56	2.92	1.24	17.35	10.92	7.65	6.92
ENSPPYG00000012542	1.69	1.53	2.51	0.91	0.3	1.37	0.36	58.3	111.34
blastnHuman.ENSG00000228598	0	0	0	0	0	0	0.08	0	0
ENSPPYG00000003394	0.21	0.29	0.13	0	0	0.05	0.43	0.09	0
ENSPPYG00000001624	10.25	0.73	1.18	19.71	5.43	9.85	9.52	66.38	51.52
ENSPPYG00000013507	12	7.06	12.14	10.77	8.77	6.13	6.53	8.04	10.74
blastnHuman.XLOC_010728	0	0	0	0	0	0	0	0	0
ENSPPYG00000009374	20.52	20.87	18.6	6.5	18	14.12	9.77	7.3	7.95
ENSPPYG00000000924	0	0	0	0	0	0	0	0	0
Locus_144775	0	0	0	0	0	3.18	9.52	0	0
ENSPPYG00000003416	0.98	2.14	1.9	1.35	2.47	2.22	2.97	4.59	1.33
ENSPPYG00000008311	10.74	13.53	10.45	3.2	2.34	26.71	28.39	7.12	27.44
ENSPPYG00000013400	15.96	12.45	8.36	18.37	23.32	22.42	14.25	19.01	16.66
ENSPPYG00000017492	0	0	0.12	0	0	0	1.88	0	2.84
blastnGorilla.Locus_17190	0	0	0	0	0	0	0	0	0
blastnHuman.CUFF.112664	0	0	0	0	0	0	0	0	0
blastnHuman.Locus_159275	0	0	0	0	0	0	0	0	0
ENSPPYG00000012197	0	0.22	0	0.18	0.38	89.04	2.3	45.48	8.1
blastnHuman.ENSG00000254575	0	0	0	0	0	0	0	0	0
ENSPPYG00000000765	3.67	2.81	6.69	4.68	11.63	21.24	17.27	5.19	26.53
Locus_12092	0.85	0	0	0	0	0	0	0	0
ENSPPYG00000009724	3.27	4.2	3	1.3	0.54	3.04	0.95	4.58	2.09
ENSPPYG00000017707	0	0	0.44	0	0	1.6	2.34	0.85	0.48
ENSPPYG00000004874	6.92	1.91	0	1.19	1.2	0	0	0	0
blastnMacaque.Locus_428981	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_246178	0	0	0	0	0	0	0	0	0
ENSPPYG00000006084	1.18	2.04	0.25	1.68	5.09	2.1	2.84	2.87	2.96
blastnGorilla.Locus_258073	0	0	0	0	0	0	0	0	0
ENSPPYG00000010410	124	218.48	58.62	1.26	1.81	4.15	2.02	2.55	1.1
blastnGorilla.Locus_105342	0	0	0	0	0	0	0	0	0
ENSPPYG00000009878	3.94	5.47	2.94	12.35	4.77	27.26	23.25	101.11	66.78
blastnMacaque.Locus_192394	0	0	0.24	0	0	0	0	0	0
blastnMacaque.Locus_115973	0	0	0	0	0	0	0	0	0
ENSPPYG00000019256	0.04	0	0	0	0	0.19	0.05	0	0
ENSPPYG00000001463	3.35	2.31	7.58	6.77	6.4	3.02	6.87	8.73	9.32
ENSPPYG00000004355	0	0.07	0.04	0	0.12	0	0	10.5	44.81
blastnHuman.XLOC_000781	0	0	0	0	0	0	0	0	0
ENSPPYG00000013463	0	0	0.36	0.98	0	0	0	0	0.39
ENSPPYG00000005287	7.18	4.78	9.79	22.82	23.13	11.29	11.88	25.05	14.55
ENSPPYG00000001973	0.34	0.47	0.05	0.32	2.38	2.25	3.37	1.11	1.19
blastnPan.Locus_42380	0	0	0	0	0	0	0	0	0
blastnMouse.CUFF.173748	0	0	0	0.51	0	0	0	0	0
blastnHuman.ENSG00000232023	0	0	0	0	0	0	0	0	0
ENSPPYG00000020769	5.75	2.54	1.3	27.62	18.46	3	2.07	4.94	6.9
ENSPPYG00000012458	0.74	0.51	0.31	2.32	3.18	13.5	6.01	8.69	4.38
blastnGorilla.Locus_393218	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_101652	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000230498	4.09	6.47	0.3	0	0	0	0	0	0
blastnPan.Locus_8477	0	0	0	0.16	0	0	0	0	0
ENSPPYG00000002404	0.15	0.15	1.59	8.52	15.28	0.23	0	0.06	0.07
blastnMacaque.Locus_272600	0	0	0.28	0	0	0	0	0	0
blastnHuman.ENSG00000228173	0	0	0	0	0	0	0	0	0
ENSPPYG00000018313	2.19	2.29	0.45	0	0	0.05	0.02	0	0
ENSPPYG00000008937	3.13	0.96	0.21	33.96	17.05	14.44	6.98	53.82	23.9
ENSPPYG00000009802	0	0	0	0	0	0	0	0	0
blastnPlatypus.CUFF.164066	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_000306	0	0	0	0	0	0	0	0	0
ENSPPYG00000015442	14.99	14.84	13.72	30.89	25.15	13.78	17.11	22.97	18.93
ENSPPYG00000004188	4.9	4.58	5.53	6.9	4.59	7.11	7.08	4.77	7.34
ENSPPYG00000019437	2.95	1.77	26.57	2.28	2.28	8.4	9.02	1.27	2.28
ENSPPYG00000016862	15.99	16.9	6.63	1.63	1.11	1.75	1.11	0.37	0.68
blastnMacaque.Locus_60897	0	0	0	0	0	0	0	0	0
ENSPPYG00000020390	5.07	5.24	5.4	8.91	5.5	9.52	9.41	9.41	6.93
ENSPPYG00000004661	1.44	0.42	2.3	1.77	2.14	6.22	2.69	5.83	4.8
ENSPPYG00000004496	7.06	13.23	4.78	5.32	12.2	6.2	4.4	2.75	2.6
Locus_122055	11.29	8.65	17.61	51.38	10.8	18.59	26.62	37.57	25
blastnMacaque.Locus_18559	0	0	0	0	0	0	0	0	0
ENSPPYG00000002671	0	0	0	2.69	2.65	0.03	0.46	0	0.05
ENSPPYG00000008011	12.75	15.41	19.04	14.08	23.09	14.7	25.08	9.54	12.99
ENSPPYG00000020333	10.06	14.47	8.46	13.18	14.51	34	22.19	27.61	11.65
Locus_3073	0	0	0	4.92	0	1.46	0.71	0	0
blastnHuman.ENSG00000223342	0	0	0	0	0	0	0	0	0.14
blastnMacaque.Locus_188138	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_269297	0	0	0	0	0	0	0	0	0
ENSPPYG00000013467	4.67	3.89	5.08	6.52	4.39	2.64	4.44	21.82	5.14
ENSPPYG00000004078	29.65	32.89	21.54	41.42	41.77	23.22	24.18	61.98	44.95
blastnGorilla.Locus_439553	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_221387	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000254129	0	0	0	0	0.83	0.34	0.5	0	0.62
ENSPPYG00000004679	24.71	34.4	18.52	11.39	10.53	19.42	10.31	11.41	10.26
blastnPan.CUFF.228605	0	0	0	0	0	0	0	0	0
ENSPPYG00000000162	8.33	41.91	0.17	0.24	0	0.21	0.31	0	0.19
ENSPPYG00000001380	17.96	14.86	9.84	23	25.04	18.81	18.13	46.05	30.01
ENSPPYG00000009180	16.67	19.84	11.88	0.03	0	0.01	0.02	0.02	0.03
blastnMouse.CUFF.127970	0	0	0	0	0	0	0	0	0
ENSPPYG00000008751	1.63	4.88	0.23	0	1.34	0.28	0	1.32	0.5
ENSPPYG00000000662	5.83	2.52	6.1	2.32	6.75	1.34	2.4	0.82	0.19
blastnGorilla.Locus_391849	0	0	0	0	0	0	0.39	0	0
blastnGorilla.Locus_60620	0.16	0.83	0.8	0.55	1.18	0.49	0	0	0.22
blastnHuman.ENSG00000232077	0	0	0	0	0	0	0	0	0
Locus_96058	0	0	0	0	0	0.44	0	2.1	1.18
ENSPPYG00000013606	13.61	17.84	12.55	11.69	10.83	6.62	8.08	21.81	8.51
ENSPPYG00000000912	28.66	27.56	8.82	6.72	14.51	28.31	21.52	14.82	15.36
ENSPPYG00000000700	0	0	0	0	0	0.35	0	0	0
ENSPPYG00000015846	25.04	18.37	20.5	0	0	0	0	0	0
blastnHuman.ENSG00000256803	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_373341	0	0	0.3	0	0	0	0	0	0
ENSPPYG00000008036	9.97	15.64	5.19	1.52	3	4.26	2.79	1.2	0.74
ENSPPYG00000007364	39.88	40.9	22.68	33.17	29.02	76.16	54.33	34.89	41
ENSPPYG00000010658	0	0	0	0	0	0	0	0	0
Locus_23969	0.6	0	0	0	0	0	0	0	0.81
ENSPPYG00000020314	8.54	9.01	6.71	19.57	26.06	17.3	16.91	23.94	17.57
blastnMacaque.Locus_190987	0	0	0	0	0	0	0	0	0
ENSPPYG00000008207	0	0	0	0.6	0	0.53	0	0.85	0
blastnHuman.ENSG00000226181	0	0	0	0	0	0	0	0	0
ENSPPYG00000009394	16.86	18.6	21.05	5.76	8.29	20.5	9.96	19.11	12.29
ENSPPYG00000006671	4.67	5.26	6	5.65	4.5	5.35	5.75	9.48	7.81
blastnGorilla.Locus_225687	0	0	0	0	0	0	0	0	0
ENSPPYG00000013942	4.33	3.61	3.2	5.17	0.54	2.62	4.66	5.56	2.39
ENSPPYG00000012768	1.77	1.22	2.85	4.56	1.74	2.57	2.61	5.73	5.21
ENSPPYG00000007070	0.86	0.89	2.05	0.98	1.05	0.98	0.47	0.17	0.1
blastnHuman.ENSG00000236193	0	0	0.09	0	0	0	0	0	0.1
ENSPPYG00000007454	0.24	0.94	0.68	0.1	0	0.14	0	0.15	0.04
blastnHuman.ENSG00000223692	0	0	0	0.45	0	0	0	0	0
blastnHuman.ENSG00000256659	0	0	0	0	0	0	0	0	0
blastnPan.Locus_116560	0	0	0	0	0	0	0	0	0
blastnMacaque.Locus_372638	0	0	0	0	0	0	0	0	0
ENSPPYG00000003228	4.14	4.89	5.72	3.5	2.33	7.78	9.93	6.52	2.43
ENSPPYG00000004800	0	0	0	0	0	0	0	0	0
ENSPPYG00000001510	393.92	235.01	175.15	656.18	699.08	365.27	326.22	446.36	226.45
CUFF.125121	3.48	0.4	2.17	4.29	0	5.28	1.92	1.88	1.32
ENSPPYG00000004013	0	0	0	0	0.27	0	0	0	0
blastnHuman.Locus_101411	0	0	0.13	0.18	0	0	0	0	0
ENSPPYG00000013877	0.08	0.24	0.29	0.2	0	0.06	0.04	0.19	0.11
ENSPPYG00000000612	11.97	13.79	11.93	14.03	11.97	14.85	14.73	18.04	18.52
ENSPPYG00000002238	1.56	2.7	2.06	2.18	0.73	2.46	1.01	2.07	1.79
blastnMacaque.Locus_61036	0	0	0.07	0	0	0	0	0	0
ENSPPYG00000003556	0	0	0	0	0	0	0	0	0
blastnPan.Locus_176606	0	0	0	0	0	0	0	0	0
blastnMouse.Locus_67013	0	0	0	0	0	0	0	0	0
ENSPPYG00000014951	0	0	0	0	0	0	0	0	0
blastnHuman.XLOC_005322	0	0	0	0	0	0	0	0	0
ENSPPYG00000002531	17.48	25.02	10.55	16.72	20.55	16.06	16.48	31.25	19.16
ENSPPYG00000005766	62.26	34.47	52.15	64.96	105.97	100.53	84.34	113.99	117.09
blastnMacaque.Locus_474901	0	0	2.56	0	0	0	0	0	0
blastnGorilla.Locus_392414	0	0	0	0	0	0	0	0	0
ENSPPYG00000016875	0.09	0	0	0	0	0.14	0	0.22	0
ENSPPYG00000001055	1.89	0.37	0.67	0	0	0	0	0.22	0
ENSPPYG00000016348	0.18	0	0	0	0	0.54	0	0	0
ENSPPYG00000007158	0	0	0.17	0.24	0.68	16.68	10.37	243.59	520.48
blastnGorilla.Locus_371469	0.59	0	0	0	0	0	0	0	0
ENSPPYG00000008894	0	0	0	0	0	0	0	0	0
blastnGorilla.Locus_292799	0	0	0	0	0	0	0	0	0
Locus_207011	3.07	3.1	0.76	0	0	0	0.04	0	0.17
blastnHuman.ENSG00000237843	0	0	0	0	0	0	0	0	0
blastnPan.Locus_40493	0	0	0	0	0	0	0	0	0
Locus_157011	0	0	0	0	0	0.83	1.21	0	0
blastnMouse.CUFF.97274	0	0	0	0	0	0	0	0	0
blastnHuman.ENSG00000235786	0.27	0	1.35	0.23	0	1.85	1.49	0	1.11
blastnMacaque.CUFF.345017	0	0	0	0	0	0	0	0	0
ENSPPYG00000018465	7.27	1.25	9.02	46.33	40.24	45.14	98.51	111.64	130.14
blastnHuman.ENSG00000236075	0.26	0	0	0	0	0	0	0	0
ENSPPYG00000003494	0.6	0.96	5.31	6.64	5.64	1.87	2.8	2.34	1.86
ENSPPYG00000001069	4.62	4.04	6.72	13.03	6.69	9.39	12.63	20.33	18.09
blastnMacaque.Locus_372545	0	0	0	0	0	0	0	0	0
ENSPPYG00000006534	30.96	24.25	27.96	2392.64	4076.82	33.99	26.61	84.71	27.13
ENSPPYG00000019340	2.32	1.59	2.89	4.27	3.48	3.42	2.78	8.13	5.55
blastnMacaque.Locus_40377	0	0	0	0	0	0	0	0	0
Locus_240996	0.25	0	0	0.21	0	13.83	28.58	2.12	0.68
blastnMacaque.Locus_429861	0.29	0	0.36	0.25	0	0	0.16	0.7	0.2
ENSPPYG00000003708	97.18	99.3	50.57	4.32	2.51	8.34	7.48	2.65	2.31
ENSPPYG00000020376	49.55	52.78	29.99	90.56	145.85	319.52	332.54	859.34	581.37
blastnMacaque.Locus_473537	0	0	0	0	0	0	0	0	0
ENSPPYG00000009602	103.23	125.08	46.74	14.62	20.11	21.64	23.61	5.67	15.6
Locus_60977	0.73	2.25	1.51	0	0	0	0	0	0
ENSPPYG00000014927	11.16	8.81	14.37	10.11	14.86	5.77	6.92	4.74	3.62
ENSPPYG00000010996	0	0	0.07	0.09	0.2	1.07	5.67	1750.55	756.47
blastnMacaque.Locus_449197	0	0	0	0	0	0	0.14	0	0
ENSPPYG00000017425	7.53	8.24	11.63	5.71	8.04	8.67	8.7	3.15	5.96
