baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000198804	43310.8924864433	14.6632418416652	0.457329974580137	32.0627176364881	1.45974118609965e-225	1.99940750260069e-221
ENSG00000198886	40625.6586459552	14.5738550110908	0.458816529142572	31.7640147758542	2.03373527171632e-221	1.39280360083492e-217
ENSG00000198938	25015.6977410288	13.9333082427968	0.467580290331166	29.7987501417745	4.05502684377325e-195	1.85139008930541e-191
ENSG00000198712	22006.7767633638	13.7762799546786	0.469021031764303	29.3724140746029	1.23642634813715e-189	4.23383292260862e-186
ENSG00000198888	20840.4746451353	13.6760397662468	0.472333374240241	28.9542101238241	2.483872668077e-184	6.80432078693013e-181
ENSG00000198899	17567.9829953269	13.4466910887275	0.475970600254591	28.2510959322593	1.37989574147531e-175	3.15007199516455e-172
ENSG00000198727	19188.7632158402	13.4796997653505	0.480874230177981	28.0316534332926	6.68609284487832e-173	1.30827733851855e-169
ENSG00000139112	845.32975324344	5.96391821534395	0.213777007394204	27.8978468640761	2.83346244907473e-171	4.85124189562207e-168
ENSG00000198763	16147.7401783665	13.2381567634639	0.485406749375758	27.2722964410537	9.04195951979567e-164	1.37608577269601e-160
ENSG00000198786	8980.94104226083	12.6163605141338	0.485321224412669	25.9958969018963	5.51045171122532e-149	7.54766570886532e-146
ENSG00000128739	662.55382205163	-5.26843708614369	0.206216262991499	-25.5481163789729	5.76178275145472e-144	7.17446712242503e-141
ENSG00000100321	949.405282115232	3.82999907755328	0.151300719616314	25.3138193081026	2.25033204453048e-141	2.56856650116116e-138
ENSG00000212907	5776.42064526655	12.0670541938211	0.492428168782055	24.5052069699162	1.29993282607054e-132	1.36962922451447e-129
ENSG00000167995	1385.70631596426	5.63377495920247	0.231784605845287	24.3060790800013	1.69065929774411e-130	1.6540686000858e-127
ENSG00000255823	1694.57255380729	-9.63575508907326	0.398651991132039	-24.170844002838	4.50858894949659e-129	4.11694285608366e-126
ENSG00000143761	494.981050544191	5.29126632670774	0.226707118674037	23.3396567238614	1.75531881894474e-120	1.50266261644289e-117
ENSG00000198840	4168.58060225472	11.5555211510096	0.507138031248226	22.7857514897233	6.34842386641809e-115	5.11496245284286e-112
ENSG00000170144	435.075959995107	5.53802590093502	0.247703164124846	22.3575097254057	1.0205027385231e-110	7.76545889419496e-108
ENSG00000228253	2440.70389695226	10.8933888603204	0.517080009521378	21.0671243516136	1.59317551833131e-98	1.14851184603074e-95
ENSG00000107130	1168.56745329249	3.71210186439252	0.179159433042377	20.7195446053599	2.30858492923638e-95	1.58103438878753e-92
ENSG00000170296	293.518174147811	-4.57580590724889	0.221452727508555	-20.6626757716142	7.50860603379113e-95	4.89739889737319e-92
ENSG00000241360	349.721579586539	-4.5098221900518	0.219883419675292	-20.5100602706269	1.75077298360983e-93	1.09001534347745e-90
ENSG00000142408	342.350901574249	4.23584905398975	0.209080460732725	20.2594208906235	2.93393070937761e-91	1.74721951853675e-88
ENSG00000265681	362.582246713392	-6.64360671225541	0.330412073990532	-20.1070337170723	6.40408798265921e-90	3.65486637910347e-87
ENSG00000258947	296.768403732498	-5.68225233104667	0.288537481356079	-19.6932901207185	2.46169150278851e-86	1.34871154054777e-83
ENSG00000164091	301.714321480112	5.17557755728428	0.263836072467408	19.6166411547975	1.11480133262766e-85	5.8728591742312e-83
ENSG00000145920	1341.71546351289	10.2203772990997	0.523419968250104	19.5261509286099	6.58171953097334e-85	3.21963615770506e-82
ENSG00000184602	407.313899562472	3.53688066420444	0.181118729296225	19.5279675268689	6.35175192262638e-85	3.21963615770506e-82
ENSG00000254245	279.839252352365	-6.1579025673797	0.324330311962222	-18.986515722579	2.20481229269208e-80	1.0413556542415e-77
ENSG00000244687	230.958136050958	-5.7586324888438	0.305972508656794	-18.8207512960035	5.10554815137423e-79	2.3310231009791e-76
ENSG00000185883	470.691983647964	-8.46652817601438	0.452928572962645	-18.6928550800716	5.66013271114589e-78	2.50086573369565e-75
ENSG00000170315	1028.93184341405	9.86867956693133	0.531445877888864	18.5694912267154	5.67380142340851e-77	2.42856431551332e-74
ENSG00000070087	1014.34410886271	2.49929889324969	0.134814002948936	18.5388671694316	1.00312443122065e-76	4.16357434376644e-74
ENSG00000189367	357.127818859284	-7.70309110400323	0.416887864050767	-18.4776093723495	3.12734430066832e-76	1.2598598495957e-73
ENSG00000180155	477.485558480006	7.89957793715583	0.427715896963622	18.4692175185336	3.65341375479075e-76	1.42973737712483e-73
ENSG00000162817	345.759341051804	3.84646307134786	0.20845116422901	18.4525861756379	4.9708322417226e-76	1.89126358930207e-73
ENSG00000105409	2117.17189955899	2.27218853701915	0.124259180094031	18.2858806512301	1.07217799549043e-74	3.96908702817093e-72
ENSG00000091592	318.224574227944	4.66931590824918	0.257926993989957	18.1032463334605	3.00427679393951e-73	1.08288366438393e-70
ENSG00000203685	352.823043052496	5.07393168277461	0.281520286051219	18.0233252599476	1.27824336825182e-72	4.48925626024236e-70
ENSG00000183741	619.047244593767	3.02852159695902	0.168452005242098	17.9785428651114	2.86934667070266e-72	9.82536033715358e-70
ENSG00000102804	828.058017349897	9.61160231477673	0.535517406829803	17.9482537676529	4.95231601745766e-72	1.6544359144175e-69
ENSG00000219200	196.632132831973	-5.44211574023731	0.303301486067695	-17.9429247472353	5.45091180947032e-72	1.77764616795988e-69
ENSG00000161960	235.126487687546	-5.64012051438158	0.316658294634347	-17.8113777846696	5.76725267304298e-71	1.83707115959697e-68
ENSG00000253719	418.256931333922	3.30245240501872	0.186195349070321	17.7364924607836	2.1919785383564e-70	6.82352955451535e-68
ENSG00000183311	619.69726555621	-9.521662530082	0.539049040928829	-17.6638149910727	7.96683422832284e-70	2.42492729834084e-67
ENSG00000206427	584.330369829106	-9.46219677997294	0.539341828142958	-17.5439698651833	6.61412472433131e-69	1.96942752932969e-66
ENSG00000124614	187.543025234911	-5.22078210697238	0.298612372965501	-17.4834755007809	1.91465194283086e-68	5.57978460871368e-66
ENSG00000107317	723.430088159034	9.43131233189248	0.540034744202034	17.4642695366358	2.681108859624e-68	7.65065584380624e-66
ENSG00000111540	428.444113247789	-2.84542946433275	0.163385309794335	-17.4154547181414	6.2986485549255e-68	1.76066508687377e-65
ENSG00000151967	236.866522560614	-3.63149101596366	0.211686061213906	-17.1550785873147	5.7592100453545e-66	1.57767799982441e-63
ENSG00000164733	671.022945388461	9.31278718466783	0.544443471141722	17.1051498976349	1.3585181712841e-65	3.64855360628985e-63
ENSG00000236227	482.613615965925	-9.22338031177559	0.54443178254472	-16.9412966095857	2.23151466265439e-64	5.87789544891869e-62
ENSG00000176595	351.18941706242	3.08349231763263	0.182703903357094	16.8769920126226	6.64452422163033e-64	1.71717072195605e-61
ENSG00000176490	429.150404571267	3.04701773122807	0.181205194410082	16.8152891044195	1.88570400512089e-63	4.78305328854459e-61
ENSG00000221890	1197.70577446844	3.56942465706227	0.212705106029433	16.7810953093357	3.35588847711528e-63	8.35738263109964e-61
ENSG00000124507	1077.25283982765	2.28821442366612	0.136797455821981	16.7270247090256	8.32966600329292e-63	2.03734705798399e-60
ENSG00000185565	538.967230775193	2.81111464310532	0.168726165272752	16.6608103643028	2.52578900351902e-62	6.06942666336841e-60
ENSG00000023516	548.957213661824	9.09635420468527	0.546611994547993	16.6413366252734	3.49723753421286e-62	8.25890732864026e-60
ENSG00000087086	591.935556078348	9.12622748393045	0.550416736138527	16.580577741796	9.62985637408831e-62	2.2355956399303e-59
ENSG00000148082	543.938280101072	-3.28498113459885	0.199040663515196	-16.5040704576834	3.4297358859959e-61	7.82951540508098e-59
ENSG00000263001	390.837358683434	-8.96571552532294	0.549538104000605	-16.3150024721727	7.72030672135848e-60	1.73352526495815e-57
ENSG00000230900	386.025337667167	-8.95090420944518	0.549931055237979	-16.2764116050361	1.45133688272371e-59	3.20628407784946e-57
ENSG00000254772	394.248561711894	-8.92655562666685	0.553896770540809	-16.1159192496306	1.9720940976811e-58	4.28758299300604e-56
ENSG00000206412	370.357526380691	-8.89214974077874	0.551828124506191	-16.1139843112128	2.03479804832592e-58	4.35478576061252e-56
ENSG00000172260	574.327942041952	2.68234652707268	0.16754001393778	16.0101844570028	1.08487717913822e-57	2.28608657271634e-55
ENSG00000088986	437.837084270386	8.79368628032015	0.554661913419074	15.8541375702429	1.31622086903303e-56	2.73155715805233e-54
ENSG00000166441	180.628183483991	5.55001006891818	0.352547655722857	15.7425811201	7.72281822836782e-56	1.57879763095454e-53
ENSG00000163041	403.579842996448	-3.07004497150414	0.195620113242498	-15.6939126586559	1.6647065907821e-55	3.35315973146212e-53
ENSG00000197283	323.8161821408	-8.71929175821728	0.556165453010158	-15.677514148039	2.15525346986884e-55	4.27833431547732e-53
ENSG00000196776	518.346884467784	2.34983374980851	0.149965672194487	15.669144247632	2.4586742957822e-55	4.81092311847554e-53
ENSG00000135486	404.114396119931	8.70196592285421	0.556174093477139	15.6461187691258	3.53108630564568e-55	6.81201255329984e-53
ENSG00000138944	260.762823466906	3.51312538264059	0.225797554200268	15.558739752888	1.38805106675468e-54	2.64057436963039e-52
ENSG00000260230	433.187880595957	3.84107589431016	0.247859957539999	15.4969601884576	3.63696941844692e-54	6.82405070198185e-52
ENSG00000100413	281.381497835299	2.97026311265975	0.192178221958583	15.4557737208115	6.89783175182357e-54	1.27675137168551e-51
ENSG00000115762	491.882195278253	2.76706713005789	0.179828005932636	15.3872980780004	1.99177321111785e-53	3.63750902302417e-51
ENSG00000240230	190.507286679283	-3.43971284379618	0.224112940449796	-15.3481224104804	3.64586513510358e-53	6.57071246783075e-51
ENSG00000162728	377.475763684894	3.04295720633027	0.198663950347543	15.31710811653	5.87749020970389e-53	1.04550627795213e-50
ENSG00000273173	193.310784233755	-7.27544651756315	0.475393367700365	-15.3040555714037	7.18371954148058e-53	1.26147957127769e-50
ENSG00000113387	350.358052297563	8.54272976131695	0.558714574994068	15.2899712011408	8.91895789420203e-53	1.54636666173272e-50
ENSG00000167654	611.09063165928	2.31232954276775	0.151655458781214	15.2472555973316	1.71699585606736e-52	2.93971153006933e-50
ENSG00000087152	344.753547946338	8.52107187704232	0.559397679695626	15.2325835203298	2.1492781986612e-52	3.63440289963734e-50
ENSG00000143839	217.613745868959	-7.57003722047868	0.497880616352858	-15.2045228752461	3.30026490659493e-52	5.51264980800375e-50
ENSG00000101290	454.719510595324	2.72886092282081	0.17999118283806	15.1610811140454	6.40069991230574e-52	1.05626971926327e-49
ENSG00000196361	348.062177419375	2.49267631292573	0.165017996551157	15.1054816142613	1.4901364794732e-51	2.42980944754101e-49
