ENSEMBL ID	hK1	hK2	hK3	hK4	hK5	hK6
ENSG00000163875	133.879	156.55100000000002	88.2508	133.17600000000002	133.27700000000002	141.405
ENSG00000163877	33.6642	50.0148	21.5539	36.2196	33.9817	22.0566
ENSG00000163879	166.57299999999998	155.55700000000002	27.6252	116.44200000000001	35.2301	79.1548
ENSG00000163882	197.372	161.28	170.78	224.83	134.416	184.924
ENSG00000163884	330.73900000000003	63.5903	117.447	561.242	86.4105	140.217
ENSG00000163885	0.0	0.0	0.0	0.0	3.53976	0.0
ENSG00000163888	0.0	0.0	9.7178	0.0	0.0	0.0
ENSG00000163898	2.61898	2.14006	249.00900000000001	18.4036	0.969349	11.7971
ENSG00000163900	33.9054	23.0877	53.0648	97.5311	27.8872	30.5452
ENSG00000163902	569.221	615.443	1047.71	824.572	247.794	546.237
ENSG00000163904	37.6669	41.7226	51.3723	47.0554	42.1342	28.6553
ENSG00000163909	7.66818	177.952	13.8873	13.6129	15.8938	35.9228
ENSG00000163913	61.5534	79.9868	33.9757	44.2655	68.9802	62.3848
ENSG00000163914	5.7462800000000005	0.0	0.0	1.06261	1.06342	2.5884
ENSG00000163918	42.3449	39.0662	37.107	19.1974	81.9037	14.7671
ENSG00000163923	0.0	97.6166	24.0388	70.6917	106.118	86.0983
ENSG00000163930	98.9876	93.7662	232.174	131.05	94.2782	104.514
ENSG00000163931	942.6439999999999	265.403	511.88300000000004	360.673	475.439	259.607
ENSG00000163932	116.28	88.9351	1498.43	213.30599999999998	16.5266	182.69400000000002
ENSG00000163933	43.7011	31.337	101.397	43.54	34.9905	24.1041
ENSG00000163935	30.5529	15.7192	34.7249	28.4588	4.607130000000001	17.3305
ENSG00000163938	158.311	83.5626	163.238	85.098	296.978	40.749
ENSG00000163939	23.805	30.0826	30.3563	27.6409	40.9806	16.4584
ENSG00000163945	20.1758	27.8207	86.2725	10.2601	30.8038	15.9043
ENSG00000163946	50.0467	52.5405	73.0289	42.4124	64.5258	37.025
ENSG00000163947	20.4792	36.2576	44.6434	108.56200000000001	6.0639	183.266
ENSG00000163950	104.759	62.775	284.582	118.816	121.492	157.295
ENSG00000163956	390.36699999999996	396.92400000000004	1290.24	1128.87	152.984	588.785
ENSG00000163958	0.0	1.6510799999999999	0.0	0.0	0.0	0.0
ENSG00000163959	0.0	13.248	5.93164	112.292	0.0	26.5563
ENSG00000163960	18.0779	12.3101	31.8301	16.715	35.6858	16.2863
ENSG00000163961	24.3191	59.6159	44.0425	17.9885	21.6026	17.5271
ENSG00000163964	32.1896	72.8397	92.1777	73.2623	56.8215	75.8447
ENSG00000163975	5.34665	7.4896	2.30546	9.60463	3.39245	15.1384
ENSG00000163982	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000163993	0.0	5.88799	0.0	5.32993	21.3359	38.9492
ENSG00000163995	1.4457200000000001	8.86011	0.727288	17.6448	11.237	35.1659
ENSG00000164002	37.275	46.7758	14.7334	25.6024	33.5055	19.1891
ENSG00000164007	3.21955	0.0	0.0	19.0517	0.0	58.0095
ENSG00000164008	24.9884	34.3409	10.2851	34.4467	31.1097	16.3723
ENSG00000164010	47.7848	51.4706	37.1508	29.7226	26.5295	33.2652
ENSG00000164011	92.5714	90.1901	30.4491	51.3554	65.8904	41.6986
ENSG00000164022	174.76	222.56599999999997	281.962	208.459	220.27200000000002	158.859
ENSG00000164023	20.4485	35.6462	57.6064	70.5855	0.0	24.5626
ENSG00000164024	60.271	41.9145	77.413	91.0605	64.5502	55.4531
ENSG00000164031	31.3506	52.2599	102.198	71.42399999999999	25.0638	33.8923
ENSG00000164032	387.754	282.07099999999997	575.678	356.772	287.035	349.32599999999996
ENSG00000164035	2.77366	133.721	11.1626	270.817	6.15961	569.721
ENSG00000164037	0.0	2.4693	1.01347	2.98034	11.9304	0.0
ENSG00000164038	126.17	221.19099999999997	180.028	591.065	91.699	257.642
ENSG00000164039	476.16	820.51	776.949	2485.54	312.29900000000004	1004.64
ENSG00000164040	171.495	366.82199999999995	304.491	414.135	108.28	209.02700000000002
ENSG00000164045	1.42903	0.0	2.87557	0.0	5.28921	2.57482
ENSG00000164047	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000164049	0.0	0.0	0.0	0.0	4.15207	0.0
ENSG00000164050	360.19599999999997	91.6359	132.33100000000002	229.22400000000002	45.6064	196.238
ENSG00000164051	79.8626	40.071	50.7485	68.4008	14.5203	25.2449
ENSG00000164053	14.2385	15.7411	26.1233	16.1078	32.2401	9.05461
ENSG00000164054	423.847	559.254	195.74400000000003	429.154	252.03099999999998	394.361
ENSG00000164056	52.8881	734.684	79.818	97.8016	156.602	71.4699
ENSG00000164061	8.83582	1.56958	5.41127	1.9891400000000001	8.24699	0.0
ENSG00000164062	162.602	84.0268	369.226	302.35	57.5662	172.542
ENSG00000164066	66.5458	30.9822	14.792	6.868339999999999	25.2031	22.3073
ENSG00000164068	53.7681	30.755	76.5092	47.1577	36.9588	45.6714
ENSG00000164070	34.5295	27.737	79.4922	59.7401	1.29969	50.6156
ENSG00000164073	47.5496	36.8619	28.2138	31.5644	26.1733	19.771
ENSG00000164074	57.7244	51.5361	32.2655	44.2794	33.2348	46.2254
ENSG00000164076	1.12924	0.0	0.0	0.0	10.867	0.0
ENSG00000164077	26.8733	33.2928	46.226000000000006	62.1983	33.3688	24.991
ENSG00000164078	0.32927199999999995	2.95965	3.3128900000000003	0.487116	25.3493	2.96639
ENSG00000164080	15.1846	15.2513	86.2548	17.5498	19.2023	19.9496
ENSG00000164081	445.39099999999996	328.95	1990.68	728.591	196.55200000000002	401.25
ENSG00000164082	0.8096720000000001	2.64644	7.33168	1.19781	94.0995	1.45886
ENSG00000164086	8.45881	105.40799999999999	25.5319	86.03200000000001	39.1352	194.32299999999998
ENSG00000164087	17.5638	3.31199	16.312	7.99489	10.0012	2.43433
ENSG00000164088	35.2424	32.9118	34.1919	28.8614	70.8108	34.0176
ENSG00000164089	0.0	0.793744	0.977325	22.9924	0.0	0.0
ENSG00000164091	92.0836	104.287	234.05700000000002	152.95600000000002	130.35	93.1454
ENSG00000164093	33.4338	0.0	0.0	0.8243510000000001	0.0	2.00802
ENSG00000164096	587.4730000000001	1221.93	1182.14	2024.59	326.157	986.331
ENSG00000164099	13.7052	5.3048	2.90299	14.4061	0.0	5.19873
ENSG00000164100	0.0	0.44107399999999997	0.543087	0.0	0.399573	0.9725719999999999
ENSG00000164104	597.581	406.57	420.611	237.137	1049.89	360.445
ENSG00000164105	57.9518	151.929	2.42945	25.0053	427.20099999999996	21.7535
ENSG00000164106	0.0	4.7354400000000005	0.0	0.0	4.28988	0.0
ENSG00000164107	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000164109	36.7363	34.3069	66.0024	3.88191	29.1365	0.0
ENSG00000164111	382.19699999999995	569.799	114.57700000000001	340.401	93.5372	267.02299999999997
