ENSEMBL ID	hP1	hP2	hP3	hP4	hP5	hP6
ENSG00000132423	57.9227	47.7898	83.9857	65.1824	47.5106	80.7816
ENSG00000132424	450.33099999999996	400.218	427.37199999999996	429.73699999999997	451.62300000000005	488.24699999999996
ENSG00000132429	57.1873	66.0124	92.2173	97.5042	61.2188	77.3392
ENSG00000132432	457.499	447.365	476.875	560.369	322.663	492.67900000000003
ENSG00000132434	137.66299999999998	144.26	96.5714	91.1605	127.68	100.652
ENSG00000132436	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000132437	0.45386800000000005	0.836023	0.0	0.0	0.0	0.9207049999999999
ENSG00000132446	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000132463	304.79	254.563	261.052	222.767	292.66900000000004	204.967
ENSG00000132464	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000132465	3.20209	0.0	0.0	0.0	2.4719900000000004	3.24784
ENSG00000132466	160.332	155.99	131.566	128.471	171.13099999999997	131.914
ENSG00000132470	10.9301	9.953510000000001	7.846760000000001	18.412	25.0295	33.8816
ENSG00000132471	942.26	1082.81	1279.2	1525.21	1375.91	1211.5
ENSG00000132475	705.799	986.765	865.513	775.895	923.716	971.698
ENSG00000132478	31.6666	31.576999999999998	33.6852	34.6458	34.9234	28.4966
ENSG00000132481	46.964	37.3555	65.7619	74.1275	70.0397	85.5265
ENSG00000132485	206.4	205.835	181.495	166.66099999999997	199.93599999999998	160.012
ENSG00000132507	469.538	490.35	500.61699999999996	569.217	427.54	447.75300000000004
ENSG00000132510	32.0921	54.9893	27.2488	21.9394	31.8808	31.2889
ENSG00000132514	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000132518	0.379706	0.0	0.0	0.0	0.0	0.0
ENSG00000132522	263.177	275.58	302.6	362.834	282.443	277.283
ENSG00000132530	39.521	15.8256	19.6051	11.3652	29.1834	83.6571
ENSG00000132535	993.1310000000001	1026.69	880.307	792.2410000000001	722.5989999999999	793.841
ENSG00000132541	41.1235	46.2913	57.3467	141.037	38.8019	111.229
ENSG00000132549	21.2608	21.5811	13.8286	13.8063	23.7816	12.6007
ENSG00000132554	1.6576	2.28998	1.89125	1.37047	2.2394	1.6812900000000002
ENSG00000132561	19.5965	13.8511	37.4378	19.0906	27.0903	15.2541
ENSG00000132563	567.664	554.719	638.896	576.986	454.57300000000004	554.305
ENSG00000132570	11.619000000000002	5.35055	6.62838	12.8084	17.9396	5.89251
ENSG00000132581	122.49	94.7627	117.39399999999999	75.616	94.5611	119.27
ENSG00000132589	274.52299999999997	265.212	221.22400000000002	241.25400000000002	229.71400000000003	164.53599999999997
ENSG00000132591	124.008	141.49200000000002	140.914	127.294	93.0201	126.289
ENSG00000132600	53.3143	53.5662	75.8389	61.0618	82.3164	66.0148
ENSG00000132603	42.558	48.5282	27.7467	44.6806	50.06399999999999	36.9995
ENSG00000132604	161.322	154.149	159.903	125.59700000000001	175.13299999999998	131.924
ENSG00000132612	324.92400000000004	321.84	342.744	357.059	347.07199999999995	359.621
ENSG00000132613	346.534	354.01599999999996	296.11400000000003	373.88	426.517	583.316
ENSG00000132622	21.7634	8.59033	12.0608	11.6529	18.7214	16.3981
ENSG00000132623	6.83242	3.52388	5.6127400000000005	5.4229199999999995	8.01735	2.2176099999999996
ENSG00000132631	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000132635	123.34899999999999	131.355	146.233	150.84799999999998	120.51799999999999	187.667
ENSG00000132639	6731.9	6120.19	6337.77	6438.64	6379.41	5334.47
ENSG00000132640	407.61300000000006	334.37800000000004	324.466	272.73900000000003	332.97	186.52700000000002
ENSG00000132646	77.2487	94.8612	109.412	95.9234	97.336	66.6446
ENSG00000132661	45.1851	45.0833	30.0732	53.9614	58.1375	34.373000000000005
ENSG00000132664	60.8566	68.5774	57.1814	47.3551	46.4281	47.9285
ENSG00000132669	39.6847	36.1727	25.2065	32.4721	51.7974	39.8367
ENSG00000132670	484.685	509.347	415.934	439.542	454.124	407.574
ENSG00000132671	8.56739	7.36452	3.91	5.03702	1.7637200000000002	3.47592
ENSG00000132676	116.995	110.633	118.495	157.248	116.883	137.069
ENSG00000132677	0.8776950000000001	0.0	0.0	0.0	0.0	0.0
ENSG00000132680	88.3783	70.6589	72.0867	80.4278	81.8729	71.7128
ENSG00000132681	4.315519999999999	1.19238	6.893330000000001	0.475729	1.3326200000000001	6.565760000000001
ENSG00000132688	18.5264	13.902999999999999	20.3549	19.6665	26.4856	25.0548
ENSG00000132692	276.087	271.515	234.917	290.348	313.255	355.972
ENSG00000132693	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000132694	134.025	113.086	118.615	108.71799999999999	132.316	109.721
ENSG00000132698	0.0	0.0	2.56346	0.0	0.0	0.0
ENSG00000132702	46.9229	72.7848	200.998	101.63799999999999	223.7	76.8173
ENSG00000132703	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000132716	254.795	224.584	260.992	245.50799999999998	300.732	218.234
ENSG00000132718	1483.97	1326.37	857.038	722.44	1359.63	589.251
ENSG00000132740	30.6786	41.6967	27.8664	36.1175	40.4692	32.0233
ENSG00000132744	12.0441	15.6601	12.9334	1.5619999999999998	6.5632600000000005	7.185989999999999
ENSG00000132746	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000132749	0.710954	1.3095700000000001	1.6223299999999998	3.1349299999999998	0.0	0.0
ENSG00000132763	32.5332	34.4575	24.1273	19.725	38.9289	21.4487
ENSG00000132768	328.461	216.08	160.611	258.632	289.793	285.56
ENSG00000132773	27.2245	21.1559	28.1498	27.1978	34.1528	40.5572
ENSG00000132780	120.697	135.154	167.43099999999998	172.298	167.585	190.238
ENSG00000132781	18.7371	12.2716	23.7536	17.4422	18.6437	21.9612
ENSG00000132792	69.5612	57.7296	63.6673	75.8394	67.8636	73.6564
ENSG00000132793	4.18189	2.0541400000000003	3.8170699999999997	4.91731	7.31768	11.311
ENSG00000132801	16.2299	12.9735	14.6743	16.8786	17.021	14.9088
ENSG00000132819	19.2342	21.9324	14.6302	50.4837	36.7681	33.444
ENSG00000132821	424.68199999999996	509.18300000000005	461.63699999999994	551.573	352.88800000000003	410.38699999999994
ENSG00000132823	136.077	135.41	174.887	162.076	131.614	161.817
ENSG00000132824	940.1260000000001	792.3910000000001	635.4830000000001	520.47	744.635	457.371
ENSG00000132837	7.1838	5.17795	6.41456	4.13175	4.3402199999999995	8.236839999999999
ENSG00000132840	7.371580000000001	2.26307	8.410630000000001	14.898	3.7938699999999996	7.4769
ENSG00000132842	27.0545	24.2783	28.4935	25.4906	32.4891	35.1808
ENSG00000132849	4.9053	6.41233	7.22158	4.53528	6.35215	7.38283
ENSG00000132854	3.6417800000000002	1.1180299999999999	6.92517	1.33819	4.68571	0.0
ENSG00000132855	0.0	0.0	1.1716799999999998	0.0	0.7927850000000001	0.0
ENSG00000132872	673.1189999999999	689.0360000000001	442.735	369.587	613.506	305.421
ENSG00000132874	0.45795699999999995	0.0	0.0	0.0	0.0	0.4645
ENSG00000132879	579.5419999999999	503.30300000000005	532.1619999999999	541.024	517.2669999999999	533.1
ENSG00000132881	26.9911	24.8587	22.5834	15.8689	23.6152	18.2511
ENSG00000132906	36.7687	38.8602	42.6391	37.2103	38.1571	51.3557
ENSG00000132911	4.326230000000001	0.0	0.0	3.1794	0.0	0.0
ENSG00000132912	90.2143	86.1008	89.5974	83.4756	93.822	71.1165
ENSG00000132915	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000132932	54.2977	64.0368	24.5351	24.1005	50.0796	21.4478
ENSG00000132938	45.5859	34.4334	24.6961	30.3684	28.8625	29.2725
ENSG00000132950	29.5757	23.8343	25.3084	32.6033	34.2483	37.4978
ENSG00000132952	50.2866	44.3002	57.3747	40.9732	40.5087	28.8289
ENSG00000132953	23.238000000000003	17.7237	13.671	11.6076	20.4623	11.785
ENSG00000132963	477.55199999999996	505.111	595.946	579.905	325.464	609.253
ENSG00000132964	37.6542	46.8173	34.3694	24.9053	31.9756	31.5086
ENSG00000132965	36.2531	29.034000000000002	3.5968	24.3261	4.86733	28.7774
ENSG00000132970	265.738	228.713	186.24200000000002	178.238	272.933	236.18599999999998
ENSG00000132972	0.134213	0.0	0.0	0.0	0.828892	0.0
ENSG00000132975	68.6753	69.4508	50.7005	51.9547	82.1241	32.7795
ENSG00000133019	140.292	150.352	78.9941	61.8615	117.025	52.4835
ENSG00000133020	0.10673599999999998	0.0	0.0	0.0	0.0	0.0
ENSG00000133026	254.465	255.738	142.037	162.35399999999998	221.041	127.766
ENSG00000133027	64.7874	66.095	79.6055	68.1233	47.707	48.5266
ENSG00000133028	77.6777	61.0203	52.1333	45.3332	89.9499	57.931999999999995
ENSG00000133030	328.83	327.73	218.791	194.166	311.07	192.69
ENSG00000133048	36.1183	30.8009	54.9458	85.53	57.8316	55.63
ENSG00000133055	0.539822	0.0	0.0	0.0	0.0	0.0
ENSG00000133056	26.2859	26.3276	25.4924	16.2994	46.4192	15.6636
ENSG00000133059	54.8568	45.0949	36.7258	33.9845	65.0985	28.0502
ENSG00000133063	1.02693	1.8916099999999998	1.1716799999999998	5.66029	3.96392	3.12482
ENSG00000133065	62.5639	50.6133	28.9389	40.0763	51.5623	54.0249
ENSG00000133067	3.5510900000000003	1.4535799999999999	0.0	0.0	0.0	0.8004060000000001
ENSG00000133069	161.55700000000002	159.349	255.614	224.148	242.021	234.736
ENSG00000133083	507.795	439.267	235.666	215.868	372.341	114.818
ENSG00000133101	59.4467	88.7843	62.3266	43.6881	47.9596	67.3578
ENSG00000133104	174.335	153.805	170.607	172.54	233.56900000000002	185.685
ENSG00000133105	0.0	0.0	0.0	0.0	2.33241	0.612891
ENSG00000133107	7.8146	7.6206	6.8181899999999995	2.5337	8.871780000000001	5.595
ENSG00000133110	7.33414	3.26091	2.30839	1.11516	3.5142800000000003	1.53909
ENSG00000133111	55.9165	56.1808	23.1993	67.2443	78.4857	41.2476
ENSG00000133116	4.56461	3.4396400000000003	0.9469110000000001	3.65955	3.52385	1.26268
ENSG00000133119	19.9109	22.2278	16.5218	10.642000000000001	12.1106	18.3595
ENSG00000133121	37.4687	36.6759	32.2175	31.1279	63.1612	29.7423
ENSG00000133131	9.17291	2.5344700000000002	4.18635	3.0335799999999997	6.37327	5.582380000000001
ENSG00000133134	1794.35	1616.11	1581.77	1384.18	1363.82	1410.18
ENSG00000133135	23.081	28.3434	23.8263	27.866999999999997	25.4548	12.2628
ENSG00000133138	4.4078599999999994	2.70642	2.2351799999999997	4.31918	3.02474	4.96759
ENSG00000133193	47.3646	55.5198	52.4032	72.782	59.8338	46.5855
ENSG00000133195	15.7419	12.0819	10.4771	10.1228	19.2417	14.6362
ENSG00000133216	36.7286	32.7808	19.0088	21.7052	35.662	18.4347
ENSG00000133226	129.315	129.096	134.619	126.945	166.141	121.589
ENSG00000133243	625.393	597.253	682.807	795.4760000000001	560.0459999999999	708.495
ENSG00000133246	1.35555	2.4969200000000003	3.09324	5.97727	0.0	8.24951
ENSG00000133247	15.492	24.9692	17.6757	21.3474	29.8993	33.3909
ENSG00000133250	65.9732	76.6526	115.804	111.887	89.3248	105.006
ENSG00000133256	14.2428	12.7428	28.7864	17.9438	45.8662	13.208
ENSG00000133265	249.408	276.752	178.28099999999998	228.56400000000002	215.739	225.541
ENSG00000133275	202.38299999999998	197.77	223.321	203.199	236.19099999999997	217.803
ENSG00000133302	49.2599	41.9707	36.6436	39.2318	38.5309	47.1024
ENSG00000133313	258.728	279.342	332.788	257.44	386.00699999999995	284.048
ENSG00000133315	27.7587	28.1223	34.8386	62.7307	34.2873	49.2718
ENSG00000133316	51.4538	37.4123	60.2513	68.6623	40.7673	57.6825
ENSG00000133317	0.0	0.0	0.0	0.0	0.0	1.35238
ENSG00000133318	4054.11	4056.26	3670.3	3231.48	3730.03	2702.46
ENSG00000133392	238.873	61.4788	25.9936	22.351999999999997	10.7286	115.07700000000001
ENSG00000133393	268.03	289.416	231.993	244.525	185.512	262.485
ENSG00000133398	193.46200000000002	192.72400000000002	175.68400000000003	143.629	128.015	112.12899999999999
ENSG00000133401	72.9406	67.5192	56.1853	69.3871	66.8855	51.0744
ENSG00000133422	43.0687	40.8445	44.2741	40.4265	46.0874	43.2516
ENSG00000133424	232.822	301.079	172.393	131.888	207.705	100.27
ENSG00000133454	0.708477	0.559291	0.461908	1.11572	0.31253600000000004	0.205314
ENSG00000133466	15.4739	7.500769999999999	9.292119999999999	8.97787	13.8319	9.91263
ENSG00000133477	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000133488	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000133561	16.1946	0.0	12.3182	0.0	0.0	21.9014
ENSG00000133574	62.9852	27.7436	26.5582	57.3576	36.9966	55.5523
ENSG00000133597	63.2272	84.7013	139.36	101.381	115.37100000000001	102.02600000000001
ENSG00000133606	331.36300000000006	321.849	271.314	330.523	293.723	245.388
ENSG00000133612	257.37	308.375	292.567	285.595	248.834	297.351
ENSG00000133619	29.1619	35.3895	33.6638	34.0382	39.7284	43.8458
ENSG00000133627	146.442	125.17	103.375	94.0723	96.7855	97.2417
ENSG00000133636	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000133639	105.323	123.948	110.155	74.1783	76.7917	109.796
ENSG00000133640	1.44151	1.3276299999999999	0.0	0.529691	1.4837799999999999	0.974736
ENSG00000133641	124.914	104.82	114.01700000000001	96.3911	87.8611	126.699
ENSG00000133657	46.4654	35.2628	27.1436	18.4399	32.1404	22.6221
ENSG00000133661	14.0	7.36797	15.2127	16.168	17.4984	8.11428
ENSG00000133665	10.6271	7.83007	14.5501	23.4301	3.2816300000000003	0.0
ENSG00000133678	33.5164	61.7371	10.1975	19.7053	41.398999999999994	27.1962
ENSG00000133687	25.6395	34.9076	21.8766	25.0691	35.4563	16.7342
ENSG00000133703	111.00299999999999	103.189	59.181999999999995	66.3294	105.715	29.4626
ENSG00000133704	56.653	49.7108	42.3088	34.065	50.8924	40.955
ENSG00000133706	149.609	140.295	127.764	147.433	134.047	143.93
ENSG00000133710	0.0	0.0	0.0	0.508463	0.0	0.0
ENSG00000133731	91.3795	81.2074	73.1648	60.0869	108.91	73.1724
ENSG00000133739	14.7829	13.9932	36.0757	18.5595	23.4585	27.9056
ENSG00000133740	18.7844	23.6742	15.7921	17.4377	16.7911	20.0555
ENSG00000133742	0.0	0.0	0.0	9.7881	0.0	3.60241
ENSG00000133773	76.8578	93.1866	79.9211	113.682	88.625	82.8899
ENSG00000133789	44.4905	43.3462	38.5956	25.1305	28.9531	29.8355
ENSG00000133794	103.11200000000001	64.494	82.0956	72.9453	82.8253	80.1493
ENSG00000133800	16.7505	57.852	15.9263	1.53877	6.4656400000000005	24.069000000000003
ENSG00000133805	26.5098	29.1979	38.0419	27.1146	48.5261	23.8393
ENSG00000133808	1.7231599999999998	0.0	0.0	0.0	0.0	0.0
ENSG00000133812	31.826	30.7075	23.6316	29.2366	29.0543	31.2559
ENSG00000133816	468.9	477.288	341.087	361.564	420.474	340.98199999999997
ENSG00000133818	24.9906	20.9239	15.5526	15.0267	26.308000000000003	25.3477
ENSG00000133835	137.398	118.361	191.90099999999998	184.106	167.335	146.569
ENSG00000133858	44.5162	38.9865	35.4355	29.9258	45.1111	34.535
ENSG00000133863	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000133872	2500.78	2567.71	2302.39	1978.04	2368.06	1716.52
ENSG00000133874	8.26556	3.04503	3.77225	0.0	2.55238	13.4138
ENSG00000133878	213.15900000000002	204.673	232.856	312.473	217.076	241.505
ENSG00000133884	59.419	56.231	68.4163	67.3044	66.4919	63.0325
ENSG00000133895	91.6476	92.5757	87.7002	78.2163	126.287	83.9611
ENSG00000133935	178.858	156.058	150.366	149.43200000000002	84.2994	110.757
ENSG00000133937	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000133943	116.88799999999999	98.0076	133.842	96.9869	124.197	146.18
ENSG00000133958	72.5027	55.2177	41.8914	50.0383	66.3765	53.4254
ENSG00000133961	153.013	150.69799999999998	143.726	120.75299999999999	153.8	139.575
ENSG00000133962	0.0	0.370463	0.917877	0.0	0.310527	0.407988
ENSG00000133980	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000133983	101.666	40.4906	81.5112	84.8126	33.9398	72.462
ENSG00000133985	241.768	328.86300000000006	212.18900000000002	278.818	258.428	188.632
ENSG00000133997	66.5107	87.509	60.7085	64.9399	58.6809	48.1864
ENSG00000134001	176.446	155.542	158.17700000000002	148.66	140.107	154.678
ENSG00000134013	1.8083	2.22058	2.7509099999999997	1.99341	1.39599	3.66826
ENSG00000134014	81.7279	72.7259	75.6794	67.8971	87.1724	74.4859
ENSG00000134020	25.5052	23.4902	24.2502	14.058	13.1265	21.558000000000003
ENSG00000134028	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000134030	191.528	192.372	163.275	182.452	214.255	155.411
ENSG00000134042	51.5919	33.5408	20.7755	46.8368	42.1714	116.971
ENSG00000134046	138.403	83.0909	95.9166	137.879	110.803	87.3478
ENSG00000134049	3659.99	4494.46	4175.88	2689.77	3767.31	7424.56
ENSG00000134056	372.29900000000004	279.585	359.426	284.131	238.773	406.666
ENSG00000134057	32.8145	35.6189	36.1027	40.0494	37.9988	48.7363
ENSG00000134058	74.469	79.9174	75.3609	74.24	57.9894	85.3851
ENSG00000134061	2.26284	0.5954510000000001	0.737658	0.0	0.49911400000000006	1.3115299999999999
ENSG00000134070	7.41995	13.6675	11.5848	6.02701	10.8533	5.54545
ENSG00000134072	233.66	253.29	208.794	209.71099999999998	157.237	192.955
ENSG00000134077	84.1377	56.8265	62.9315	57.7116	75.0576	65.4272
ENSG00000134086	156.256	193.727	130.282	145.751	157.745	103.62700000000001
ENSG00000134107	307.14	403.12199999999996	322.349	490.765	287.505	350.60400000000004
ENSG00000134108	277.272	260.155	203.653	225.421	286.29400000000004	174.013
ENSG00000134109	24.4159	15.4829	20.0939	10.5896	20.3939	25.1708
ENSG00000134115	23.4025	23.6737	24.9502	11.4188	16.2895	10.1173
ENSG00000134121	467.958	394.399	202.977	199.601	341.718	159.047
ENSG00000134138	68.9827	52.7444	59.4008	70.7834	62.9672	81.8497
ENSG00000134146	8.7455	9.39702	8.31517	3.21359	7.8767	4.435219999999999
ENSG00000134152	48.8697	33.7567	21.9049	32.7082	57.9379	38.9462
ENSG00000134153	322.428	324.6	300.487	268.97700000000003	304.973	267.127
ENSG00000134183	0.631468	0.0	1.44095	1.39222	0.0	0.0
ENSG00000134184	31.7397	0.0	45.266999999999996	0.0	41.3486	0.0
ENSG00000134186	96.4565	75.6754	55.0262	90.5779	95.1481	77.9054
ENSG00000134198	4.30334	1.9816799999999999	0.0	0.0	0.0	0.0
ENSG00000134200	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000134201	53.0043	86.0501	53.3004	5.94206	31.9029	125.74700000000001
ENSG00000134202	161.977	124.846	138.934	111.441	198.653	295.957
ENSG00000134207	16.305	15.0169	7.66016	3.1719	16.2895	3.89128
ENSG00000134215	6.1368	4.0694300000000005	2.80072	7.03562	4.92707	6.971419999999999
ENSG00000134216	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000134222	80.5905	108.62	136.056	186.34799999999998	186.14	176.775
ENSG00000134240	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000134242	0.548806	0.0	0.0	1.20997	0.423674	1.11329
ENSG00000134243	242.873	220.93900000000002	178.437	171.672	315.13599999999997	135.774
ENSG00000134245	25.1373	13.8908	30.5925	22.1684	18.1121	22.0969
ENSG00000134247	45.04	34.2676	21.7843	32.3809	44.9749	19.8624
ENSG00000134248	597.111	506.418	695.98	549.319	484.17900000000003	662.285
ENSG00000134250	23.9166	20.2619	11.2193	21.6798	33.4529	39.8952
ENSG00000134253	23.5438	22.3409	19.5363	13.3702	25.8865	31.8402
ENSG00000134255	67.2481	74.1274	70.0813	60.7066	71.1276	63.3752
