ENSEMBL ID	hV1	hV2	hV3	hV4	hV5	hV6
ENSG00000211706	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211710	0.0	0.0	0.0	0.0	3.5178800000000003	0.0
ENSG00000211715	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211716	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211717	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211746	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211747	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211749	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211752	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211753	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211772	471.212	435.69699999999995	416.099	763.112	569.1669999999999	287.252
ENSG00000211778	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211779	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211782	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211783	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211784	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211785	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211788	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211790	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211791	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211793	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211794	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211797	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211799	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211802	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211809	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211810	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211812	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211813	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211816	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211817	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211829	10.2634	3.01265	6.713310000000001	8.31061	0.0	2.60691
ENSG00000211898	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211899	1.31443	2.31498	10.3173	0.0	1.8144900000000002	5.00802
ENSG00000211967	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000211974	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000212123	2497.43	0.0	0.0	0.0	861.882	0.0
ENSG00000212127	14.6048	18.0054	11.4637	16.5564	26.2093	17.8063
ENSG00000212128	1.53593	0.0	0.0	1.24369	0.0	0.0
ENSG00000212747	51.3874	36.2014	50.4189	20.805	35.4684	43.0731
ENSG00000212999	138.746	150.375	0.0	207.41	132.597	170.78599999999997
ENSG00000213015	228.93099999999998	230.396	268.373	308.152	244.2	178.977
ENSG00000213022	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213023	163.655	154.97299999999998	85.7845	190.607	174.852	134.102
ENSG00000213024	76.5595	48.8202	31.0828	79.0942	91.10799999999999	82.4788
ENSG00000213047	0.760483	2.67872	4.4769	4.3105199999999995	3.14938	4.63593
ENSG00000213064	0.0	0.0	0.0	3.11115	10.6078	8.7833
ENSG00000213066	27.8179	19.0528	16.174	26.6963	29.1561	20.4122
ENSG00000213079	55.5787	47.7842	47.1099	65.2424	76.7227	73.6761
ENSG00000213085	0.0	0.880397	0.0	0.0	0.0	0.761828
ENSG00000213088	90.4286	114.76299999999999	148.744	88.2983	61.4974	55.7336
ENSG00000213123	33.2497	35.7863	28.9983	59.8298	50.9989	30.9668
ENSG00000213139	51.317	27.6159	78.322	43.8615	29.5165	34.7589
ENSG00000213145	0.0	11.5749	25.7932	0.0	0.0	0.0
ENSG00000213160	42.7316	36.9326	26.398000000000003	45.4942	72.6427	50.0485
ENSG00000213171	0.0	1.30673	0.0	0.600787	1.0242200000000001	0.0
ENSG00000213185	1248.71	3298.85	2450.36	2022.25	2585.64	951.5239999999999
ENSG00000213186	43.6378	50.2513	8.78265	19.9325	58.6944	158.58700000000002
ENSG00000213190	1679.3	1017.46	436.55800000000005	1842.1	2006.1	1296.04
ENSG00000213199	39.2047	63.17100000000001	47.4685	49.9821	47.2106	52.1209
ENSG00000213203	1248.71	1099.62	0.0	0.0	0.0	0.0
ENSG00000213204	4.23292	3.7275099999999997	4.15315	7.99759	7.79102	7.52618
ENSG00000213213	10.3628	8.364989999999999	11.862	10.4888	6.5565	10.5286
ENSG00000213215	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213218	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213221	274.108	643.678	597.648	468.57	525.538	580.197
ENSG00000213231	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213246	274.22700000000003	241.484	163.357	229.981	324.473	223.888
ENSG00000213265	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213281	23.8608	35.0196	26.0123	25.7611	34.768	48.4853
ENSG00000213316	3.5274400000000004	12.425	20.7657	5.71256	7.30408	5.37584
ENSG00000213337	304.71	210.453	117.242	275.76099999999997	115.46700000000001	191.215
ENSG00000213339	211.56799999999998	321.987	392.599	249.52200000000002	190.47099999999998	227.805
ENSG00000213341	16.9297	12.3379	11.4556	20.3265	24.1762	29.3598
ENSG00000213347	3.0017099999999997	23.7898	23.5611	21.8753	4.14366	6.86195
ENSG00000213366	90.1696	146.776	241.283	70.8008	69.7804	118.68
ENSG00000213380	67.4681	60.3864	36.8965	66.2738	61.0722	74.1666
ENSG00000213390	1.8045	7.15068	1.7704900000000001	5.11407	8.71846	7.562689999999999
ENSG00000213397	41.3387	45.1897	78.322	53.0955	47.2264	35.8451
ENSG00000213398	33.6954	75.0532	155.578	33.7041	39.6739	57.3935
ENSG00000213420	7.5876600000000005	6.6817	6.38114	3.51085	3.7408099999999997	5.78183
ENSG00000213424	150.352	87.8021	24.8452	167.88	151.84	123.01100000000001
ENSG00000213445	11.0124	33.7306	51.6755	18.6096	22.4724	21.8909
ENSG00000213463	33.1517	19.4622	28.9128	41.7573	35.5939	44.9097
ENSG00000213465	587.629	621.5219999999999	482.551	705.9760000000001	663.495	642.461
ENSG00000213471	1.17305	0.516494	3.4528300000000005	1.42479	2.02415	2.23467
ENSG00000213512	0.0	2.02632	0.0	1.24217	1.58823	0.0
ENSG00000213523	183.63400000000001	158.115	144.139	147.043	138.014	125.93700000000001
ENSG00000213533	31.4802	22.1771	37.0642	20.3924	26.0737	39.98
ENSG00000213551	60.2449	73.9508	42.9887	78.3473	61.743	45.9068
ENSG00000213563	52.0297	59.7618	150.928	60.4476	37.4731	56.8846
ENSG00000213578	13.2139	29.0904	6.48243	45.4738	20.521	30.2071
ENSG00000213585	881.055	520.641	266.485	914.571	913.32	596.911
ENSG00000213614	69.3271	77.7653	56.6838	78.8583	69.4974	84.9013
ENSG00000213619	627.854	482.045	501.05400000000003	482.904	380.24199999999996	418.457
ENSG00000213625	124.306	84.5859	110.876	45.7522	54.5988	103.333
ENSG00000213626	51.4451	45.3025	45.8869	30.2958	61.3324	35.6376
ENSG00000213638	15.6578	22.9805	7.681369999999999	10.5656	9.90669	15.9084
ENSG00000213639	266.67400000000004	193.831	166.12599999999998	250.21	355.465	278.469
ENSG00000213654	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213672	164.021	132.312	63.4321	201.158	247.078	161.93200000000002
ENSG00000213676	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213689	81.1811	137.77700000000002	251.987	114.73700000000001	62.1451	163.086
ENSG00000213699	41.7465	43.2494	26.5034	43.7458	48.3061	58.943999999999996
ENSG00000213714	0.0	0.0	14.5855	12.0372	5.13025	5.66383
ENSG00000213719	12.0765	29.7768	71.0936	11.7345	18.3379	18.4047
ENSG00000213722	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213741	3798.17	2565.77	4696.52	3665.32	3004.62	2088.07
ENSG00000213760	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213762	0.0	0.0	0.0	0.0	861.882	0.0
ENSG00000213780	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213782	78.721	66.7222	81.0993	71.7109	68.5974	83.98
ENSG00000213809	4.8777800000000004	4.295380000000001	0.0	3.9497	8.41681	3.7168900000000002
ENSG00000213822	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213853	35.7911	52.5294	163.877	54.7424	19.2139	36.364000000000004
ENSG00000213859	4.162380000000001	10.9962	28.5875	6.74083	7.18235	15.8587
ENSG00000213865	55.4983	32.5812	0.0	37.449	38.3059	28.1933
ENSG00000213886	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213892	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213901	0.0	0.688983	0.0	0.633536	2.1601	1.19239
ENSG00000213903	6.50371	35.5084	25.5246	16.8521	3.5911699999999995	10.9029
ENSG00000213906	3.49779	9.24047	2.28792	3.7763699999999996	8.85219	0.888444
ENSG00000213908	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000213918	10.6728	7.83202	13.9622	17.2842	14.732999999999999	14.9099
ENSG00000213920	66.4824	53.4536	68.0655	70.2169	41.897	50.6598
ENSG00000213923	341.445	364.63	242.483	322.998	383.059	348.56199999999995
ENSG00000213927	0.0	9.16347	0.0	4.213019999999999	3.5911699999999995	0.0
