TNMD	27
MTMR2	118	
PPP1R15A	2894	
HSD17B14	20	
TRIP6	133	
ACHE	463	
FTL	4187	
SRRT	300	
BAX	39	
NLK	55	
PIGS	186	
ADAMTS2	67	
TMPRSS11E	1	
ATXN7L3	170	
PGS1	88	
PSMC5	382	
UIMC1	72	
CETP	6	
MMP2	535	
MT3	23	
LPCAT2	50	
GNAO1	40	
OGFOD1	240	
SH3BP2	231	
NOP14	130	
ADD1	1333	
L2HGDH	35	
TXNDC16	35	
NID2	112	
GMCL1	68	
SF3B2	445	
GNAS	5621	
DNM1L	297	
PTHLH	2	
PHACTR3	2	
TFAP2C	16	
AURKA	16	
CASS4	24	
PIR	40	
AAMDC	259	
RFX2	54	
METTL2A	40	
SULT2B1	0	
ALG6	37	
CNOT3	141	
GP6	6	
PTPN4	106	
DDX18	211	
KHSRP	415	
GNA11	518	
EDEM2	37	
DNMT3B	9	
REM1	11	
TPX2	14	
PDRG1	47	
EPB41L1	192	
SLC15A1	0	
DOCK9	178	
ANKRD10	342	
TGDS	25	
DOCK3	27	
COQ9	404	
TMEM40	3	
KIF9	25	
ARHGAP28	61	
CRLS1	142	
DEFB127	0	
PPP1R13B	134	
ATRN	160	
SMOX	17	
SIGLEC1	88	
FKBP1A	471	
NSFL1C	322	
SLC4A11	49	
C20orf194	329	
ZNF343	47	
EBF4	53	
CPXM1	4	
MAVS	200	
F11	0	
XRN2	205	
DYNLL1	368	
TESC	9	
SNX5	295	
RPL6	1546	
SIRPG	0	
MAPKAPK5	115	
P2RX7	14	
ESF1	76	
RBBP9	46	
ANAPC5	506	
SLC23A2	173	
TMEM230	436	
DZANK1	10	
KDM2B	110	
CFAP61	137	
LHX5	0	
TASP1	27	
OAS1	136	
GCN1L1	534	
RPLP0	2344	
PXN	1171	
SIRT4	11	
RPH3A	14	
KIF16B	100	
TRMT6	49	
CHGB	1	
PEBP1	1115	
TBX5	0	
BRAP	118	
ERP29	206	
NOS1	447	
FUS	1056	
IGBP1	226	
FXYD5	109	
ZNF302	222	
GRAMD1A	261	
FXYD3	2	
CMTM1	3	
KCNH4	3	
GANAB	737	
GMIP	72	
RBM41	37	
BIRC5	2	
LAG3	15	
MLF2	434	
OTUB2	3	
DDX24	502	
ZBTB25	127	
NECAP1	111	
ARHGAP4	144	
ANKRD24	13	
DHX32	117	
RCOR1	131	
GPATCH2L	182	
LTBP4	2168	
BLVRB	242	
SPTLC1	115	
PAPOLA	473	
CCNK	183	
PCBP4	349	
RGS1	15	
YPEL3	433	
MRPS33	152	
NDUFB2	363	
NUDC	407	
MAEA	216	
ICAM1	1517	
STRN4	246	
IRAK3	69	
LYZ	391	
SI	0	
MUL1	142	
TFAP4	27	
PDCD7	67	
SPG21	240	
FETUB	0	
DNAJB11	124	
THPO	7	
CHRD	71	
FLT3LG	2	
RAB11FIP3	260	
GNPTG	178	
ZNF268	53	
GOLGA3	319	
PABPC4	1089	
CD209	23	
CERS4	70	
MCOLN1	80	
USP48	202	
EFNB1	124	
PDPR	202	
AARS	337	
GLG1	599	
KIF4A	6	
TNRC6A	397	
PLEKHG2	168	
DLL3	0	
NAT14	15	
PITPNM2	112	
EXOC1	121	
RBM27	108	
POU4F3	0	
OSBPL8	154	
DTX2	58	
NLRC4	16	
PUS7	48	
LAMB4	88	
NRCAM	24	
LAMB1	643	
SLC26A4	19	
SLC26A3	3	
DLD	767	
WDR7	55	
TXNL1	382	
IL5RA	0	
ABCC6	19	
CMTM6	177	
ITGA6	434	
RAPGEF4	49	
SMPX	638	
FH	382	
SEL1L3	36	
TF	25	
CDV3	1071	
ALKBH5	932	
APOH	0	
NLRP1	264	
PITPNM3	33	
SPAG7	267	
ORC6	18	
ZFHX4	56	
SLC17A6	0	
CPA1	5	
ZC3HC1	81	
ESR1	65	
RGS17	7	
ANGPT2	43	
TMEM101	119	
CD200	30	
CCDC80	637	
CMA1	7	
PSME1	296	
PPP2R3C	106	
HAUS4	20	
JPH4	7	
CEBPE	0	
SLC7A8	69	
OSGEP	108	
SLC22A17	93	
RNF31	93	
SCFD1	155	
G2E3	55	
HECTD1	854	
HNRNPC	902	
RPGRIP1	5	
SUPT16H	209	
TOX4	347	
TGM1	2	
TINF2	181	
TBL1Y	0	
SEMA6A	80	
TRPM7	140	
TYRO3	84	
WDR76	12	
CAPN3	413	
SNAP23	255	
TBX15	394	
PHGDH	185	
COL9A3	19	
EZR	252	
MYL6	1680	
TEKT2	1	
CLSPN	0	
RFFL	96	
UNC13D	94	
MFSD11	391	
DPYSL2	404	
TGFB2	62	
GPATCH2	36	
CDC45	1	
COMT	180	
CECR1	68	
VNN3	37	
ECHDC1	172	
LRRFIP2	372	
SEC22C	170	
XYLB	3	
HDAC6	261	
GABRP	3	
CDC6	5	
UPRT	41	
CDC23	72	
AAAS	181	
CBX5	244	
FMO2	249	
SUCO	97	
MAP3K1	73	
DHPS	239	
HOOK2	1522	
NXPE1	0	
ARCN1	460	
EPB41L4B	121	
TMEM38B	272	
PSMD5	95	
PTGS1	57	
NUP188	197	
CRAT	837	
SH2D3C	108	
NANS	89	
TBC1D2	50	
DFNB31	21	
PDE6C	2	
CWF19L1	64	
BTAF1	151	
IKZF5	107	
BLNK	11	
TLL2	19	
CYP26A1	1	
TDRD1	1	
SORBS1	3323	
CRTAC1	43	
BAMBI	10	
IL11	0	
MYO3A	15	
WAC	479	
CREM	94	
NUBP2	145	
HIVEP1	75	
TREM2	1	
KCNK16	0	
CRISP3	1	
FKBP5	820	
SRPK1	123	
BRPF3	217	
MRPS18A	114	
PGC	1	
TMEM14A	34	
EFHC1	47	
NCR2	0	
HSP90AB1	7712	
MLN	0	
CDC5L	199	
ITPR3	180	
ZNF184	23	
DSP	156	
SIRT1	174	
HNRNPH3	734	
IFT74	44	
JAK2	237	
IL12RB1	5	
ABL1	367	
ACOT7	23	
SH3GLB1	1028	
SYDE2	15	
PCSK5	81	
SCD	1056	
TMED1	92	
ABLIM1	796	
ERMP1	153	
RAB18	262	
NRP1	529	
PRTFDC1	13	
PALMD	690	
TSPAN15	123	
H2AFY2	20	
FAM21A	25	
MAST3	162	
MZF1	140	
OCEL1	56	
MYO9B	287	
KCNK6	10	
CATSPERG	9	
PSMD8	354	
FBXL19	49	
STX1B	10	
HSD3B7	54	
SETD1A	127	
BCL7C	110	
MAGEB2	0	
EFNA2	1	
CIRBP	901	
ATP5D	548	
C19orf26	31	
AMELY	0	
IGFALS	3	
HNRNPM	652	
MARCH2	203	
NDUFB7	218	
TECR	600	
TIMM13	150	
CDC34	171	
MTAP	47	
MISP	0	
CEP170B	130	
POLR2E	366	
POLRMT	193	
HCN2	68	
IZUMO4	10	
RASSF7	30	
GADD45B	1024	
PALM	259	
MADCAM1	1	
MKNK2	2902	
ARVCF	205	
TRMT2A	93	
RANBP1	164	
ZDHHC8	185	
KLHL22	117	
MED15	317	
SERPIND1	1	
SNAP29	158	
CRKL	451	
LZTR1	238	
MMP11	9	
CECR2	165	
SMARCB1	136	
P2RX6	84	
DERL3	7	
SLC7A4	3	
BCL2L13	425	
DDT	74	
OSM	89	
CABIN1	245	
SUSD2	95	
SF3A1	462	
GGT5	97	
RNF215	49	
SEC14L2	13	
SEC14L3	0	
SPECC1L	141	
PPIL2	257	
UPB1	7	
YPEL1	63	
SNRPD3	224	
PES1	119	
MAPK1	495	
PPM1F	230	
SLC35E4	62	
TOP3B	65	
CRYBB3	1	
CYTH4	97	
MFNG	63	
CARD10	89	
SLC25A1	207	
ADRBK2	126	
PLA2G3	14	
LGALS2	4	
HIRA	36	
SH3BP1	24	
SEZ6L	2	
LGALS1	1478	
HPS4	177	
PIK3IP1	203	
SRRD	205	
PATZ1	172	
TRIOBP	92	
TFIP11	241	
GCAT	28	
CRYBB1	1	
ANKRD54	61	
EIF3L	1280	
NHP2L1	382	
MICALL1	115	
POLR2F	90	
SOX10	23	
CCDC134	8	
DEPDC5	59	
PICK1	83	
TTC28	153	
SLC16A8	5	
CENPM	0	
SEPT3	13	
SLC5A1	23	
SLC5A4	17	
KDELR3	24	
DDX17	2418	
DMC1	3	
HSCB	29	
CBY1	88	
TOMM22	148	
RSPH14	7	
XBP1	339	
RTCB	201	
JOSD1	260	
FBXO7	332	
GTPBP1	347	
POLDIP3	309	
RAB36	21	
TIMP3	3431	
PPP6R2	378	
SBF1	636	
SUN2	887	
CYB5R3	1058	
DNAL4	38	
C22orf31	1	
MIOX	1	
RHBDD3	53	
PACSIN2	343	
TTLL1	16	
RASL10A	3	
AP1B1	300	
HMGXB4	76	
TOM1	420	
NEFH	1	
CHKB	4	
BIK	3	
HMOX1	492	
MCAT	44	
THOC5	162	
MCM5	64	
APOBEC3H	5	
ARSA	115	
TSPO	250	
RASD2	41	
TTLL12	95	
CBX7	699	
PDGFB	83	
ACR	3	
CABP7	45	
ZMAT5	62	
RBFOX2	637	
SYNGR1	144	
TAB1	119	
ASCC2	218	
MTMR3	463	
MIEF1	138	
PNPLA5	0	
PNPLA3	2	
MYH9	3696	
CACNA1I	2	
SAMM50	333	
FOXRED2	80	
GRAP2	10	
EIF3D	443	
SGSM3	219	
IFT27	69	
CSF2RB	191	
SLC25A17	45	
UPK3A	5	
FAM118A	207	
KCTD17	14	
IL2RB	7	
RBX1	58	
EP300	502	
L3MBTL2	124	
CHADL	21	
RANGAP1	175	
ZC3H7B	481	
PHF5A	58	
ACO2	2453	
POLR3H	1064	
TRMU	110	
PMM1	60	
DESI1	117	
CERK	204	
BRD1	180	
ZBED4	56	
MLC1	1	
HDAC10	2	
KCNK10	1	
ABHD4	164	
KHNYN	529	
FKBP3	684	
SDR39U1	306	
CTSG	9	
GZMH	6	
GZMB	13	
RBM23	220	
PRMT5	151	
COCH	24	
AP4S1	19	
POLE2	6	
VCPKMT	41	
SOS2	411	
CDKL1	22	
NIN	183	
PYGL	268	
TRIM9	2	
PSMC6	276	
GNPNAT1	146	
DDHD1	41	
CDKN3	3	
CGRRF1	54	
ATP6V1D	183	
C14orf105	12	
PLEK2	11	
PIGH	72	
LRRC74A	0	
PSMA3	212	
VTI1B	391	
TIMM9	73	
GSTZ1	55	
KIAA0586	49	
TMED8	63	
SAMD15	0	
AHSA1	500	
DAAM1	93	
ISM2	2	
SPTLC2	185	
RIN3	63	
LGMN	347	
ALKBH1	41	
SNW1	194	
CHGA	1	
ITPK1	367	
DHRS7	397	
PPM1A	629	
SIX4	119	
ASB2	1969	
CEP128	20	
ERH	144	
HIF1A	212	
SRSF5	1577	
SLC10A1	1	
EIF5	1501	
SERPINA4	0	
SLC8A3	107	
DICER1	249	
ZFYVE21	189	
MTHFD1	361	
TCL1A	0	
ZC3H14	178	
TELO2	106	
PCNX	300	
BDKRB1	8	
VRK1	19	
PSMC1	417	
PAPLN	75	
RPS6KA5	55	
SMEK1	211	
C14orf93	24	
PSMB5	241	
YY1	377	
ACIN1	577	
CCNB1IP1	90	
TRIP11	184	
APEX1	207	
PABPN1	241	
EFS	82	
ARHGAP5	198	
CINP	75	
DHRS2	240	
SRP54	172	
CPNE6	1	
CHD8	226	
PCK2	39	
DCAF11	327	
PSMA6	27	
NFKBIA	553	
EMC9	43	
PSME2	167	
BRMS1L	76	
REC8	72	
SEC23A	393	
GMPR2	165	
PNN	411	
RABGGTA	79	
NFATC4	107	
PLTP	208	
PCIF1	190	
GSS	82	
MMP9	48	
VSX1	1	
TRPC4AP	355	
ABHD12	108	
PROCR	60	
GINS1	2	
NINL	51	
UQCC1	280	
ZMYND8	161	
SGK2	42	
IFT52	58	
MYBL2	4	
R3HDML	0	
HNF4A	0	
NDRG3	144	
SLA2	37	
NFATC2	79	
RIMS4	13	
PABPC1L	39	
STK4	116	
SALL4	3	
ADNP	356	
PFDN4	47	
DOK5	77	
CSTF1	56	
BMP7	6	
RAE1	58	
TPD52L2	406	
DNAJC5	213	
CTSZ	429	
PRPF6	397	
TUBB1	9	
SLMO2	142	
HRH3	0	
PSMA7	485	
SLCO4A1	53	
NTSR1	5	
MRGBP	47	
TCFL5	43	
DIDO1	253	
GID8	94	
SLC17A9	9	
BIRC7	1	
NKAIN4	1	
ARFGAP1	241	
AVP	0	
COL20A1	1	
CHRNA4	3	
EEF1A2	5207	
GMEB2	67	
C20orf27	75	
SPEF1	0	
CDC25B	137	
ISM1	33	
RNF24	173	
ARFRP1	145	
NDUFAF5	56	
SEL1L2	2	
TRIB3	8	
RASSF2	201	
SLC52A3	43	
ANGPT4	24	
RSPO4	2	
CDS2	326	
PROKR2	1	
HM13	188	
SNPH	42	
MYLK2	2199	
SIRPB1	26	
SEC23B	87	
HAO1	0	
PDYN	0	
CCM2L	53	
PLCB4	109	
MYL9	3296	
HCK	120	
TM9SF4	266	
TLDC2	45	
CRNKL1	124	
POFUT1	267	
SAMHD1	346	
PAK7	3	
KIF3B	169	
MROH8	45	
NOP56	277	
MANBAL	100	
IDH3B	355	
MAPRE1	337	
JAG1	413	
CDK5RAP1	89	
SNTA1	813	
OXT	1	
TTI1	99	
E2F1	15	
RPRD1B	226	
PXMP4	29	
CHMP4B	433	
BPI	2	
CST9L	0	
SLC32A1	0	
ASIP	0	
CST4	0	
ACTR5	30	
WFDC2	481	
AHCY	184	
PPP1R16B	87	
SPINT3	0	
FAM83D	5	
DHX35	51	
DNTTIP1	85	
MAP1LC3A	173	
SYNDIG1	6	
PIGU	58	
TNNC2	11294	
ACOT8	216	
APMAP	281	
CELF4	10	
ZNF516	179	
CDH20	8	
ADNP2	62	
RBFA	31	
USP14	374	
VAPA	701	
METTL4	30	
LPIN2	114	
SMCHD1	359	
MYOM1	7222	
MYL12A	4675	
CEP76	19	
ST8SIA5	13	
CEP192	89	
RNMT	131	
SMAD7	131	
LIPG	1	
LAMA1	22	
RNF125	47	
ANKRD12	204	
NOL4	2	
POLI	71	
MIB1	135	
RBBP8	68	
RIOK3	340	
CSTF2	31	
VSIG1	1	
PSMD10	89	
ATG4A	82	
STS	123	
PGRMC1	252	
POLA1	58	
MID1	21	
NKAP	51	
NXT2	23	
GUCY2F	0	
ATP1B4	395	
ALG13	123	
PRPS2	42	
TLR8	18	
MOSPD1	45	
AMMECR1	30	
CHRDL1	544	
WDR13	322	
SUV39H1	27	
PAGE4	0	
SRPX	96	
GLRA2	1	
XIAP	176	
STAG2	282	
ATP11C	66	
F9	0	
CCDC22	81	
SYP	27	
PLP2	217	
BMX	42	
LUZP4	0	
NAA10	91	
RENBP	27	
MTMR8	7	
ZC3H12B	9	
RBBP7	385	
KCND1	12	
OPN1LW	0	
SLC25A14	20	
FMR1	149	
PIM2	39	
SCML2	7	
SLC35A2	56	
PQBP1	112	
RS1	1	
EMD	254	
TAZ	137	
RAB40AL	0	
PGK1	1633	
MAGT1	246	
PHEX	4	
UBL4A	286	
CD99L2	683	
EEA1	175	
GPR50	0	
RP2	47	
JADE3	28	
CDK16	695	
PCYT1B	4	
BRS3	0	
HTATSF1	592	
VGLL1	0	
CD40LG	3	
KLHL4	5	
GABRE	300	
FGD1	47	
ITIH6	5	
MAGED2	570	
RBM3	458	
KLF8	95	
SRPX2	49	
SYTL4	71	
ZDHHC15	10	
CENPI	2	
DRP2	50	
TAF7L	2	
GLA	89	
ARMCX3	255	
BEX4	60	
KIAA0226L	49	
NALCN	2	
FGF14	11	
HTR2A	6	
NDFIP2	115	
TNFSF13B	48	
FNDC3A	170	
CDADC1	46	
CAB39L	156	
KLF5	111	
STK24	278	
ACP5	14	
DNAJC3	168	
UGGT2	42	
ARHGEF7	430	
FGF9	91	
SGCG	265	
PARP4	119	
MRPS31	55	
SLC25A15	19	
KPNA3	938	
FLT1	164	
RGCC	138	
VWA8	293	
DGKH	72	
KATNAL1	85	
INTS6	103	
IRG1	0	
DHRS12	58	
MEDAG	166	
TSC22D1	848	
CLN5	93	
OLFM4	7	
MSLN	0	
MGRN1	294	
ZNF629	104	
TRADD	54	
HSF4	187	
CORO1A	230	
MAPK3	227	
GDPD3	21	
ELMO3	40	
MT4	0	
PHKB	586	
LYRM1	152	
NUTF2	252	
NUP93	103	
CENPT	197	
TSNAXIP1	35	
NFAT5	224	
LONP2	451	
N4BP1	205	
CBLN1	4	
ARL2BP	210	
PLLP	90	
ZNF423	246	
CCL22	0	
DHODH	40	
CCL17	0	
CTCF	265	
ACD	54	
POLR2C	256	
PARD6A	20	
ZNF821	33	
MMP15	145	
USB1	112	
CYB5B	214	
CCDC113	30	
PRSS54	7	
NME3	86	
NDRG4	102	
PSMD7	453	
SETD6	106	
SLC38A7	83	
VAC14	166	
HAS3	58	
TANGO6	60	
COG4	293	
SMPD3	20	
SLC7A6OS	290	
SLC7A6	329	
PLA2G15	113	
ESRP2	49	
FA2H	21	
WDR59	155	
MON1B	163	
CMC2	78	
AXIN1	106	
HCFC1R1	409	
NPRL3	175	
MLYCD	154	
MPG	106	
NECAB2	6	
HSDL1	131	
TAF1C	203	
NAGPA	48	
WFDC1	79	
SEC14L5	24	
COTL1	195	
USP10	280	
CRISPLD2	356	
TSC2	525	
ZNF500	38	
NME4	205	
ABCC1	158	
LMF1	56	
FOXF1	1	
NARFL	91	
MTHFSD	59	
CLCN7	313	
HAGHL	60	
FAM173A	54	
SLC7A5	115	
METRN	97	
FBXO31	295	
STUB1	521	
RHBDL1	5	
NUBP1	95	
UBE2I	311	
ZP2	0	
MEFV	54	
CRYM	5	
EEF2K	411	
PIEZO1	390	
GSPT1	642	
ZNF174	35	
CLUAP1	55	
UBFD1	412	
EARS2	99	
TCEB2	238	
GGA2	373	
AQP8	0	
CPPED1	89	
USP31	56	
HMOX2	74	
DNAJA3	319	
BFAR	183	
SALL1	0	
TOX3	35	
RBL2	520	
XYLT1	69	
PYCARD	34	
RPGRIP1L	15	
MAZ	460	
CDIPT	255	
BCKDK	198	
KAT8	171	
IL21R	4	
SYT17	98	
TMC5	32	
CCP110	64	
C16orf62	176	
SLC6A2	4	
RNF40	215	
KNOP1	45	
AQP9	124	
AAGAB	146	
IQCH	6	
LACTB	103	
CORO2B	40	
CSK	116	
HERC1	603	
TRIP4	53	
MTFMT	49	
RASL12	180	
AP3B2	7	
ACSBG1	201	
IGDCC4	168	
RAB11A	402	
CTSH	103	
TTC23	142	
CD276	139	
FAH	185	
CEMIP	6	
RPAP1	176	
HOMER2	301	
EHD4	110	
TMEM87A	223	
ZNF106	4999	
CEP152	48	
ATP8B4	51	
OCA2	11	
DTWD1	57	
TGM5	0	
FAM189A1	8	
GABPB1	45	
TJP1	413	
BMF	50	
DMXL2	77	
SCG3	27	
DNAJC17	17	
SPG11	259	
RHOV	1	
VPS18	114	
OIP5	7	
SLC30A4	28	
BLOC1S6	249	
MYEF2	73	
SGK3	20	
PDGFRL	142	
CSPP1	72	
ZDHHC2	243	
BRF2	166	
TRIM35	58	
ZFAND1	103	
RP1	0	
CA2	952	
FZD3	34	
INTS9	57	
RIPK2	35	
EYA1	10	
NBN	157	
TRPA1	11	
CPQ	237	
DECR1	222	
CALB1	1	
IMPAD1	458	
SFRP1	344	
LAPTM4B	572	
UBE2W	100	
POP1	15	
NIPAL2	52	
IKBKB	203	
PLAT	168	
JPH1	1260	
DKK4	0	
STK3	116	
GDAP1	60	
RAB2A	648	
EIF3E	796	
EMC2	160	
ESRP1	25	
WISP1	12	
NDRG1	1398	
ZC2HC1A	96	
IL7	19	
STMN2	3	
ARMC1	164	
TRPS1	50	
SPAG1	35	
CHRAC1	138	
NCALD	118	
SNX16	43	
GML	0	
UBR5	312	
GSDMD	130	
TSTA3	67	
PYCRL	25	
EEF1D	1019	
ANXA13	0	
SQLE	29	
SH2D4A	57	
ERI1	29	
SLC39A14	125	
MTMR9	95	
LEPROTL1	95	
DCTN6	50	
R3HCC1	120	
GSR	142	
TNFRSF10A	24	
ERICH1	58	
NEFM	8	
TUSC3	34	
ARHGEF10	146	
KLHDC4	60	
MCM4	95	
ADAM2	1	
FGL1	0	
ASAH1	795	
BNIP3L	287	
MAN2B1	123	
KCNN4	5	
TULP2	3	
NUCB1	912	
DHDH	3	
GYS1	1065	
MAP4K1	26	
ECH1	504	
HNRNPL	430	
NFKBIB	91	
LHB	2	
TUBB4A	16	
KCNA7	361	
SNRNP70	1160	
CLPTM1	379	
RELB	91	
CLASRP	151	
LIN7B	51	
PPP1R37	129	
FCGRT	502	
PIH1D1	127	
CKM	47349	
PPP1R13L	46	
PEX11G	7	
ERCC2	70	
DOT1L	205	
PLEKHJ1	196	
SLC17A7	32	
RNASEH2A	14	
KLC3	7	
CD37	96	
SF3A2	135	
AMH	4	
DKKL1	2	
LYL1	39	
OAZ1	1629	
TRMT1	111	
STX10	83	
RETN	4	
FCER2	4	
DMPK	489	
CLEC4M	0	
RSPH6A	1	
TBC1D17	419	
IL4I1	3	
TLE6	11	
CCDC130	98	
PTOV1	545	
AES	2466	
NOVA2	53	
SGTA	319	
KIR3DX1	0	
MED25	239	
SNAPC2	40	
TIMM44	179	
CCDC61	24	
IL27RA	14	
ASF1B	6	
TNNT1	14259	
VRK3	107	
FAM32A	156	
PPP6R1	328	
C19orf44	106	
OLFM2	19	
RASAL3	27	
AKAP8	155	
EPHX3	4	
ILVBL	121	
ZNF419	22	
SYDE1	72	
CASP14	0	
SLC1A6	0	
AURKC	13	
POP4	78	
CCNE1	7	
URI1	269	
PDCD5	166	
ANKRD27	117	
RPS16	1377	
TIMM50	177	
LGALS13	0	
FBL	205	
DYRK1B	432	
CNTD2	4	
GPI	1086	
AKT2	946	
PLD3	496	
PRX	202	
PIAS4	65	
NUMBL	106	
EBI3	0	
CCDC94	87	
SHD	1	
TBCB	237	
FSD1	0	
POLR2I	145	
OVOL3	0	
CLIP3	79	
ZFR2	1	
SLC1A5	224	
PRKD2	141	
TJP3	26	
APLP1	10	
CACTIN	127	
CCDC9	146	
HNRNPUL1	666	
FZR1	151	
BBC3	30	
TGFB1	210	
DENND3	208	
ATP5SL	163	
CEACAM4	5	
PLIN3	238	
MYH14	823	
MRPL4	90	
SIGLEC8	3	
CD79A	2	
LIM2	0	
ICAM4	20	
RPS19	718	
GLTSCR2	765	
NKG7	15	
ICAM5	20	
ETFB	114	
CD33	11	
BABAM1	75	
TYK2	355	
SULT2A1	0	
CDC37	699	
NAPA	515	
RABAC1	185	
ATP1A3	38	
MEIS3	14	
PTPRS	391	
CNFN	4	
ZNRF4	0	
MEGF8	333	
KDELR1	298	
CYTH2	183	
GRWD1	80	
SYNGR4	0	
CLEC11A	36	
CCDC114	7	
CARD8	237	
LIG1	42	
SIGLEC6	3	
ZNF175	41	
PLA2G4C	228	
CABP5	0	
HAS1	25	
RAB3D	79	
DBP	130	
TMEM205	122	
CAPS	55	
FAM83E	0	
RASIP1	129	
THEG	0	
FGF21	0	
BCAT2	127	
MIER2	57	
PLEKHA4	147	
PPP2R1A	691	
TNPO2	292	
WDR83OS	193	
CACNG7	1	
GCDH	100	
LILRB5	44	
KLF1	0	
DNASE2	99	
MAST1	6	
LENG1	41	
PRPF31	162	
TFPT	41	
JAK3	79	
RPL18A	1325	
SLC5A5	0	
KCNN1	18	
ARRDC2	296	
RAB3A	33	
PDE4C	87	
ISYNA1	189	
ELL	123	
CRTC1	107	
COMP	115	
UPK1A	1	
COPE	163	
DDX49	97	
ATP4A	0	
ARMC6	88	
TMEM147	148	
GAPDHS	12	
MAG	24	
TMEM59L	2	
HAMP	2	
USF2	499	
LSR	59	
KXD1	177	
FKBP8	787	
SUGP1	84	
HPN	100	
ZNF14	21	
SCN1B	478	
PBX4	8	
ERF	285	
GSK3A	208	
ATP13A1	154	
ZNF574	99	
GRIK5	40	
SIPA1L3	101	
ZNF85	15	
ETHE1	60	
CADM4	55	
SMG9	51	
AVL9	111	
RUNDC3B	5	
CFAP69	19	
GTPBP10	67	
CDK6	67	
PMPCB	184	
DNAJC2	102	
TFPI2	26	
BET1	53	
NAMPT	1335	
TWISTNB	71	
PIK3CG	10	
PON2	115	
ITGB8	38	
HBP1	513	
DUS4L	29	
SP4	65	
WDR91	78	
CBLL1	200	
DLX5	1	
MTPN	407	
STEAP1B	3	
PTN	21	
MPP6	77	
DFNA5	42	
ATP6V0A4	563	
ZC3HAV1	315	
TTC26	18	
OGDH	1812	
NPVF	0	
TFEC	3	
H2AFV	479	
CAV2	450	
CAV1	1617	
MET	244	
RNF32	7	
LMBR1	130	
WNT2	5	
HOXA1	1	
HOXA2	12	
HOXA3	46	
LFNG	80	
HOXA5	45	
HOXA6	11	
BRAT1	146	
IQCE	58	
ANKRD7	0	
VIPR2	26	
TSPAN12	59	
HOXA13	0	
CPED1	381	
EVX1	0	
HIBADH	320	
TAX1BP1	446	
CPVL	57	
CHN2	17	
GRB10	552	
ABHD11	62	
COBL	494	
FKBP14	41	
PLEKHA8	44	
STX1A	10	
NOD1	82	
GARS	228	
CRHR2	5	
EPHB6	70	
FAM188B	3	
GHRHR	0	
CASP2	82	
CHCHD2	727	
CCL24	0	
HSPB1	8007	
NPTX2	0	
PDAP1	470	
BUD31	139	
CYP3A5	11	
ZKSCAN1	204	
EIF3B	535	
SNX8	68	
NUDT1	18	
PTPRZ1	3	
TAF6	177	
WASL	270	
HYAL4	5	
SPAM1	1	
AIMP2	139	
TFR2	0	
FSCN3	2	
MOSPD3	27	
PAX4	0	
PCOLCE	188	
FBXO24	4	
PPP1R17	0	
RBM28	191	
USP42	66	
IMPDH1	131	
AGFG2	62	
LSM5	74	
SERPINE1	121	
AP1S1	43	
MOGAT3	0	
C1GALT1	83	
PLOD3	143	
RPA3	22	
ZNHIT1	145	
CLDN15	26	
NOBOX	0	
GLCCI1	75	
MYL10	0	
PHF14	70	
NRF1	86	
TMEM106B	186	
EZH2	19	
ZNF862	135	
SFRP4	101	
MEST	198	
MEOX2	86	
ANKMY2	128	
POU6F2	3	
TSPAN13	42	
RARRES2	372	
AGR2	0	
AHR	157	
CHCHD3	447	
GIMAP2	19	
TMEM176B	83	
GLI3	26	
MRPL32	146	
URGCP	178	
TMEM248	273	
RHEB	344	
PRKAG2	129	
AEBP1	1354	
POLD2	289	
MYL7	0	
GCK	2	
BCL7B	252	
YKT6	253	
TBL2	76	
GALNTL5	0	
CLIP2	90	
EIF4H	1216	
LIMK1	61	
SPATA6L	9	
SLC1A1	18	
LHX2	0	
FKTN	61	
FSD1L	50	
CNTNAP3	12	
SPIN1	208	
NMRK1	103	
TMEM245	515	
PRUNE2	177	
MEGF9	227	
TRIM14	50	
CORO2A	14	
TGFBR1	149	
SEC61B	90	
C5	16	
OGN	253	
ASPN	80	
ECM2	327	
TLE4	114	
LHX6	50	
PTGR1	101	
SUSD1	27	
AMBP	0	
AKNA	198	
TNFSF8	7	
DNM1	80	
ENG	569	
AK1	126	
CDC37L1	123	
RLN1	0	
PLGRKT	47	
TBC1D13	186	
DOCK8	262	
ELAVL2	5	
NCS1	141	
TESK1	331	
CA9	2	
FUBP3	169	
TYRP1	15	
CREB3	150	
RGP1	269	
MPDZ	261	
LHX3	0	
DDX58	118	
EDF1	398	
PIP5K1B	27	
GLIS3	7	
BAG1	362	
RAPGEF1	873	
NPDC1	359	
APBA1	40	
SETX	302	
SH3GL2	4	
PTGDS	254	
SHB	19	
UBE2R2	400	
ABHD17B	73	
EXOSC3	35	
DVL1	895	
PDLIM1	897	
CCNJ	30	
DNTT	0	
GATA3	34	
ATRNL1	27	
HPS1	151	
PHYH	946	
RASSF4	168	
RAB11FIP2	102	
CXCL12	997	
ERLIN1	118	
EIF3A	872	
PKD2L1	1	
CUBN	27	
TRDMT1	26	
DDX50	108	
MAPK8	114	
SEC23IP	123	
ATE1	162	
NSMCE4A	86	
PLEKHA1	186	
PALD1	52	
UNC5B	43	
SPOCK2	64	
MICU1	260	
PPP3CB	1288	
CCSER2	468	
BMPR1A	215	
MINPP1	34	
LIPA	157	
TLX1	0	
C10orf2	46	
LZTS2	261	
