TNMD	27
GPR124	439	
ZFP64	52	
MNAT1	93	
SAMD4A	662	
RUNX3	20	
MRE11A	28	
PLEKHB1	90	
SERPINB1	389	
CYP3A43	0	
SLC7A9	0	
SPAST	65	
NRXN3	71	
AQR	76	
CPS1	21	
C8B	0	
RTFDC1	328	
GABRA1	1	
NLRP2	4	
SLC45A4	96	
RNF10	1225	
ZNF839	81	
ZDHHC6	104	
GRAMD1B	27	
RNH1	469	
NDUFS1	1226	
RB1CC1	266	
ERP44	150	
ALAS1	314	
BIRC3	45	
AKAP11	170	
GLRX2	31	
SNAPC1	19	
DERA	76	
STRAP	455	
DEF6	31	
PLEKHO1	197	
GCLM	170	
UBR2	292	
EHD2	1141	
DEPDC1	2	
CCDC28A	52	
RRAGD	543	
HSF2	133	
PHF20	231	
NR1H3	88	
TYMP	182	
TOMM34	60	
SEC63	290	
KPNA6	402	
VIM	8881	
FAS	66	
RNASET2	70	
CD44	356	
KCNG1	1	
AGPAT4	32	
SLAMF7	8	
MIPEP	42	
PRKCH	100	
INSRR	2	
IFNGR1	245	
B4GALT7	81	
SH2D2A	8	
VRK2	70	
TNFRSF1B	241	
VEZT	284	
POU2F2	37	
BRD9	107	
SNX1	453	
TBPL1	63	
ARNTL2	5	
BCLAF1	658	
SLC39A9	134	
ANK1	954	
IBSP	0	
TFB1M	27	
RABEP1	401	
HMGB3	25	
NUP160	163	
BAK1	54	
MUSK	1	
IKZF2	39	
GRN	505	
FAM13B	117	
ARHGAP31	208	
CENPQ	15	
SARS	361	
RANBP3	164	
ARID4A	87	
TSSC1	36	
PNPLA6	264	
IFT88	44	
ALG1	47	
ZCCHC8	127	
ABCF2	265	
CHPF2	91	
LRRC7	16	
FUT8	62	
UBA6	132	
GAB2	170	
ATP6V0A1	340	
PIAS1	103	
SLC4A7	92	
APBA2	1	
EFCAB1	1	
TMSB10	650	
ASTE1	32	
RNF19A	213	
PEX3	38	
GABARAPL2	374	
MYOC	378	
SH3YL1	78	
FAM136A	84	
VCL	1335	
DEPDC1B	2	
DAPK2	190	
NSMAF	130	
ADSS	60	
STAP1	62	
TIMP2	1645	
RFC1	159	
TBC1D23	172	
CUL3	449	
MYOM2	4855	
