ATRN	160
ATRNL1	27
ATRX	244
ATXN1	234
ATXN10	283
ATXN1L	263
ATXN2	192
ATXN2L	442
ATXN3	42
ATXN3L	0
ATXN7	159
ATXN7L1	34
ATXN7L2	110
ATXN7L3	170
ATXN7L3B	257
AUH	96
AUNIP	6
AUP1	296
AURKA	16
AURKAIP1	292
AURKB	6
AURKC	13
AUTS2	146
AVEN	55
AVIL	116
AVL9	111
AVP	0
AVPI1	49
AVPR1A	127
AVPR1B	0
AVPR2	22
AWAT1	0
AWAT2	0
AXDND1	0
AXIN1	106
AXIN2	29
AXL	235
AZGP1	144
AZI2	160
AZIN1	467
AZIN2	18
AZU1	0
B2M	5939
B3GALNT1	23
B3GALNT2	123
B3GALT1	47
B3GALT2	1
B3GALT4	0
B3GALT5	7
B3GALT6	30
B3GALTL	34
B3GAT1	12
B3GAT2	107
B3GAT3	58
B3GNT2	65
B3GNT3	0
B3GNT4	76
B3GNT5	206
B3GNT6	0
B3GNT8	18
B3GNTL1	27
B4GALNT1	86
B4GALNT2	1
B4GALNT3	131
B4GALNT4	3
B4GALT1	390
B4GALT2	202
B4GALT3	79
B4GALT4	45
B4GALT5	396
B4GALT6	35
B4GALT7	81
B9D1	5
BAALC	34
BAAT	3
BABAM1	75
BACE1	183
BACE2	303
BACH1	166
BACH2	30
BAD	113
BAG1	362
BAG2	167
BAG3	3230
BAG4	76
BAG5	138
BAHCC1	0
BAHD1	143
BAI1	10
BAI2	18
BAI3	8
BAIAP2	61
BAIAP2L1	97
BAIAP2L2	11
BAIAP3	88
BAK1	54
BAMBI	10
BANF1	471
BANF2	0
BANK1	14
BANP	41
BAP1	361
BARD1	30
BARHL1	0
BARHL2	0
BARX1	0
BARX2	1
BASP1	70
BATF	4
BATF2	23
BATF3	10
BAX	39
BAZ1A	109
BAZ1B	399
BAZ2A	539
BAZ2B	131
BBC3	30
BBOX1	2
BBS10	47
BBS12	9
BBS2	224
BBS4	74
BBS7	50
BBS9	47
BBX	165
BCAM	1023
BCAN	3
BCAP29	294
BCAR1	357
BCAR3	87
BCAS1	13
BCAS2	177
BCAS3	85
BCAS4	6
BCAT1	19
BCAT2	127
BCCIP	150
BCDIN3D	14
BCHE	21
BCKDHA	5
BCKDHB	85
BCKDK	198
BCL10	59
BCL11A	4
BCL11B	7
BCL2	282
BCL2A1	31
BCL2L1	237
BCL2L10	2
BCL2L11	84
BCL2L12	51
BCL2L13	425
BCL2L14	1
