5S_rRNA	0	
7SK	0	
A1BG	1	
A1CF	1	
A2M	542	
A2ML1	0	
A4GALT	38	
A4GNT	0	
AAAS	65	
AACS	19	
AADAC	0	
AADACL2	0	
AADACL3	0	
AADACL4	0	
AADAT	0	
AAED1	13	
AAGAB	73	
AAK1	12	
AAMDC	257	
AAMP	113	
AANAT	0	
AAR2	37	
AARD	0	
AARS	250	
AARS2	20	
AASDH	9	
AASDHPPT	76	
AASS	5	
AATK	2	
ABAT	4	
ABCA1	34	
ABCA12	0	
ABCA13	0	
ABCA3	70	
ABCA4	1	
ABCA5	73	
ABCA6	18	
ABCA8	40	
ABCA9	20	
ABCB1	0	
ABCB10	47	
ABCB11	0	
ABCB4	31	
ABCB5	0	
ABCB6	5	
ABCB8	47	
ABCB9	135	
ABCC1	59	
ABCC10	22	
ABCC11	11	
ABCC12	4	
ABCC3	0	
ABCC4	1	
ABCC6	0	
ABCC8	4	
ABCC9	114	
ABCD2	1	
ABCD3	102	
ABCD4	18	
ABCE1	93	
ABCF1	0	
ABCF2	206	
ABCF3	163	
ABCG1	47	
ABCG2	2	
ABCG4	0	
ABCG5	0	
ABCG8	0	
ABHD1	12	
ABHD10	49	
ABHD11	27	
ABHD12	27	
ABHD12B	1	
ABHD13	24	
ABHD14A-ACY1	0	
ABHD14B	28	
ABHD15	9	
ABHD16A	0	
ABHD16B	5	
ABHD17A	152	
ABHD17B	23	
ABHD17C	1	
ABHD2	58	
ABHD3	1	
ABHD4	30	
ABHD5	31	
ABHD6	2	
ABHD8	38	
ABI1	37	
ABI2	63	
ABI3	9	
ABI3BP	22	
ABL1	143	
ABL2	30	
ABLIM1	202	
ABLIM2	445	
ABLIM3	67	
ABO	0	
ABR	154	
ABRA	307	
ABRACL	2	
ABT1	41	
ABTB1	68	
ABTB2	94	
ACA59	0	
ACA64	0	
ACAA1	85	
ACAA2	113	
ACACB	492	
ACAD10	36	
ACAD11	9	
ACAD8	37	
ACAD9	88	
ACADL	18	
ACADM	160	
ACADS	177	
ACADSB	91	
ACADVL	1456	
ACAN	0	
ACAP1	17	
ACAP2	17	
ACAP3	71	
ACAT1	676	
ACAT2	56	
ACBD3	71	
ACBD4	8	
ACBD5	64	
ACBD7	0	
ACCS	2	
ACCSL	0	
ACD	11	
ACE	11	
ACE2	0	
ACER1	0	
ACER2	0	
ACER3	10	
ACHE	1044	
ACIN1	147	
ACKR1	16	
ACKR2	2	
