TNMD	0
DPM1	89	
SCYL3	56	
FGR	9	
CFH	96	
FUCA2	13	
GCLC	67	
NFYA	35	
STPG1	3	
NIPAL3	29	
LAS1L	52	
ENPP4	111	
SEMA3F	25	
CFTR	0	
ANKIB1	81	
CYP51A1	0	
KRIT1	105	
RAD52	49	
BAD	58	
LAP3	170	
CD99	249	
HS3ST1	4	
AOC1	0	
WNT16	0	
HECW1	9	
MAD1L1	37	
LASP1	85	
SNX11	26	
TMEM176A	4	
M6PR	165	
CYP26B1	6	
ICA1	4	
DBNDD1	326	
ALS2	150	
CASP10	13	
CFLAR	649	
TFPI	40	
NDUFAF7	60	
RBM5	277	
MTMR7	7	
SLC7A2	1394	
ARF5	126	
SARM1	30	
PLXND1	82	
AK2	188	
CD38	146	
FKBP4	363	
KDM1A	191	
RBM6	158	
CAMKK1	8	
RECQL	92	
CCDC132	70	
HSPB6	7493	
ARHGAP33	10	
NDUFAB1	350	
PDK4	2695	
SLC22A16	0	
ZMYND10	2	
ABCB5	1	
SLC25A13	15	
ST7	51	
CDC27	171	
SLC4A1	0	
CALCR	3	
HCCS	133	
DVL2	38	
PRSS22	0	
UPF1	190	
SKAP2	74	
SLC25A5	50	
CCDC109B	8	
HOXA11	0	
POLR2J	107	
DHX33	39	
MEOX1	11	
THSD7A	0	
LIG3	58	
RPAP3	88	
ACSM3	9	
CIAPIN1	93	
SPPL2B	92	
FAM214B	39	
COPZ2	68	
PRKAR2B	18	
MSL3	103	
CREBBP	463	
BZRAP1	36	
MPO	1	
PON1	0	
GCFC2	85	
WDR54	6	
CROT	29	
ABCB4	34	
RHBDD2	53	
SOX8	12	
IBTK	344	
ZNF195	52	
MYCBP2	143	
FBXL3	137	
ITGAL	11	
PDK2	852	
ITGA3	48	
ZFX	182	
ITGA2B	3	
ASB4	235	
GDE1	346	
CRLF1	26	
OSBPL7	210	
TMEM98	9	
YBX2	10	
MAP3K14	48	
ABCC8	5	
CACNG3	0	
TMEM132A	11	
AP2B1	344	
TAC1	0	
ZNF263	72	
CX3CL1	44	
SPATA20	121	
CACNA1G	1	
TNFRSF12A	31	
DLX6	0	
MAP3K9	18	
RALA	80	
BAIAP2L1	6	
KDM7A	163	
ETV1	4	
TTC22	0	
PHTF2	808	
CCL26	0	
FARP2	75	
USH1C	0	
GGCT	30	
DBF4	7	
TBXA2R	2	
IFRD1	143	
COX10	219	
GTF2IRD1	179	
PAF1	171	
VPS41	41	
ARHGAP44	21	
ELAC2	172	
SCIN	1	
ARSD	8	
PNPLA4	158	
MYH13	1	
ADIPOR2	237	
CDKL3	4	
UPP2	0	
PRSS21	0	
MARK4	383	
PROM1	0	
CCDC124	114	
PAFAH1B1	681	
NOS2	2	
DNAH9	0	
KIAA0100	650	
SLC13A2	0	
GAS7	85	
TRAPPC6A	11	
MATK	0	
CEACAM7	0	
CD79B	4	
SCN4A	2028	
ST7L	41	
TKTL1	0	
PAX6	9	
RPUSD1	32	
RHBDF1	97	
LUC7L	78	
CACNA2D2	13	
BAIAP3	41	
TSR3	149	
PIGQ	50	
CRAMP1L	25	
TEAD3	103	
SELE	11	
DNAJC11	188	
FMO3	0	
MYLIP	228	
E2F2	0	
PSMB1	271	
JARID2	55	
CDKL5	3	
CAMK1G	0	
NADK	64	
TFAP2B	0	
TFAP2D	0	
DLEC1	21	
CYTH3	103	
ADAM22	3	
SYPL1	445	
CYB561	7	
SPAG9	373	
CELSR3	4	
AASS	31	
PLEKHG6	0	
MPND	36	
MGST1	9	
CRY1	34	
PGLYRP1	0	
NFIX	2271	
ST3GAL1	479	
MMP25	9	
IL32	274	
MAPK8IP2	2	
MED24	399	
RHOBTB2	129	
HEATR5B	32	
SEC62	250	
RPS20	1334	
CSDE1	10214	
UBE3C	488	
REV3L	122	
TENM1	3	
PAX7	53	
MASP2	19	
IYD	0	
FAM76A	60	
TRAF3IP3	2	
POMT2	46	
VTA1	224	
MLXIPL	74	
BAZ1B	278	
RANBP9	238	
ETV7	2	
SPRTN	25	
METTL13	66	
DYRK4	19	
ZNF207	191	
UQCRC1	1914	
STARD3NL	38	
CD9	39	
HHATL	700	
NCAPD2	63	
IFFO1	71	
PHF7	12	
SEMA3G	60	
NISCH	146	
STAB1	33	
FUZ	69	
SLC6A13	2	
ZNF200	13	
CD4	6	
LRRC23	20	
BTK	1	
HFE	3	
SCMH1	227	
FYN	30	
HIVEP2	403	
FMO1	0	
TCEB3	201	
LYPLA2	59	
CLCN6	90	
MRC2	151	
SLC6A7	65	
TSPAN9	49	
BTBD7	107	
APBA3	36	
MKS1	28	
ABHD5	35	
KAL1	103	
AKAP8L	147	
MBTD1	65	
RNF216	176	
TTC19	95	
PTBP1	104	
DPF1	0	
SYT7	8	
LARS2	61	
PIK3C2A	62	
PLAUR	5	
ANLN	0	
WIZ	138	
RABGAP1	232	
DCN	1051	
QPCTL	2	
PPP5C	152	
CEP68	274	
MAP4K3	196	
ZBTB32	0	
TYROBP	9	
TMEM159	302	
GABRA3	0	
BRCA1	16	
ERCC1	137	
CD22	0	
MBTPS2	65	
LTF	0	
EXTL3	221	
NR1H4	0	
ELOVL5	24	
ALOX5	1	
KDM5D	203	
CALCOCO1	613	
UBR7	68	
MAP4K5	68	
EHD3	7	
PSMC4	135	
SLC7A14	0	
CLDN11	2	
SLC25A39	99	
MVP	77	
NUB1	211	
PGM3	41	
RWDD2A	22	
CLK1	445	
POLR3B	33	
ANGEL1	59	
RNF14	144	
DDX11	61	
HEBP1	69	
GPRC5A	6	
MAMLD1	42	
CD6	0	
UFL1	154	
POLA2	14	
ZC3H3	72	
CAPN1	294	
ACPP	0	
MDH1	1249	
SLC30A9	208	
MTMR11	9	
COX15	126	
CCDC88C	9	
YAF2	95	
ZMYND11	349	
DPEP1	0	
BID	31	
MATR3	693	
NPC1L1	1	
XYLT2	47	
STMN4	0	
NUDCD3	441	
ISL1	0	
CHDH	57	
IL20RA	10	
CLCA1	0	
CLCA4	0	
GLT8D1	54	
ATP2C1	166	
IGF1	33	
SLC38A5	3	
RALBP1	266	
RUFY3	85	
CNTN1	2	
WWTR1	72	
AGPS	96	
TTC27	47	
ZNF582	6	
VSIG2	0	
PHLDB1	232	
MARCO	0	
CYP24A1	0	
PRDM11	21	
SYT13	3	
SNAI2	5	
CD74	488	
HGF	0	
ZRANB1	340	
NCDN	46	
GPR124	82	
ZFP64	40	
MNAT1	76	
SAMD4A	657	
RUNX3	3	
MRE11A	14	
PLEKHB1	37	
SERPINB1	70	
CYP3A43	0	
SLC7A9	0	
SPAST	70	
NRXN3	0	
AQR	45	
CPS1	2	
C8B	0	
RTFDC1	203	
GABRA1	0	
NLRP2	0	
SLC45A4	26	
RNF10	1453	
ZNF839	70	
ZDHHC6	54	
GRAMD1B	23	
RNH1	227	
NDUFS1	1635	
RB1CC1	270	
ERP44	73	
ALAS1	320	
BIRC3	13	
AKAP11	68	
GLRX2	13	
SNAPC1	7	
DERA	34	
STRAP	288	
DEF6	5	
PLEKHO1	118	
GCLM	123	
UBR2	296	
EHD2	130	
DEPDC1	0	
CCDC28A	20	
RRAGD	710	
HSF2	171	
PHF20	255	
NR1H3	12	
TYMP	10	
TOMM34	35	
SEC63	130	
KPNA6	327	
VIM	857	
FAS	26	
RNASET2	12	
CD44	42	
KCNG1	0	
AGPAT4	6	
SLAMF7	1	
MIPEP	53	
PRKCH	36	
INSRR	0	
IFNGR1	94	
B4GALT7	42	
SH2D2A	1	
VRK2	37	
TNFRSF1B	52	
VEZT	268	
POU2F2	1	
BRD9	87	
SNX1	187	
TBPL1	20	
ARNTL2	0	
BCLAF1	479	
SLC39A9	64	
ANK1	1465	
IBSP	0	
TFB1M	32	
RABEP1	592	
HMGB3	6	
NUP160	73	
BAK1	34	
MUSK	0	
IKZF2	30	
GRN	133	
FAM13B	38	
ARHGAP31	18	
CENPQ	10	
SARS	291	
RANBP3	95	
ARID4A	49	
TSSC1	37	
PNPLA6	234	
IFT88	17	
ALG1	36	
ZCCHC8	68	
ABCF2	252	
CHPF2	23	
LRRC7	4	
FUT8	25	
UBA6	62	
GAB2	22	
ATP6V0A1	305	
PIAS1	74	
SLC4A7	56	
APBA2	1	
EFCAB1	0	
TMSB10	132	
ASTE1	21	
RNF19A	119	
PEX3	38	
GABARAPL2	250	
MYOC	56	
SH3YL1	36	
FAM136A	65	
VCL	620	
DEPDC1B	0	
DAPK2	112	
NSMAF	102	
ADSS	29	
STAP1	0	
TIMP2	233	
RFC1	110	
TBC1D23	107	
CUL3	516	
MYOM2	4433	
OTC	0	
CYP46A1	1	
ZZZ3	75	
SLC18A1	0	
USP2	677	
CASR	0	
TUBG2	9	
FLT4	30	
NSUN2	156	
FBXO42	118	
MFAP3	70	
MRI1	26	
METTL1	11	
HOXC8	56	
AGA	22	
BOD1L1	111	
MAT2B	145	
TLL1	3	
EDC4	110	
TRIO	250	
VCAN	46	
CLEC16A	77	
MSR1	1	
CDH1	0	
SKIV2L2	238	
DNAH5	1	
ZFYVE16	100	
FAM65A	144	
C6	3	
RAI14	4	
SOX30	0	
PNKP	17	
BEST2	0	
PHLPP2	20	
SPDL1	12	
PQLC2	21	
CTNS	48	
RTN4R	2	
PHF23	43	
CDH10	1	
INPP4A	64	
RAB27B	1	
PSMA4	220	
MYO16	2	
LSG1	87	
PARP3	50	
TNC	6	
THAP3	103	
FAM65C	10	
TDP1	3	
AIFM2	31	
C2orf83	0	
SPATA7	24	
MED17	36	
RETSAT	286	
CAPG	6	
AP2S1	72	
USH2A	0	
ZPBP	0	
TG	0	
ADAM28	1	
BARX2	0	
DCUN1D1	130	
JADE2	57	
ZIC2	0	
LCP2	9	
TRIT1	22	
ADRB1	0	
GUCA2B	0	
CUL7	148	
CTNNA1	391	
PHKA2	89	
CNTLN	16	
