ENSEMBL ID	hK1	hK2	hK3	hK4	hK5	hK6	cK1	cK2	cK3	cK4	cK5	cK6	rK1	rK2	rK3	rK4	rK5	rK6	mK1	mK2	mK3	mK4	mK5	mK6
ENSG00000125107	89.2225	151.90200000000002	194.335	140.406	95.2237	94.3362	164.09400000000002	143.31799999999998	161.532	130.003	121.69	129.065	145.412	135.11700000000002	148.089	129.22299999999998	143.141	120.741	150.747	153.619	159.707	160.516	174.96400000000003	169.68900000000002
ENSG00000125122	1.76637	14.4336	60.4243	14.3721	7.8453100000000004	28.6436	37.3718	44.602	40.8805	25.2743	38.5315	28.5458	46.3401	52.6173	60.5798	80.3615	45.4075	38.6927	9.06508	17.0619	11.4716	25.3104	19.9308	20.1857
ENSG00000125124	86.7181	104.68	148.059	168.622	109.42	111.26700000000001	104.007	93.0804	128.393	99.7457	97.3507	89.7609	110.84200000000001	144.888	164.264	100.146	125.943	172.97099999999998	46.216	39.6635	34.2923	51.7709	58.7636	74.3941
ENSG00000125148	125.229	690.722	2141.94	1204.2	57.9381	592.297	1084.94	7762.58	2133.46	10912.9	9678.87	8325.16	663.493	419.351	1775.89	631.376	360.68699999999995	3563.27	358.227	2846.78	268.637	589.004	4480.62	7031.44
ENSG00000125149	12.0413	17.7108	29.0761	28.5017	15.152999999999999	13.0175	23.7193	19.4255	15.4823	15.315	18.1151	19.4596	31.7129	17.2541	21.0687	18.5699	28.855	17.1758	22.453000000000003	30.1435	30.1355	35.9045	45.7756	32.9528
ENSG00000125166	329.631	155.64700000000002	1528.58	488.49199999999996	113.139	310.32099999999997	432.713	434.412	413.564	340.913	326.026	298.276	545.876	491.023	405.57800000000003	554.087	487.78	374.87800000000004	844.93	840.633	959.943	893.1669999999999	867.206	980.552
ENSG00000125170	134.749	226.08900000000003	61.4606	156.81799999999998	57.18899999999999	139.2	107.484	113.417	167.86599999999999	155.674	237.857	124.06	343.05800000000005	306.697	229.18099999999998	298.392	216.926	237.05700000000002	44.1614	55.5593	47.5342	52.2969	68.3011	44.0819
ENSG00000125207	0.0	1.62933	0.0	1.4749	0.0	0.0	0.0	0.0	6.836689999999999	0.528346	0.999909	0.976476	5.47024	4.5549	5.252000000000001	1.97118	0.612588	2.76519	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000125245	9.10949	6.20306	0.0	3.3690900000000004	2.24777	5.4711300000000005	9.96898	9.5842	2.60282	4.82756	3.42611	4.46109	1.24956	0.9458790000000001	1.71386	5.4032800000000005	4.19797	0.9023530000000001	6.43415	14.5321	4.34251	5.389390000000001	10.1854	0.0
ENSG00000125246	90.0539	34.8566	139.882	347.082	25.7294	145.178	125.63799999999999	232.71200000000002	174.69799999999998	212.24599999999998	137.855	283.176	69.5657	66.9314	74.0133	70.2833	78.6315	86.3872	433.86199999999997	350.135	445.105	436.319	321.501	396.58
ENSG00000125247	18.9619	16.6011	50.4204	79.6468	49.6291	31.7249	37.5493	40.375	41.7953	31.7614	21.9043	24.8732	92.5219	70.8803	76.4463	63.0646	69.9063	73.2534	62.6268	43.4226	54.288999999999994	55.3451	36.3814	36.4629
ENSG00000125249	52.6044	69.2533	20.5825	77.8215	34.6137	57.9223	83.1533	36.8971	65.132	44.1395	41.7676	47.2291	31.2684	43.6972	52.7841	50.2702	75.4193	48.6341	19.8161	36.5797	25.0766	24.8976	32.6762	52.3991
ENSG00000125255	14.3657	3.52161	0.0	55.2558	0.0	0.0	3.14423	19.1448	7.388389999999999	22.8392	4.32239	10.5527	40.1993	42.0647	31.6224	28.1193	39.7213	72.5737	219.168	230.582	335.902	103.009	97.9804	139.632
ENSG00000125257	23.8739	41.0246	9.89066	54.5359	8.83634	24.0383	32.5301	39.1546	40.9285	29.8624	13.7327	15.9899	129.018	115.708	125.238	105.789	95.458	121.234	37.7918	85.8213	31.6318	28.4149	116.196	114.302
ENSG00000125266	8.71875	266.452	31.5797	56.7525	98.1016	78.5467	83.9641	69.7156	40.3571	60.9904	49.8431	66.6079	44.4897	32.5911	52.1631	41.3721	41.7862	46.637	44.3388	60.3425	41.1468	27.2354	52.6418	31.265
ENSG00000125304	204.19	344.727	600.937	516.985	169.13	359.80400000000003	467.912	403.79400000000004	468.026	415.44199999999995	341.01800000000003	326.418	450.11800000000005	319.431	377.73400000000004	384.68699999999995	330.79400000000004	334.13599999999997	672.252	999.395	744.3739999999999	745.4580000000001	1133.72	1049.56
ENSG00000125319	7.218380000000001	5.89839	2.42087	0.0	8.90568	0.0	1.7554299999999998	1.6876799999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77158	1.7205099999999998	1.70823	2.6903	0.0
ENSG00000125337	0.0	0.0	0.0	0.0	11.9608	0.0	0.0	1.61903	0.0	0.0	1.7362799999999998	0.0	8.548869999999999	10.0664	33.8735	10.9531	4.2548900000000005	27.4376	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000125347	99.3405	103.31299999999999	39.9796	49.4326	101.615	35.7981	204.25	98.8164	130.05100000000002	89.0185	298.89799999999997	244.12900000000002	39.3934	36.0086	32.6225	61.0663	34.9589	49.3805	65.5671	117.88799999999999	56.6018	30.6533	42.2417	57.7217
ENSG00000125351	72.8411	51.018	43.1871	33.6748	69.3265	65.6222	47.5395	48.4469	60.3232	55.942	46.0738	51.6953	53.5269	51.8635	57.9988	52.4639	40.7608	57.9807	41.6552	76.1795	47.1645	71.6189	63.6271	53.7008
ENSG00000125352	89.0396	132.395	102.802	92.8539	104.81	105.2	89.4537	102.382	102.598	87.0241	62.5843	85.7791	91.0094	96.992	96.9047	94.0695	83.1431	69.1804	14.9422	25.9602	14.7069	20.8599	32.8525	22.1818
ENSG00000125354	40.2028	74.9415	72.0498	78.0608	197.16099999999997	88.2825	139.321	74.9024	76.4603	96.87299999999999	55.7564	77.5217	29.9859	32.091	21.9822	27.5722	26.6323	26.8808	13.8429	48.1006	17.9669	16.9467	39.332	29.6392
ENSG00000125355	4.08969	28.4056	0.0	0.0	0.0	7.36877	2.98371	5.73709	8.764	4.87649	1.53815	0.0	4.2074	1.27395	3.4624699999999997	2.42579	5.65402	2.43066	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000125356	4802.38	1669.24	7163.55	3720.15	1016.97	2217.03	2004.58	2538.89	2273.29	2820.41	2264.48	3931.39	0.0	1250.35	1281.11	0.0	0.0	7.10009	2855.34	3096.1	2690.79	2544.36	2150.5	3494.73
ENSG00000125375	45.3956	66.7698	95.9147	53.7257	100.81200000000001	89.9727	96.0456	76.4181	81.7156	97.4322	119.514	66.6933	46.7022	67.8763	43.5578	72.7011	66.9436	43.1686	84.9308	77.1318	78.1652	84.0744	76.3902	51.5782
ENSG00000125378	45.8785	48.341	1.21472	22.3262	8.04353	41.3317	244.87099999999998	40.6479	63.1288	64.3022	15.4387	35.4751	53.6578	42.873999999999995	42.2495	75.1932	67.8783	66.0157	348.94699999999995	428.464	264.171	361.714	427.925	352.051
ENSG00000125384	6.39375	10.4491	0.0	9.45875	0.0	0.0	4.66467	22.4231	43.8447	25.4127	14.4283	9.393419999999999	10.5244	0.0	7.21754	0.0	11.7858	15.2002	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000125386	105.5	74.3986	67.3715	45.6108	64.1889	33.8515	54.5341	64.268	55.8053	53.669	38.8143	53.1373	51.6339	49.3077	49.5739	44.0821	44.4788	51.6279	55.3537	85.56299999999999	55.9699	72.6165	74.0953	67.9738
ENSG00000125388	8.68222	2.0270099999999998	2.4958299999999998	8.257019999999999	9.18145	6.70437	18.0979	15.6594	14.8844	19.7191	21.4584	20.0444	6.635280000000001	7.72727	8.400739999999999	11.0354	8.002130000000001	14.7434	4.2398	15.652999999999999	6.25956	8.87838	13.9827	8.26088
ENSG00000125398	115.154	121.315	39.2583	19.7107	11.9763	15.4327	55.5458	50.0642	101.155	52.9564	209.74900000000002	92.28	24.6729	18.9731	11.2802	19.1928	20.1743	25.4532	5.67018	5.62927	9.56724	8.82044	5.34285	3.6074599999999997
ENSG00000125409	0.0	3.23968	0.0	1.46631	5.8697099999999995	1.78588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.587911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000125414	0.0	0.187408	0.230753	0.0	0.0	46.2825	0.0	0.321733	0.0	0.0	0.0	1.01084	0.9437959999999999	4.28656	0.258898	0.0	6.5528699999999995	0.545241	0.5831689999999999	1.6886400000000001	0.8199799999999999	0.488475	1.79505	3.4628699999999997
ENSG00000125430	0.0	2.07231	0.0	15.9451	0.0	13.7084	4.62558	5.33646	6.52159	5.03995	3.81529	11.1776	10.9581	3.9499699999999995	6.44135	10.5298	18.6993	9.04369	6.44853	8.40263	5.44027	6.30167	8.50677	10.7695
ENSG00000125434	15.6537	22.3845	118.12200000000001	69.4729	20.2783	63.4604	39.9714	57.6429	50.3175	40.4412	108.917	68.993	43.4813	48.7617	30.9234	85.8857	86.565	37.2143	33.3609	92.7365	56.2895	55.8876	52.8108	70.5722
ENSG00000125445	689.581	245.52900000000002	210.96900000000002	398.14599999999996	134.416	202.53599999999997	230.257	324.473	313.15	252.602	214.638	184.2	203.71	195.27900000000002	180.576	242.33700000000002	159.389	165.736	379.26599999999996	340.60400000000004	446.715	400.55400000000003	340.79699999999997	310.07
ENSG00000125447	133.498	70.4514	34.5117	51.4307	59.705	33.4078	71.018	49.4194	59.6	69.2734	52.3012	35.4124	72.6337	61.3479	59.2493	67.22399999999999	54.7969	73.9843	46.7419	48.8625	44.7805	35.1705	29.2628	38.8105
ENSG00000125449	76.5709	33.519	38.52	32.3649	16.1947	78.837	181.55700000000002	166.877	253.16400000000002	302.166	150.164	112.495	68.6466	66.4452	54.0228	64.8827	40.3275	42.2584	25.4963	26.1752	21.5098	17.4733	15.2883	12.9032
ENSG00000125450	118.821	94.3766	27.5881	46.7109	66.4291	49.4054	55.7712	56.5326	58.4039	60.1067	65.002	48.8297	64.6251	57.9785	51.5884	80.3354	43.6522	58.7674	40.8472	45.272	47.5318	35.9843	62.2463	50.9672
ENSG00000125454	108.76	36.0639	61.8497	39.6413	15.1685	14.2002	36.7991	37.5899	62.1514	35.0836	10.6709	25.4731	5.1891300000000005	3.92803	5.337969999999999	4.67471	8.716610000000001	13.1154	273.876	232.11	264.867	251.785	86.3575	208.243
ENSG00000125457	57.3418	72.2363	64.9047	58.3206	58.365	81.7933	47.0641	40.22	63.4883	49.3809	73.6854	59.6729	59.9754	59.5406	49.896	80.779	57.2544	58.2207	182.25599999999997	327.20099999999996	211.84599999999998	232.385	275.157	281.83299999999997
ENSG00000125458	313.384	183.364	97.316	165.985	128.879	97.5943	87.5024	78.6976	119.39	86.1144	110.589	68.209	68.4612	103.646	76.43	66.5509	60.6201	68.9838	88.539	202.252	85.7615	112.617	112.473	120.484
ENSG00000125482	20.7466	43.5929	44.7294	32.8843	26.3275	26.7008	36.759	34.3008	29.2159	38.8739	35.6703	21.7715	25.6125	13.8485	20.074	20.2167	13.6582	22.0188	22.5349	36.9764	32.7419	31.4595	41.2883	48.7858
ENSG00000125484	9.7625	47.8636	34.378	21.6636	14.4534	0.0	24.9284	34.2375	29.2887	23.2813	18.3585	21.514	36.1565	27.3695	38.5711	26.0577	22.4945	20.3078	37.235	46.7214	31.4132	27.7235	16.3732	23.0315
ENSG00000125485	8.81151	28.8008	16.7459	11.5871	28.2651	7.05622	20.7144	10.9875	19.3022	10.8958	6.628080000000001	12.9455	13.6493	15.1944	13.7655	17.938	13.487	7.537489999999999	12.5194	8.700330000000001	6.33715	6.9910000000000005	7.70715	14.8681
ENSG00000125492	0.0	0.0	0.0	0.0	0.0	4.158980000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.949875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000125503	89.2133	139.84799999999998	108.994	95.6181	70.7573	149.262	97.6307	148.137	147.481	146.901	125.31200000000001	96.2951	108.264	100.385	95.0558	103.134	104.87899999999999	105.505	57.5588	75.6765	47.903	43.0003	82.0869	55.4246
ENSG00000125505	169.59799999999998	85.9221	129.684	125.449	177.018	122.23200000000001	136.106	178.43599999999998	151.19	175.262	159.466	119.59899999999999	147.26	150.03799999999998	116.78399999999999	152.907	135.99200000000002	145.15	259.21299999999997	196.562	274.26099999999997	358.67199999999997	219.15	224.82299999999998
ENSG00000125508	0.0	0.0	1.35396	0.9954120000000001	0.0	2.4247	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.838393	0.0	0.0	0.0	0.799813	3.4218	3.96329	3.84905	0.955391	1.50466	2.5398400000000003
ENSG00000125520	588.5319999999999	374.041	311.801	1478.44	128.38299999999998	589.117	427.3	699.967	636.08	506.259	470.5	388.464	524.605	703.2539999999999	589.576	712.8539999999999	605.5980000000001	612.482	14.339	26.9881	14.1132	20.0177	18.9157	26.6078
ENSG00000125534	41.6898	34.0662	13.9817	20.5583	0.0	50.0776	679.2810000000001	1120.93	1405.6	916.8789999999999	867.61	877.9010000000001	1698.43	1757.51	1678.52	1961.77	1716.28	1321.49	35.3353	20.4635	9.936819999999999	78.92699999999999	46.6136	0.0
ENSG00000125538	18.5991	47.2826	2.07923	3.05723	9.17866	3.7235199999999997	15.077	4.34852	1.77142	4.9282900000000005	10.8814	15.1806	6.85537	6.48665	2.35067	4.9406099999999995	9.59627	8.66341	13.9491	12.1174	5.88404	4.38152	2.30017	1.94133
ENSG00000125611	371.939	219.76	218.773	380.93300000000005	169.43200000000002	237.132	217.084	196.66400000000002	338.43800000000005	195.592	288.383	218.575	174.25	153.292	155.025	268.132	142.39600000000002	166.643	150.34799999999998	214.86700000000002	147.299	121.87299999999999	230.326	199.793
ENSG00000125618	431.708	246.00599999999997	277.185	387.606	0.0	235.40099999999998	316.702	343.284	452.35400000000004	298.837	363.87800000000004	162.565	399.13599999999997	361.85400000000004	339.849	343.66900000000004	308.89	391.62300000000005	223.643	236.055	226.208	200.421	237.924	246.322
ENSG00000125629	37.6337	146.071	125.425	64.3734	22.6349	80.5219	65.2088	72.5906	56.4529	72.9199	116.772	93.3015	135.509	90.8534	122.137	125.56299999999999	143.079	109.04	163.474	178.37599999999998	185.007	116.891	152.534	188.667
ENSG00000125630	67.5205	39.4573	60.9348	35.1122	50.8908	14.0091	70.7564	104.191	101.72399999999999	82.2995	39.4002	59.5189	119.057	83.8766	105.09100000000001	116.751	77.318	91.2046	44.3956	54.5346	46.2325	51.4223	48.4998	47.8845
ENSG00000125633	27.1019	11.765	18.7466	13.1558	8.15025	13.734000000000002	20.3905	20.7916	20.3273	19.5241	13.3784	13.6871	18.8203	19.5229	19.5991	21.6013	15.6118	14.5976	17.945999999999998	29.3082	23.6185	15.6332	27.4618	28.7722
ENSG00000125637	21.9502	49.1298	30.7265	26.1193	5.6517	20.6346	84.9448	32.1309	28.6319	39.4493	36.6116	21.0315	28.2766	31.5123	27.4717	31.7002	21.1104	27.2261	5.65035	9.81677	2.04295	2.0283700000000002	4.25933	3.59485
ENSG00000125648	87.4811	125.58	424.62199999999996	214.238	89.2609	153.363	93.1477	97.8443	120.587	71.4202	62.2469	67.7354	266.105	272.507	268.9	344.292	285.469	205.86599999999999	193.38299999999998	307.255	192.733	214.018	364.816	355.87300000000005
ENSG00000125650	8.94005	9.7403	0.0	24.2471	19.8536	10.7387	8.6965	39.714	45.9794	28.4266	11.2079	30.6468	18.3947	25.991999999999997	10.0919	24.7463	16.4795	44.2785	7.52796	13.0789	2.1169700000000002	0.0	6.620489999999999	0.0
ENSG00000125651	225.111	192.269	219.31599999999997	170.27900000000002	259.382	113.789	149.371	131.46	140.57299999999998	125.505	150.175	115.229	180.66099999999997	132.63	154.653	159.504	137.067	149.532	89.7874	103.49600000000001	75.7487	80.27	113.89	89.3939
ENSG00000125652	473.171	329.727	662.1469999999999	698.221	328.92900000000003	476.046	443.341	429.599	372.651	301.671	211.385	370.51800000000003	592.055	618.009	505.667	606.911	495.87800000000004	491.07099999999997	103.825	137.939	108.20100000000001	117.66	163.819	176.794
ENSG00000125656	375.495	343.466	417.265	530.624	261.365	383.722	224.88299999999998	385.235	398.73	396.501	375.194	296.415	242.15900000000002	251.394	237.243	212.75099999999998	253.105	196.524	476.14300000000003	551.492	434.156	447.171	342.61	514.063
ENSG00000125675	1.79725	5.50724	0.45206499999999994	14.9558	0.0	4.85741	5.24487	15.1273	10.0137	17.8585	15.8849	15.1826	2.2187799999999998	1.39963	1.26801	0.5330189999999999	0.0	0.0	15.2381	13.5681	23.4614	20.7411	11.056	14.8451
ENSG00000125676	55.0651	59.1437	49.4052	60.6765	56.9407	33.2424	83.8679	76.8481	75.4238	70.3971	52.0957	60.883	37.8445	40.3184	41.4933	35.3555	43.6884	37.1134	40.632	47.619	38.7414	43.4994	45.989	52.1987
ENSG00000125686	12.5518	24.6156	31.5717	17.6403	14.8663	13.5694	38.461	26.4118	32.2774	24.9442	9.44153	16.5965	19.6278	33.6254	28.338	26.8022	34.7058	22.38	79.7894	58.2221	55.6462	65.0511	47.7163	52.117
ENSG00000125691	9243.05	13336.8	3861.12	9930.55	29048.9	7361.4	6587.04	5362.83	5444.1	6555.63	5302.25	6638.45	4061.36	4496.28	4279.87	4781.92	4125.86	4714.07	1382.29	2503.69	1430.66	1384.63	2434.46	1995.17
ENSG00000125695	87.2992	60.1254	36.3884	48.8918	83.087	60.6709	66.4203	57.7334	56.6578	51.5514	42.2146	16.4901	45.6758	33.4098	33.7876	33.288000000000004	39.0811	42.9907	50.8776	48.8006	41.1342	58.5973	48.9393	48.3852
ENSG00000125703	11.6038	39.6516	23.3498	39.7949	39.8251	39.9146	56.181999999999995	57.7131	71.4344	57.8606	41.2619	29.4463	52.0923	56.5198	39.2967	51.9338	46.6686	45.7684	44.7051	41.1648	55.0643	58.4158	45.9998	68.6877
ENSG00000125726	2723.74	6676.98	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000125730	779.3	1115.06	4.93473	5.24035	6.051159999999999	17.6744	23.4578	36.3131	26.6266	110.90100000000001	199.63400000000001	16.0128	14.3527	2.0371	0.30759000000000003	14.546	3.0136700000000003	3.5628300000000004	110.66	366.81699999999995	160.153	81.8317	277.301	130.939
ENSG00000125731	15.6537	51.1646	110.24700000000001	11.5788	0.0	42.3069	34.2612	32.9388	26.836	62.2173	41.2118	22.9977	64.4168	29.256999999999998	75.0997	55.7096	50.4962	60.4732	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000125733	190.07	366.30300000000005	149.74	179.71900000000002	147.336	331.158	240.708	161.615	227.479	239.465	391.149	297.683	97.6416	127.742	108.655	117.37100000000001	122.961	122.396	75.9899	110.23899999999999	80.7767	91.0206	136.332	93.0661
ENSG00000125734	109.56299999999999	164.731	170.863	104.545	55.9618	138.187	95.0446	125.93	116.361	114.87200000000001	128.463	83.6347	153.745	148.804	189.84799999999998	183.264	185.805	182.98	55.8526	72.7776	69.8943	78.752	63.8557	83.9498
ENSG00000125735	7.019939999999999	5.73623	0.0	1.73085	0.0	0.0	5.121519999999999	3.2825599999999997	0.0	0.0	0.0	0.0	1.92586	0.0	2.64147	2.7759099999999997	0.0	1.3907399999999999	1.9935900000000002	0.0	1.6818799999999998	0.0	2.6299	0.0
ENSG00000125743	3214.64	2195.47	2952.85	2112.33	3493.26	1341.03	1967.9	1906.75	2094.92	2148.38	1909.84	1954.27	445.3	529.461	423.065	479.038	486.509	442.352	362.392	567.427	358.57300000000004	326.033	519.375	453.292
ENSG00000125755	280.385	173.987	127.264	130.988	118.603	87.3644	166.109	153.782	117.459	117.307	84.0457	74.3331	112.779	98.5047	96.3809	95.0341	77.7209	72.6715	194.764	189.36700000000002	205.012	178.105	247.5	190.983
ENSG00000125772	57.6613	83.0747	30.5339	54.4365	112.32600000000001	54.6808	71.4046	56.4089	56.5798	39.8052	35.3834	41.2421	44.0223	25.5245	34.2582	31.5015	27.9709	37.8777	40.3104	60.5852	42.1048	52.5232	71.7464	49.1551
ENSG00000125775	0.0	12.8403	258.232	10.3319	3.8774	15.7295	2.54763	4.89859	28.4358	15.2672	64.3537	5.13025	2.1554900000000004	4.35104	0.9854719999999999	3.10688	1.60922	0.0	2.95971	1.2855299999999998	2.49694	0.0	1.95219	1.6476400000000002
ENSG00000125779	43.6234	63.4948	68.5791	64.5354	59.5388	66.3189	66.6362	55.4585	91.1456	65.0198	60.5005	72.1008	80.2212	73.0401	93.1019	78.434	85.4385	101.27799999999999	137.498	94.3494	119.898	81.2972	115.84200000000001	97.7698
ENSG00000125780	2.06031	0.0	0.0	1.01599	2.03353	0.0	7.01465	4.335369999999999	4.70949	4.36744	4.13275	5.04488	0.565231	2.56718	0.775257	0.0	0.632976	4.08175	1.74627	1.01131	0.982157	0.0	0.767883	1.2961799999999999
