ENSEMBL ID	hP1	hP2	hP3	hP4	hP5	hP6	cP1	cP2	cP3	cP4	cP5	cP6	rP1	rP2	rP3	rP4	rP5	rP6	mP1	mP2	mP3	mP4	mP5	mP6
ENSG00000073111	8.95593	5.4989300000000005	7.94757	6.58182	12.6755	6.56058	7.810219999999999	10.0696	9.35075	12.2365	9.763	7.559480000000001	18.8936	17.8453	15.7663	23.6665	15.8062	3.10774	8.711889999999999	9.638689999999999	10.9234	11.6634	8.25566	9.32104
ENSG00000073146	2.67864	2.24274	3.3340400000000003	2.6844	3.00783	4.939830000000001	1.91124	2.95697	3.48682	3.8110699999999995	0.764515	5.12275	0.370321	0.7949390000000001	1.79666	1.39161	1.88906	7.918639999999999	0.473943	0.0	0.0	0.0	0.0	0.0
ENSG00000073150	196.313	161.08	175.929	245.52599999999998	187.37400000000002	215.771	154.936	151.168	115.866	133.599	153.54399999999998	137.179	169.695	205.41099999999997	131.517	249.235	185.84900000000002	146.25	391.649	342.723	338.264	372.168	385.27	372.344
ENSG00000073169	57.6911	67.9795	62.9189	72.014	77.2849	78.3073	61.5937	66.9637	56.185	50.2659	43.2831	58.5008	110.824	147.995	145.673	105.73	121.61200000000001	134.59799999999998	68.0722	74.5644	65.5569	67.1981	89.0914	76.4805
ENSG00000073282	0.580674	0.0	0.662523	0.0	0.0	0.0	0.0	0.0	1.5589899999999999	0.0	0.0	0.0	0.44100100000000003	1.8933200000000001	1.71166	0.5524060000000001	0.8998450000000001	0.0	2.2594	0.48908500000000005	12.7483	1.08896	1.0142	0.572539
ENSG00000073331	3.5510900000000003	2.90715	1.80072	1.73983	3.04602	2.40122	2.3226	3.9926800000000005	7.06217	0.882159	0.0	1.84455	0.599316	3.85952	1.16306	3.75357	1.22288	0.985792	5.376869999999999	5.98583	5.77869	4.44252	8.96465	6.22863
ENSG00000073350	4.7828599999999994	6.09924	8.39541	7.300339999999999	17.0415	2.98535	2.16571	2.23378	3.29256	1.64514	1.15507	1.7199400000000002	6.14715	1.7994	3.7957400000000003	5.60002	5.70137	1.8384	2.13958	3.70517	7.37747	2.06241	1.92082	0.7229
ENSG00000073417	40.1133	34.1416	82.6969	41.4749	100.376	40.4058	74.3662	81.1826	50.0104	48.8624	64.2713	58.8439	35.7171	49.6107	31.803	72.1101	42.4415	10.3676	16.1903	34.1121	24.3604	30.6926	34.3995	25.1631
ENSG00000073464	206.481	197.68	111.67	104.10799999999999	200.826	92.3063	128.873	119.89200000000001	146.753	135.326	169.813	143.486	127.147	128.77	177.15200000000002	133.947	125.728	12.8701	233.843	260.327	223.045	260.83	221.18	245.49099999999999
ENSG00000073536	35.4598	30.5914	36.8731	25.73	33.2655	24.5846	53.7643	66.3631	53.063	51.2185	56.4097	38.8482	28.6349	53.4189	41.0161	34.1606	41.038999999999994	35.885999999999996	25.3244	27.2204	30.3844	37.8791	29.0069	32.7502
