5S_rRNA	0
7SK	0
A1BG	14
A1CF	0
A2M	975
A2ML1	27
A4GALT	9
A4GNT	0
AAAS	109
AACS	225
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	65
AAED1	18
AAGAB	198
AAK1	511
AAMDC	23
AAMP	250
AANAT	2
AAR2	76
AARD	4
AARS	889
AARS2	58
AASDH	76
AASDHPPT	608
AASS	52
AATK	694
ABAT	535
ABCA1	154
ABCA12	2
ABCA13	1
ABCA3	772
ABCA4	5
ABCA5	243
ABCA6	18
ABCA8	109
ABCA9	170
ABCB1	134
ABCB10	57
ABCB11	0
ABCB4	1
ABCB5	0
ABCB6	117
ABCB8	92
ABCB9	151
ABCC1	52
ABCC10	106
ABCC11	2
ABCC12	4
ABCC3	44
ABCC4	54
ABCC6	7
ABCC8	226
ABCC9	33
ABCD2	105
ABCD3	88
ABCD4	104
ABCE1	240
ABCF1	272
ABCF2	170
ABCF3	285
ABCG1	112
ABCG2	263
ABCG4	119
ABCG5	6
ABCG8	7
ABHD1	31
ABHD10	86
ABHD11	32
ABHD12	431
ABHD12B	15
ABHD13	110
ABHD14A-ACY1	85
ABHD14B	37
ABHD15	23
ABHD16A	150
ABHD16B	5
ABHD17A	302
ABHD17B	64
ABHD17C	88
ABHD2	265
ABHD3	24
ABHD4	36
ABHD5	36
ABHD6	60
ABHD8	319
ABI1	375
ABI2	403
ABI3	14
ABI3BP	118
ABL1	262
ABL2	29
ABLIM1	1081
ABLIM2	273
ABLIM3	320
ABO	65
ABR	1388
ABRA	3
ABRACL	33
ABT1	40
ABTB1	206
ABTB2	41
ACA59	0
ACA64	1
ACAA1	190
ACAA2	98
ACACB	123
ACAD10	36
ACAD11	60
ACAD8	82
ACAD9	106
ACADL	17
ACADM	136
ACADS	30
ACADSB	50
ACADVL	373
ACAN	8
ACAP1	5
ACAP2	305
ACAP3	462
ACAT1	250
ACAT2	202
ACBD3	164
ACBD4	82
ACBD5	172
ACBD7	25
ACCS	15
ACCSL	1
ACD	63
ACE	63
ACE2	0
ACER1	0
ACER2	19
ACER3	135
ACHE	109
ACIN1	413
ACKR1	89
ACKR2	0
ACLY	366
ACMSD	0
ACN9	10
ACO1	151
ACO2	1051
ACOT11	19
ACOT12	0
ACOT13	151
ACOT2	120
ACOT4	8
ACOT6	9
ACOT7	380
ACOT8	84
ACOT9	93
ACOX1	193
ACOX2	6
ACOX3	0
ACP1	254
