5S_rRNA	0
7SK	0
A1BG	9
A1CF	0
A2M	1426
A2ML1	10
A4GALT	12
A4GNT	0
AAAS	96
AACS	565
AADAC	0
AADACL2	0
AADACL3	0
AADACL4	0
AADAT	89
AAED1	24
AAGAB	297
AAK1	1557
AAMDC	13
AAMP	317
AANAT	3
AAR2	81
AARD	19
AARS	1516
AARS2	123
AASDH	52
AASDHPPT	682
AASS	49
AATK	756
ABAT	1992
ABCA1	66
ABCA12	0
ABCA13	0
ABCA3	1008
ABCA4	6
ABCA5	376
ABCA6	16
ABCA8	90
ABCA9	106
ABCB1	177
ABCB10	93
ABCB11	1
ABCB4	6
ABCB5	0
ABCB6	23
ABCB8	265
ABCB9	268
ABCC1	110
ABCC10	139
ABCC11	34
ABCC12	75
ABCC3	16
ABCC4	29
ABCC6	5
ABCC8	362
ABCC9	132
ABCD2	180
ABCD3	183
ABCD4	146
ABCE1	277
ABCF1	0
ABCF2	261
ABCF3	325
ABCG1	68
ABCG2	256
ABCG4	182
ABCG5	2
ABCG8	5
ABHD1	15
ABHD10	205
ABHD11	86
ABHD12	511
ABHD12B	44
ABHD13	137
ABHD14A-ACY1	1
ABHD14B	36
ABHD15	7
ABHD16A	0
ABHD16B	23
ABHD17A	360
ABHD17B	138
ABHD17C	108
ABHD2	1067
ABHD3	30
ABHD4	40
ABHD5	29
ABHD6	166
ABHD8	447
ABI1	433
ABI2	2726
ABI3	9
ABI3BP	28
ABL1	228
ABL2	316
ABLIM1	1200
ABLIM2	479
ABLIM3	285
ABO	4
ABR	3612
ABRA	3
ABRACL	46
ABT1	41
ABTB1	345
ABTB2	40
ACA59	0
ACA64	0
ACAA1	242
ACAA2	78
ACACB	84
ACAD10	85
ACAD11	38
ACAD8	232
ACAD9	166
ACADL	9
ACADM	247
ACADS	32
ACADSB	341
ACADVL	887
ACAN	14
ACAP1	12
ACAP2	221
ACAP3	1203
ACAT1	254
ACAT2	348
ACBD3	174
ACBD4	68
ACBD5	300
ACBD7	83
ACCS	43
ACCSL	1
ACD	117
ACE	23
ACE2	0
ACER1	0
ACER2	18
ACER3	294
ACHE	127
ACIN1	536
ACKR1	110
ACKR2	5
ACLY	654
ACMSD	7
ACN9	30
ACO1	136
ACO2	1417
ACOT11	47
ACOT12	2
ACOT13	187
ACOT2	47
ACOT4	26
ACOT6	3
ACOT7	707
ACOT8	233
ACOT9	104
ACOX1	287
ACOX2	9
ACOX3	55
