rP1	rP2	rP3	rP4	rP5	rP6
0.0	0.0	0.0	0.0	0.8485520000000001	0.0
6.05914	8.67112	1.9597799999999999	2.52993	6.181719999999999	1.66107
82.1116	97.9236	91.4785	76.1885	67.225	175.08
5.23175	5.05377	7.1070899999999995	5.24271	8.00639	0.0
1.0484200000000001	1.1252799999999998	0.508655	1.9699099999999998	0.8022239999999999	0.43112700000000004
165.93599999999998	126.227	133.851	198.017	108.068	58.2982
674.046	644.369	777.071	465.599	619.136	465.231
407.955	474.97	375.721	632.27	550.242	125.10700000000001
37.8838	35.0801	40.8439	45.2828	29.555999999999997	4.48006
214.47400000000002	153.82	205.671	171.067	141.489	24.5847
252.69400000000002	251.96599999999998	272.439	266.705	180.623	29.5057
0.8587049999999999	2.76497	1.24983	3.7647	0.438039	0.0
326.108	328.73	343.156	216.665	252.90099999999998	132.28799999999998
40.6259	24.9167	24.8447	17.9607	19.8531	6.7385399999999995
55.2362	36.8145	44.9524	56.9143	29.0858	2.19813
231.38099999999997	236.30900000000003	235.394	289.832	237.102	21.7959
227.954	262.534	206.899	238.217	257.39	171.678
5.169	2.08048	4.38865	2.02337	1.64799	0.531393
0.0	0.0	0.0	0.0	0.0	0.0
176.851	243.459	242.482	272.092	277.507	132.8
238.449	477.735	332.736	253.171	414.722	1243.88
7.904160000000001	4.71312	16.1914	1.1001	3.5840300000000003	10.1121
41.7405	37.5075	41.4438	40.7336	33.1767	18.3619
32.8707	66.1509	29.9018	69.4819	81.7433	13.5169
0.0	1.23844	4.47844	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
32.592	18.74	27.1069	26.7308	26.125999999999998	7.02026
99.7586	79.2196	64.601	137.749	83.9821	42.3343
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	5.2516	0.0
52.6725	38.0199	41.5451	38.5839	27.9689	0.50666
404.16	466.249	656.278	396.05199999999996	468.436	113.059
542.72	468.25800000000004	704.748	209.08700000000002	542.053	405.496
510.68699999999995	420.996	605.452	384.095	399.79900000000004	39.4513
35.024	47.8439	58.7007	35.895	68.2166	26.1862
35.3193	36.645	45.6949	35.3933	33.6316	0.0
0.0	0.0	0.0	0.0	0.0	0.0
55.9742	30.0389	34.1514	27.6208	39.3689	36.9674
100.686	66.5027	100.802	79.9326	66.8211	19.9401
0.0	0.0	9.26853	0.0	3.24841	0.0
22.3863	17.3531	10.860999999999999	15.5786	5.0753699999999995	4.0913699999999995
64.1024	45.5355	54.688	77.1926	33.8054	8.14991
104.72399999999999	120.022	113.67299999999999	144.52	110.465	58.3921
0.0	0.9562200000000001	1.7289400000000001	1.1159700000000001	0.0	0.0
29.8994	15.3164	20.7701	31.0686	15.5988	0.0
58.7615	51.806999999999995	62.1086	53.8899	48.1743	10.3558
80.7988	57.5446	67.4102	74.7252	56.2396	11.1787
18.4158	6.794510000000001	20.1029	10.8131	6.458480000000001	3.7864199999999997
14.5161	20.477	17.7073	26.4955	19.0412	2.0466
0.0	0.0	0.0	0.0	5.08219	8.19373
42.1156	33.6619	45.503	31.4284	39.3108	16.2131
0.44226400000000005	1.89875	2.57484	2.21595	2.7072700000000003	0.727463
89.0907	57.3732	72.301	97.3934	71.0618	103.911
8.77778	13.6085	13.2491	9.77351	4.9752	0.0
0.0	0.0	6.11597	0.0	0.0	0.0
57.6319	54.7196	43.7336	83.29700000000001	70.105	15.7994
44.4741	36.5965	38.1196	56.6375	34.0303	15.85
34.9639	25.0181	28.2719	21.2346	25.9427	12.1992
121.45	132.45600000000002	114.044	154.584	133.899	196.546
65.8748	57.6392	69.1308	69.9592	63.1896	16.4888
260.905	272.502	275.71299999999997	258.156	256.789	54.8162
33.9974	36.0033	33.8682	35.2043	37.46	20.1316
4.06973	3.3974	5.70406	9.62922	2.76804	0.743794
0.0	994.4689999999999	0.0	0.0	945.2869999999999	0.0
0.810198	1.39135	1.41508	0.811896	0.495953	1.33266
58.4542	104.87799999999999	82.9629	114.749	76.5487	5.74024
6.93041	7.43849	15.0014	8.68116	6.526730000000001	7.01512
0.0	0.0	0.0	0.0	0.0	0.0
7.946339999999999	30.704	10.7947	23.8889	11.3499	15.6847
162.525	163.571	169.49200000000002	142.063	166.329	64.9588
6.67645	8.75833	10.7972	9.29227	6.4331	0.0
475.681	603.785	429.45599999999996	326.42	476.86400000000003	1381.16
844.02	697.18	798.36	736.8919999999999	622.689	116.92299999999999
0.58457	0.313713	0.283611	0.0	0.298198	0.0
5.30464	2.88802	4.17745	4.04459	3.29423	2.0232799999999997
179.25900000000001	154.976	182.90400000000002	175.827	140.92700000000002	43.873000000000005
0.0	0.0	1.69418	0.0	0.0	0.0
352.245	225.91	400.746	336.131	166.77200000000002	44.0197
0.0	1988.94	1798.09	0.0	1890.57	0.0
129.62	139.123	163.04	138.31	166.52700000000002	189.517
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.8622569999999999	0.0	0.0	0.0
31.0188	20.9621	23.9672	30.2203	21.6836	12.283
3.0338700000000003	0.651257	4.12137	0.0	1.2381	0.0
53.7691	57.711000000000006	35.5384	45.8776	28.621	26.9173
46.1076	89.5493	68.1742	49.5045	62.7205	72.2291
16.5936	21.951999999999998	27.3346	21.2689	18.1105	17.773
153.795	199.50099999999998	122.681	152.46200000000002	180.00900000000001	297.978
29.7106	30.9025	30.0178	40.6691	29.3742	2.01525
110.075	90.3461	189.982	12.7454	172.071	103.969
96.6538	137.72299999999998	122.891	114.80799999999999	96.90899999999999	169.946
58.6029	46.3467	59.8567	60.2711	60.4178	42.6161
43.095	19.7545	34.8468	40.4862	19.6935	8.12227
1.25889	2.7023599999999997	2.44306	3.15382	2.56872	2.0707
0.534338	0.0	0.518482	0.0	0.0	0.0
97.6626	118.93299999999999	92.94200000000001	98.0241	111.135	53.5471
13.6139	10.3143	12.4328	16.0498	4.9021	2.63446
44.8689	51.3688	35.5555	35.5956	32.8066	3.69015
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
354.658	586.8480000000001	501.86	422.038	557.825	938.2410000000001
1450.57	1236.29	1574.56	984.6110000000001	1210.02	341.45
45.6127	35.3903	29.3283	47.1539	38.1255	7.68345
117.84	44.2262	95.6592	77.1807	42.038999999999994	8.2346
128.715	103.065	109.035	101.089	91.7148	11.7621
862.643	994.4689999999999	806.0419999999999	840.438	619.326	1103.61
131.886	122.741	128.782	124.425	110.709	52.1741
0.0	0.0	0.0	0.0	0.0	1.1625
0.735352	0.0	0.0	0.0	0.0	2.4191
0.222673	0.716993	0.8642610000000001	0.5578489999999999	0.681534	1.0988
69.8484	84.0014	71.8584	70.6272	60.1	9.689589999999999
52.7019	44.7104	51.4441	69.9683	36.7039	9.34353
81.6337	89.0787	81.8516	105.664	94.3899	11.1897
118.929	90.5412	107.34899999999999	60.6286	101.583	22.7468
170.847	149.893	156.835	201.574	130.667	27.5966
75.3898	56.4706	82.6558	75.3195	48.798	5.99423
13.6314	9.61445	8.314010000000001	22.9291	10.331	3.2031
0.0	0.838507	0.0	0.0	0.0	0.0
336.925	406.82800000000003	340.548	439.62300000000005	343.741	230.91400000000002
54.7271	102.45200000000001	75.3322	78.1176	83.1022	255.40099999999998
80.3506	207.518	99.8941	88.0676	112.71700000000001	24.781
40.1561	32.325	38.3914	51.04	34.9437	2.9140200000000003
613.5	422.1	360.99300000000005	665.0319999999999	429.311	82.7998
41.1128	44.1269	43.7848	25.1213	34.7833	0.0
1.2321	0.0	0.0	2.31504	0.628516	1.01332
238.747	181.73	197.543	311.402	196.049	58.9426
785.436	884.074	788.5219999999999	651.6419999999999	809.1310000000001	370.522
114.863	105.11200000000001	117.25299999999999	133.484	106.01	59.5198
248.785	174.74400000000003	248.503	299.03	175.433	28.585
86.6867	66.9159	87.619	79.0785	64.5679	9.5575
469.796	411.135	343.381	375.971	402.55	487.38800000000003
363.151	367.917	349.08099999999996	310.345	405.12300000000005	1133.26
726.096	718.908	672.071	757.061	718.6669999999999	213.34
96.9327	90.0475	103.137	95.0423	80.82	7.14735
22.2414	15.7177	16.2395	21.5157	11.9074	2.89775
15.6276	8.64869	13.8607	4.89384	5.97889	2.00821
0.0	0.0	0.0	0.0	0.0	0.0
35.6363	29.1899	28.209	37.5904	19.6138	3.08509
0.0	0.0	5.54967	0.0	2.91755	2.3519
14.6001	18.0813	25.0643	11.2543	14.8954	0.0
3.0905400000000003	1.99026	1.19953	2.3227599999999997	2.52245	0.0
22.1358	17.819000000000003	18.4105	22.7764	19.7607	15.6044
124.035	106.50299999999999	136.0	121.18799999999999	110.094	20.4021
28.4798	35.6623	17.5019	10.7023	34.8672	14.0536
131.482	116.774	117.109	133.799	122.009	49.6298
216.618	223.38099999999997	240.217	205.215	219.143	27.9456
9.15104	13.5051	21.0888	11.4628	17.5053	3.76305
27.7824	50.6926	35.9439	31.3207	33.0685	17.5176
9.38132	3.5537900000000002	11.7802	7.60372	11.8231	14.5233
233.13	166.81400000000002	200.433	247.928	166.696	28.4049
410.564	522.543	441.44800000000004	489.95599999999996	622.644	823.617
117.92399999999999	153.691	134.04	99.179	147.809	63.7323
79.3074	172.31900000000002	75.077	181.72299999999998	161.82399999999998	133.631
18.7654	21.2601	16.9441	26.4442	19.410999999999998	6.43052
137.403	127.54700000000001	142.935	161.26	128.817	35.6321
7.64835	2.34545	7.42138	1.3686399999999999	3.34418	1.7972099999999998
6.06575	7.595510000000001	10.7905	7.59807	7.735580000000001	1.66288
462.93800000000005	374.089	448.876	368.06800000000004	364.776	255.10299999999998
13.9252	15.4997	21.5191	19.8656	17.2325	17.815
76.2672	71.9026	61.0032	61.9678	55.7288	100.02
17.9166	10.9886	16.3915	29.496	7.83387	17.6822
2333.11	1517.78	2441.9	1945.53	1053.83	74.4103
11.5034	26.9382	26.3829	18.3391	23.4721	0.0
7.105389999999999	13.7273	9.65235	10.6804	5.79931	18.6998
2.18138	1.17065	1.05833	2.73244	1.66914	0.897018
5.11902	8.79088	8.9408	12.8244	12.5342	3.36803
58.3891	44.5285	58.6443	38.4944	55.9125	13.4796
248.963	292.211	289.998	309.772	302.65	181.498
434.19	377.463	403.806	678.29	340.855	48.9471
0.0	0.0	0.0	0.773737	0.630192	1.0160200000000001
57.7205	46.2329	62.6951	63.6687	47.0227	14.879000000000001
42.934	47.568000000000005	45.6915	41.636	57.9324	56.9519
94.8227	85.2064	70.6114	72.7392	71.2434	11.4862
26.2531	16.9525	24.2314	29.6768	15.8963	11.9367
815.1139999999999	1294.28	949.4060000000001	913.952	1264.54	2475.61
234.042	193.565	267.895	84.3961	210.868	68.3274
49.7473	28.9219	38.2145	83.0858	78.2453	6.81894
25.7675	15.9707	22.89	20.4572	14.0701	1.79087
36.4019	31.1344	35.3217	22.0864	35.9778	37.4226
23.2633	17.1214	27.0875	35.8006	23.0558	15.3059
28.0467	32.253	23.3266	33.8771	28.6141	1.6476
231.636	222.528	222.68099999999998	212.24	220.275	281.053
25.3378	13.9652	17.2766	18.0138	15.3705	1.1264100000000001
97.2396	73.8215	96.6552	94.0763	86.3018	111.83200000000001
48.7916	47.5592	49.7592	51.138999999999996	44.6992	10.6461
69.2808	50.3243	65.1877	72.7569	59.9729	12.6619
105.603	113.345	136.626	72.4394	124.414	115.802
443.801	281.5	462.30400000000003	370.131	289.779	46.1543
22.8731	26.1087	36.9906	19.1009	30.0032	4.18034
20.7629	16.0709	19.1781	28.0086	11.4062	0.328385
9.45452	13.5302	15.2899	11.8429	9.64579	15.5514
54.8593	92.9078	31.2968	113.954	90.5631	12.2431
142.282	144.161	194.389	118.34200000000001	120.774	44.9347
128.737	104.31200000000001	112.95299999999999	108.111	90.64399999999999	22.6667
168.75599999999997	141.90200000000002	120.985	180.419	88.8263	56.5767
27.041999999999998	18.3312	31.7636	33.8733	15.9726	14.0464
228.16400000000002	266.185	245.778	216.215	238.17700000000002	105.51799999999999
45.0751	26.8775	48.5971	59.5986	53.6514	24.7141
36.4781	44.0979	48.0634	42.3262	27.4223	1.26319
13.4004	16.4375	9.28768	2.39794	9.765369999999999	3.14883
13.2363	42.6201	25.6871	5.52669	45.0137	58.0584
3.03785	26.0844	14.7385	0.0	12.3972	0.0
141.431	115.94200000000001	131.83100000000002	34.8739	87.4845	1.8317700000000001
2.67345	4.09921	4.44706	2.87042	5.84473	0.0
61.881	70.0077	82.7643	71.2285	110.90899999999999	129.295
13.4814	25.651	13.0814	27.6334	18.1305	17.1353
51.4469	46.1048	35.3803	56.3097	50.4493	53.4028
27.6227	21.1769	23.7397	25.7033	9.66222	2.59631
1.15818	3.72926	2.24762	5.80302	3.54483	1.90504
0.0	0.0	0.9072120000000001	0.0	0.9538719999999999	1.53787
148.797	124.141	164.40099999999998	142.53	114.17399999999999	13.3687
0.0	0.0	0.0	0.0	0.0	0.0
99.8761	80.8109	84.9846	111.634	105.03200000000001	0.0
3.17128	5.105659999999999	9.23152	5.29654	5.93164	0.8693860000000001
212.22	207.908	198.03599999999997	197.959	208.22099999999998	88.3821
68.74600000000001	63.9477	83.0118	79.4148	85.7227	10.0513
27.6863	16.6898	20.2405	32.305	19.7338	1.24767
345.074	313.69599999999997	412.287	332.26099999999997	352.055	67.6675
225.635	279.96299999999997	246.112	254.571	272.64799999999997	259.27
71.6399	51.7739	60.7089	59.2267	71.1402	20.4252
