rC1	rC2	rC3	rC4	rC5	rC6
232.33900000000003	252.15599999999998	237.31400000000002	263.943	236.97400000000002	276.58799999999997
17.9447	10.1487	17.6165	16.2172	10.1382	11.1296
0.0	0.0	0.0	0.0	0.0	0.0
136.588	145.575	134.137	186.49599999999998	145.611	152.82299999999998
489.81800000000004	338.861	220.382	256.493	280.14799999999997	363.088
17.1055	62.0753	4.87019	23.7386	9.50366	13.1883
48.6667	45.1963	38.578	36.0774	48.3198	51.0192
53.3518	55.3178	26.5827	63.4635	37.7934	25.4065
0.0	0.0	0.0	1.1138700000000001	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
22.1114	23.5066	31.9156	26.5934	26.4515	31.8744
134.719	106.195	75.097	122.38	89.3073	97.3273
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	4.54695
12.8876	43.1979	53.8061	38.6559	46.3319	26.3929
37.6831	18.5077	30.4929	26.5412	44.6277	34.001
1457.62	497.776	807.0089999999999	506.342	581.95	1007.87
186.06	328.70300000000003	432.434	379.361	426.05	323.665
2.29684	7.144430000000001	2.94276	0.0	0.0	14.0627
39.0667	31.7006	28.2908	43.1876	34.3979	54.0781
0.0	0.0	0.0	0.0	0.0	0.0
284.176	129.88	71.7211	84.7363	113.34100000000001	174.178
155.708	180.77700000000002	194.984	205.771	223.375	199.593
2.29684	3.5722099999999997	11.770999999999999	6.14734	10.3365	2.81255
0.8971540000000001	0.0	0.0	0.0	0.0	0.0
19.4348	67.7491	107.04299999999999	120.175	94.8349	42.9468
71.7036	89.6133	104.992	94.2416	92.1964	119.162
0.6426729999999999	0.999533	0.823406	0.0	0.964073	2.36092
10.049	41.9313	54.012	39.3592	51.1061	19.2082
143.062	460.306	546.003	479.12699999999995	447.38199999999995	233.578
46.3018	56.7624	61.4166	54.6723	67.82300000000001	58.699
1.66057	0.6456609999999999	0.0	0.0	0.0	0.508355
3.5902199999999995	18.1473	20.6994	25.624000000000002	19.7475	12.4563
10.7803	0.0	0.0	0.0	0.0	8.80055
37.0604	32.8409	37.2683	31.4293	32.3222	30.0785
3.5093900000000002	1.48856	0.0	4.2693900000000005	2.39293	1.95334
65.4358	45.4333	58.387	46.9111	52.5858	60.0961
3.51779	4.3769	10.817	3.76606	1.05541	6.89222
0.0	0.0	5.82546	0.0	0.0	0.0
38.9089	66.3167	52.5824	68.4737	55.9685	43.0764
33.1516	30.7696	29.4582	43.6486	26.4696	37.9761
32.4827	33.2835	25.9498	34.7752	30.3829	32.2888
202.06799999999998	156.037	114.05799999999999	132.369	135.66299999999998	145.349
21.6939	40.97	44.0083	47.3485	44.9404	33.5224
118.936	135.781	160.488	143.5	152.317	139.055
37.2776	36.1084	43.5712	44.1968	38.7516	42.0437
8.15495	4.56595	5.43311	8.73049	3.9146400000000003	5.59215
0.0	0.0	856.342	0.0	1002.64	0.0
0.0	0.18179700000000001	0.0	0.0	0.175347	0.0
34.6148	85.1579	70.9587	82.5376	70.8076	41.6162
4.23025	2.39244	2.9563	5.14636	4.03823	5.65099
0.0	0.0	0.0	0.0	0.0	0.0
25.2219	57.0574	22.0328	33.7524	20.6374	28.0772
107.744	90.3184	84.2304	96.2865	90.4016	102.41799999999999
2.14053	7.906630000000001	5.82779	3.93868	3.6123800000000004	3.27643
575.881	218.112	259.961	299.47700000000003	277.515	339.80400000000003
206.88	584.841	647.92	627.053	700.2539999999999	384.68699999999995
0.0	0.0	0.0	0.282157	0.0	0.0
1.49737	2.50132	2.41583	2.07802	2.91174	2.37685
106.954	150.628	176.144	171.609	175.27599999999998	142.814
0.0	0.0	0.0	1.1236700000000002	0.0	0.0
106.44	402.49699999999996	403.77099999999996	421.035	381.17400000000004	201.25900000000001
0.0	1039.51	0.0	0.0	0.0	0.0
13.8524	5.386080000000001	0.0	13.9032	15.585	4.24068
0.0	0.0	0.0	0.0	0.0	1.37094
0.427353	0.0	0.0	0.8578370000000001	0.320536	0.261653
25.2766	34.8008	36.1012	29.944000000000003	31.7014	28.9223
0.0	0.680756	0.5608	0.0	0.0	0.535987
322.10400000000004	381.184	347.86699999999996	303.913	391.273	433.662
71.2728	68.9725	52.7604	57.2271	40.3906	62.0627
22.8268	24.2452	22.4696	28.6846	14.6157	21.8163
244.347	173.605	150.863	143.912	133.753	229.2
53.6914	71.4773	62.2794	72.7378	66.6214	66.8289
3.3363400000000003	3.45928	0.0	0.0	2.3355900000000003	0.0
121.414	72.9156	86.2503	65.9568	61.3123	103.042
43.6093	31.836	30.2171	36.9209	32.7092	28.8801
29.1445	59.4296	55.181000000000004	52.0022	60.7217	45.9982
0.908125	2.82477	1.16351	1.21527	0.0	3.3360800000000004
0.0	0.0	0.0	0.515824	0.578221	0.0
70.4509	65.3208	70.5904	72.52199999999999	86.7145	65.8079
1.15537	2.69537	4.440840000000001	1.54613	0.0	9.90348
29.6698	46.9837	56.6748	56.3085	49.363	39.6345
0.0	0.0	1.36905	0.714979	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
445.587	291.793	293.642	312.411	263.85200000000003	392.909
459.283	393.36800000000005	387.226	372.68300000000005	417.765	446.12300000000005
55.1037	77.3778	83.0439	75.067	89.4998	72.0878
2.7779700000000003	16.85	15.6605	17.1006	15.8355	3.74188
7.36913	9.16881	3.77659	2.95845	5.52721	5.41423
1475.05	1290.43	944.929	1172.02	968.062	1721.57
129.461	129.237	121.89399999999999	113.618	113.81299999999999	138.621
17.8439	24.5804	28.7407	30.7015	28.2971	28.7176
0.0	0.0	0.0	0.0	0.0	0.0
0.481889	0.7494689999999999	0.20580199999999998	0.6448729999999999	0.481921	0.393392
32.1745	44.3753	70.7785	48.7432	48.2649	53.5227
17.9843	65.1467	87.2092	89.5657	100.4	49.0625
34.3514	105.325	70.4187	120.835	60.3643	52.8809
20.9492	24.8242	25.5625	30.7046	20.9506	28.0961
52.8431	199.63099999999997	193.283	214.88400000000001	200.476	103.324
53.0695	94.0367	90.09700000000001	96.5237	87.0036	79.4711
7.02375	11.3608	11.8786	12.7831	9.69341	7.912730000000001
0.0	0.8764870000000001	0.0	0.0	0.0	0.0
486.095	267.754	233.548	230.386	273.44599999999997	372.023
100.073	35.6976	39.994	55.2881	61.9761	75.3245
47.0945	115.50200000000001	78.9042	75.1425	78.798	104.24700000000001
97.126	126.544	141.359	119.14399999999999	128.445	125.193
449.369	844.495	786.555	817.75	800.9169999999999	685.748
3.6167800000000003	27.0004	27.8033	17.4241	35.8084	17.7154
0.444402	0.0	0.0	0.5947060000000001	0.666646	0.0
386.455	352.284	364.934	392.844	346.57199999999995	319.902
821.678	605.589	529.518	580.154	587.784	614.214
296.712	194.793	184.707	215.998	219.136	274.47900000000004
33.6499	16.4188	26.2059	28.2547	26.7238	33.1259
37.9504	60.7852	74.1679	73.9807	73.9232	53.8236
362.708	412.533	446.26300000000003	412.76099999999997	387.099	347.181
499.449	338.889	272.9	380.05400000000003	326.867	374.749
538.326	726.294	806.073	786.122	770.087	655.836
41.9546	97.5013	107.197	100.67299999999999	97.6594	71.4521
20.3334	59.542	61.4653	50.4882	65.7701	40.0715
9.59987	68.3512	84.7428	67.1801	91.425	27.9324
0.0	0.0	0.0	0.0	0.0	0.0
47.3549	81.5408	63.2722	71.5188	80.6777	79.9398
0.0	0.0	0.0	0.0	0.0	0.0
7.29142	27.7204	19.7218	20.5992	19.4451	14.8809
2.22942	4.8543	2.85638	2.98345	2.67548	2.7299900000000004
34.5026	12.8609	19.3627	17.553	25.237	25.8385
69.7907	98.8026	118.07700000000001	95.7899	115.431	70.1217
0.684816	3.19523	0.0	2.7493	0.0	4.19289
108.669	154.185	172.408	166.046	184.702	163.418
86.6662	102.113	125.619	109.535	120.15899999999999	107.197
6.60128	21.816999999999997	19.0298	18.7722	16.0917	12.1252
59.1221	46.7548	51.3549	43.3586	31.5673	60.1261
0.796164	0.6191270000000001	0.510031	1.06544	0.0	0.0
115.469	266.026	242.477	268.01099999999997	292.525	195.959
658.3739999999999	349.358	383.944	449.228	415.764	474.775
