rV1	rV2	rV3	rV4	rV5	rV6
0.0	0.0	0.6643680000000001	0.0	0.0	0.0
5.3581	2.85846	6.049919999999999	3.05173	4.48184	8.73743
67.8534	103.29899999999999	52.6334	88.8391	79.8573	76.8497
3.41645	5.92352	9.19387	7.90503	8.126660000000001	6.897660000000001
1.06976	0.0	1.46556	1.1881	0.0	0.431957
187.72299999999998	213.755	208.31099999999998	209.952	178.97099999999998	216.05200000000002
444.06	384.96	378.277	407.714	406.4	354.50699999999995
248.343	215.291	220.92700000000002	282.086	406.606	284.882
33.3491	38.1971	38.37	41.1539	36.5385	44.4788
154.988	207.415	186.743	197.956	170.16299999999998	176.83900000000003
245.10299999999998	259.394	283.45799999999997	249.828	248.352	265.42
1.05141	0.6076550000000001	2.05776	1.29748	0.47637700000000005	0.0
207.74	207.37900000000002	203.287	164.80200000000002	235.92	275.072
22.2938	26.0911	21.816	17.5385	15.909	23.9116
46.5426	59.2615	59.422	63.2684	49.9184	62.0331
198.856	170.226	207.62099999999998	235.64	260.116	146.14600000000002
225.797	232.90200000000002	205.614	218.65599999999998	225.213	230.576
2.9008	2.28612	2.06445	2.92883	3.22601	4.25933
0.0	0.0	0.0	0.0	0.0	0.0
189.079	280.22	188.09799999999998	252.69400000000002	255.93900000000002	197.99900000000002
248.398	292.475	201.352	312.251	362.83099999999996	316.247
12.904000000000002	3.7288699999999997	5.61218	1.327	19.4886	22.4341
44.3727	37.0933	33.7293	31.5344	45.7737	42.3936
70.4331	72.6895	68.9234	71.3959	68.3829	23.7002
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
26.6041	25.809	32.2324	26.3816	31.4262	28.1351
153.139	158.346	127.429	161.981	172.28099999999998	119.711
0.0	0.0	0.0	0.0	0.0	0.0
0.0	14.5702	4.1117	0.0	0.0	0.0
39.2239	48.3897	35.9227	47.4728	43.7456	39.3418
215.449	245.143	210.831	270.026	283.698	228.81900000000002
199.21599999999998	201.74099999999999	231.175	141.257	232.44299999999998	406.277
392.465	388.539	437.108	427.63300000000004	428.65	392.536
62.3766	58.5812	63.583	28.8656	60.0563	39.3549
17.2982	34.9907	19.7487	33.7988	36.5751	38.8048
0.0	0.0	0.0	0.0	0.0	0.0
54.343999999999994	45.6111	28.4526	37.162	41.4032	61.1487
81.0879	92.4571	78.6775	81.6635	110.405	112.51799999999999
5.19805	9.0125	10.1733	0.0	3.53272	5.247319999999999
22.3342	21.1219	14.9015	16.9125	15.1789	9.223310000000001
72.0422	81.5191	90.0397	92.1779	56.6924	67.6215
105.76799999999999	148.214	116.262	104.596	128.01	115.54700000000001
2.9089099999999997	1.26088	0.711641	1.34614	2.96545	1.46824
28.8438	30.7754	36.6389	28.2358	20.3569	24.0776
27.409000000000002	19.3059	36.8796	31.7097	26.7775	102.89299999999999
70.8854	64.1232	66.3502	71.8817	80.4321	74.6684
11.2743	8.95932	6.8954	1.73911	11.4934	7.58743
19.6358	18.7834	20.8714	24.4401	17.9467	18.1131
0.0	0.0	0.0	0.0	0.0	4.10476
32.6713	28.3231	33.4026	28.4329	30.158	22.8898
0.722021	4.38149	2.11964	2.673	1.96281	1.8221599999999998
60.8227	64.1904	86.6908	68.5306	80.8759	113.455
8.75735	11.0427	7.0115300000000005	13.263	11.9034	12.8587
0.0	0.0	0.0	0.0	0.0	0.0
72.3748	59.6054	70.8236	92.6622	56.5658	71.8431
50.2194	47.2075	44.9985	40.3195	43.5882	50.0846
25.5133	26.9911	17.7727	27.2152	30.5644	32.7395
111.928	144.162	93.8824	142.07	165.179	135.58700000000002
57.278999999999996	62.3231	66.3465	86.0112	60.7757	51.3317
253.06	277.406	262.697	212.68099999999998	228.179	214.267
32.1916	41.0589	36.5708	42.4652	43.7563	42.2083
3.3220400000000003	10.2397	3.25083	2.04975	11.5395	8.19749
0.0	1311.32	0.0	0.0	1028.02	0.0
0.396808	0.0	0.129434	0.489675	0.898935	0.400569
59.8217	49.3905	57.8426	87.0045	76.4725	58.9508
7.397810000000001	8.29948	6.81341	5.63859	4.73198	6.15005
0.0	0.0	0.0	0.0	0.0	0.0
23.3511	20.2433	8.88635	9.605360000000001	21.16	14.4054
131.012	156.928	118.49799999999999	119.34299999999999	141.002	113.897
6.05538	9.44905	10.0735	7.28573	11.5231	10.3917
398.417	398.079	366.749	412.495	380.91900000000004	330.616
742.9780000000001	756.263	708.779	819.742	717.9839999999999	642.97
0.0	0.8273299999999999	0.23347199999999999	0.0	0.0	0.0
4.51832	6.201890000000001	5.71108	4.41415	4.35024	4.2444
154.231	148.889	151.40200000000002	162.783	160.866	146.607
0.0	0.0	0.0	0.0	0.0	0.0
253.28599999999997	321.432	254.213	307.1	280.078	253.303
0.0	0.0	0.0	0.0	0.0	0.0
148.912	95.1216	122.712	123.314	149.143	98.897
0.0	2.19651	1.23971	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.488162
20.6311	24.3891	26.1538	30.3778	29.3174	29.3466
0.0	0.0	0.96936	0.0	0.67323	0.0
27.3521	25.3661	24.8984	41.2106	40.6367	136.13
41.2211	80.7921	64.8908	72.9848	56.0297	77.7958
20.16	16.9308	25.2764	20.991	22.6927	21.941
166.359	166.919	143.951	156.821	153.889	199.035
41.0036	41.6154	37.6781	37.4871	37.7225	43.159
3.27192	6.1093	4.18696	5.12472	7.1841800000000005	5.08143
122.425	94.3395	90.5166	108.272	112.787	89.2563
44.815	41.9063	51.7385	59.653	60.9148	42.1899
36.6433	36.2137	37.6508	28.488000000000003	35.3632	41.4294
3.08281	5.34505	2.01116	0.0	1.39677	2.0746900000000004
0.436169	0.756239	0.42682	0.807371	0.0	0.440303
102.71600000000001	106.323	103.515	103.10700000000001	105.581	94.9197
6.53688	6.800269999999999	4.47774	2.42002	13.3279	12.5378
21.3649	32.8094	31.0618	31.638	34.0185	33.8916
0.0	0.0	0.591612	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
367.905	311.621	324.608	399.676	455.806	368.957
882.37	818.678	819.9810000000001	656.002	883.3689999999999	684.216
45.0829	43.5551	45.6531	39.0268	50.6085	54.567
58.4684	95.3785	70.1348	99.4999	53.8366	52.676
80.885	57.831	40.7997	87.9812	95.2083	53.0315
678.077	994.793	893.232	675.8530000000001	708.9810000000001	1342.68
117.195	115.774	106.682	116.03399999999999	112.064	120.369
0.0	0.0	0.0	0.0	0.0	7.57079
0.0	0.0	0.0	0.0	0.0	0.0
2.36292	0.315145	1.0672	1.00936	0.988246	1.1009200000000001
64.572	63.1243	57.1381	64.8493	56.023	49.2347
72.6435	105.406	87.4717	117.301	76.3314	87.6343
57.7511	73.172	105.419	106.9	110.199	59.4195
77.8893	52.8442	39.7669	62.6857	47.5652	39.8835
157.783	208.687	189.50900000000001	203.16	194.016	171.935
68.0462	74.7851	74.229	65.3875	62.672	61.5592
10.8091	11.0241	12.444	12.357999999999999	11.6673	10.5906
0.0	0.0	0.0	0.0	0.0	0.0
366.699	278.158	313.98400000000004	403.025	436.131	323.903
65.4505	70.2492	41.6818	40.3841	69.1938	72.3633
36.8935	53.3056	44.1256	56.9098	58.5053	51.7266
61.7008	54.3249	59.9066	56.2134	59.623999999999995	78.8302
722.931	778.1080000000001	761.4680000000001	721.383	731.31	631.268
23.7372	38.3178	24.0294	28.7875	22.2516	30.5724
0.0	0.0	0.49209200000000003	1.86168	0.0	3.55345
307.317	279.57	297.33099999999996	265.64799999999997	263.901	257.632
695.95	689.345	555.419	593.387	698.867	589.0740000000001
143.622	112.291	123.837	116.37299999999999	121.55	152.369
266.54	286.082	311.97	270.875	309.52299999999997	217.815
70.7605	69.3443	74.387	82.3379	75.6206	64.0551
379.098	374.81800000000004	339.70099999999996	360.724	356.869	376.366
365.69199999999995	312.219	195.19299999999998	271.791	406.69	346.784
727.443	747.172	724.308	808.035	744.008	780.409
94.1303	102.654	92.1128	89.8978	91.9732	87.0351
17.7058	22.5955	23.7467	24.6224	19.7908	32.481
3.9863800000000005	6.9116800000000005	6.43656	7.01005	4.199330000000001	22.0323
0.0	0.0	0.0	0.0	0.0	0.0
35.5959	37.8265	38.953	42.5096	30.695	50.6156
0.0	0.0	0.0	0.0	0.0	0.0
12.8345	12.7158	15.2507	18.6664	28.66	18.5087
1.0091	1.7495900000000002	1.4812	0.933944	2.05742	0.509329
25.4902	23.4963	18.629	18.5151	24.1217	19.5431
142.759	121.126	98.0864	166.798	147.254	105.273
3.87457	1.34356	3.03322	0.0	0.0	0.782259
126.742	143.07	133.349	138.767	141.24	150.628
185.24099999999999	164.88099999999997	190.96400000000003	193.449	187.831	172.997
14.0059	9.71347	21.0154	17.2837	20.3066	14.1386
40.8207	52.4265	33.658	39.8795	41.1004	41.5891
11.7119	1.56202	7.4936300000000005	5.83673	14.6948	7.730339999999999
191.38299999999998	229.363	223.358	241.861	198.972	221.11
594.411	571.248	445.39300000000003	578.435	642.514	516.038
66.0058	107.29	95.541	76.3626	99.064	98.5589
67.8948	90.3414	86.52600000000001	81.8361	141.648	62.1626
24.0405	30.247	26.4398	26.7788	24.0017	25.1273
179.859	184.828	193.80200000000002	139.344	157.259	117.81200000000001
5.3513	3.09273	7.8549	4.95276	4.8491599999999995	5.40201
4.95134	9.300130000000001	10.9017	4.58259	5.0475699999999994	9.16348
362.096	324.289	317.835	328.07300000000004	356.366	354.809
14.4191	12.9563	16.0669	12.6633	22.0311	17.6369
58.8901	65.6389	60.9209	49.8325	45.7407	49.2571
13.7892	15.2142	10.2225	10.8286	21.0148	8.01448
1418.95	1687.17	1531.74	1707.57	1285.49	1039.61
8.53631	8.88026	10.024	12.6409	10.4427	5.17033
10.44	2.0112200000000002	6.810789999999999	8.58884	4.730169999999999	5.85494
1.33546	0.0	0.0	0.0	0.0	0.0
25.906999999999996	18.8366	16.3559	18.5633	14.7672	16.8726
35.5373	36.9692	38.4577	46.4339	39.7798	36.7182
257.99	249.551	257.332	256.37	281.768	270.03
820.355	862.7260000000001	1033.63	890.4019999999999	793.904	625.649
1.00842	0.0	0.493404	0.0	0.685348	1.0179799999999999
57.3127	60.9632	51.2672	62.4817	61.1747	63.18
66.7006	76.4446	59.7395	50.2235	55.3196	50.2142
74.1016	87.9067	68.6969	64.418	73.8088	66.0213
29.4443	41.3846	24.8919	14.8351	30.7862	23.7435
929.51	840.367	734.01	984.83	1021.25	773.547
65.3352	51.6211	95.4976	52.0496	63.5137	51.7617
130.283	137.879	117.556	122.146	128.79	177.63400000000001
20.441	25.6819	18.8433	21.3863	18.5229	24.2234
25.9998	33.0043	29.9859	28.3606	40.3889	23.4342
33.0956	28.2206	20.706	29.1244	31.7109	29.0278
26.9821	29.7705	28.8041	34.8103	34.4526	33.0156
267.862	264.085	238.136	249.53400000000002	231.622	262.742
17.8878	23.2606	26.8036	27.9375	15.1962	30.4717
100.67	96.223	106.09	100.34	75.4351	93.807
59.3349	55.6659	58.4608	46.641000000000005	48.0591	62.3588
46.2701	57.4445	63.7252	53.9268	60.5633	69.7747
68.7561	69.3913	50.2107	77.8823	78.113	56.9765
337.024	293.385	290.462	330.527	303.705	286.425
20.449	21.5813	24.6509	18.6518	19.3358	19.7453
25.7483	33.0585	31.0969	34.992	26.8026	43.2658
