rK1	rK2	rK3	rK4	rK5	rK6
10.3839	13.8712	14.2423	19.8096	10.9445	12.3507
115.887	126.24700000000001	114.375	136.105	93.3841	110.696
102.529	105.398	102.865	101.715	113.4	116.087
4.280480000000001	7.9205	5.87101	2.05661	1.06523	3.66353
126.678	108.06200000000001	133.65200000000002	120.089	122.764	116.811
104.875	99.2344	87.2056	93.5335	88.0837	106.02799999999999
4.18228	0.0	22.9453	0.0	9.3671	6.04038
81.473	65.5273	73.1282	66.2724	68.7639	68.3521
39.6419	33.6111	46.0323	36.0363	40.2271	30.909000000000002
148.59799999999998	112.12700000000001	177.285	137.351	153.201	141.034
2.5969700000000002	2.359	1.42478	4.49188	4.07152	5.62611
220.572	274.411	233.982	246.851	226.86	264.67
150.535	128.8	143.594	163.403	177.13299999999998	177.15200000000002
69.245	64.0419	88.3229	57.8657	82.0702	69.2668
326.76099999999997	309.88599999999997	353.469	372.347	314.834	378.43699999999995
170.41299999999998	174.14700000000002	174.238	188.68900000000002	178.69400000000002	168.93
0.781626	0.295835	0.0	0.0	2.18827	0.282221
0.0	0.0	0.0	0.0	0.0	0.0
188.359	174.267	230.44099999999997	218.707	200.518	201.513
195.05	230.829	186.515	271.243	113.829	192.433
0.0	0.0	0.0	1.53135	1.18976	0.7672140000000001
12.9171	14.2224	14.4956	11.425	15.1228	15.2639
150.358	190.00799999999998	153.393	205.977	175.33700000000002	186.649
70.4895	56.0001	26.8029	51.3042	59.3989	35.2794
0.0	0.0	0.0	0.0	0.0	0.0
19.9482	22.7391	22.2102	27.3999	17.8712	21.0148
1.54387	4.28512	4.940930000000001	3.5234199999999998	1.1526100000000001	2.78723
0.0	0.0	0.0	0.0	0.0	0.0
9.34044	0.0	0.0	0.0	0.0	0.0
95.2054	79.2605	82.7953	99.8995	92.2199	87.72200000000001
0.0	0.0	0.0	0.0	0.0	0.0
16.9826	16.1045	17.9177	21.7885	22.5709	20.7541
259.345	193.27599999999998	195.917	199.454	210.94799999999998	190.50599999999997
0.0	0.0	5.28294	0.0	0.0	2.7814799999999997
47.711000000000006	38.8111	46.8819	44.1359	38.2778	44.2245
0.0	0.0	0.0	0.0	0.0	0.0
106.699	88.5343	100.965	93.5335	63.7649	77.7923
0.0	0.30835999999999997	0.0	0.293582	0.45618500000000006	1.0296
88.5897	96.2164	71.3197	113.81200000000001	81.9541	94.5703
0.0	0.0	0.0	0.0	0.0	0.0
16.8577	14.7459	16.1852	17.5489	16.3611	16.2315
107.361	82.8949	82.4624	92.8494	137.061	96.1369
47.9595	33.4487	38.4334	33.399	37.4144	34.2443
17.8794	12.1341	18.6036	16.8845	18.4113	14.8407
10.1549	20.1784	26.1156	10.0631	14.2151	15.5832
37.9098	44.2551	46.9846	42.7924	37.8501	41.559
87.0227	70.0897	53.4725	73.253	68.6068	66.8643
16.0552	13.2927	18.5802	18.8026	22.4743	19.2027
9.03913	4.56158	0.0	30.4007	13.4967	0.0
22.7639	16.9581	23.5408	24.2181	27.1109	25.8322
140.976	122.307	103.46700000000001	117.98700000000001	105.448	89.634
58.786	56.3658	129.007	196.299	133.858	80.658
3.5395300000000005	1.7862200000000001	2.4273700000000002	3.40122	2.6425099999999997	1.70402
7.62485	5.77179	15.6871	10.9903	34.1549	5.50619
25.4739	26.3873	23.293000000000003	18.0368	22.0209	19.3639
52.0075	50.9072	46.1201	61.391999999999996	48.1994	46.622
38.4512	35.4129	31.2038	41.1054	50.9541	27.7671
105.45	121.976	107.256	92.2212	98.1863	116.363
34.8642	35.4069	39.5026	37.4555	36.8604	34.7158
20.1573	16.0616	24.7371	21.4085	19.0091	18.387
40.0304	36.1132	37.23	31.616	31.3184	32.0755
254.093	154.03799999999998	220.584	188.445	232.783	154.851
1120.85	0.0	0.0	0.0	0.0	809.41
0.196022	0.148383	0.40328800000000004	0.0	0.439032	0.0
82.8502	107.055	124.492	89.7544	104.008	86.8859
4.19191	3.9054300000000004	5.74953	3.71825	2.88882	3.72571
0.611819	0.0	0.0	0.0	0.0	0.0
6.728960000000001	5.82129	7.910819999999999	5.5423	4.30598	19.437
41.9554	44.0454	52.9247	64.4466	43.2115	53.9607
16.6019	12.5672	25.8479	12.935	14.5719	23.6537
335.255	321.95799999999997	336.292	313.74	364.23	278.235
322.715	257.379	324.006	304.88	280.038	278.369
0.707162	0.5353020000000001	0.727446	0.509646	0.39596	0.766003
0.139502	0.351997	0.0637793	0.402152	0.52074	0.26863899999999996
194.59	148.186	167.25799999999998	186.683	179.054	149.958
928.294	775.44	448.06800000000004	729.1419999999999	654.403	629.428
3.06244	2.64935	2.40021	4.41415	3.91941	2.52743
2241.7	4242.27	768.668	807.79	2510.38	1618.82
5.80753	4.39613	0.0	0.0	0.0	4.19384
5.63242	14.212	2.5751	2.7061599999999997	10.5125	5.42319
0.358329	0.8137340000000001	0.0	0.258245	0.802552	0.258763
23.6262	35.2427	34.7878	29.5472	36.5741	32.6173
0.36701100000000003	0.0	0.0	0.529004	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
31.8726	50.2638	36.4298	49.769	44.6158	28.7705
43.4149	39.578	46.42100000000001	52.8209	40.254	45.8475
101.584	100.225	111.934	108.583	94.5868	117.04299999999999
0.185265	0.5609609999999999	0.254105	0.0	0.0	0.535147
5.03544	2.54113	1.79057	2.41934	2.50621	3.23225
105.836	103.76799999999999	98.1572	135.116	121.90700000000001	115.006
143.278	147.434	161.717	188.233	152.93	243.03900000000002
32.5829	26.7197	26.4416	27.0046	27.3661	30.195999999999998
25.1278	47.2644	43.8642	46.0967	30.6976	43.9897
3.8783800000000004	6.3609599999999995	0.443292	8.85121	6.51484	5.601459999999999
146.923	92.8713	82.0605	126.081	116.19	101.723
65.3911	28.5996	59.1283	101.236	70.5164	61.5628
140.672	123.947	105.46700000000001	112.139	79.0194	83.6195
0.447983	0.6782199999999999	0.6144430000000001	0.6457149999999999	1.00335	0.647011
0.0	0.0	0.0	0.0	0.0	0.855613
452.274	516.9209999999999	438.88800000000003	564.293	508.483	543.48
0.76561	8.11363	2.10019	1.10354	5.14423	3.3172599999999997
34.2372	26.4198	27.3547	21.5602	33.5016	23.2838
27.4856	21.5111	23.961	17.4585	26.6063	22.8761
0.0	0.0	0.0	0.0	0.0	0.0
792.327	731.426	689.15	584.951	389.542	558.214
