rM1	rM2	rM3	rM4	rM5	rM6
294.613	299.649	341.73800000000006	423.713	461.73800000000006	326.315
15.5867	8.08636	10.465	7.62375	10.8588	11.1552
83.4256	45.4791	72.5006	53.0534	46.2565	66.6732
328.608	146.526	165.898	127.721	139.22	271.82099999999997
135.433	106.16799999999999	107.02	100.094	118.008	159.283
0.602029	0.0	0.0	0.8015979999999999	0.0	0.340524
100.32799999999999	50.3569	118.516	75.4118	120.229	104.344
180.005	226.08900000000003	174.672	244.446	226.588	207.68400000000003
374.524	363.54699999999997	193.921	371.894	288.93	440.43699999999995
7.364730000000001	5.02123	8.97378	9.80609	4.9296	8.33137
38.4397	17.839000000000002	9.21016	10.2364	6.810810000000001	9.20858
17.2279	0.0	1.49942	5.097519999999999	3.84385	8.66183
8.60084	4.71215	0.84214	0.0	3.23831	1.21622
0.0	0.0	0.0	0.0	0.0	0.0
121.471	70.3531	21.5218	24.0681	29.4011	65.0263
1.58551	1.0423799999999999	1.39719	0.791661	0.795949	0.448403
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
23.2474	16.8563	19.7836	17.5787	16.4252	21.1039
0.0	0.0	0.0	0.0	0.0	2.89799
26.1609	17.1363	38.9575	16.8424	21.3594	25.3668
182.22	103.374	140.311	103.001	116.331	183.578
0.0	0.0	0.0	0.0	0.0	0.0
25.2301	7.69272	18.0445	16.0666	25.3318	21.096
0.0	0.0	0.0	0.0	0.0	0.0
28.8428	34.9812	17.641	22.0955	48.3974	40.6739
0.9412790000000001	0.412559	2.58059	0.41776899999999995	1.10258	0.354942
175.035	119.62700000000001	139.431	94.8034	80.4237	63.7657
0.0	0.0	0.0	0.0	0.0	0.0
2.88539	2.5293200000000002	3.3902300000000003	1.15256	1.1588100000000001	2.28488
84.3463	95.6837	136.025	83.6794	84.6862	95.417
0.830105	0.727665	0.650229	0.0	0.0	0.0
27.8589	29.9711	35.213	28.6635	17.7998	27.9342
1.9554	0.8570459999999999	6.12674	0.0	0.981641	3.31808
12.6647	10.485	11.0226	9.368310000000001	5.65143	10.3473
0.536217	0.0	0.0	0.0	0.0	0.0
433.587	541.664	385.341	444.566	494.31	511.918
0.0	0.0	0.0	0.0	0.0	0.0
16.4201	7.56284	12.425999999999998	14.8226	11.1772	13.8528
1.23624	0.0	0.0	0.0	0.0	0.466168
48.297	31.7526	66.2052	36.1728	39.3995	95.6133
2.72624	0.796602	3.55915	1.20999	0.912409	2.05605
5.87285	0.0	4.60026	0.0	0.0	6.643680000000001
95.6938	131.56	70.1045	66.9162	89.1672	93.4566
102.906	125.321	120.1	125.984	140.07299999999998	140.634
148.57399999999998	90.4318	86.9947	130.131	79.7901	84.3167
138.714	100.796	84.3511	82.6273	98.9568	107.366
18.0134	9.94213	12.0197	12.4365	16.0765	13.9625
1.22571	1.07445	4.480519999999999	2.72005	2.8715200000000003	6.47075
60.8202	37.3943	47.6411	45.5522	43.6787	44.4353
1.68533	0.36933699999999997	0.33003299999999997	0.0	2.11515	0.476633
1726.62	0.0	676.238	0.0	0.0	0.0
287.921	104.291	97.6868	77.5977	112.631	205.47
141.446	92.6368	97.4242	96.3321	112.634	125.986
6.45744	3.04799	10.1163	5.95249	4.48855	6.7430699999999995
0.0	0.0	0.0	0.0	0.0	0.0
0.0	2.59613	0.0	3.94337	0.0	3.3503300000000005
66.98899999999999	42.1807	43.6044	43.3415	29.3666	56.5693
0.6912010000000001	0.605902	0.541424	0.460165	1.7349700000000001	4.69154
547.2769999999999	375.00699999999995	449.819	497.77099999999996	425.655	475.231
537.475	454.463	431.147	348.699	428.04400000000004	403.911
0.272337	0.238729	0.0	0.362616	0.0	0.616165
0.0	0.0627922	0.0561101	0.28613299999999997	0.0	0.0
340.714	250.35	251.333	313.16200000000003	292.461	251.145
9.218760000000001	0.0	0.0	0.0	0.0	0.613456
16.1744	1.7723	11.0859	10.7681	10.1497	14.4854
0.0	1513.54	676.238	1149.49	2600.37	1953.24
0.0	0.0	0.0	0.0	4.49113	0.0
0.0	2.53525	0.0	0.0	0.0	1.63588
601.6669999999999	390.724	360.819	361.972	458.334	413.066
28.9019	31.4344	29.7662	17.816	28.480999999999998	29.668000000000003
0.0	0.0	0.0	0.0	1.1352799999999998	0.0
0.0	1.27295	5.11871	0.0	0.0	0.0
4.0915099999999995	1.7933	8.0123	2.72391	10.27	11.5713
48.5409	12.9228	22.5319	21.0652	19.1336	35.3878
76.4847	40.0734	42.0067	55.0164	64.4354	59.6714
0.570783	0.750517	0.67065	0.0	1.1461700000000001	0.0
2.01104	0.251837	0.0	0.0	0.28844899999999996	0.649998
125.77	74.8605	68.1103	80.6298	74.8307	72.0171
29.3134	10.5807	13.957	28.3164	13.8502	22.1073
21.3318	8.433019999999999	14.7436	12.8093	16.7982	7.0975399999999995
