	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
SPAG9	95.91202159832841	91.40683918132267	112.68113922034897
CELSR3	62.740822676523734	117.39744248358559	119.86173483989069
AASS	148.08297315663194	95.16182509397947	56.755201749388625
SS18L2	87.54350582488748	64.45054631555938	148.00594785955315
MPND	98.6941349466527	124.78941026355943	76.51645478978789
MGST1	230.2946726688603	12.62401901907452	57.08130831206516
CRY1	78.42494869106608	97.61078264200954	123.96426866692438
NFIX	84.33196847765134	83.28013716175198	132.38789436059665
ST3GAL1	63.577114602829575	94.08207355145444	142.34081184571602
MMP25	177.62640102582313	95.951434424653	26.42216454952387
PKD1	106.2237904966394	116.8861005350047	76.89010896835592
MAPK8IP2	78.10717906320073	103.29257395393012	118.60024698286912
MED24	76.18259434347945	117.64206531302482	106.17534034349573
RHOBTB2	91.45909084721563	90.65009343511498	117.89081571766941
HEATR5B	88.28428657481511	79.40876753285306	132.30694589233184
SEC62	117.92681323266372	94.19668334465699	87.87650342267925
RPS20	151.30634290204284	126.28652210775451	22.40713499020261
CSDE1	86.1735910836928	107.29754412240189	106.52886479390529
UBE3C	76.63916385367884	107.026356483952	116.33447966236916
REV3L	95.36329910348788	127.89739358671804	76.73930730979404
TENM1	84.56335771545461	86.56659524532073	128.8700470392247
MASP2	70.1050174786984	107.33622768333176	122.55875483796983
FAM76A	94.09952508551096	94.44033549641921	111.46013941806984
TRAF3IP3	62.99339109532854	140.52808003408816	96.47852887058328
POMT2	107.42494505749485	85.01420383918004	107.56085110332509
VTA1	73.08166936352403	114.27559463422301	112.64273600225296
MLXIPL	146.30455941727763	150.51257656302843	3.1828640196939566
BAZ1B	74.64519129287028	117.2466118242773	108.1081968828524
RANBP9	93.7636399304312	110.47814749535824	95.75821257421065
SPRTN	98.10027327498152	91.31997238247888	110.57975434253954
METTL13	115.17757596476864	90.40842534972114	94.41399868551021
DYRK4	140.8489620389495	133.78992271949684	25.361115241553637
ZNF207	91.92132905865452	108.64389088148883	99.43478005985668
UQCRC1	88.1168892232462	99.43923130659073	112.44387947016313
STARD3NL	89.99941302148264	115.45310067773092	94.54748630078647
CD9	144.63204172876752	107.6006994339801	47.76725883725239
NCAPD2	79.22660146682564	153.90210716903675	66.8712913641376
IFFO1	82.41476595013062	89.14499869104769	128.4402353588217
PHF7	97.06506374354414	34.87166911506984	168.06326714138595
SEMA3G	131.9382033311693	103.98531203017495	64.07648463865578
NISCH	81.01978224588193	89.24022665119764	129.73999110292044
STAB1	45.05428004123611	154.78686829499765	100.15885166376628
FUZ	111.08881957482888	96.30170795227424	92.60947247289684
SLC6A13	140.32372333127688	89.16517526746662	70.51110140125645
IDS	78.11727803785544	117.04091881431773	104.84180314782678
CD4	79.98402151051569	134.93273711810033	85.08324137138399
LRRC23	107.42678329722276	183.43605061900826	9.137166083769042
BTK	96.59166190612932	190.9276826767551	12.480655417115596
HFE	38.5471944669371	28.62999001583701	232.82281551722593
SCMH1	105.67907998644668	104.15953267945429	90.16138733409905
FYN	105.78539536742522	97.59774447789356	96.6168601546812
HIVEP2	66.30694577387476	96.65307989658753	137.03997432953778
FMO1	0.0	171.27733018148433	128.72266981851567
TCEB3	76.63373962710854	106.5596496911144	116.80661068177712
LYPLA2	59.71099712636948	87.63925441472936	152.6497484589012
CLCN6	82.99551555936674	106.0869251813463	110.91755925928697
MRC2	74.57494477363824	61.13366172805171	164.29139349831004
NME2	128.18740588770086	61.71667084924258	110.09592326305655
SLC6A7	99.38746923023373	100.34547150797309	100.26705926179315
TSPAN9	58.956224108835166	64.75642956033596	176.28734633082888
BTBD7	93.01491393151372	100.79874911167848	106.18633695680784
APBA3	85.28969624233702	134.53533587434598	80.174967883317
MKS1	55.82689480172961	119.36051859865375	124.81258659961665
ABHD5	91.75380713305208	121.8763392175628	86.3698536493851
AKAP8L	90.52768749409972	100.08968428434639	109.38262822155392
MBTD1	63.45766108381845	97.35034447111528	139.1919944450663
UTP18	133.19744624074482	32.39989333515281	134.40266042410232
RNF216	80.68695059229299	123.77366693250312	95.53938247520396
PTBP1	111.66000788607317	118.93137787486772	69.40861423905903
DPF1	79.95571926321959	139.84458311354274	80.19969762323764
SYT7	73.15384857596996	99.40589916329462	127.4402522607354
LARS2	110.72651146574026	113.70201365437175	75.57147487988797
PIK3C2A	105.21823278548044	101.13480984405949	93.64695737046002
PLAUR	111.4304586820632	115.18767313836132	73.38186817957552
ANLN	149.84172909574556	107.02203575256428	43.13623515169018
WIZ	109.12061628107872	97.91822228156934	92.96116143735192
RABGAP1	85.15108391777669	106.069885114236	108.77903096798731
DCN	94.54818708298019	129.84863706687963	75.60317585014013
QPCTL	151.43890438347404	71.01583132982007	77.54526428670589
PPP5C	85.61507066254671	115.02713917254204	99.35779016491128
CEP68	76.122246879874	127.27573342290648	96.60201969721955
MAP4K3	70.92313249885139	103.15946928912379	125.91739821202484
ZBTB32	9.586584107356172	60.99145718458272	229.42195870806108
TYROBP	63.48828690838736	208.81086796180267	27.70084512980994
TMEM159	160.8230704392656	84.79791005915264	54.3790195015818
GABRA3	92.52349817664059	131.2439710430507	76.23253078030872
BRCA1	77.85392810705163	64.67409437792845	157.47197751501992
ERCC1	79.45712679648847	171.61554865724383	48.92732454626775
CD22	212.76155692336656	59.36244728260481	27.875995794028608
SEMA3B	192.5690817538142	74.809725194209	32.62119305197678
MBTPS2	73.07900072746192	123.90617583963987	103.01482343289825
PRICKLE3	127.67312902386436	137.18944244785638	35.137428528279266
LTF	235.19930328819166	24.40861330355363	40.39208340825472
EXTL3	71.92847611221458	106.92434345874572	121.14718042903974
NR1H4	208.680817830398	91.31918216960206	0.0
ELOVL5	125.51589467490439	108.73623990997584	65.7478654151198
ALOX5	77.61411798432285	155.289896073679	67.0959859419982
CALCOCO1	78.69331516949138	140.11765593251576	81.18902889799283
UBR7	75.1298233941547	118.83043349087885	106.0397431149664
MAP4K5	120.79112881082716	99.5209809798532	79.68789020931963
EHD3	69.31168123584295	112.249708297674	118.43861046648303
PSMC4	87.5031680186271	100.28219892377297	112.21463305759988
MAN2B2	129.3805216736232	74.77876900868226	95.84070931769452
SLC7A14	78.31269574777185	116.49113713726203	105.19616711496609
CLDN11	130.22737563497887	110.06402544501456	59.70859892000657
SLC25A39	119.30411756499362	121.60737664988173	59.08850578512465
MVP	105.32018143643577	76.63066660193584	118.04915196162835
NUB1	79.52552194101212	101.6030162782313	118.87146178075665
PGM3	94.87826032075888	106.45837178410432	98.66336789513679
RWDD2A	116.59040267438886	78.32195860251974	105.08763872309146
CLK1	109.06098097831291	84.93226186737631	106.00675715431078
POLR3B	56.68056598296724	94.73468540041284	148.5847486166199
ANGEL1	88.121147775486	116.37115891933072	95.50769330518328
RNF14	92.35878168633056	115.3835979326339	92.25762038103557
DNASE1L1	212.0594798075813	61.62650626611479	26.314013926303932
HEBP1	98.37748477554103	103.33219486489381	98.29032035956514
GPRC5A	43.91666503435497	224.58050152842705	31.50283343721793
MAMLD1	57.66369644530434	108.89580008446009	133.44050347023554
CD6	179.73024946705326	31.620647209446446	88.64910332350036
TACC3	241.32999555217083	30.587633109049182	28.08237133877998
UFL1	112.0803792695035	102.6277636563785	85.29185707411797
POLA2	105.96816568728742	125.69850105500171	68.33333325771085
ZC3H3	84.6200423714048	107.01769452071703	108.36226310787815
CAPN1	81.44384854977389	102.76914994434496	115.78700150588116
ACPP	105.34205433926888	128.67110829992967	65.98683736080145
MDH1	94.07873545710856	108.85422747050566	97.0670370723858
SLC30A9	76.53124427192851	120.22888168729342	103.23987404077808
MTMR11	132.25521035726058	119.88021220185247	47.86457744088698
COX15	83.87950536932509	120.91644907780721	95.2040455528677
CCDC88C	82.24325900592436	43.53203500746657	174.22470598660902
YAF2	75.75030958057636	103.61672753203261	120.63296288739105
ZMYND11	73.4634787671455	101.59699189883665	124.93952933401786
DPEP1	0.0	300.0	0.0
BID	175.06595506255218	100.42138089551584	24.512664041931963
MATR3	109.3550118697078	139.84314999534118	50.80183813495104
NPC1L1	28.417999184153093	0.0	271.5820008158469
XYLT2	78.00721743694093	92.81835675844894	129.17442580461014
STMN4	101.88242631724205	111.5920090055698	86.52556467718811
NUDCD3	64.58938418128042	115.13717137029049	120.27344444842912
CHDH	139.74811971168145	75.76326129428675	84.48861899403184
IL20RA	101.43477874745217	57.87526507201078	140.68995618053705
CLCA1	0.0	3.776202181813372	296.2237978181866
GLT8D1	104.61838846723639	113.4637582595827	81.91785327318091
ATP2C1	106.80131524048973	117.41841898754156	75.78026577196879
IGF1	12.45404832629489	77.35142117686898	210.1945304968362
SLC38A5	120.40266841222783	107.3340371211814	72.26329446659082
RALBP1	87.88512796915151	106.90228997727277	105.21258205357572
RUFY3	87.04218621030475	120.00570945156133	92.95210433813392
CNTN1	61.187051471876494	114.37778907626823	124.43515945185528
SLC11A1	92.45290735247892	140.57365508330486	66.97343756421623
WWTR1	118.9725011213844	100.05116257099458	80.97633630762098
AGPS	93.65055082550828	105.50381178930806	100.84563738518368
CXorf56	158.0458790091287	22.323103278083366	119.63101771278797
ATP1A2	101.50007666385292	68.42580670157483	130.07411663457225
TTC27	77.05973077863925	100.17449596896617	122.7657732523946
ZNF582	15.027204358555649	247.25210348640516	37.720692155039224
VSIG2	143.69017732496965	131.85118799542232	24.458634679608025
PHLDB1	144.26175421556673	77.98622576454562	77.75202001988765
MARCO	34.295884026101795	258.64899756691096	7.055118406987243
CYP24A1	216.4914732755228	83.50852672447722	0.0
PRDM11	62.75809644919651	92.99692167623604	144.24498187456751
SYT13	49.56953423716535	115.84047912151247	134.58998664132216
SNAI2	91.35843212302176	38.385218326944866	170.25634955003338
CD74	82.22944257175008	171.76948574258358	46.00107168566629
HGF	149.36057473512057	119.83954656816735	30.799878696712057
ZRANB1	89.78867513914639	113.78305953214488	96.42826532870872
NCDN	63.16283539959049	120.50109189726663	116.33607270314286
GPR124	105.51371177278833	89.78387557965671	104.702412647555
ZFP64	91.3693582297738	112.46968209115049	96.16095967907567
MNAT1	109.73520536365425	108.29003071039789	81.97476392594793
SAMD4A	107.86921502920596	122.04645107299923	70.08433389779479
RUNX3	258.9911448146935	41.00885518530651	0.0
MRE11A	93.6088661875188	128.64408424500752	77.74704956747371
PLEKHB1	173.92252344555712	76.56823033656647	49.50924621787639
SERPINB1	49.10832222474874	135.94744602661478	114.94423174863651
CYP3A43	57.106654429126934	242.8933455708731	0.0
SLC7A9	76.52514570121205	45.3312939799211	178.14356031886683
SPAST	75.88212018597142	97.7197219421682	126.39815787186035
NRXN3	70.82514977957139	109.96454336103048	119.21030685939814
OSBPL5	99.23206061034419	89.15573354325277	111.61220584640303
AQR	57.350939129271616	86.06224837217385	156.58681249855454
CPS1	211.3914381481583	76.68392859887335	11.924633252968379
C8B	148.75691597748656	0.0	151.24308402251341
FHL1	81.3062576955501	106.91921799524715	111.77452430920279
RTFDC1	117.16114846068064	105.87249283330338	76.96635870601595
GABRA1	63.47499170954224	106.22350665013604	130.30150164032173
NLRP2	276.125875282167	0.0	23.874124717833045
SLC45A4	70.42750878735339	94.48715080208973	135.08534041055688
RNF10	97.19865090097866	115.18924555203536	87.61210354698599
ZNF839	167.148639300327	90.99475506983232	41.85660562984071
ZDHHC6	92.98489787601356	91.93024910916367	115.08485301482281
GRAMD1B	53.82767431415759	98.63086331554683	147.54146237029556
RNH1	117.00437201999294	102.6941220620095	80.30150591799757
NDUFS1	78.05130820828751	110.36727285161479	111.58141894009768
RB1CC1	74.41846944231071	104.06062470592303	121.52090585176627
ERP44	112.15734156927304	120.65812065343331	67.18453777729363
ALAS1	91.59941011756526	112.25672557395944	96.14386430847529
BIRC3	15.894386385317336	262.8551605683909	21.250453046291806
GLRX2	111.04844905641667	99.03103206702272	89.92051887656064
SNAPC1	63.71512228741947	85.29253131106509	150.99234640151548
DERA	156.00323130987252	107.77938559948987	36.21738309063758
STRAP	122.28779068030097	132.5892435588652	45.122965760833836
DEF6	116.06919475384805	124.51117997333785	59.4196252728141
PLEKHO1	104.90590754173377	99.75680462213994	95.33728783612628
GCLM	111.12887589468137	113.1476440388691	75.72348006644958
UBR2	86.68925086526393	98.4867389586406	114.82401017609547
EHD2	88.14639100206506	84.71413294019723	127.13947605773774
CCDC28A	91.51975615753368	127.79221270505556	80.68803113741079
RRAGD	78.09036679473192	98.87964105504425	123.02999215022383
HSF2	93.40137056959692	101.43212656476233	105.16650286564071
PHF20	81.76486517817041	101.31297366083709	116.9221611609925
HSD17B6	96.70810319773788	15.502356592377314	187.78954020988482
NR1H3	172.31062400533304	109.74428761274851	17.94508838191847
TYMP	80.07395736863714	208.44987458694723	11.476168044415612
NCAPH2	79.70984661861229	111.44585089172006	108.84430248966763
TOMM34	85.34750969292583	126.11632651897038	88.53616378810382
SEC63	99.87481353547442	98.74736854306676	101.37781792145888
KPNA6	54.48771518941471	79.00422389684883	166.5080609137365
VIM	125.28983966392158	93.46576501321894	81.24439532285949
RTEL1-TNFRSF6B	77.69684701933433	141.29231471700217	81.01083826366349
FAS	90.34601584418456	171.5329832111516	38.12100094466382
RNASET2	124.6489797007876	110.33068654297881	65.02033375623361
CD44	61.68382660040218	194.5856550758531	43.73051832374473
AGPAT4	164.36190519920785	71.27387298346444	64.3642218173277
SLAMF7	134.62419318249138	165.37580681750862	0.0
MIPEP	52.57602723336221	54.849577386745466	192.5743953798924
PRKCH	148.77052320311344	100.03212912126851	51.19734767561799
INSRR	122.25793284870849	124.03198145884808	53.71008569244338
IFNGR1	85.68468475787652	136.80536902928773	77.50994621283579
B4GALT7	85.56556651624759	108.3586919592808	106.0757415244716
SH2D2A	134.3990212209425	133.70881323039282	31.892165548664725
VRK2	136.88528589283115	109.83245770174963	53.28225640541919
TNFRSF1B	71.00385715109951	170.61497346435166	58.38116938454889
VEZT	112.62632221351392	110.14534277138894	77.22833501509716
POU2F2	84.04290296943995	155.88705919308254	60.07003783747752
BRD9	84.05012502630504	81.26609249470805	134.68378247898693
SNX1	93.08959627041976	109.05483918766667	97.85556454191358
TBPL1	103.49649733109716	147.3625498277425	49.14095284116034
ARNTL2	68.73787408427334	109.76090397907865	121.50122193664802
BCLAF1	71.2932395748873	115.32365458885093	113.38310583626175
SLC39A9	67.24014936144654	117.95768041915615	114.80217021939731
ANK1	42.76113243006426	76.36874513995531	180.8701224299804
IBSP	0.0	118.64939831401156	181.3506016859884
TFB1M	89.81094072766089	85.72978354250492	124.45927572983422
RABEP1	78.47426236924119	106.2658752220043	115.2598624087545
HMGB3	107.23770069420723	132.77416634500463	59.988132960788136
NUP160	79.51728507482673	115.05211350838691	105.43060141678635
MUSK	68.36699090638002	37.93804286554645	193.6949662280736
IKZF2	60.66937581514209	153.65114251487182	85.67948166998612
GRN	103.90808161849301	100.98551268639243	95.10640569511463
FAM13B	74.05640789029613	134.46531750959184	91.47827460011206
ARHGAP31	113.00368106950442	96.88185675350685	90.11446217698877
SARS	77.44716865581206	98.14565190199336	124.40717944219462
RANBP3	103.18529146070912	100.2539899400826	96.56071859920831
ARID4A	86.89223525663598	91.43220168043622	121.67556306292782
TSSC1	76.33129803310158	118.24472511847881	105.42397684841957
PNPLA6	95.27377651318828	130.68822063492175	74.03800285188997
IFT88	84.26113159357183	119.45663881884616	96.28222958758195
ALG1	91.97904637060856	132.456845580961	75.56410804843048
ZCCHC8	87.6021847556983	97.6695809103539	114.72823433394781
ABCF2	99.44007953534127	95.94002655424252	104.6198939104162
CHPF2	93.5179285604497	100.38123823914782	106.10083320040249
LRRC7	72.44615828227879	93.54409017073922	134.009751546982
FUT8	131.06476950316085	81.96874433017265	86.96648616666648
UBA6	107.85896289630816	107.48030162527171	84.66073547842014
GAB2	147.40917903195262	95.02118884227758	57.56963212576978
ATP6V0A1	75.12622080987433	97.51022823804152	127.36355095208414
PIAS1	66.13091645114957	115.62768316105694	118.24140038779352
SLC4A7	79.95258577307507	135.60811143986996	84.439302787055
