	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)
TSR3	146.93797574631319	68.94010608209383	84.12191817159297
PIGQ	142.5599967756637	95.09898854770316	62.341014676633066
CRAMP1L	80.63928702968259	159.63641715145172	59.72429581886568
TEAD3	101.82906465769813	143.22807631191884	54.94285903038304
SELE	163.1620159753249	111.22734523172461	25.61063879295048
DNAJC11	104.03975582691345	110.26676147410963	85.69348269897694
FMO3	90.1040758907024	6.345002962858732	203.55092114643884
MYLIP	78.7618714704569	74.33094546280876	146.90718306673438
NOX1	0.0	74.80506429420451	225.1949357057955
PSMB1	99.05837340674292	96.6038567845662	104.33776980869092
SYN1	125.97485393404017	77.95164062905127	96.07350543690859
JARID2	100.11409894522063	104.82984065458305	95.05606040019629
CDKL5	83.63893600539015	119.54488636172545	96.8161776328844
CAMK1G	102.51878155751454	124.54550570683931	72.93571273564613
CDK11A	87.66393109794868	70.64771191613434	141.68835698591698
NADK	59.02747044263423	64.67693205180385	176.29559750556194
TFAP2B	85.82758374706577	108.24900347541906	105.92341277751518
DLEC1	15.463254670358248	234.88964283170145	49.64710249794028
CYTH3	65.88143276442037	125.77696096499224	108.34160627058735
ADAM22	92.56262099191258	130.07655797520482	77.36082103288258
SYPL1	69.5823955054511	123.5578808777419	106.85972361680696
CYB561	78.64159303065853	103.53483252727085	117.82357444207061
SPAG9	81.1138477973176	117.95840790442789	100.92774429825455
CELSR3	101.65208194452156	112.28910324317852	86.05881481229994
AASS	73.91604389050777	139.21595203222782	86.86800407726444
SS18L2	98.40535673233208	51.55943445262069	150.03520881504724
MPND	88.67704166606528	94.90421152803384	116.41874680590088
MGST1	172.9153545435861	31.66883088075185	95.41581457566201
CRY1	91.32385426059916	104.41540526271955	104.26074047668124
NFIX	103.03984549349103	85.63905090744731	111.3211035990616
ST3GAL1	85.52328236085657	32.066609592783415	182.41010804636005
MMP25	155.42459038872002	138.28461914465515	6.290790466624905
PKD1	145.42199952474888	107.93717456765597	46.64082590759514
MAPK8IP2	93.7743615528914	94.98367342688448	111.24196502022414
MED24	71.59434242816516	98.53456419278578	129.87109337904909
RHOBTB2	102.97224409835819	101.97989631289775	95.04785958874407
HEATR5B	95.61380486465396	96.10038587718412	108.28580925816196
SEC62	96.08861226420971	103.79397692249816	100.11741081329215
RPS20	154.86283463198504	118.81770873256919	26.319456635445793
CSDE1	85.69413847870926	116.68224429371423	97.62361722757647
UBE3C	88.4978695463538	116.69420784636009	94.80792260728605
REV3L	113.83924600116897	123.41196669311971	62.74878730571138
TENM1	100.27362097444461	118.53323106519538	81.19314796036
MASP2	87.97681863204501	125.01016133034474	87.01302003761026
FAM76A	98.8260753975368	114.54498170286871	86.62894289959445
TRAF3IP3	61.36213775991727	123.25941338829605	115.37844885178663
POMT2	97.62514777241324	99.45020044326655	102.92465178432022
VTA1	92.7411037940196	111.68227687951445	95.57661932646599
MLXIPL	175.58201338109842	122.41693987473678	2.0010467441647988
BAZ1B	78.88747890401724	121.73298809832428	99.37953299765846
RANBP9	98.80663668077034	107.37475291117893	93.81861040805074
SPRTN	77.09120732242359	111.80896407727683	111.09982860029956
METTL13	118.38104151692683	90.93724113324818	90.68171734982494
DYRK4	157.64419577529532	139.66382307668502	2.691981148019673
ZNF207	98.16159617066323	106.53300041423108	95.30540341510564
UQCRC1	89.43301668744441	93.30827984353157	117.25870346902398
STARD3NL	82.90924312491849	98.03214863746956	119.05860823761196
CD9	84.09627100670932	118.94139244730991	96.9623365459808
NCAPD2	56.61795410366259	177.05750602792043	66.32453986841698
IFFO1	85.7044824095142	87.94713996856328	126.34837762192257
PHF7	57.97338603551573	51.091960294249986	190.93465367023433
SEMA3G	103.54606953142758	173.01265989407312	23.441270574499296
NISCH	106.15838894271157	122.89504021205246	70.94657084523598
STAB1	45.64350047780558	84.57028154078154	169.7862179814129
FUZ	96.28602043858125	119.51466713932373	84.19931242209503
SLC6A13	68.78060614791137	72.30601704736152	158.9133768047271
IDS	85.42992122705945	99.49066057914062	115.07941819379992
CD4	46.98987991476544	77.83109094953453	175.17902913570003
LRRC23	93.34471179091865	192.99960429812276	13.655683910958588
BTK	33.15294595615741	128.85005168256575	137.99700236127683
HFE	23.853215232853255	30.849365993756063	245.2974187733907
SCMH1	106.88009769690746	133.29907443183907	59.820827871253535
FYN	108.2513288474843	99.1166932672114	92.63197788530428
HIVEP2	93.57016294089145	107.83196972405122	98.59786733505736
FMO1	21.829683096324388	0.0	278.17031690367565
TCEB3	77.62140869991882	123.23396270380815	99.14462859627304
LYPLA2	64.96735334356522	84.48784496795297	150.5448016884818
CLCN6	91.24757317647449	101.80679593202416	106.94563089150135
MRC2	48.28469115760183	92.85457144941827	158.86073739297993
NME2	135.88075341843947	45.12486419852438	118.99438238303617
SLC6A7	242.88476391299335	7.245133604305106	49.87010248270156
TSPAN9	97.8496585947768	65.73194921749021	136.41839218773305
BTBD7	78.3861669595771	124.5224717806391	97.09136125978384
APBA3	100.52608001570964	107.96549039331332	91.50842959097709
MKS1	49.12086564052983	116.25062357849092	134.62851078097924
ABHD5	82.08888567109278	130.16460863249	87.74650569641722
AKAP8L	94.80123879072572	108.56500403236436	96.63375717690997
MBTD1	67.24461896892421	116.43469735332614	116.32068367774968
UTP18	151.56790865779394	30.659832257160126	117.77225908504596
RNF216	71.9475965040295	127.92429512374363	100.12810837222692
PTBP1	107.40455977405719	118.55596551311179	74.03947471283104
DPF1	110.24107510260654	92.96700318234214	96.79192171505127
SYT7	60.23108627590277	78.62362528354357	161.14528844055366
LARS2	102.54658891380282	114.17591140021968	83.27749968597749
PIK3C2A	91.54427424777089	131.43262702054423	77.02309873168493
PLAUR	71.88708483441489	128.04736774602176	100.06554741956339
ANLN	63.49493612999466	118.76300769377923	117.74205617622609
WIZ	100.06155724808414	97.45533733591128	102.48310541600456
RABGAP1	78.05630188128522	116.10322251349427	105.84047560522049
DCN	57.49244780631047	139.94384849396303	102.56370369972645
QPCTL	151.82367008702676	68.61524763168543	79.56108228128781
PPP5C	93.2404203202956	109.22911187477058	97.53046780493386
CEP68	107.6521604452488	116.77047290084033	75.5773666539109
MAP4K3	80.91898947793965	107.2207470327931	111.86026348926728
ZBTB32	25.664611607685412	33.16745969613144	241.16792869618314
TYROBP	59.03160722256361	170.65117964135382	70.31721313608259
TMEM159	244.15013451867762	43.265597047733564	12.584268433588914
GABRA3	42.22259920025787	125.76033359764374	132.0170672020984
BRCA1	15.804147871548885	27.898250105954336	256.29760202249685
ERCC1	94.14750156472036	147.96625033832146	57.886248096958184
CD22	103.76868090861055	84.51117473960612	111.72014435178332
SEMA3B	105.01827829268002	102.36526590585491	92.61645580146508
MBTPS2	91.58160290276656	124.66423742600242	83.75415967123104
PRICKLE3	77.87266853953211	159.29538264958515	62.83194881088274
LTF	238.1832950952204	42.11717488744892	19.69953001733077
EXTL3	67.71718704335899	97.47953014059206	134.80328281604898
NR1H4	106.57931254575132	0.0	193.42068745424862
ELOVL5	83.56669983574858	124.62795388308415	91.80534628116732
ALOX5	121.32514099124718	173.51034652722066	5.164512481532158
CALCOCO1	103.73079544635256	136.2307830891696	60.038421464477864
UBR7	73.62018577011095	108.62137585378748	117.75843837610157
MAP4K5	115.07832712302913	111.8163919488423	73.10528092812861
EHD3	100.17788988839105	99.36851634820995	100.45359376339904
PSMC4	91.16028851946793	91.10562153308017	117.73408994745196
MAN2B2	81.17511978156385	109.64415504386646	109.18072517456969
SLC7A14	65.48440006615216	136.23716163367757	98.27843830017025
CLDN11	45.09055053943477	99.57744298354095	155.33200647702427
SLC25A39	126.83811450711869	103.77178570095707	69.39009979192427
MVP	93.19577166320241	79.33213342157393	127.47209491522365
NUB1	83.42191413858826	112.20981449933424	104.36827136207751
PGM3	97.39262305072522	139.0513739233093	63.55600302596549
RWDD2A	157.48009311075984	82.41725417054855	60.10265271869169
CLK1	116.39999266595566	80.3621656655048	103.23784166853952
POLR3B	55.17656377635066	93.15593811431964	151.6674981093297
ANGEL1	77.75230793880857	130.1217040167816	92.12598804440975
RNF14	85.0595024935209	134.41581401898338	80.52468348749575
DNASE1L1	104.84209979822243	103.6074160388569	91.55048416292064
HEBP1	99.25903028672865	122.57249542843829	78.1684742848331
GPRC5A	163.3262295615256	0.0	136.67377043847446
MAMLD1	86.86489598054466	86.77569332828838	126.35941069116694
CD6	90.40635456670866	84.92743334509431	124.66621208819706
TACC3	182.0964926447474	63.63404082393123	54.269466531321385
UFL1	73.50848282623603	125.76254131532765	100.72897585843631
POLA2	100.02205817236376	133.792095994187	66.18584583344922
ZC3H3	89.59384453507711	98.29156168015017	112.11459378477271
CAPN1	86.21189857111034	93.85108870136479	119.93701272752489
ACPP	0.0	187.0903858413644	112.90961415863563
MDH1	91.61357803357434	94.31017313730088	114.07624882912472
SLC30A9	92.18434180669199	117.5532130110646	90.2624451822434
MTMR11	133.91763454284882	106.37003869373285	59.71232676341831
COX15	79.01772659787983	142.06663375125495	78.91563965086526
CCDC88C	68.95311736561057	130.42738078918345	100.61950184520596
YAF2	78.76644592097156	120.86728856815985	100.36626551086863
ZMYND11	78.48325373730363	115.45776445903613	106.05898180366025
DPEP1	0.0	0.0	300.0
BID	139.5957421675499	68.70285262736807	91.70140520508204
MATR3	123.68055382758747	136.3782394217251	39.941206750687385
NPC1L1	64.35853662315306	7.921308861813248	227.7201545150337
XYLT2	83.74870628386759	86.23012779560432	130.0211659205281
STMN4	99.86576996886272	93.99892776181436	106.1353022693229
NUDCD3	82.47547965482653	98.80150805826092	118.72301228691249
CHDH	127.38298447176999	90.57028281232694	82.04673271590303
IL20RA	43.52060696946117	110.27830047144818	146.20109255909063
CLCA1	0.0	0.0	300.0
GLT8D1	106.36650444051871	111.23578535763126	82.39771020185005
ATP2C1	92.037597325554	126.01032818929731	81.95207448514866
IGF1	21.11547205363803	31.22569120474161	247.6588367416204
SLC38A5	84.38157324378906	109.86051489286051	105.75791186335042
RALBP1	90.23438628014055	121.20102732683549	88.56458639302399
RUFY3	88.61619009199782	119.88291615129705	91.50089375670515
CNTN1	91.45301427537447	129.37152440189644	79.17546132272909
SLC11A1	47.99270976111712	91.18368216477812	160.8236080741047
WWTR1	77.4932699931015	140.48587712224275	82.02085288465577
AGPS	78.49605393904149	116.25827785451807	105.24566820644041
CXorf56	178.20669268099277	21.858790206169964	99.93451711283726
ATP1A2	49.358915153985365	116.62425713347379	134.01682771254087
TTC27	90.35393387063512	104.33571021430903	105.31035591505587
ZNF582	122.9480712055617	126.64111966064976	50.41080913378849
VSIG2	104.5320238186331	142.72312951098135	52.744846670385556
PHLDB1	95.82137184291004	83.34561594653617	120.83301221055378
MARCO	170.61634715665616	92.7167840730608	36.66686877028304
CYP24A1	139.1885845922457	26.331400938591738	134.48001446916257
PRDM11	81.27299642275385	103.829254863815	114.89774871343118
SYT13	109.79772050648032	115.58416917261391	74.61811032090581
SNAI2	57.71572436258662	147.07301476308393	95.21126087432944
CD74	68.28859065073334	133.39321397105593	98.31819537821076
HGF	88.87656847162212	118.64976642028554	92.47366510809232
ZRANB1	103.54164979775045	115.71572217403043	80.74262802821913
NCDN	97.160798306262	106.28859807434662	96.55060361939137
GPR124	70.59647057090785	97.7654925239673	131.63803690512484
ZFP64	93.62870682460873	113.13721446065176	93.23407871473952
MNAT1	97.58798668756292	122.04237473099546	80.36963858144162
SAMD4A	103.01968808206277	103.21628207194932	93.76402984598788
RUNX3	251.62277195492203	48.37722804507799	0.0
MRE11A	107.79129431689003	118.21720187678997	73.99150380631998
PLEKHB1	94.02905613231289	95.33030608616578	110.64063778152135
SERPINB1	41.14480916197693	125.17152142362009	133.68366941440294
CYP3A43	115.06177015627648	184.93822984372352	0.0
SLC7A9	53.34072628766561	60.468227061367266	186.19104665096714
SPAST	86.10484982516165	104.25874302530167	109.63640714953664
NRXN3	97.47479120585018	107.19079267871372	95.33441611543611
OSBPL5	110.37490386490745	81.26258642804012	108.36250970705241
AQR	60.36086940284573	115.34361578967025	124.29551480748404
CPS1	206.3964132348437	84.71127004235574	8.892316722800619
C8B	0.0	66.66126566992766	233.3387343300723
FHL1	95.86160555075276	100.16652911773876	103.97186533150848
RTFDC1	115.13894322096594	102.08921794970745	82.77183882932657
GABRA1	78.34459003324542	103.26641867188012	118.38899129487442
NLRP2	98.90692652727743	0.0	201.09307347272258
SLC45A4	88.93812017342117	108.1464060440425	102.9154737825363
RNF10	109.09476771533717	109.10838106305857	81.79685122160427
ZNF839	138.65926315024143	121.77624758700863	39.56448926274995
ZDHHC6	89.15620126528611	82.40017857223111	128.44362016248274
GRAMD1B	100.86510183178181	104.71351354338911	94.42138462482907
RNH1	108.16414592270078	89.99585730017526	101.83999677712391
NDUFS1	76.99196503957467	129.55247750919645	93.45555745122893
RB1CC1	83.44410237969065	117.50068350038163	99.05521411992768
ERP44	87.70856895898761	141.57353549263044	70.71789554838195
ALAS1	133.55470982070662	92.11638899627428	74.3289011830191
BIRC3	19.251587984923447	259.38483193911947	21.36358007595705
GLRX2	64.66134107470864	98.20544949966047	137.1332094256308
SNAPC1	74.27341832225814	111.46231580975017	114.26426586799164
DERA	142.7327021144139	105.03488275172622	52.232415133859945
STRAP	137.12296881106474	118.67661481210195	44.20041637683333
DEF6	77.2192526596914	105.1913803592681	117.5893669810405
PLEKHO1	113.00577077732432	75.61298721868057	111.38124200399506
GCLM	67.40782472323683	115.45378112741511	117.1383941493481
UBR2	94.54827649324625	114.42610241787283	91.02562108888095
EHD2	37.85771538353021	30.34746105141135	231.79482356505844
CCDC28A	101.86992691307242	122.91629064346104	75.21378244346654
RRAGD	93.89096417010904	132.65531334068038	73.45372248921065
HSF2	107.55295725553442	92.66455484550437	99.78248789896132
PHF20	103.36324278659572	98.75992565005458	97.87683156334967
HSD17B6	103.13745758814834	24.75992098555005	172.1026214263016
NR1H3	172.88721399856342	102.98181199393184	24.13097400750481
TYMP	186.60506208266042	93.0497643518952	20.34517356544437
NCAPH2	69.32042261539974	106.57860834546644	124.10096903913379
TOMM34	78.91658137946328	110.97211471789117	110.11130390264552
SEC63	86.26864892056139	115.13178168252429	98.59956939691428
KPNA6	62.43800031515093	115.27905467242563	122.28294501242341
VIM	74.31236136048017	57.941378729051884	167.74625991046796
RTEL1-TNFRSF6B	91.3989290201088	157.69165331323444	50.909417666656786
FAS	54.84324354164145	202.9705218691209	42.186234589237664
RNASET2	96.87955331716972	101.93209351889263	101.18835316393763
CD44	37.191308905701895	157.15834892691086	105.65034216738721
AGPAT4	81.68839592184757	78.48787174317894	139.82373233497353
SLAMF7	196.134512849993	0.0	103.86548715000697
MIPEP	57.4805261361484	63.46468024115948	179.05479362269213
PRKCH	88.00394014022217	134.0809611287176	77.91509873106021
INSRR	130.29193132696605	164.1753482304536	5.5327204425803185
IFNGR1	65.62603711027867	138.51711499438395	95.85684789533737
B4GALT7	78.25694499522042	100.84977103952649	120.89328396525312
SH2D2A	124.67530985477504	138.69644645334802	36.628243691876975
VRK2	59.06239070371405	166.03071906885484	74.90689022743105
TNFRSF1B	63.51917994490089	130.22798795995718	106.25283209514191
VEZT	108.79347295756492	124.61358317878657	66.59294386364854
POU2F2	92.61282893902096	104.61555053670666	102.77162052427231
BRD9	75.09674895045949	91.18694535065941	133.71630569888106
SNX1	63.61913156955777	119.61740449740927	116.76346393303301
TBPL1	133.73306524662416	131.85112691681064	34.4158078365652
ARNTL2	88.34140270247298	119.96422880634591	91.69436849118112
BCLAF1	79.89459699381007	127.03528996847928	93.07011303771063
SLC39A9	71.30280178663187	111.60249593596203	117.09470227740609
ANK1	78.76290784475141	87.30519444554571	133.93189770970292
IBSP	300.0	0.0	0.0
TFB1M	78.92430497745586	77.91388650606177	143.16180851648238
RABEP1	77.50976247563763	109.96883281453749	112.5214047098249
HMGB3	94.41626785631948	162.13748047235572	43.446251671324795
NUP160	86.50015434231615	130.90276466431945	82.59708099336444
MUSK	26.746951329489832	25.298023854639908	247.9550248158703
IKZF2	76.17420930583879	145.4223556329919	78.40343506116932
GRN	85.1396982200449	89.43286598586523	125.42743579408979
FAM13B	86.19664842469076	125.94965492171436	87.85369665359488
ARHGAP31	77.84331524603752	133.24462215567573	88.9120625982868
SARS	87.08827640511115	92.26793309328444	120.64379050160443
RANBP3	97.62717302305954	97.55481796062475	104.81800901631568
ARID4A	83.8394406257973	106.87302751694709	109.28753185725562
TSSC1	79.59924675164179	111.91585012424143	108.48490312411685
PNPLA6	80.80899176430518	121.31458657658013	97.87642165911474
IFT88	62.143485867983436	126.83679907837448	111.01971505364212
ALG1	103.1632686389925	98.34484673297077	98.49188462803671
ZCCHC8	102.83813135272688	98.82111788854692	98.34075075872626
ABCF2	111.09016646208285	90.29950410138645	98.61032943653066
CHPF2	87.51425400473113	91.94593386141804	120.53981213385083
LRRC7	113.14894972779541	125.35090495840326	61.50014531380129
FUT8	90.01455685743997	121.72193390217718	88.26350924038286
UBA6	120.32720103189061	103.35607543053894	76.31672353757048
GAB2	78.03882632582223	136.75290969502538	85.2082639791524
