	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
FMO3	50.614947650474306	144.0812071016255	105.30384524790021
MYLIP	107.64282144413009	86.63013605600725	105.72704249986262
NOX1	0.0	90.82793178718984	209.17206821281016
PSMB1	98.11540598799108	112.27975079364903	89.60484321835989
SYN1	32.80859638676911	24.380112669459535	242.8112909437714
JARID2	106.0095690024495	114.44302911579929	79.54740188175121
CDKL5	91.8459575427834	162.61986270580826	45.53417975140834
CAMK1G	133.6143949578093	115.58432179424298	50.80128324794775
CDK11A	70.74846557806079	138.46265864924715	90.78887577269208
NADK	103.00044842696543	82.50104239601608	114.49850917701852
TFAP2B	0.0	0.0	300.0
DLEC1	185.17976962007927	93.12107214012543	21.69915823979533
CYTH3	105.99623213326306	115.38953279595137	78.6142350707856
ADAM22	37.13607124079179	224.49359278095767	38.37033597825054
SYPL1	80.79946810191234	105.29825280106546	113.90227909702222
CYB561	91.75330597819472	73.3742960792517	134.8723979425536
SPAG9	56.45726293691942	172.32227559754514	71.2204614655354
CELSR3	93.55699569971291	146.99153909697236	59.45146520331475
AASS	102.0650597080858	109.43446691313964	88.50047337877457
SS18L2	63.40285929070366	43.82858466925604	192.76855604004035
MPND	110.64834967043934	93.5415616775263	95.81008865203432
MGST1	244.63410165752077	26.345168075216698	29.020730267262607
CRY1	72.98023368335421	121.39475071475036	105.62501560189543
NFIX	84.39715018257121	68.49440092354702	147.10844889388179
ST3GAL1	121.03526960025386	143.6320936531165	35.3326367466296
MMP25	247.68348788313114	21.942294821011075	30.374217295857804
PKD1	110.93597783714321	116.8504433285234	72.2135788343334
MAPK8IP2	67.03176296098789	87.0402510058037	145.9279860332084
MED24	77.4681017944174	170.13224053846218	52.39965766712042
RHOBTB2	121.04897707885655	115.27310450971493	63.677918411428514
HEATR5B	73.15866665957535	69.24607674963623	157.59525659078838
SEC62	94.23101442736784	107.41534870351357	98.35363686911857
RPS20	174.46382719642503	99.73980941965652	25.796363383918496
CSDE1	69.73732603323369	130.53280395400145	99.72987001276485
UBE3C	78.22472614910627	135.0331157937085	86.74215805718518
REV3L	69.17882821964625	153.38907234574256	77.43209943461122
TENM1	178.65679731067073	90.34852062047399	30.994682068855322
MASP2	98.76518495451721	120.38544616951128	80.84936887597148
FAM76A	79.41967000500374	121.85842323933731	98.72190675565896
TRAF3IP3	53.249097718229066	50.1353474013555	196.61555488041543
POMT2	40.88118327288946	217.92477470128563	41.19404202582497
VTA1	86.22839888934304	135.97862835498947	77.79297275566748
MLXIPL	112.4477409295739	103.60705933068908	83.94519973973703
BAZ1B	56.03596181722862	139.34073169832283	104.62330648444855
RANBP9	71.41718826302224	132.43893305839094	96.14387867858683
SPRTN	78.4445199190668	141.688575806127	79.86690427480622
METTL13	109.97227723050669	87.4101979911624	102.61752477833087
DYRK4	174.7342177515134	125.26578224848657	0.0
ZNF207	82.18628565586866	134.69825740121925	83.11545694291209
UQCRC1	104.43380426019873	106.97493321134257	88.59126252845869
STARD3NL	79.04204327543633	103.19791079906932	117.76004592549431
CD9	169.27329586432919	53.67315672206915	77.05354741360165
NCAPD2	60.64151677368662	198.12302103569567	41.23546219061764
IFFO1	75.32634027699541	104.35571629742996	120.31794342557458
PHF7	92.95578310193378	21.923667165596754	185.12054973246944
SEMA3G	100.98621265782872	125.01396141043486	73.99982593173645
NISCH	109.21268727149001	91.67273822448412	99.11457450402584
STAB1	71.53778908764627	94.23826026212629	134.22395065022747
FUZ	142.13569286687277	74.52325046345446	83.34105666967274
SLC6A13	45.14549910083357	66.27553265511712	188.57896824404926
IDS	71.94903282145235	151.65670418088538	76.39426299766227
CD4	54.20879462182921	53.16024747625799	192.6309579019128
LRRC23	73.04565366049984	225.049061870565	1.9052844689351909
BTK	109.66631668730655	108.65809423671485	81.67558907597859
HFE	90.54385492777696	24.872244974207668	184.58390009801533
SCMH1	123.03676776880145	112.83245370391428	64.13077852728432
FYN	117.02586996017081	92.52101968535345	90.45311035447577
HIVEP2	84.23273077594968	105.74723948049316	110.02002974355716
FMO1	128.1469523420766	102.60926754379365	69.24378011412972
TCEB3	45.30998591558392	137.33402690829135	117.35598717612477
LYPLA2	77.61573958632867	101.6143219879483	120.76993842572305
CLCN6	116.27765022325205	85.81830748252386	97.90404229422408
MRC2	133.48891345543205	69.79745612600844	96.71363041855952
NME2	158.7230028870495	48.16662261946686	93.11037449348366
SLC6A7	114.22510100082015	146.4738219760414	39.30107702313835
TSPAN9	124.84505077118662	68.43436193541046	106.72058729340297
BTBD7	64.44686600258832	132.13449598782262	103.41863800958906
APBA3	78.50016819462478	157.07616096149485	64.42367084388037
MKS1	75.0907777062248	139.4269901543003	85.48223213947492
ABHD5	58.6861478520259	148.40946952807187	92.90438261990224
AKAP8L	106.2206376999451	111.31255304811405	82.46680925194092
MBTD1	83.00083071478767	141.20863397204883	75.7905353131635
UTP18	101.48631623400641	24.51718945672283	173.99649430927076
RNF216	65.68894742884234	131.0962551141999	103.21479745695781
PTBP1	112.38313759713535	111.9172775440606	75.69958485880402
DPF1	147.26878745315045	69.71809115099839	83.01312139585112
SYT7	125.05646164124045	81.20765601692545	93.7358823418341
LARS2	50.119531181437495	164.54634899090152	85.33411982766098
PIK3C2A	107.71965579049909	127.99812170435729	64.28222250514362
PLAUR	231.46879758908418	49.8121060138738	18.719096397042005
ANLN	37.63014690594988	140.09955573031272	122.27029736373743
WIZ	106.6500740723971	107.15253537010021	86.19739055750267
RABGAP1	75.27440042835052	125.26718806866167	99.45841150298784
DCN	89.62718299408937	95.65556200427407	114.71725500163652
QPCTL	73.8363773283267	66.42260773938034	159.74101493229293
PPP5C	84.00529509575836	114.71007018871853	101.2846347155231
CEP68	96.77094048539212	154.20569235731364	49.0233671572942
MAP4K3	72.15122619565881	149.9234490637127	77.92532474062853
ZBTB32	0.0	52.59084442942557	247.4091555705744
TYROBP	169.306376754922	80.29716082577471	50.396462419303255
TMEM159	94.73273210107011	94.83548220589599	110.43178569303392
GABRA3	0.0	125.95767493867226	174.04232506132774
BRCA1	45.70495344678575	100.91316281037967	153.38188374283456
ERCC1	104.90522138823314	151.26504503449576	43.82973357727109
CD22	198.66856133763284	57.29832936282491	44.033109299542275
SEMA3B	120.13396490948602	63.71378017829979	116.15225491221418
MBTPS2	83.01436232297259	120.57136562531514	96.41427205171223
PRICKLE3	110.87218813201135	123.66544455827906	65.4623673097096
LTF	159.77188353575073	93.99253673037259	46.235579733876655
EXTL3	69.15563548095675	100.32203864344842	130.52232587559485
NR1H4	0.0	164.27385561582102	135.726144384179
ELOVL5	165.73503453959304	62.057912093226086	72.20705336718083
ALOX5	194.31863587961328	70.2248981173582	35.456466003028524
CALCOCO1	69.10997088177695	171.49584048868638	59.394188629536636
UBR7	79.99042006267717	106.3727149026357	113.63686503468706
MAP4K5	72.62111435121021	150.1906387328231	77.18824691596667
EHD3	65.96662604024847	151.8052532655005	82.228120694251
PSMC4	72.38863571142412	115.79766220898966	111.8137020795862
MAN2B2	134.51617359281468	65.45643755434861	100.02738885283671
SLC7A14	54.52062298460144	193.5478166695615	51.93156034583709
CLDN11	156.8069564105433	73.0035720430977	70.189471546359
SLC25A39	79.83360416042001	92.5105230416852	127.65587279789476
MVP	113.05540925845253	89.80184171650771	97.14274902503976
NUB1	84.34812839793891	128.15188767393678	87.49998392812437
PGM3	67.93921742212214	145.75574959491408	86.30503298296381
RWDD2A	165.28012119397593	92.43739937784301	42.282479428181055
CLK1	111.69137259720772	78.36915622885428	109.939471173938
POLR3B	75.17887503573587	67.06996829625787	157.75115666800627
ANGEL1	49.30848642878064	100.6066596892396	150.08485388197977
RNF14	54.82313114652403	153.28095327559927	91.89591557787666
DNASE1L1	86.55543028490095	116.08601308094195	97.35855663415713
HEBP1	143.34685337728973	85.9553360627569	70.69781055995334
GPRC5A	223.1409140346458	16.430088094835423	60.42899787051871
MAMLD1	111.3990020421044	93.15209905515476	95.44889890274084
CD6	87.83231868213227	87.8361724804517	124.33150883741607
TACC3	202.34640195574136	66.28006172945801	31.373536314800603
UFL1	80.1863449450515	133.0442818278064	86.7693732271421
POLA2	102.65982907706031	102.23719126745685	95.10297965548288
ZC3H3	119.23805433254917	110.21896315209597	70.54298251535486
CAPN1	96.17048076871355	109.57207227399135	94.25744695729507
ACPP	72.3186561263432	65.07257401625958	162.60876985739725
MDH1	101.02843917430151	108.73962330634896	90.23193751934956
SLC30A9	74.38644676092716	104.86605351783862	120.74749972123425
MTMR11	98.40238002262129	160.08971902156046	41.50790095581827
COX15	66.87021745701709	157.6288069507937	75.50097559218926
CCDC88C	95.28267035316776	98.79477635286028	105.92255329397192
YAF2	76.9576013587858	148.79053771704864	74.25186092416554
ZMYND11	66.02418514290322	112.78192528771851	121.19388956937823
DPEP1	19.428636855705918	46.05892413058645	234.51243901370762
BID	154.5774897309873	87.04663956277284	58.37587070623989
MATR3	108.8787723745785	149.37290987456095	41.748317750860544
NPC1L1	124.73253179821701	0.0	175.267468201783
XYLT2	108.34965593495227	99.60920839230748	92.04113567274021
STMN4	29.074958512306242	170.40054174830993	100.52449973938384
NUDCD3	52.31985525605942	94.14884041048852	153.53130433345208
CHDH	48.23324369461556	144.63238181842064	107.1343744869638
IL20RA	26.38589596209399	63.690811428317836	209.92329260958812
CLCA1	0.0	0.0	300.0
GLT8D1	75.65539956157525	92.02228098737683	132.3223194510479
ATP2C1	67.76889221339198	127.70817413769835	104.52293364890963
IGF1	68.39903105281438	91.84548872819673	139.7554802189889
SLC38A5	16.168995516147636	49.67904603540608	234.15195844844624
RALBP1	58.06538530759151	138.3162384407821	103.61837625162642
RUFY3	70.99500689241893	142.79617795009102	86.20881515749002
CNTN1	60.80649555796567	163.03900333015554	76.15450111187879
SLC11A1	114.84631065036493	36.65451176045879	148.49917758917633
WWTR1	105.42644722767511	147.07881053275497	47.494742239569945
AGPS	68.10680976595451	149.90921265208667	81.9839775819588
CXorf56	125.48863985506469	20.191563651979248	154.31979649295604
ATP1A2	96.77543665802403	96.39301829992503	106.83154504205088
TTC27	90.46921975534691	104.4583374050821	105.07244283957098
ZNF582	0.0	248.64652573721696	51.35347426278302
VSIG2	253.9868445884137	38.21316468991684	7.799990721669453
PHLDB1	96.31781303836938	85.0671463640237	118.61504059760696
MARCO	211.41692320526326	57.74806776556589	30.835009029170813
CYP24A1	0.0	300.0	0.0
PRDM11	88.5050807908891	133.81669201567655	77.6782271934344
SYT13	186.41805611536807	79.70926086391655	33.87268302071535
SNAI2	132.89467752148718	81.76475707074418	85.34056540776864
CD74	99.72346844764884	61.7155900766313	138.5609414757199
HGF	103.42696828021192	137.05907453570006	59.51395718408801
ZRANB1	73.0592019104437	188.64471536870104	38.29608272085529
NCDN	45.155367047534476	112.89141255366677	141.95322039879875
GPR124	124.27611626346568	64.64940486758307	111.07447886895123
ZFP64	94.56130708054971	84.40666786965421	121.03202504979609
MNAT1	81.29872510703126	128.2372382955701	90.46403659739859
SAMD4A	70.66013344866252	141.8885398713687	87.45132667996877
RUNX3	151.51596410311416	98.18232823703165	50.30170765985419
MRE11A	75.50328604071326	131.72030336147995	92.77641059780677
PLEKHB1	97.78893034450485	157.648277523814	44.562792131681164
SERPINB1	150.64912502566267	109.74546379463585	39.605411179701456
CYP3A43	300.0	0.0	0.0
SLC7A9	44.116488983829925	45.15125215213001	210.7322588640401
SPAST	48.866148068909794	141.87207527424857	109.26177665684165
NRXN3	148.90783908312648	80.78951611644828	70.30264480042521
OSBPL5	102.61053732203827	70.24519411028311	127.14426856767864
AQR	54.78646756969097	115.47455061077673	129.73898181953228
CPS1	159.20607214809218	140.79392785190782	0.0
C8B	117.68563480981848	182.3143651901815	0.0
FHL1	108.035578430085	122.00966986276246	69.95475170715254
RTFDC1	128.5424584714394	94.46339065566573	76.99415087289485
GABRA1	0.0	197.44599642370858	102.55400357629141
NLRP2	218.13459725778316	0.0	81.8654027422169
SLC45A4	83.97830045037222	108.09569981345659	107.92599973617116
RNF10	83.96912397077051	113.13917368028117	102.89170234894829
ZNF839	147.572140403231	76.39116706564415	76.03669253112484
ZDHHC6	90.02005845406316	80.0769464480713	129.90299509786556
GRAMD1B	70.87326484793505	141.97234293103716	87.15439222102779
RNH1	117.24053209173948	90.09873040987235	92.66073749838817
NDUFS1	87.43720458808515	129.30520469547736	83.25759071643749
RB1CC1	47.91512030353033	168.21651684177377	83.86836285469593
ERP44	91.84813951433718	130.8847996838837	77.26706080177912
ALAS1	128.939142740696	83.23436952704407	87.8264877322599
BIRC3	64.73636950865196	73.56562146788252	161.69800902346552
GLRX2	74.90051952890451	127.99650293726185	97.10297753383365
SNAPC1	101.64050042496872	124.86845322943809	73.49104634559318
DERA	69.19686557802355	141.13005968235183	89.67307473962462
STRAP	99.96164722367993	148.35859471685833	51.679758059461776
DEF6	156.0076246887039	61.855264049967886	82.13711126132823
PLEKHO1	117.85976475914235	126.78963192668368	55.35060331417395
GCLM	35.08176416931167	154.34080862553603	110.57742720515229
UBR2	66.5497152158119	121.52688290752573	111.92340187666234
EHD2	108.43899105544317	94.21051013154977	97.35049881300706
CCDC28A	95.1022489432684	92.6237836885548	112.27396736817683
RRAGD	67.67074406364047	126.24550533322308	106.08375060313647
HSF2	136.50778577104197	105.22621808574566	58.265996143212426
PHF20	95.15391019867252	131.90792124465935	72.93816855666809
HSD17B6	0.0	0.0	300.0
NR1H3	130.4980088395965	74.342550051844	95.15944110855952
TYMP	146.36351882710326	122.0784477180531	31.55803345484365
NCAPH2	136.1923411662315	94.5195822454308	69.28807658833767
TOMM34	63.20022592171461	199.3249618275273	37.47481225075807
SEC63	75.26090920160892	136.01251501456832	88.72657578382278
KPNA6	39.94379540183656	122.95733873079575	137.09886586736766
VIM	178.607092952377	63.06208125196944	58.33082579565355
RTEL1-TNFRSF6B	98.07479275829077	117.3767644503491	84.54844279136016
FAS	159.4616222365406	98.67702361425668	41.86135414920272
RNASET2	80.44117551334665	65.38209889182541	154.17672559482796
CD44	88.73316650847069	103.370610061265	107.8962234302643
AGPAT4	188.592241032269	34.89418818992733	76.51357077780368
SLAMF7	74.30887588183602	81.81365877665868	143.8774653415053
MIPEP	66.61109469841522	107.78620523061645	125.60270007096833
PRKCH	54.91793025985011	100.76067907032864	144.32139066982128
INSRR	97.70016821778515	70.61884548835738	131.68098629385753
IFNGR1	98.6244794633822	136.43983425906396	64.93568627755388
B4GALT7	86.92203649834707	85.12255213091775	127.95541137073518
SH2D2A	132.4807749933575	129.02791371645546	38.49131129018704
VRK2	84.3099498844436	163.2640636742543	52.42598644130211
TNFRSF1B	133.18702373511235	69.16881356110214	97.64416270378553
VEZT	85.00396717210926	128.41222646990144	86.58380635798927
POU2F2	133.67426247306534	126.3167964809723	40.008941045962395
BRD9	69.1215482475231	91.27377532017296	139.6046764323039
SNX1	121.16584178896441	101.43450565527512	77.39965255576045
TBPL1	117.91046554590716	132.49791038855182	49.59162406554106
ARNTL2	49.54753662008513	26.248552124630205	224.20391125528468
BCLAF1	71.58951969498415	134.20485482930428	94.2056254757115
SLC39A9	71.84215653808313	130.7711535644133	97.38668989750352
ANK1	99.67899437618615	114.38164520808374	85.93936041573012
IBSP	208.8762005540736	0.0	91.12379944592638
TFB1M	104.27570863609104	61.581848903180806	134.1424424607282
RABEP1	66.06863010045994	102.4884613398678	131.44290855967225
HMGB3	45.31769636091422	222.29812342188242	32.38418021720332
NUP160	90.83959687876325	132.481957531178	76.67844559005874
MUSK	23.702267203320297	176.735530036826	99.5622027598537
IKZF2	85.2415413535981	145.5696349970207	69.18882364938116
GRN	103.40640669001291	101.46241970816925	95.13117360181782
FAM13B	73.90713901815937	153.4015268621452	72.69133411969543
ARHGAP31	105.5901691310138	101.22010781648231	93.18972305250387
SARS	101.11782536971707	98.68531769281591	100.19685693746705
RANBP3	107.3102226470399	98.7018381471464	93.98793920581372
ARID4A	73.00865276580576	120.80465673115657	106.18669050303768
TSSC1	43.36429368509643	173.83359403727064	82.80211227763292
PNPLA6	142.48582450761603	109.19085887180442	48.32331662057955
IFT88	61.78534911123682	139.0006092236105	99.21404166515268
ALG1	115.76707072022892	115.89379629493597	68.3391329848351
ZCCHC8	119.9674244612546	111.73412990883271	68.29844562991273
ABCF2	77.51335217087427	119.20764712182601	103.27900070729972
CHPF2	88.98486287012966	131.06211261567756	79.95302451419278
LRRC7	127.4999268897545	35.103089684383534	137.39698342586192
FUT8	77.01519844327129	83.55528610405885	139.42951545266988
UBA6	75.47048222987993	129.5187877597602	95.01073001035992
GAB2	69.30165122430785	174.62573405831503	56.07261471737712
ATP6V0A1	70.83872631802829	178.26174879057342	50.89952489139833
PIAS1	95.55158444685664	114.64256733614802	89.80584821699532
SLC4A7	88.84867042210719	123.96519279904913	87.18613677884365
