	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
SLC38A5	79.88150109528448	120.99842227573569	99.1200766289798
RALBP1	98.93099900195767	118.59594821179478	82.47305278624756
RUFY3	105.2214900523171	126.83529490102833	67.94321504665464
CNTN1	88.89782341152537	121.99833922343856	89.10383736503607
SLC11A1	104.45431943255106	106.2881271856362	89.25755338181278
WWTR1	124.74138946511522	105.9049593100464	69.35365122483843
AGPS	105.16791690867875	106.18299185983008	88.64909123149114
CXorf56	176.97117692415333	28.523891122229305	94.50493195361742
ATP1A2	83.16936461534044	118.34345921743117	98.48717616722837
TTC27	97.48493220107508	92.60133639817492	109.91373140074995
ZNF582	96.87155068263161	162.48390554896963	40.64454376839873
VSIG2	127.84529968347766	155.5527588014782	16.601941515044135
PHLDB1	106.40440152975795	90.32826287278397	103.26733559745809
MARCO	212.47243515352855	80.64601542892233	6.8815494175491
CYP24A1	239.6919170904693	32.62307436229598	27.685008547234652
PRDM11	111.94548079932206	99.33935657566388	88.7151626250141
SYT13	92.97961417298049	109.93823382953201	97.08215199748747
SNAI2	127.51619025434042	31.00584894869739	141.47796079696218
CD74	89.04156855627306	142.61721275472502	68.34121868900193
HGF	98.07457096899682	126.54436460372848	75.38106442727471
ZRANB1	120.60452777281414	117.06772071861553	62.32775150857033
NCDN	93.79345208406752	96.31100903811391	109.89553887781858
GPR124	99.33284267459544	95.85615466997905	104.81100265542551
ZFP64	116.27018659686357	96.09383064719692	87.63598275593957
MNAT1	109.29677609324209	119.41662563775652	71.28659826900142
SAMD4A	90.01670256120275	119.29091990464013	90.6923775341571
RUNX3	121.54929747623018	107.7799696588432	70.6707328649266
MRE11A	103.38947619233947	122.42805056692585	74.18247324073468
PLEKHB1	111.86482887337681	102.17420885303738	85.96096227358579
SERPINB1	61.75918852461194	111.4931157767264	126.74769569866169
CYP3A43	161.96564797182882	107.16503057847416	30.86932144969701
SLC7A9	27.518990202545467	38.06552663290311	234.41548316455143
SPAST	97.01212576159251	99.43813411691954	103.54974012148791
NRXN3	102.9189010807689	107.60557858634705	89.47552033288405
OSBPL5	122.88825893578527	69.40257971936053	107.70916134485418
AQR	64.65231381645205	115.82456811583288	119.52311806771505
CPS1	205.9437655009843	69.74810787227543	24.308126626740258
C8B	0.0	0.0	300.0
FHL1	116.41661137523917	96.82058976867431	86.76279885608653
RTFDC1	115.71383689155816	110.83059342714769	73.45556968129411
GABRA1	109.08099587069535	108.94721245146879	81.97179167783584
NLRP2	296.42130374849285	0.0	3.578696251507215
SLC45A4	113.04299501016885	86.2349445251707	100.72206046466043
RNF10	109.09046059574676	107.12328683517353	83.78625256907969
ZNF839	142.11562896219647	112.00824204387567	45.87612899392785
ZDHHC6	108.49603391137994	90.74488162363889	100.75908446498114
GRAMD1B	87.2255812636021	98.75913909005216	114.01527964634577
RNH1	97.70367112772486	105.17578534947178	97.12054352280339
NDUFS1	96.60991046780148	123.57312374991709	79.81696578228147
RB1CC1	110.57682152516331	108.52361997499271	80.89955849984398
ERP44	105.30854742645657	125.78144472913351	68.91000784440989
ALAS1	109.80206959118739	107.46890791766161	82.729022491151
BIRC3	28.30654383898353	230.12796417220991	41.565491988806606
GLRX2	91.11211491488159	92.2639259235872	116.62395916153123
SNAPC1	77.26444311544489	109.01208929789703	113.72346758665807
DERA	138.04522289179607	119.99212373855177	41.96265336965213
STRAP	141.57633240999755	121.47479181943528	36.94887577056719
DEF6	92.97182902801508	109.08071559569954	97.9474553762854
PLEKHO1	96.61834257742777	93.52261070914004	109.8590467134322
GCLM	94.3404818588366	134.73487552656348	70.92464261459989
UBR2	96.24731268756136	108.80892759778322	94.94375971465541
EHD2	104.96725020283222	92.7784588526684	102.25429094449933
CCDC28A	100.7346631574437	124.12606151906138	75.13927532349496
RRAGD	85.81083531503961	119.67987623674688	94.50928844821355
HSF2	111.70080386827108	105.35104390326968	82.94815222845921
PHF20	100.88314806408695	111.53521748130677	87.58163445460634
HSD17B6	74.38101351954259	16.346350685423943	209.27263579503347
NR1H3	171.86800968702428	92.39839297423073	35.733597338745035
TYMP	99.30483876141216	145.4566923106148	55.23846892797303
NCAPH2	80.00829232725442	101.17281053807123	118.81889713467434
TOMM34	102.10043055964427	118.59667845506279	79.302890985293
SEC63	105.19950089525412	114.33913695931668	80.46136214542922
KPNA6	75.42927510952129	114.51221945113296	110.05850543934577
VIM	144.76313668272036	72.5067454299774	82.73011788730227
RTEL1-TNFRSF6B	89.3864194721586	121.71154221321363	88.90203831462772
FAS	155.7447932850696	117.09362628859681	27.161580426333565
RNASET2	79.38924056091209	90.37645414247343	130.2343052966145
CD44	98.21204385030536	125.33201739161075	76.45593875808386
AGPAT4	122.94176759003392	81.35986000246179	95.6983724075043
SLAMF7	187.7498619996656	112.25013800033447	0.0
MIPEP	71.46390759705008	66.91426283920462	161.6218295637453
PRKCH	115.58912278484219	131.75036455000367	52.66051266515414
INSRR	213.07527813397567	54.14349353332123	32.78122833270303
IFNGR1	90.4947338567326	144.13488849394412	65.3703776493233
B4GALT7	84.62950188830726	108.57655464569451	106.79394346599818
SH2D2A	226.89476695887785	73.1052330411222	0.0
VRK2	103.79121152302957	120.67491438720823	75.53387408976221
TNFRSF1B	92.07552689514144	109.4260184349999	98.49845466985863
VEZT	119.67326070884603	110.15056228008488	70.176177011069
POU2F2	69.14626578508607	130.58205752537702	100.27167668953692
BRD9	93.75272340608237	99.86491449075847	106.38236210315924
SNX1	79.9215515529279	116.23088439739062	103.84756404968147
TBPL1	120.07818701657251	139.5474444551318	40.37436852829571
ARNTL2	94.15427608546348	108.28704134043394	97.55868257410256
BCLAF1	93.67234751649336	118.89494646465073	87.43270601885591
SLC39A9	99.60441328769681	120.06677557037469	80.32881114192851
ANK1	75.24966753898079	92.17670197881712	132.5736304822021
IBSP	50.65142745655865	195.5509722014152	53.79760034202617
TFB1M	77.14144219618588	87.97769808221665	134.88085972159752
RABEP1	95.38405378279931	115.00180435901942	89.61414185818126
HMGB3	128.6345431690579	121.35557026600002	50.009886564942086
NUP160	92.4027803787874	135.80678056619354	71.79043905501905
MUSK	34.78903025180012	15.456460977460774	249.75450877073916
IKZF2	76.68805977685918	145.19657452563712	78.11536569750372
GRN	88.74273597221826	101.86142276131864	109.39584126646311
FAM13B	102.31620328001372	119.97206518401822	77.7117315359681
ARHGAP31	103.05164318512045	126.19641197951982	70.75194483535978
SARS	99.40751575892148	99.26428701486952	101.328197226209
RANBP3	102.86759773089548	94.76684341207958	102.36555885702488
ARID4A	95.26178368862857	98.69932921311832	106.03888709825308
