	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
SLC6A7	51.51666298882741	25.28608901216144	223.19724799901115
TSPAN9	113.78979227223265	76.49690351178742	109.71330421597992
BTBD7	71.65041783159691	110.38538536993698	117.96419679846608
APBA3	64.7032303811652	110.77328554438506	124.52348407444968
MKS1	80.4142444158172	113.52597520925775	106.05978037492505
ABHD5	73.30532316394202	161.9370621101487	64.75761472590929
AKAP8L	118.06755187690952	90.29793141026056	91.63451671282992
MBTD1	91.19549627512093	90.47353891735442	118.33096480752462
UTP18	138.86176683458768	42.829695438258966	118.30853772715335
RNF216	78.70764973429559	123.05838535260949	98.23396491309492
PTBP1	98.99975318433152	118.26693290006074	82.73331391560775
DPF1	0.0	266.18035454184934	33.819645458150646
SYT7	234.38285584364203	32.190671721642616	33.42647243471536
LARS2	94.21579292993728	115.45988077141702	90.32432629864572
PIK3C2A	100.44816652360365	115.63384900451857	83.91798447187779
PLAUR	125.09982311908574	160.52713801336319	14.373038867551035
ANLN	211.31782293116171	71.12405249139972	17.558124577438605
WIZ	117.032233293121	85.46383263572865	97.50393407115034
RABGAP1	91.78279372271396	106.30876316991498	101.90844310737104
DCN	69.81004827722526	170.19099172558558	59.998959997189175
QPCTL	118.07767743246073	99.06893651032972	82.85338605720953
PPP5C	105.14224465314051	85.61623889457809	109.24151645228142
CEP68	106.1657366604363	112.40528261729675	81.42898072226693
MAP4K3	53.861129996551924	108.45068172653407	137.68818827691405
ZBTB32	63.22120641765008	129.2937020307864	107.4850915515635
TYROBP	139.92689864173894	125.59637615274657	34.47672520551444
TMEM159	149.6457326910583	107.7961293481507	42.558137960790994
GABRA3	300.0	0.0	0.0
BRCA1	127.01376754944178	58.43273616239987	114.5534962881583
ERCC1	110.672468846776	126.49623834814847	62.83129280507551
CD22	286.76891480648175	9.892804167242533	3.3382810262757063
SEMA3B	74.92504530850174	66.74884914540647	158.32610554609184
MBTPS2	108.57904877307341	92.61310423500726	98.80784699191936
PRICKLE3	127.26920176224283	94.68869969272014	78.04209854503704
LTF	3.5722732451620463	295.5783073325444	0.8494194222936806
EXTL3	73.61237960130909	100.88157834146764	125.50604205722324
NR1H4	114.11709141476992	114.5330077407658	71.34990084446424
ELOVL5	128.16257482610806	113.58038970854881	58.257035465343144
ALOX5	196.0903238007505	81.80894049788094	22.100735701368553
CALCOCO1	123.57886212085549	106.02709277461837	70.39404510452616
UBR7	91.28762832845676	100.338662238191	108.37370943335225
MAP4K5	98.68120880891273	124.89119219412372	76.42759899696358
EHD3	84.8124576027561	108.71347723541184	106.47406516183209
PSMC4	93.35061466041122	108.60473943176775	98.04464590782102
MAN2B2	118.15808148460698	92.33193497791922	89.50998353747383
SLC7A14	124.969605197768	160.4179560471081	14.612438755123891
CLDN11	46.55798806669481	222.84874314015929	30.59326879314585
SLC25A39	115.22653244532731	123.3271434391438	61.446324115528896
MVP	92.95625151045587	125.05814082424689	81.98560766529721
NUB1	93.5557378724184	116.40196872466531	90.04229340291626
PGM3	63.15886855526767	139.6620539040959	97.17907754063641
RWDD2A	175.87971009739942	76.7939969116219	47.32629299097869
CLK1	102.24713619884909	95.98255720333768	101.77030659781316
POLR3B	92.78900255872642	74.69946284302321	132.5115345982504
ANGEL1	90.20024509886372	91.62262371247404	118.1771311886622
RNF14	90.33717359217114	134.33506474674607	75.32776166108276
DNASE1L1	153.03976141455894	77.94797401836333	69.01226456707775
HEBP1	114.3230464983469	84.36580145634606	101.31115204530703
GPRC5A	163.55479279123608	36.82208456100363	99.62312264776033
MAMLD1	80.18783291592963	153.78987255755524	66.02229452651514
CD6	64.25685480294368	88.54745856952995	147.19568662752638
TACC3	223.78829535808737	63.25929191808741	12.952412723825205
UFL1	103.60477962370749	107.7980055239134	88.59721485237912
POLA2	171.63543962224406	100.99545528052127	27.36910509723468
ZC3H3	118.96000585583771	79.7468445976391	101.29314954652322
CAPN1	101.3463444727677	106.874606868103	91.77904865912929
ACPP	87.99118316998249	123.15421367693085	88.85460315308663
MDH1	60.83568382346952	97.86370362898552	141.30061254754494
SLC30A9	88.8716488294768	130.6001673663185	80.52818380420472
MTMR11	108.8540018072528	180.00864430239525	11.13735389035201
COX15	69.83963784012137	114.68458252307656	115.47577963680205
CCDC88C	63.15988213163821	83.41885430469713	153.42126356366467
YAF2	121.67117216655899	106.32684597811952	72.00198185532149
ZMYND11	81.13850311562571	95.81649057295203	123.04500631142228
DPEP1	54.801452622072766	48.94341910992714	196.25512826800008
BID	77.17177905580343	98.23808639763766	124.59013454655891
MATR3	124.26346426504351	130.99709507458132	44.73944066037512
NPC1L1	214.14841505309087	5.435220194102364	80.41636475280679
XYLT2	117.44234891294774	91.44458723964787	91.1130638474044
STMN4	286.8528901020461	13.147109897953873	0.0
NUDCD3	93.72444781224554	93.07831143245912	113.19724075529534
CHDH	34.68117452355741	60.67863137136559	204.640194105077
IL20RA	6.893047689252595	30.78595142166033	262.3210008890871
CLCA1	295.23406324894717	4.7659367510527835	0.0
GLT8D1	111.56185562919163	89.97795150601215	98.46019286479624
ATP2C1	86.92180124776527	134.44659363274852	78.63160511948625
IGF1	41.893388282826585	97.9577826127842	160.1488291043892
SLC38A5	151.41105238792943	99.14687281980876	49.44207479226183
RALBP1	92.43313257990872	114.68590371778456	92.88096370230676
RUFY3	85.02209081365844	92.11642279420396	122.8614863921376
CNTN1	86.28674464218447	181.58500479650647	32.128250561309095
SLC11A1	56.132967298087486	91.77593749171042	152.09109521020204
WWTR1	88.63023475837507	115.85171957764008	95.51804566398488
AGPS	79.37269514978648	128.60626383713446	92.02104101307904
CXorf56	141.00677433762985	32.23612471893973	126.75710094343043
ATP1A2	141.98490002354058	73.35174074016818	84.66335923629124
TTC27	103.1777774580658	108.0488562569504	88.77336628498382
ZNF582	198.39854177556987	73.65156073348858	27.94989749094151
VSIG2	291.1419976686868	7.3101585738659605	1.5478437574473085
PHLDB1	75.68324065477393	84.69504426407491	139.62171508115108
MARCO	56.79258686739331	225.36668063580092	17.840732496805774
CYP24A1	13.79421279494293	160.1863643620645	126.01942284299258
PRDM11	122.12581966923028	100.8267518112986	77.04742851947105
SYT13	256.3245685983864	39.15087623977242	4.5245551618412465
SNAI2	94.36607223485687	140.59664005595417	65.0372877091889
CD74	95.46947484603234	161.79720269745877	42.73332245650885
HGF	71.41450119442483	168.05875650485146	60.52674230072369
ZRANB1	96.38294073278144	99.09553051871865	104.52152874849996
NCDN	99.31958804317415	99.05674376044308	101.62366819638278
GPR124	114.7393651667018	100.22596355094939	85.03467128234881
ZFP64	110.678804206371	95.22883619879404	94.09235959483495
MNAT1	99.80041886119521	119.11017558135045	81.08940555745434
SAMD4A	83.74880969021778	186.35726044933656	29.893929860445674
RUNX3	201.3376541921118	52.62180744145321	46.040538366434966
MRE11A	142.56113183629196	99.98506513371363	57.453803029994354
PLEKHB1	94.05314711963926	62.76042767126403	143.18642520909677
SERPINB1	121.79807050683303	141.76212482575482	36.43980466741211
CYP3A43	101.70832007528617	52.65260723477942	145.63907268993438
SLC7A9	46.79888254780056	87.00311458619412	166.1980028660053
SPAST	80.02885628276876	105.75148269843413	114.2196610187971
NRXN3	246.56195273514268	27.161106733663804	26.276940531193482
OSBPL5	115.11154822264528	55.96312127408741	128.92533050326728
AQR	89.91586881038133	102.93955487801414	107.14457631160452
CPS1	178.047176765076	119.05272423776448	2.900098997159525
C8B	0.0	252.64374015796852	47.35625984203153
FHL1	117.44645048888125	89.59913269674664	92.95441681437208
RTFDC1	113.01168231225111	113.03281278226214	73.95550490548675
GABRA1	56.66668540870315	111.3660843515931	131.96723023970375
NLRP2	297.2864897273824	2.713510272617639	0.0
SLC45A4	139.67967599293692	111.90013856821757	48.4201854388455
RNF10	88.65810996429886	122.80300332472476	88.5388867109764
ZNF839	152.37144621721006	92.45977020494414	55.16878357784578
ZDHHC6	93.81475008012032	123.71506162632	82.47018829355963
GRAMD1B	53.01029179139911	65.34974935805266	181.63995885054825
RNH1	101.25687910434232	97.57466215561253	101.16845874004517
NDUFS1	69.50241241933362	127.70419364479575	102.7933939358706
RB1CC1	84.06793254268253	102.56377361067767	113.36829384663977
ERP44	88.82638411085462	134.3485139867761	76.82510190236924
ALAS1	98.02086539084202	113.1734459469363	88.8056886622217
BIRC3	74.16881576566658	183.8485139807217	41.98267025361177
GLRX2	57.23429656432807	126.6984376197136	116.0672658159583
SNAPC1	97.27088340302572	102.4435630635011	100.28555353347322
DERA	107.3215884981196	130.76382876064957	61.91458274123083
STRAP	119.19830464499242	141.02227583860292	39.77941951640466
DEF6	113.90826478098329	112.64298705655311	73.44874816246362
PLEKHO1	132.59578341637862	91.05831885732908	76.34589772629229
GCLM	51.27957138600894	117.46781451587648	131.25261409811455
UBR2	98.02094649963865	94.96822065398163	107.01083284637969
EHD2	142.82918793797498	101.42236344000763	55.748448622017364
CCDC28A	86.22324398347558	107.34210906185918	106.43464695466524
RRAGD	118.5974551407412	112.12415493055244	69.2783899287064
HSF2	121.27895695333501	85.45402935653593	93.26701369012908
PHF20	104.86475150623029	100.74341422885884	94.39183426491084
HSD17B6	17.67432756880143	8.065025210320345	274.2606472208782
NR1H3	145.65640054712523	101.27272296670198	53.07087648617285
TYMP	69.91243277094924	188.7641970354566	41.32337019359418
NCAPH2	94.9260656772553	80.223570882163	124.85036344058172
TOMM34	100.53948602636062	173.61054602150622	25.849967952133145
SEC63	88.73290311726187	134.51556073171403	76.7515361510241
KPNA6	57.09719350851879	97.3541213230522	145.54868516842905
VIM	172.7215961592377	77.49596187992529	49.78244196083701
RTEL1-TNFRSF6B	95.49501191765648	130.55496632601165	73.9500217563319
FAS	110.3264639057979	164.81303825323675	24.86049784096536
RNASET2	135.02139760345665	87.44934259948832	77.52925979705505
CD44	55.2762562137298	187.7391846424394	56.98455914383079
AGPAT4	149.60792422521965	122.87657789486039	27.51549787991997
SLAMF7	98.66762949858496	176.28564017014398	25.04673033127107
MIPEP	50.6284247011716	87.88582572522189	161.48574957360648
PRKCH	87.60496497541754	97.1555605279896	115.23947449659285
INSRR	32.378455729705635	36.797812274167505	230.82373199612687
IFNGR1	90.82100564555886	139.6717271235709	69.50726723087026
B4GALT7	103.1479893838158	107.8738737791428	88.97813683704136
SH2D2A	179.6212323418298	83.13923356100923	37.23953409716098
VRK2	104.82507260771838	148.83289125968201	46.34203613259954
TNFRSF1B	78.87697543302552	157.77342986258284	63.34959470439168
VEZT	121.58624915790328	130.33029580406654	48.08345503803022
POU2F2	84.63914248228043	151.51376065719649	63.84709686052307
BRD9	82.22826293377753	66.51662444894225	151.25511261728022
SNX1	66.1022211510424	102.52702526354041	131.37075358541716
TBPL1	115.40848865390076	116.34194780993667	68.24956353616255
ARNTL2	94.93918048551559	81.99976717905075	123.06105233543363
BCLAF1	90.48136174632	111.40811688822234	98.11052136545764
SLC39A9	60.52549297585939	95.22540595654218	144.24910106759845
ANK1	164.63765114637738	30.747590401945025	104.61475845167757
IBSP	178.81422566304775	58.52627881387671	62.65949552307551
TFB1M	78.61731703727659	82.18675666980315	139.1959262929203
RABEP1	67.47331281886797	115.81704194302134	116.70964523811067
HMGB3	120.03001864469888	127.73395908620242	52.236022269098704
NUP160	99.39332325704142	124.24037954032919	76.36629720262945
MUSK	0.0	295.34237656120354	4.657623438796454
IKZF2	115.65679125126861	82.72385867892002	101.61935006981138
GRN	138.2657998502525	70.78158906322734	90.95261108652012
FAM13B	87.02741898408952	100.26786856733274	112.70471244857774
ARHGAP31	117.4511420436398	121.12528220093527	61.42357575542494
SARS	102.84854533859409	116.75533640223652	80.39611825916937
RANBP3	103.34047044385638	91.5777108061386	105.08181875000504
ARID4A	112.37283072159912	96.38619945140005	91.24096982700088
TSSC1	57.789613692708144	144.28421454587493	97.92617176141692
PNPLA6	82.71771865580712	109.75262115371869	107.5296601904742
IFT88	64.55221277762274	116.41974476494434	119.02804245743293
ALG1	109.14356006587067	117.99501856544946	72.86142136867987
ZCCHC8	118.7705801614212	101.36059354709472	79.86882629148408
ABCF2	126.82350375855465	102.25334733391931	70.923148907526
CHPF2	119.95626556469428	106.5687017940991	73.47503264120662
LRRC7	119.4773110513617	40.82255505218582	139.70013389645248
FUT8	94.56731898708172	146.48103859044153	58.95164242247678
UBA6	109.51338248760871	120.76029041135885	69.72632710103247
GAB2	108.1555667593135	113.29073041477929	78.55370282590722
ATP6V0A1	62.13573477152108	100.59386661806715	137.27039861041172
PIAS1	96.6817878556808	110.16272435468903	93.15548778963014
SLC4A7	92.71463020352668	180.79689331991125	26.488476476562067
APBA2	125.57986837950381	159.26991223753677	15.15021938295944
MAP2K3	70.15653759682282	143.25283139592756	86.59063100724961
