cM1	cM2	cM3	cM4	cM5	cM6
6.022130000000001	0.8747860000000001	1.93193	3.81348	2.6532	1.4523700000000002
17.1328	5.52602	21.4523	33.6253	23.0454	27.7151
0.0	0.0	0.0	0.0	0.0	0.0
39.6713	43.4971	41.1074	97.941	31.4958	180.542
7.96465	2.3602	2.17183	10.2889	1.19307	4.353940000000001
25.074	25.9857	14.5713	27.7301	9.85176	6.17936
8.44321	4.88197	1.6846299999999998	1.18234	5.24411	0.562872
94.4777	83.0061	69.9085	108.805	76.3326	81.3203
41.7199	43.7331	23.217	58.6607	24.2326	41.8895
21.7304	5.366219999999999	0.0	7.79771	8.13781	0.0
100.885	70.8513	75.7979	53.291000000000004	111.522	91.3852
32.6313	22.4807	19.1279	26.1037	23.4283	21.0195
148.903	188.84799999999998	170.43400000000003	306.959	134.014	259.606
7.424810000000001	2.6669400000000003	3.221	3.39094	5.56102	3.2286200000000003
533.2090000000001	314.64799999999997	472.07	741.738	599.043	390.38
9.11973	13.5124	12.7997	21.5601	14.4645	10.264000000000001
127.395	144.506	66.8048	135.635	78.6394	137.274
350.77099999999996	356.76800000000003	257.686	619.5790000000001	263.91900000000004	490.324
120.741	134.671	123.46600000000001	283.067	140.924	305.957
3.0459	2.25651	0.6921390000000001	0.36432800000000004	0.0	0.346889
34.7952	73.4574	45.58	187.043	50.0776	103.49700000000001
225.55700000000002	202.68200000000002	274.617	269.615	263.29400000000004	234.028
253.362	209.73	291.92	343.176	285.98	338.941
27.6007	74.9745	40.4537	33.6743	23.7732	24.5183
89.9951	55.3713	19.2371	8.21027	79.9713	2.60575
20.9836	14.3496	13.2044	25.4852	31.4325	22.0593
2.71969	5.37291	0.0	6.50619	1.35799	6.19475
0.0	0.0	0.0	0.0	0.0	0.0
49.9945	37.64	35.7443	42.0058	68.4966	46.2443
3.50949	4.78722	9.11412	24.2273	1.00135	0.9135690000000001
0.0	0.0	0.0	0.0	0.0	0.0
4.04427	3.99485	0.0	5.8049599999999995	0.0	0.0
20.0869	21.5148	23.7573	40.6425	33.352	34.3973
6.48044	2.13375	0.0	0.0	0.0	0.0
15.5145	23.9452	31.7292	24.7044	25.0557	18.5525
259.76099999999997	193.872	265.623	259.247	178.487	229.8
2.50161	0.0	0.0	0.0	0.0	0.0
11.0999	10.9643	17.6562	25.2261	12.4704	10.1131
2183.91	719.074	0.0	1044.89	3271.4	3979.51
54.3062	43.4406	64.503	64.5586	53.4004	31.8725
1.58743	0.653347	0.541084	0.569631	0.198159	0.0
390.251	1418.38	231.93099999999998	43.0884	146.145	17.0941
0.969333	0.0	0.0	0.0	0.0	0.0
5.10941	6.48897	4.64418	5.9369	2.5512200000000003	3.3251199999999996
86.4638	95.05	102.675	94.0805	52.2254	55.2709
11.1995	11.0627	5.72612	12.0565	9.43673	3.82645
41.9109	32.1698	42.9477	68.2035	51.5842	94.1247
1.64885	1.62871	1.12404	0.0	0.0	3.3801
17.2055	14.065	23.4583	6.81267	8.887260000000001	11.3515
0.0	0.0	0.0	0.0	0.0	0.0
429.332	116.833	169.72799999999998	227.457	236.398	199.6
0.0	3.86599	0.0	0.0	0.0	0.0
25.6046	17.6346	22.4192	39.1119	20.7607	36.5976
0.694959	0.343233	0.0	0.0	0.0	0.0
17.8174	27.6567	39.9093	14.6139	15.2513	38.2645
6.130269999999999	6.05536	5.22383	12.0988	6.887160000000001	9.42515
14.8565	19.5666	13.5038	7.1081199999999995	7.418139999999999	6.767869999999999
81.85300000000001	301.621	125.055	153.31799999999998	120.87299999999999	144.392
