cV1	cV2	cV3	cV4	cV5	cV6
13.3203	10.9886	8.77206	11.8976	7.20958	13.1961
1.51667	1.0486	0.878943	0.28383600000000003	1.8059599999999998	0.0
182.28900000000002	179.90099999999998	154.227	189.33	191.919	187.66099999999997
642.117	592.874	543.888	490.532	529.0740000000001	432.214
520.138	456.436	401.909	254.584	394.751	141.704
48.1025	57.6561	55.8636	45.0106	49.9232	43.2928
86.3339	133.615	171.65400000000002	126.62	153.694	171.71200000000002
157.955	231.676	200.512	192.56400000000002	181.942	164.753
2.98271	2.57776	6.24198	11.164000000000001	1.26844	0.0
182.327	218.178	213.049	165.835	155.075	121.57600000000001
25.285999999999998	24.9261	30.1471	29.2061	24.8669	31.215
41.7573	36.088	63.2367	50.168	35.9543	35.1117
294.908	460.80300000000005	345.22900000000004	365.36	265.878	183.183
245.28400000000002	255.532	241.207	240.612	221.858	217.02700000000002
13.4597	12.6016	11.5558	3.8483099999999997	8.58589	14.2601
1.00495	3.47405	1.9413099999999999	0.0	0.8547440000000001	0.0
247.792	265.047	245.775	227.706	273.131	227.043
499.349	342.971	261.46	331.994	511.889	497.62199999999996
97.5729	124.73200000000001	128.602	36.14	30.2563	6.92249
43.8126	43.2041	37.977	26.2797	27.2314	45.9082
261.533	164.382	163.046	151.283	121.33200000000001	123.07
1.33535	2.3081	2.57955	1.24952	3.4072699999999996	0.0
0.0	0.0	0.9280360000000001	0.0	0.0	0.0
10.7767	8.1494	13.4449	32.3529	16.0404	23.2431
62.5254	64.248	57.776	41.9219	57.5765	93.5537
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	5.753819999999999	16.7227	0.0	0.0
22.8146	39.7423	39.5958	35.3578	31.2291	22.337
184.548	230.988	322.692	238.18599999999998	330.165	234.05
272.803	230.827	238.315	267.964	228.68599999999998	206.232
343.76300000000003	464.274	483.816	523.058	455.824	390.32
3.6848300000000003	22.2918	7.118130000000001	17.2399	28.2066	35.1358
17.7125	23.5503	25.0039	35.6977	20.8592	29.6955
12867.4	11120.4	12428.3	16053.8	19152.2	16067.1
124.15899999999999	93.7307	96.2218	90.4632	121.88	145.73
53.1953	55.2351	50.626999999999995	63.6331	75.2414	58.9248
25.7938	3.18455	3.5590699999999997	62.0635	6.26812	0.0
9.99467	12.3396	13.7908	1.3360299999999998	17.0016	15.5595
28.6707	31.9019	50.1921	33.1994	44.8081	41.4956
139.685	99.4165	113.09200000000001	144.161	136.278	109.12899999999999
3.09313	0.8910610000000001	0.0	1.9295400000000003	2.6308	0.0
11.7963	17.3311	15.1916	15.8212	16.7219	11.7837
20.6442	32.5343	31.6688	12.4994	19.6243	19.8502
76.03	85.3443	97.0694	98.9459	108.52	91.6623
0.665602	0.575235	2.57154	0.622818	0.0	0.0
21.6575	42.0095	16.7346	27.0205	30.2912	27.5346
0.0	4.98228	0.0	0.0	0.0	0.0
29.0649	24.5207	27.0703	27.1966	25.0148	20.7384
7.16563	5.750430000000001	3.9549	6.2261	1.30598	0.697205
63.7373	42.1229	45.2661	52.6238	58.9938	91.9287
5.64361	5.85286	5.45099	10.5617	7.6801	6.1500900000000005
0.0	0.0	0.0	0.0	0.0	0.0
96.6254	99.7647	66.8985	110.41799999999999	81.4556	79.2057
36.0288	37.8095	36.4562	28.8968	29.1844	24.5388
25.1365	20.6641	17.1726	22.3734	27.1153	17.5378
194.96099999999998	131.267	100.72200000000001	152.731	133.042	95.7294
114.76899999999999	99.5454	140.466	115.921	124.75	138.84
161.88299999999998	132.01	135.77200000000002	145.304	193.797	181.112
27.2526	37.5935	35.9403	39.2321	36.106	31.4117
1.56996	0.0	0.0	0.0	0.0	0.0
0.0	926.704	2071.38	0.0	912.012	1460.65
0.37512199999999996	0.0	0.0	0.0	0.0	0.0
160.54	200.699	127.75399999999999	117.15299999999999	109.92200000000001	67.3932
15.4241	12.2636	15.4936	10.3915	13.6434	10.085
1.17062	1.01169	0.0	0.0	0.0	0.0
0.0	0.0	1.7764799999999998	5.16309	0.0	2.5054
178.71400000000003	151.91899999999998	125.075	140.909	149.012	137.285
5.58035	9.645430000000001	7.46293	3.61499	9.492519999999999	7.601439999999999
588.8	438.529	476.23199999999997	568.87	594.436	580.346
490.755	744.4680000000001	777.2230000000001	704.299	861.3439999999999	671.073
2.36782	4.0927	4.90073	1.8991099999999999	2.0139099999999996	6.911569999999999
1.51264	1.46107	1.46102	2.16475	1.2108700000000001	0.8484370000000001
132.785	137.56	150.24	147.809	128.779	139.534
3.3677300000000003	0.0	0.0	0.0	0.0	0.0
179.829	276.855	328.80300000000005	248.88400000000001	286.693	190.271
0.0	0.0	0.0	0.0	0.0	0.0
61.1147	120.039	96.5927	41.5901	137.03799999999998	83.2492
0.0	0.0	1.74358	1.6891599999999998	3.07075	0.0
0.0	0.296261	0.0	0.0	0.0	0.466958
21.2729	14.363	17.9785	27.9921	17.5278	18.1109
0.0	0.0	0.0	0.0	0.0	0.0
22.546	28.0583	23.5186	18.5651	3.83521	1.2284700000000002
30.4915	35.1357	49.0847	40.4197	51.868	51.9187
25.9028	28.1755	16.3916	26.7451	6.8372399999999995	17.6421
214.02	238.75400000000002	155.037	206.394	250.757	325.745
23.0332	24.1935	27.381	19.2316	29.235	36.6851
2.49701	5.85741	11.0253	2.67029	4.55096	1.9436400000000003
136.929	125.005	106.177	108.27600000000001	129.584	76.1847
93.5216	73.4206	76.5389	78.8259	73.471	73.9075
22.8588	35.0208	32.1144	30.1397	31.8144	25.4764
4.37073	5.03643	0.0	16.3591	9.91317	0.0
4.9471099999999995	0.0	0.0	30.6679	0.525958	0.842356
101.63799999999999	109.79899999999999	95.3647	116.844	103.736	112.738
0.926781	0.0	0.0	0.0	0.7882560000000001	1.26244
17.3089	36.6493	26.749000000000002	25.9141	30.9157	20.0411
0.0	0.0	0.0	1.60409	1.45805	0.0
0.0	0.0	0.0	0.0	0.0	0.0
441.228	322.203	297.327	382.461	317.095	358.755
529.5419999999999	706.12	708.405	610.8009999999999	499.04900000000004	519.518
36.5696	39.0249	31.6358	28.5654	40.2995	28.5891
34.4025	55.9883	77.2451	59.7836	79.801	35.9075
55.565	164.498	132.458	54.2058	137.757	90.1832
813.4580000000001	479.329	571.414	553.578	314.487	453.30400000000003
52.9405	67.3815	55.7821	53.1403	50.7583	56.3804
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
4.89275	4.22847	4.97449	2.89153	6.3516699999999995	6.314030000000001
35.0611	54.71	66.7882	54.678999999999995	56.3277	50.4128
31.4089	46.0827	67.0234	53.6538	58.7092	49.251999999999995
111.795	111.585	112.542	88.4018	68.3004	72.925
70.4187	62.2413	66.4695	68.8874	81.6727	58.8618
126.618	188.36599999999999	190.44400000000002	126.92299999999999	142.11700000000002	138.204
54.036	62.8737	77.3966	68.3213	80.0364	55.6539
19.357	30.7345	20.0007	26.116	10.7205	8.58482
0.0	0.0	0.0	0.0	0.0	0.0
146.221	196.57299999999998	62.769	228.03599999999997	69.0918	221.31
117.834	104.381	96.7401	81.3163	101.47399999999999	84.26799999999999
14.5296	12.557	16.8405	16.3148	2.47158	3.95839
47.8394	60.8352	36.3052	39.0089	48.2454	59.5802
453.168	470.444	442.986	572.496	437.39300000000003	357.709
9.28386	16.0468	25.7801	18.4601	28.6237	12.6463
4.27773	2.46464	4.82036	2.0013799999999997	3.03195	4.8558699999999995
399.189	345.44	349.23800000000006	476.92400000000004	484.906	485.115
526.305	572.1759999999999	601.4590000000001	500.76	630.878	497.155
142.92	143.77	139.52700000000002	141.642	139.857	145.489
168.305	184.792	188.12099999999998	171.354	300.703	265.31
36.6686	52.8693	31.3845	39.5773	53.2663	48.2184
420.905	387.601	408.259	403.01	348.154	376.98
2482.36	1496.98	1210.2	2128.01	1814.0	1567.65
723.6610000000001	854.424	744.454	797.0039999999999	769.37	675.159
76.9786	90.5976	87.4282	77.46	96.3995	84.3085
29.5557	37.2135	39.4981	43.0335	40.3075	45.2927
3.67366	4.88446	5.45889	4.2308	8.41228	7.31381
0.755663	1.3061399999999999	2.91949	2.12127	1.2854299999999999	0.0
36.3579	41.2702	32.4963	36.0519	24.4619	36.2205
0.0	0.0	0.0	0.0	0.0	0.0
15.5969	14.6026	21.3415	20.6753	11.0547	7.081919999999999
2.146	2.47286	0.690919	4.01612	0.0	1.9488299999999998
15.5603	17.7984	18.5655	11.5624	17.9055	21.1959
117.70700000000001	125.29700000000001	122.009	143.721	129.415	154.47299999999998
62.6232	46.5251	63.6694	89.4389	69.1484	95.78
140.849	171.91299999999998	156.952	170.88099999999997	129.761	133.921
183.981	205.732	215.005	218.15	217.99900000000002	222.875
17.2308	12.6004	14.0823	13.6427	11.2733	10.833
40.1906	47.7014	32.0903	45.1287	38.7411	35.038000000000004
75.9988	36.4279	35.1603	41.8316	39.6527	29.5783
246.74099999999999	225.199	224.956	244.547	277.199	208.364
550.611	432.786	411.48	469.338	530.526	566.082
109.178	119.62899999999999	126.166	87.566	119.391	100.917
237.291	131.55700000000002	170.813	347.72	188.495	118.925
69.2574	84.57700000000001	54.6783	53.5351	52.5028	45.94
98.848	109.57	121.764	100.537	130.374	114.15899999999999
1.26449	0.0	0.0	3.5496199999999996	0.0	1.7224599999999999
7.60486	15.167	6.78028	3.8317099999999997	16.4192	21.5152
228.425	242.764	269.078	252.375	191.657	221.278
8.8039	8.64029	23.6366	91.0369	13.453	2.43915
