cC1	cC2	cC3	cC4	cC5	cC6
275.632	241.59	279.457	253.775	290.27299999999997	272.982
21.6838	24.5766	25.2872	20.9455	19.0237	23.9192
0.0	0.0	0.0	0.908058	0.0	2.07396
143.497	155.67600000000002	109.315	138.55700000000002	170.514	149.056
178.84400000000002	167.524	172.368	292.094	237.734	252.207
22.0069	81.6579	18.748	48.6745	39.4024	72.3653
32.5768	35.431	34.153	34.0053	31.3023	27.2412
169.14700000000002	266.79400000000004	198.165	234.168	228.50900000000001	223.25400000000002
0.0	1.7732900000000003	0.0	0.0	0.0	2.7558
0.0	0.0	0.6564180000000001	0.868188	0.0	0.0
33.6814	18.7833	20.2467	19.0696	25.7488	31.9704
117.259	102.80799999999999	135.548	153.92	117.3	114.811
0.0	0.0	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0
45.483999999999995	46.8655	46.0287	42.196000000000005	41.17100000000001	40.83
34.446999999999996	38.0284	19.564	17.2504	28.2681	16.4163
280.538	223.1	292.488	306.834	267.625	251.65099999999998
406.834	422.195	363.51	459.561	422.841	398.782
0.0	0.0	0.0	0.0	0.0	0.0
45.305	31.6635	43.748999999999995	28.3159	38.5147	42.1775
4145.94	2135.93	732.562	2906.69	2598.09	3319.37
168.873	187.688	216.248	196.88400000000001	163.297	169.64
106.53	97.811	125.266	86.9772	103.552	86.4575
5.69888	9.786610000000001	2.5174	6.659089999999999	2.97605	7.6045
0.0	0.0	0.975449	0.0	0.0	0.0
111.131	71.15	68.0656	85.1671	57.3109	70.2629
123.902	166.40099999999998	85.60600000000001	124.36	132.725	142.016
2.39189	2.0537799999999997	4.226319999999999	0.931632	1.6654400000000003	1.0639
30.7107	26.8917	27.1319	29.845	24.771	30.4306
584.094	452.343	394.074	598.0169999999999	606.123	665.377
76.3637	74.8532	66.868	89.2302	45.1719	63.123000000000005
0.514704	0.0	0.454725	0.0	0.0	0.0
24.9352	23.3278	38.1406	21.3088	29.1527	19.8645
0.0	0.0	0.0	0.0	0.0	0.0
47.6268	51.0031	46.8046	54.4008	48.6252	51.7703
2.3747599999999998	5.7773699999999995	6.64376	3.23737	6.61408	3.16885
37.6903	47.2991	33.2983	35.5714	43.9072	50.2934
6.1098	5.99559	9.25342	5.09946	10.0277	5.82345
0.0	4.843380000000001	0.0	0.0	0.0	0.0
79.3481	84.0291	60.7548	82.6731	86.3268	88.2341
