	hM1	hM2	hM3	hM4	hM5	hM6	hK1	hK2	hK3	hK4	hK5	hK6	hP1	hP2	hP3	hP4	hP5	hP6	hV1	hV2	hV3	hV4	hV5	hV6	hC1	hC2	hC3	hC4	hC5	hC6	cM1	cM2	cM3	cM4	cM5	cM6	cK1	cK2	cK3	cK4	cK5	cK6	cP1	cP2	cP3	cP4	cP5	cP6	cV1	cV2	cV3	cV4	cV5	cV6	cC1	cC2	cC3	cC4	cC5	cC6	rM1	rM2	rM3	rM4	rM5	rM6	rK1	rK2	rK3	rK4	rK5	rK6	rP1	rP2	rP3	rP4	rP5	rP6	rV1	rV2	rV3	rV4	rV5	rV6	rC1	rC2	rC3	rC4	rC5	rC6	mM1	mM2	mM3	mM4	mM5	mM6	mK1	mK2	mK3	mK4	mK5	mK6	mP1	mP2	mP3	mP4	mP5	mP6	mV1	mV2	mV3	mV4	mV5	mV6	mC1	mC2	mC3	mC4	mC5	mC6
iso	76.3878	83.8618	97.8212	72.8529	39.6135	57.6621	57.7471	98.3065	158.16299999999995	109.16	122.305	86.7067	125.017	93.9655	57.3835	87.1245	124.246	68.503	63.2446	63.4643	63.4957	50.0203	111.669	89.6607	124.76	72.5763	95.9849	110.311	81.5499	64.4412	130.33100000000002	158.38299999999995	126.258	125.535	133.579	104.292	133.41299999999998	129.389	144.374	102.01	60.3302	122.546	133.93	135.232	140.174	97.9893	157.901	146.11	92.1989	129.891	106.131	105.181	131.055	104.946	158.22	165.205	166.53099999999995	150.641	160.149	155.086	217.607	86.4627	93.1919	74.4665	82.6971	118.483	165.025	134.91299999999998	108.646	145.57299999999995	131.58100000000002	129.658	137.50799999999998	92.536	129.192	124.399	121.362	8.97547	125.607	111.207	108.967	133.567	152.569	135.791	60.6187	149.377	182.565	166.456	192.497	120.502	110.738	165.96900000000005	149.16899999999995	119.455	124.567	127.344	146.835	184.24400000000003	198.432	199.293	163.21200000000005	217.977	181.717	154.922	178.77200000000005	141.47799999999995	163.138	158.687	159.66899999999995	182.587	152.511	158.811	158.734	150.967	179.575	184.954	180.699	193.5	147.981	193.097
iso	0.0	0.0	0.0	0.0	0.0	0.0	0.0	70.6558	21.7494	15.9898	48.0058	38.9492	9.68251	17.8352	22.0946	21.3474	59.7986	0.0	0.0	17.4542	0.0	16.0496	0.0	75.5178	27.3381	85.7941	58.1353	0.0	0.0	17.7229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.1623	37.0592	0.0	16.2604	31.7587	0.0	39.1916	34.6607	0.0	15.1993	22.6323	17.0204	29.4192	32.879	31.8527	0.0	46.3697	52.6468	33.9036	34.8839	46.13800000000001	27.493	35.1256	13.7033	0.0	10.7339	18.2459	13.7585	0.0	8.89565	0.0	36.6032	12.8221	0.0	38.5434	29.4141	0.0	28.5412	0.0	15.0046	0.0	48.0201	41.6292	11.7477	0.0	48.9535	12.1188	31.8276	49.5007	13.5927	85.1846	111.404	25.9826	19.8976	22.1448	0.0	0.0	0.0	13.7288	0.0	31.8322	30.9146	0.0	0.0	20.3993	18.8373	16.3106	17.7144	18.1579	16.9113	76.3749	28.3122	82.9408	97.8697	15.3969	28.5217	0.0	90.1856	14.7484	40.5855	0.0	67.0328	12.5711
iso	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.811164	1.40929	0.0	1.3589	0.0	0.0	0.0	0.722114	0.0	0.0	0.0	0.0	0.626728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74193	0.0
iso	0.576883	0.309627	0.668826	0.658728	0.0	0.0	9.23903	15.6798	1.96638	13.668	83.9116	23.3695	3.34246	2.7852200000000003	1.0896	1.05275	1.47449	0.807193	0.977466	1.00422	2.2377700000000003	1.7148900000000002	1.34933	1.6138	0.786438	2.2565	0.716737	1.07809	0.7633300000000001	1.60234	13.7729	12.9478	19.9438	16.0879	6.82964	12.9812	48.0971	28.2928	46.7616	36.5851	27.8023	33.4163	56.0664	43.8144	15.9555	29.0061	23.9889	32.7436	35.2578	28.0526	52.0277	109.579	37.2468	16.7715	23.045	29.5418	11.8525	17.8255	13.220999999999998	21.3668	2.92953	4.93847	2.73602	1.50025	2.82821	3.3140400000000003	18.2128	41.8579	21.0676	23.1942	13.7609	16.0572	3.62781	8.95567	7.9790100000000015	4.24131	9.62313	7.95632	5.62648	14.2051	10.4322	4.75065	10.4654	6.47697	7.76375	18.0443	7.823539999999999	6.770739999999999	11.3847	11.5365	0.0	0.0	0.0	0.0	0.294139	0.0	1.05621	0.917515	0.381886	0.505545	4.17999	1.00797	0.155131	0.134323	0.145884	0.448608	0.55708	0.15724200000000002	0.0	0.227681	0.0	0.253596	0.46977	0.159565	0.247568	0.242915	0.222823	0.0	0.138009	0.103526
iso	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43313	3.26632	0.0	5.864330000000002	8.21362	3.59717	3.62998	7.9914	7.1231300000000015	7.34828	1.25273	4.14909	48.8152	21.9972	25.2863	26.6912	26.9301	50.3093	0.0	0.0	0.0	0.0	0.0	0.0	1.44415	0.0	0.0	0.0	0.0	0.0	8.69851	5.38315	4.76081	1.98229	4.17539	4.14486	3.11711	10.7756	12.0429	8.75024	7.953589999999998	4.24606	28.9251	18.6273	38.3318	52.1064	39.0217	36.9891	0.0	0.0	0.982905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.5074	7.227239999999999	19.6013	5.06078	8.243789999999999	0.0	14.2909	11.4359	11.8331	10.1743	13.448	16.6457	8.74334	25.6857	42.3192	26.0011	49.5489	21.413	1.82202	0.0	0.0	0.0	1.63529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8997199999999985	4.48068	8.11054	16.6272	10.84	8.74204	9.07389	6.32906	14.3391	9.86922	2.61173	5.3227	41.2914	40.5152	33.4477	47.7563	21.4836	31.0805
iso	24.0882	34.593	55.7037	45.7189	38.0115	40.844	71.5823	60.4585	115.899	57.1755	91.5059	47.6887	47.6898	42.9296	47.3414	52.5717	53.0402	58.2094	52.9489	46.38399999999999	38.9633	48.6804	52.3448	49.1733	74.742	93.5852	85.3349	81.7193	76.2377	59.6738	30.3789	33.3419	41.2001	60.4465	42.3763	57.9924	71.7375	54.4156	74.4907	73.8612	76.4516	43.7357	59.4626	52.0636	66.5356	39.7492	49.0512	51.9458	48.299	63.6354	56.4838	55.8284	54.169	50.63399999999999	96.8515	80.0168	95.5938	86.4285	101.729	80.1319	46.5211	23.7327	26.2849	29.4481	27.1829	29.9802	61.0181	54.34	50.9276	54.0548	46.8479	50.9457	57.4997	53.3692	52.6165	56.3898	46.5546	25.5801	55.7884	55.0244	56.3906	46.6867	56.7592	58.8463	92.2565	78.5145	68.8402	74.6682	78.8292	89.1114	46.5406	46.7096	38.3963	35.9911	63.4025	41.4778	43.6205	60.052	49.4974	51.0671	67.6387	53.3944	74.4835	65.6281	64.37100000000001	77.6116	81.9369	70.1805	63.8572	73.9044	68.1303	76.5284	80.2139	67.7103	87.0565	93.8389	98.3201	111.757	106.627	110.964
iso	13.4216	28.4873	33.9507	26.1235	14.7393	16.5105	32.6939	25.7941	23.8199	20.8476	43.396	24.3755	52.0114	45.5771	57.6142	42.306	38.983	32.7795	39.2807	37.3214	22.3129	45.1992	49.9435	47.2611	46.3367	36.6897	37.8986	66.1269	37.9406	45.2902	33.7469	28.5725	34.5084	36.3291	15.345999999999998	60.9444	42.7698	47.445	39.6208	33.1585	27.9846	14.9066	46.5687	48.0324	53.3252	42.9016	68.96300000000001	50.754	61.2481	49.0969	60.8724	44.8522	74.7427	50.784	76.1919	61.29600000000001	60.6426	46.5199	52.3346	67.7796	20.7251	21.9263	19.0332	24.7407	17.221	14.5523	23.1964	26.6898	22.9073	24.7419	24.9376	24.7915	36.8163	32.9294	23.8158	40.3522	28.9533	12.6162	26.9219	31.4803	28.7955	34.7677	43.4016	33.4973	27.1114	21.5131	27.6468	28.8767	35.6899	18.9707	20.7541	21.9432	25.9929	27.5764	26.0781	27.9237	11.4664	26.5619	21.7656	17.6083	15.1263	22.3413	52.0678	39.1293	46.1925	51.1368	50.2721	68.709	48.726000000000006	51.1857	51.0413	56.2088	55.0366	54.5665	39.9788	48.4573	48.6825	34.2943	39.329	39.9922
iso	43.9794	38.442	69.0533	110.84	28.6717	46.3722	166.025	140.408	44.3887	103.913	88.5223	52.2975	57.7236	58.4318	73.5733	74.5248	60.2192	70.68	63.8728	59.0587	81.4697	43.9619	41.1469	94.0978	57.9973	108.746	86.6454	111.152	94.772	79.957	28.5478	39.2334	62.6147	129.164	34.3966	111.955	67.763	87.1348	94.5436	92.2916	94.3188	90.4027	40.8155	34.7312	29.7851	33.7176	36.7349	37.6819	38.3939	37.1313	27.3711	40.2029	26.4351	16.1879	49.4826	65.5528	34.3486	64.428	57.5877	48.1068	69.9185	53.5482	44.3908	39.1983	61.3329	84.9236	75.4879	70.16199999999999	77.9808	78.5064	92.026	73.8337	38.7047	54.2592	46.7535	33.6407	53.1875	83.1527	39.9758	44.7167	36.5952	25.0636	51.7079	55.325	112.821	68.2375	62.0538	66.3394	53.85	88.6132	30.0766	39.4508	39.4622	48.2096	47.24	42.9865	51.4335	45.5388	41.7227	42.2533	75.6789	59.4675	21.3554	36.1014	28.6892	30.3877	41.0828	24.7384	27.5116	25.3726	23.2472	42.3909	32.3344	24.0578	43.8177	51.7521	51.1232	58.7573	51.567	70.5789
iso	51.4913	24.182	41.7885	49.6096	23.0375	36.9493	55.5055	12.9587	47.8676	120.238	10.272	53.5764	87.0158	75.2348	72.9411	92.0082	67.1755	102.669	83.611	52.82	39.2343	108.913	76.5281	65.097	51.3932	42.4849	54.6447	41.4315	55.3581	45.5068	44.5047	68.0346	106.91	63.88	74.6025	56.4777	170.658	164.071	210.703	132.368	120.782	128.144	104.534	104.226	114.426	107.2	112.9	101.697	106.136	74.1902	119.097	110.998	142.046	127.567	56.7275	63.2177	39.4539	62.0546	35.2967	82.1386	55.292	45.1639	58.0758	45.1765	83.2723	46.912	131.33700000000002	125.971	54.8249	118.758	115.105	78.9381	91.7102	144.755	113.853	99.6735	78.43	59.8965	79.2646	110.708	96.9572	69.2858	92.7764	94.4632	40.8617	54.4724	32.4089	44.2662	42.3238	50.0363	49.2661	54.8302	51.799	88.3585	78.6084	51.6181	50.4055	83.1946	82.2138	81.6268	64.2775	44.8963	5.18232	4.4872	21.1181	11.656	7.754110000000002	12.2567	18.1742	8.87358	0.0	14.1194	9.15436	5.33045	20.6757	25.697	19.8497	41.5876	23.0517	25.3617
iso	209.069	277.725	221.787	308.858	175.385	154.311	241.466	220.987	204.074	178.609	282.4170000000001	208.834	363.403	366.569	483.731	376.759	317.283	408.088	385.241	284.652	165.095	380.068	275.069	317.175	207.653	356.5019999999999	311.704	289.779	345.7990000000001	249.44	72.2806	53.5481	80.9509	81.5165	108.273	98.7821	52.8498	111.782	74.5127	69.1009	127.143	63.8553	114.598	153.222	85.1768	140.251	146.01	146.628	125.48	118.303	110.18	128.089	109.959	170.92700000000005	102.913	138.861	103.91	120.253	98.273	172.638	70.4118	77.824	74.3383	36.6859	39.9583	72.7271	61.6071	54.1566	57.2412	65.8836	26.7062	86.1075	98.5684	98.7416	105.208	61.7343	83.8021	81.0656	59.0034	65.1009	49.8653	54.6092	80.2003	70.3922	120.877	66.352	91.1002	79.2942	63.99800000000001	116.092	39.8655	54.2274	73.9679	62.7792	23.8533	55.0124	8.1575	38.9747	27.5282	23.9152	32.2836	40.8707	67.0955	68.9887	43.3785	64.6756	60.2355	93.512	63.0271	70.7781	69.7192	44.5584	79.367	77.64	80.3066	75.5138	57.2213	70.6696	59.69	61.5671
