ENSEMBL ID	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	44.987382332483186	35.3850405750058	19.627577092511014
ENSG00000000005	50.57690921897171	11.830730238206327	37.59236054282197
ENSG00000000419	35.22991595623249	37.082332718748034	27.687751325019466
ENSG00000000457	20.0118401182189	43.8752193223438	36.1129405594373
ENSG00000000460	32.2762830138528	39.249058940567835	28.47465804557937
ENSG00000000938	55.19218162147688	26.688001583974323	18.119816794548804
ENSG00000000971	57.821952699636014	16.586354096256375	25.591693204107617
ENSG00000001036	58.160268913588666	26.416263864925803	15.423467221485538
ENSG00000001084	30.259279650933564	49.96765919482547	19.773061154240963
ENSG00000001167	25.37482482381746	43.514975158990715	31.110200017191826
ENSG00000001460	78.02157505737621	9.635022903548673	12.343402039075102
ENSG00000001461	32.296959235909895	51.53650752532501	16.166533238765105
ENSG00000001497	37.27124849242925	29.790386986184476	32.938364521386276
ENSG00000001561	22.48773121025182	43.85655090655665	33.65571788319154
ENSG00000001617	34.592872271982166	37.014108821299224	28.3930189067186
ENSG00000001626	100.0	0.0	0.0
ENSG00000001629	23.124015398900376	39.919496263613695	36.95648833748593
ENSG00000001630	30.769509607510383	46.72312657461809	22.507363817871532
ENSG00000001631	29.15807905510536	38.576413332004286	32.26550761289035
ENSG00000002016	17.779690433418484	53.29285986683207	28.927449699749445
ENSG00000002330	29.093868823605813	44.662271615651406	26.24385956074277
ENSG00000002549	16.44622377893902	67.46830847408626	16.085467746974714
ENSG00000002726	11.881872809692194	19.79203214035619	68.32609504995162
ENSG00000002745	32.90896466736935	22.60720103461537	44.48383429801528
ENSG00000002746	28.702294489792862	14.060748756497693	57.23695675370944
ENSG00000002822	46.08780544746255	40.65447798949572	13.257716563041736
ENSG00000002834	37.991523034505164	27.49205317668522	34.51642378880962
ENSG00000002919	18.749360554390734	29.7334888300676	51.51715061554166
ENSG00000002933	39.55235817765087	44.379915792836805	16.06772602951231
ENSG00000003056	26.625004085645433	42.359086290280636	31.015909624073927
