ENSEMBL ID	Human_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Cerebellar_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	22.567731634706544	43.55650909279063	33.875759272502826
ENSG00000000005	0.0	22.022333463548698	77.9776665364513
ENSG00000000419	33.974159987381356	29.252209459661422	36.773630552957215
ENSG00000000457	23.366339658032018	40.22715996179259	36.4065003801754
ENSG00000000460	36.52386753041583	33.87387157724024	29.602260892343924
ENSG00000000938	29.30863559585163	38.11256235523033	32.578802048918035
ENSG00000000971	8.62084576115967	13.183879088180786	78.19527515065954
ENSG00000001036	30.658398614348503	34.26985606566842	35.07174531998309
ENSG00000001084	26.765179596612608	43.64152609843744	29.59329430494994
ENSG00000001167	26.12077308578137	46.227444911233164	27.651782002985474
ENSG00000001460	74.5559260083091	22.591080495637765	2.852993496053122
ENSG00000001461	28.56103606128232	29.223265409181025	42.21569852953665
ENSG00000001497	34.111310748367615	30.515929634669615	35.37275961696278
ENSG00000001561	20.042237530431738	44.12625036227414	35.83151210729413
ENSG00000001617	13.842728590690264	23.402263822377016	62.755007586932734
ENSG00000001626	12.348074673519688	72.75381171251429	14.898113613966018
ENSG00000001629	30.012734770348743	40.571831673711586	29.415433555939657
ENSG00000001630	32.79690441702267	36.16348354170296	31.039612041274374
ENSG00000001631	32.858788768690395	37.29032435609281	29.85088687521678
ENSG00000002016	34.376172151071806	31.84234418700656	33.781483661921634
ENSG00000002330	37.643557575785216	33.39435278064939	28.9620896435654
ENSG00000002549	25.932609606163094	43.74100035134027	30.32639004249664
ENSG00000002726	0.0	3.1162138487238122	96.88378615127618
ENSG00000002745	13.834656643186955	47.679250619253125	38.48609273755991
ENSG00000002746	19.78155983516911	22.85958150152754	57.358858663303344
ENSG00000002822	32.84571346590739	30.408464622895288	36.74582191119733
ENSG00000002834	23.253198745266246	28.660698256998153	48.086102997735615
ENSG00000002919	26.22341043077978	23.630877430663688	50.14571213855652
ENSG00000002933	24.270642536154526	44.612281445043614	31.117076018801864
ENSG00000003056	20.612393172410762	39.69129774579226	39.696309081796976
ENSG00000003096	23.333344992730648	34.6380395591551	42.02861544811426
ENSG00000003137	49.81364030687003	19.325519584991856	30.86084010813811
ENSG00000003147	54.89924163205796	29.513351432124583	15.587406935817464
ENSG00000003249	34.163744323585256	26.315018030919923	39.521237645494814
ENSG00000003393	26.063118769752847	41.49079487938163	32.44608635086552
ENSG00000003402	57.34190352427893	22.197447496683264	20.460648979037796
ENSG00000003436	13.221471383117885	14.68645920896557	72.09206940791654
ENSG00000003509	36.26865038321121	22.434870277012763	41.29647933977602
ENSG00000003756	35.35172450048481	35.822861459740885	28.825414039774294
ENSG00000003987	31.59327594918389	31.734981027737106	36.67174302307901
ENSG00000003989	7.17838184488286	27.759223851020735	65.0623943040964
ENSG00000004059	39.03775290311009	32.024384703271494	28.937862393618417
ENSG00000004139	21.751178598985845	29.390541078312104	48.85828032270205
ENSG00000004399	18.82373944550615	30.31502565980917	50.861234894684685
ENSG00000004455	16.847023343665732	43.575754171806174	39.577222484528086
ENSG00000004468	2.6934045549125334	32.5316804954932	64.77491494959426
ENSG00000004478	30.58497047706672	25.058709073958124	44.35632044897515
ENSG00000004487	32.939051656032284	34.07637510322926	32.98457324073846
ENSG00000004534	47.843165486859654	38.2696170216047	13.887217491535662
ENSG00000004660	25.881720520114328	27.73121778199894	46.387061697886736
ENSG00000004700	29.430306877327034	38.61873221212889	31.95096091054406
ENSG00000004766	29.18736834778599	29.682337638135426	41.130294014078586
ENSG00000004776	7.062796094421135	23.580314206902447	69.35688969867643
ENSG00000004777	33.57278505572038	33.662771885966215	32.76444305831341
ENSG00000004779	23.71009657755627	25.417161285486912	50.872742136956816
ENSG00000004799	24.227870029197476	61.61297871526256	14.159151255539959
ENSG00000004809			
ENSG00000004838	34.860406365603644	33.77020830788644	31.369385326509903
ENSG00000004846			
ENSG00000004848	0.0	0.0	100.0
ENSG00000004864	22.248643604164002	31.98269471358173	45.76866168225428
ENSG00000004866	35.415995735558994	40.681625648634	23.902378615807006
ENSG00000004897	30.50418488902158	38.275201820163694	31.22061329081472
ENSG00000004939	82.94849761002156	6.1387334296888065	10.912768960289625
ENSG00000004948	0.0	0.0	100.0
ENSG00000004961	26.606758929841295	28.788051811610373	44.60518925854833
ENSG00000004975	38.5436074014716	34.69001294881598	26.766379649712423
ENSG00000005001	37.948883197117645	50.50904742958505	11.542069373297306
ENSG00000005007	28.185590521448777	31.69232151749909	40.12208796105213
ENSG00000005020	30.177328865684515	42.75815407141519	27.06451706290029
ENSG00000005022	39.35663450500305	27.84573295024306	32.79763254475389
ENSG00000005059	2.5296672267777063	45.46686727687375	52.00346549634855
ENSG00000005073			
ENSG00000005075	12.086535057129206	31.033828431579717	56.87963651129107
ENSG00000005100	25.002356025710643	39.525004098296826	35.472639875992535
ENSG00000005102	0.0	51.579175914310525	48.420824085689475
ENSG00000005108	9.898655451481755	36.71929027103163	53.38205427748661
ENSG00000005156	34.59002501262239	31.85965251887857	33.55032246849904
ENSG00000005175	32.701920753143405	38.259450447203584	29.038628799653015
ENSG00000005187	16.297174736057226	20.340304504900597	63.362520759042184
