ENSEMBL ID	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	28.327364680575005	32.86471898638507	38.80791633303991
ENSG00000000005	18.484028591275976	72.98425164411587	8.531719764608157
ENSG00000000419	34.32131967473726	30.451794525409337	35.2268857998534
ENSG00000000457	22.043135777496417	47.052194147515216	30.904670074988378
ENSG00000000460	47.494383665518235	35.646286615575214	16.859329718906558
ENSG00000000938	27.55003035734746	56.325193700949185	16.12477594170336
ENSG00000000971	18.982409322688515	26.91621821016063	54.10137246715085
ENSG00000001036	40.83618779182264	31.66270488629089	27.50110732188647
ENSG00000001084	20.905945270906955	55.50644530642401	23.587609422669047
ENSG00000001167	23.636764696044292	43.44419506559796	32.919040238357745
ENSG00000001460	33.956265209704135	49.21659500884418	16.827139781451685
ENSG00000001461	24.689331075397103	31.73726731778035	43.57340160682254
ENSG00000001497	41.27432272541097	28.234191103939814	30.491486170649214
ENSG00000001561	21.812670652239227	40.45285326614029	37.734476081620485
ENSG00000001617	43.52857275864977	28.669758983977005	27.80166825737323
ENSG00000001626	97.06854418022716	0.7660294406778609	2.165426379094972
ENSG00000001629	31.87595941519038	32.850331784476225	35.27370880033339
ENSG00000001630	38.34838423231937	37.56396220621728	24.08765356146333
ENSG00000001631	40.81400626100914	40.21958575241647	18.96640798657439
ENSG00000002016	34.193454323423744	35.374897794747355	30.431647881828894
ENSG00000002330	32.674899208361495	37.1178801294194	30.207220662219097
ENSG00000002549	13.861001031249412	52.400378869297825	33.73862009945277
ENSG00000002726	20.44583803221394	21.148370060427883	58.40579190735817
ENSG00000002745	15.670183912551447	64.98436981831746	19.345446269131095
ENSG00000002746	7.955379424655591	23.327956289073484	68.71666428627094
ENSG00000002822	31.614562187034778	39.10681505078582	29.278622762179403
ENSG00000002834	28.115485072723384	36.9451311022461	34.939383825030525
ENSG00000002919	24.62417255739236	25.57212480213329	49.80370264047436
ENSG00000002933	34.01004567411295	50.93175520601567	15.058199119871391
ENSG00000003056	25.302042519869655	34.94657700839215	39.75138047173819
ENSG00000003096	18.29982701517435	41.45743914662871	40.24273383819693
ENSG00000003137	76.73220962121765	15.543751634928732	7.724038743853616
ENSG00000003147	43.15808304329799	37.14417485677106	19.697742099930952
ENSG00000003249	17.51192345291347	48.066610295890904	34.421466251195625
ENSG00000003393	30.56776867128091	29.522034313035956	39.91019701568314
ENSG00000003402	31.552375207608595	36.55628834192885	31.89133645046255
ENSG00000003436	23.461090667813615	51.5511708582435	24.98773847394289
ENSG00000003509	34.49223837728413	31.31491212925159	34.19284949346428
ENSG00000003756	39.639529379799725	33.29684118541754	27.063629434782737
ENSG00000003987	42.36831713381306	18.60459600394507	39.02708686224188
ENSG00000003989	35.736546612128514	41.6746061367186	22.588847251152878
ENSG00000004059	38.54117506348927	35.50083516377956	25.957989772731153
ENSG00000004139	53.80391578814272	37.610475260257815	8.585608951599452
ENSG00000004399	44.74083274846714	35.76024112552582	19.498926126007028
ENSG00000004455	14.841863650276563	42.08646686952258	43.07166948020086
ENSG00000004468	4.2860800812323845	54.50601427842845	41.20790564033916
ENSG00000004478	27.004858730545727	38.319511848011835	34.67562942144243
ENSG00000004487	35.740152604365	38.727775617618555	25.53207177801645
ENSG00000004534	47.204234386220584	44.507620284340014	8.288145329439393
ENSG00000004660	45.62455575335147	31.81421274951796	22.561231497130567
ENSG00000004700	31.847125413246474	46.30727866279169	21.845595923961834
ENSG00000004766	29.45078651862163	32.60659549129411	37.94261799008427
ENSG00000004776	21.85065680978471	48.766241291439144	29.383101898776154
ENSG00000004777	29.410212567402915	20.688856198634337	49.900931233962744
ENSG00000004779	20.00807799935429	24.348774743989306	55.6431472566564
ENSG00000004799	16.93890793937997	77.20421267357254	5.856879387047487
ENSG00000004809	12.766862666195738	71.81305530413913	15.420082029665128
ENSG00000004838	56.169547720251664	11.656468608371942	32.1739836713764
ENSG00000004846	100.0	0.0	0.0
ENSG00000004848	100.0	0.0	0.0
ENSG00000004864	18.548510314122424	42.841663090110934	38.609826595766634
ENSG00000004866	33.46203882794338	33.94593363499209	32.59202753706454
ENSG00000004897	31.06140231494614	35.45932993694212	33.47926774811174
ENSG00000004939	32.741088394929676	20.644085427352703	46.614826177717624
ENSG00000004948	11.038478843819538	27.4841397979882	61.47738135819226
ENSG00000004961	45.85477351122873	25.805668059910126	28.33955842886115
ENSG00000004975	41.279390086323744	27.815224576206926	30.905385337469333
ENSG00000005001	28.05161628595265	35.76556594696578	36.182817767081566
ENSG00000005007	24.368365403503887	30.330368810549636	45.301265785946484
ENSG00000005020	25.386417090400826	38.149792225124855	36.46379068447432
ENSG00000005022	36.496137020716645	26.572223439785986	36.931639539497375
ENSG00000005059	38.68206302925811	45.48498110148243	15.832955869259452
ENSG00000005073	13.682584049837434	36.437289734387086	49.88012621577549
ENSG00000005075	19.10311862355171	28.783276730925273	52.113604645523026
ENSG00000005100	35.50879756974184	37.804730803044194	26.686471627213965
ENSG00000005102	89.27944190378186	10.720558096218133	0.0
ENSG00000005108	45.895677155342504	30.179275464035598	23.925047380621898
ENSG00000005156	36.979942253529444	36.33977125784567	26.680286488624894
ENSG00000005175	32.086022339720515	36.07257930468923	31.841398355590258
ENSG00000005187	28.60557012005694	36.09193535754847	35.30249452239459
ENSG00000005189	28.304448113623202	35.99181162268232	35.70374026369446
ENSG00000005194	31.03783220643547	32.12433935360617	36.83782843995835
ENSG00000005206	37.33964894311935	23.133173080983603	39.52717797589705
