baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000198886	76209.4376924606	15.5238271248835	0.653130172048464	23.7683509187684	7.09915185164421e-125	8.08238438309694e-121
ENSG00000198804	92305.359399596	15.323552724134	0.68030018302835	22.5246929317605	2.37802353510886e-112	1.35368989736072e-108
ENSG00000198727	44959.6242023469	14.7607544051533	0.66986202966746	22.0355144065726	1.31542737084192e-107	4.9920468723451e-104
ENSG00000198786	24385.719340888	14.2528004484661	0.660435999460143	21.5808957417777	2.71556086431454e-103	7.72916511005526e-100
ENSG00000198712	35839.5222324549	14.4658482383339	0.674839123827561	21.4359952284425	6.17004624109499e-102	1.40491952909733e-98
ENSG00000198888	41737.3411116771	14.4324468282389	0.688143005836168	20.973034247005	1.15648096749565e-97	2.19442263582299e-94
ENSG00000198763	27044.2504863697	14.1042032652388	0.680872100194243	20.7149085139707	2.54188124991454e-95	3.70375745184932e-92
ENSG00000198938	44288.4120201347	14.3913541088114	0.69477224250957	20.7137724109828	2.60255244750062e-95	3.70375745184932e-92
ENSG00000198899	30158.8608653466	14.1527846489494	0.685351033071693	20.6504170359498	9.67808142380015e-95	1.22427730011072e-91
ENSG00000198695	8032.14574519861	12.9524940495217	0.674404017632603	19.2058376149501	3.30745780615126e-82	3.76554071230321e-79
ENSG00000212907	9575.18897047947	12.9304357248125	0.692049244161231	18.6842711467509	6.64806237635419e-78	6.88074455952659e-75
ENSG00000167995	2327.88159523923	8.20275681410644	0.441859520411873	18.5641735329372	6.26436256243858e-77	5.9433139811136e-74
ENSG00000255823	2907.52804571441	-10.4382508787375	0.589194078100354	-17.7161503598133	3.14727050971657e-70	2.75628267331716e-67
ENSG00000142937	900.724438592224	7.63642071351832	0.431512853191004	17.6968557414862	4.43380724756029e-70	3.60563539381957e-67
ENSG00000228253	4113.08801683349	12.0403836054536	0.696455245679854	17.2880937865579	5.78333287319903e-67	4.38954965075806e-64
ENSG00000170315	2167.92870758199	11.5450087543378	0.681591247659868	16.9383172010728	2.34744113880799e-64	1.67035108533306e-61
ENSG00000198840	10475.8174725749	12.2423310923725	0.748600169382493	16.35363120806	4.09813750474455e-60	2.74454679361863e-57
ENSG00000197616	14796.1948582327	-6.77166973860894	0.416322872548461	-16.2654280730653	1.7364925844027e-59	1.09833155963471e-56
ENSG00000265681	554.546439081226	-7.26407333208785	0.448079701849537	-16.211565268643	4.17790775431515e-59	2.503446304362e-56
ENSG00000087086	1093.03688754313	10.7345338215866	0.694817918940562	15.4494199544455	7.61254174932254e-54	4.33343939080186e-51
ENSG00000177354	1813.21358138359	10.8664096381634	0.731650555553676	14.8519119621802	6.76124451945242e-50	3.66556042161742e-47
ENSG00000197958	717.512856634176	8.53898603187267	0.578495140542563	14.7606875726978	2.62590021286179e-49	1.35890336015597e-46
ENSG00000163157	940.117973111531	-10.255606847685	0.700855169230996	-14.6329902352547	1.73012912062992e-48	8.5641391471181e-46
ENSG00000112245	1253.81974610173	10.5517633096418	0.728137618569303	14.4914409591619	1.37233383916597e-47	6.51000864954356e-45
ENSG00000178127	382.989438693271	-7.34848086554662	0.507873295386614	-14.4691223820947	1.89879419546984e-47	8.64710876616964e-45
ENSG00000177954	757.930918958833	10.2025292178833	0.713687039721237	14.2955226171242	2.33347431107809e-46	1.02179250121631e-43
ENSG00000166441	657.099339600959	6.50360087857924	0.455094249105467	14.2906681228399	2.50197500010123e-46	1.05499945837602e-43
ENSG00000135486	430.115374910919	9.65813809311788	0.712762410742098	13.5502910192223	7.89166467602308e-42	3.20880722630438e-39
ENSG00000173281	444.587161223999	9.64570004167017	0.718047656499966	13.4332310040352	3.8618695255385e-41	1.51611670856054e-38
ENSG00000221995	552.436954846484	-5.23216705645809	0.391044576760222	-13.3799760114467	7.91729217723712e-41	3.00461238126149e-38
ENSG00000266412	535.928024493571	-9.57572706346781	0.716190461468022	-13.3703638608085	9.0099023761303e-41	3.30895930813689e-38
ENSG00000168509	764.371104936137	9.87341796816102	0.749180291133115	13.1789611726541	1.15976782482587e-39	4.12623646426328e-37
ENSG00000263001	464.867530226409	-9.4109882542038	0.719525479739034	-13.0794371001526	4.31624621065868e-39	1.48910494267724e-36
ENSG00000206427	480.077875709783	-9.42333851325488	0.721563960996952	-13.059602505972	5.60195175714998e-39	1.87583002221037e-36
ENSG00000115268	686.591544924337	9.42236672251687	0.722344334850752	13.0441484315976	6.86194040412743e-39	2.23209118574259e-36
ENSG00000102804	456.464995226394	9.54028860628952	0.733024046826007	13.0149735845624	1.00577069716474e-38	3.18074982978349e-36
ENSG00000164733	453.990398004837	9.5358485449761	0.732940987990655	13.0103906060957	1.06794805684097e-38	3.28610503436066e-36
ENSG00000124614	253.503892289761	-7.33608216349057	0.567904062061628	-12.9178194937695	3.57118965746166e-38	1.06994721711055e-35
ENSG00000270800	431.646589878271	-9.32119573672492	0.721735479523919	-12.9149750859879	3.70563980693494e-38	1.08176177440908e-35
ENSG00000236227	447.34581374693	-9.32555371524246	0.725040171624653	-12.8621200317025	7.35318680448607e-38	2.09290079422685e-35
ENSG00000189403	317.57542714646	9.28032102246591	0.722973990793722	12.8363138102346	1.02646741016703e-37	2.8503247475004e-35
ENSG00000182899	360.547577295211	9.33869686910843	0.730329890604737	12.786956948148	1.93919369017342e-37	5.2566000387201e-35
ENSG00000185883	215.20950909949	-6.59770889248685	0.518157390971088	-12.7330209072613	3.87549006331082e-37	1.02610359001846e-34
ENSG00000163126	3644.1176708013	-5.41881676755117	0.426040407825247	-12.7190207032518	4.63634319085662e-37	1.19965380063415e-34
