ENSEMBL ID	Human_Muscle_Relative_Gene_Expression_Difference(RPKM)	Chimp_Muscle_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Muscle_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	0.4498738233248319	0.353850405750058	0.19627577092511014
ENSG00000000005	0.5057690921897171	0.11830730238206326	0.37592360542821973
ENSG00000000419	0.3522991595623249	0.37082332718748034	0.27687751325019466
ENSG00000000457	0.200118401182189	0.438752193223438	0.36112940559437295
ENSG00000000460	0.32276283013852797	0.3924905894056783	0.2847465804557937
ENSG00000000938	0.5519218162147688	0.26688001583974325	0.18119816794548804
ENSG00000000971	0.5782195269963601	0.16586354096256375	0.2559169320410762
ENSG00000001036	0.5816026891358866	0.26416263864925804	0.15423467221485537
ENSG00000001084	0.3025927965093356	0.49967659194825476	0.19773061154240962
ENSG00000001167	0.2537482482381746	0.43514975158990715	0.31110200017191825
ENSG00000001460	0.7802157505737621	0.09635022903548673	0.12343402039075102
ENSG00000001461	0.32296959235909894	0.51536507525325	0.16166533238765105
ENSG00000001497	0.3727124849242925	0.29790386986184475	0.32938364521386276
ENSG00000001561	0.22487731210251818	0.43856550906556646	0.33655717883191544
ENSG00000001617	0.34592872271982167	0.37014108821299224	0.283930189067186
ENSG00000001626	1.0	0.0	0.0
ENSG00000001629	0.23124015398900377	0.39919496263613696	0.3695648833748593
ENSG00000001630	0.3076950960751038	0.4672312657461809	0.2250736381787153
ENSG00000001631	0.2915807905510536	0.38576413332004283	0.32265507612890354
ENSG00000002016	0.17779690433418485	0.5329285986683207	0.28927449699749447
ENSG00000002330	0.2909386882360581	0.44662271615651405	0.2624385956074277
ENSG00000002549	0.16446223778939023	0.6746830847408626	0.16085467746974716
ENSG00000002726	0.11881872809692194	0.19792032140356192	0.6832609504995162
ENSG00000002745	0.32908964667369345	0.22607201034615368	0.4448383429801528
ENSG00000002746	0.2870229448979286	0.14060748756497693	0.5723695675370944
ENSG00000002822	0.4608780544746255	0.4065447798949572	0.13257716563041735
ENSG00000002834	0.37991523034505165	0.2749205317668522	0.3451642378880962
ENSG00000002919	0.18749360554390734	0.297334888300676	0.5151715061554166
ENSG00000002933	0.39552358177650876	0.44379915792836805	0.1606772602951231
ENSG00000003056	0.2662500408564543	0.42359086290280634	0.3101590962407393
ENSG00000003096	0.3466202843484202	0.20046340084489842	0.4529163148066815
ENSG00000003137	0.13148038418302233	0.2687780006577935	0.5997416151591842
ENSG00000003147	0.24034350632483728	0.18853513125156934	0.5711213624235932
ENSG00000003249	0.20567258369079075	0.4502213984876392	0.3441060178215701
ENSG00000003393	0.17424943247496621	0.503351559127056	0.3223990083979778
ENSG00000003402	0.2975701177600388	0.6116184273449776	0.09081145489498371
ENSG00000003436	0.18782895240747155	0.7446474669537536	0.06752358063877485
ENSG00000003509	0.3868073883998639	0.271386430678466	0.34180618092167003
ENSG00000003756	0.334901810521932	0.3380608558896258	0.3270373335884422
ENSG00000003987	0.3237521154439249	0.22115031179749622	0.45509757275857887
ENSG00000003989	0.303020955587298	0.41674225470470033	0.2802367897080017
ENSG00000004059	0.39431038363625903	0.3701225099096045	0.2355671064541366
ENSG00000004139	0.4246427470513765	0.1761344615795735	0.3992227913690501
ENSG00000004399	0.367336559385564	0.31673443935295004	0.315929001261486
ENSG00000004455	0.09261265042085438	0.7417734617445785	0.16561388783456713
ENSG00000004468	0.3463556332169735	0.2744866878487502	0.3791576789342763
ENSG00000004478	0.28299734458343706	0.42356376096239823	0.29343889445416466
ENSG00000004487	0.3436893931708598	0.3445535533131236	0.3117570535160165
ENSG00000004534	0.40610068015257333	0.45949511373351	0.13440420611391674
ENSG00000004660	0.33830162907326145	0.49630008415809884	0.16539828676863966
ENSG00000004700	0.2408065110332161	0.5636946781594873	0.1954988108072966
ENSG00000004766	0.21178522027846472	0.367939918422876	0.42027486129865926
ENSG00000004776	0.39268474739837517	0.30587594714307287	0.30143930545855196
ENSG00000004777	0.480873317271631	0.36672024095856026	0.1524064417698087
ENSG00000004779	0.2649674878302015	0.2910082174587439	0.44402429471105453
ENSG00000004799	0.377877625123342	0.5308166727049359	0.09130570217172224
ENSG00000004809	0.0	0.364547791900771	0.6354522080992289
ENSG00000004838	0.38327790550288876	0.337399625728205	0.2793224687689063
ENSG00000004846	0.8445518637227701	0.15544813627722992	0.0
ENSG00000004848	0.08869120367587639	0.31851293593194174	0.5927958603921818
ENSG00000004864	0.4597058794232282	0.43202175446970453	0.10827236610706717
ENSG00000004866	0.3569342280170185	0.25840850080864086	0.3846572711743405
ENSG00000004897	0.2427875684672161	0.49382437722398015	0.2633880543088038
ENSG00000004939	0.9618765137035432	0.0054439370603723775	0.03267954923608449
ENSG00000004948	0.38806827700347907	0.24169478405719602	0.3702369389393249
ENSG00000004961	0.377479233000039	0.28449330241011206	0.33802746458984884
ENSG00000004975	0.3090744710219997	0.3181391142218464	0.372786414756154
ENSG00000005001	1.0	0.0	0.0
ENSG00000005007	0.2490597640642479	0.39619459967782583	0.3547456362579264
ENSG00000005020	0.21470151965451084	0.46958547322062416	0.315713007124865
ENSG00000005022	0.6499745717765518	0.21927855801714613	0.13074687020630216
ENSG00000005059	0.42419957544280956	0.24444738686727435	0.33135303768991614
ENSG00000005073	0.276952286179645	0.23080477259377005	0.4922429412265848
ENSG00000005075	0.26451174250223686	0.26262587983533753	0.47286237766242545
ENSG00000005100	0.20387314867244233	0.5859917825655291	0.21013506876202845
ENSG00000005102	0.576469684803047	0.22809890368316854	0.19543141151378446
ENSG00000005108	0.32202189328751746	0.3401159082679191	0.33786219844456344
ENSG00000005156	0.30660222601577164	0.46160921661758947	0.23178855736663886
ENSG00000005175	0.23405547917065833	0.3927567205473354	0.3731878002820062
ENSG00000005187	0.2229826637693877	0.256360362997538	0.5206569732330744
ENSG00000005189	0.13460534097431698	0.33698194982378527	0.5284127092018976
ENSG00000005194	0.37423081912389855	0.3246335957244556	0.30113558515164573
ENSG00000005206	0.26803842284341217	0.2995103287661404	0.4324512483904475
ENSG00000005238	0.1994893406714077	0.41503393723718685	0.3854767220914054
ENSG00000005243	0.38861282924634755	0.2208163028698954	0.39057086788375706
ENSG00000005249	0.7159491435967843	0.19521114514325985	0.08883971125995575
ENSG00000005302	0.23807527436698092	0.5826284996144764	0.17929622601854264
ENSG00000005339	0.2865814328838789	0.4255069933525447	0.28791157376357635
ENSG00000005379	0.6280493645183758	0.2075201106053869	0.16443052487623744
ENSG00000005381	0.08375679852593183	0.8834835542332367	0.03275964724083158
ENSG00000005421	1.0	0.0	0.0
ENSG00000005436	0.2714371869341854	0.5865455903517143	0.1420172227141004
ENSG00000005448	0.22613197623686634	0.211667229467242	0.5622007942958916
ENSG00000005469	0.2658974392406932	0.3834227746333005	0.3506797861260063
ENSG00000005471	0.5412151138915552	0.21182701538826065	0.24695787072018405
ENSG00000005483	0.263771011473696	0.4124005676414517	0.3238284208848522
ENSG00000005486	0.4853299152476672	0.2002111775929459	0.3144589071593869
ENSG00000005513	0.39382223373294356	0.3304164506806755	0.27576131558638095
ENSG00000005700	0.26385291266232497	0.3347217044790817	0.40142538285859336
ENSG00000005810	0.258677640382184	0.3575210085081474	0.3838013511096687
ENSG00000005812	0.2531939285625868	0.43182093501519403	0.31498513642221915
ENSG00000005844	0.35035035834889144	0.4737338135067189	0.17591582814438955
ENSG00000005882	0.40283287316441185	0.3504636703940024	0.24670345644158573
ENSG00000005884	0.4399640582353893	0.3145536817752743	0.24548225998933634
ENSG00000005889	0.21905900696010727	0.5096691457000283	0.2712718473398645
ENSG00000005893	0.2793364336305937	0.4790401023875932	0.24162346398181309
