ENSEMBL ID	Human_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Prefrontal_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	0.3068937522233203	0.41263163870294217	0.2804746090737375
ENSG00000000005	0.17468182689613473	0.06690952228480246	0.7584086508190628
ENSG00000000419	0.3688177611474777	0.3703338805307266	0.26084835832179576
ENSG00000000457	0.2534536085643835	0.3808946613880903	0.3656517300475261
ENSG00000000460	0.3152309514548137	0.3661877590998132	0.3185812894453731
ENSG00000000938	0.4054144818248666	0.370634685298207	0.22395083287692646
ENSG00000000971	0.22738381840086888	0.08924262488694172	0.6833735567121894
ENSG00000001036	0.4042109321355327	0.41452325605268747	0.18126581181177984
ENSG00000001084	0.29970534337060123	0.4329186718364423	0.2673759847929565
ENSG00000001167	0.2774888206879431	0.45016758061397893	0.27234359869807795
ENSG00000001460	0.6400051459097529	0.3422895104121057	0.017705343678141347
ENSG00000001461	0.35982127132422337	0.3904884268455683	0.2496903018302084
ENSG00000001497	0.3190569132264677	0.28969415260318887	0.3912489341703434
ENSG00000001561	0.3798575654575922	0.40808481793284146	0.21205761660956635
ENSG00000001617	0.34933136545943	0.5062388339038204	0.14442980063674948
ENSG00000001626	0.4152163068259239	0.21416357946507208	0.3706201137090041
ENSG00000001629	0.35738851784994846	0.3977615037994847	0.2448499783505668
ENSG00000001630	0.38760801810401746	0.33769543951967146	0.2746965423763111
ENSG00000001631	0.3655093991053388	0.3972876785809651	0.23720292231369605
ENSG00000002016	0.3827452775971594	0.331460602291488	0.28579412011135275
ENSG00000002330	0.4231386456770638	0.3039459089340793	0.2729154453888569
ENSG00000002549	0.27935861103122317	0.4367415762325289	0.283899812736248
ENSG00000002726	0.030008978110640867	0.04710703447984412	0.922883987409515
ENSG00000002745	0.22686187041030612	0.4016784995269574	0.3714596300627366
ENSG00000002746	0.3031497230115325	0.3399610039554	0.3568892730330674
ENSG00000002822	0.393797727912705	0.27635631184591436	0.3298459602413806
ENSG00000002834	0.3465038637423467	0.2842330666139318	0.36926306964372146
ENSG00000002919	0.31439000161203307	0.3057347253264917	0.37987527306147517
ENSG00000002933	0.2649888624029695	0.40213648371461125	0.3328746538824194
ENSG00000003056	0.2942105082343727	0.3890998428342677	0.31668964893135954
ENSG00000003096	0.3703607154300241	0.29905550921514085	0.330583775354835
ENSG00000003137	0.4583151544069296	0.35841827792278336	0.1832665676702869
ENSG00000003147	0.42862178167687154	0.3545354327333111	0.21684278558981732
ENSG00000003249	0.41840163330118274	0.23358615302297164	0.3480122136758456
ENSG00000003393	0.3153602710753319	0.3073008293930703	0.37733889953159777
ENSG00000003402	0.3537723703775591	0.35084942256132684	0.2953782070611141
ENSG00000003436	0.2909677834867816	0.21807889945964123	0.49095331705357714
ENSG00000003509	0.4565451015006279	0.21242012612900993	0.3310347723703623
ENSG00000003756	0.3284550161528618	0.37011402363688956	0.30143096021024873
ENSG00000003987	0.312972522762966	0.3152287683025167	0.37179870893451716
ENSG00000003989	0.11016916381140987	0.5229409031404012	0.36688993304818895
ENSG00000004059	0.35895669509957323	0.2934615519730845	0.34758175292734234
ENSG00000004139	0.2491559502441867	0.2833236797722493	0.46752036998356417
ENSG00000004399	0.40729442764757523	0.3253321935367477	0.2673733788156771
ENSG00000004455	0.16796817058586203	0.4751654338806095	0.35686639553352834
ENSG00000004468	0.16535180470915856	0.3961912077429325	0.438456987547909
ENSG00000004478	0.29594064342643545	0.3710982860003646	0.3329610705732
ENSG00000004487	0.30146533936082104	0.3722132005642337	0.3263214600749452
ENSG00000004534	0.43018013414624945	0.4218262824309474	0.14799358342280322
ENSG00000004660	0.23507047316877022	0.318689461341741	0.4462400654894888
ENSG00000004700	0.3110301333031258	0.4544934746026512	0.23447639209422302
ENSG00000004766	0.34489707254864344	0.349923247408622	0.3051796800427345
ENSG00000004776	0.2140227418758241	0.2135850266817618	0.5723922314424142
ENSG00000004777	0.30489603856736547	0.3096282630799714	0.3854756983526631
ENSG00000004779	0.24849423618149752	0.25553363219700087	0.4959721316215016
ENSG00000004799	0.3291463654825139	0.5704276955299874	0.10042593898749856
ENSG00000004809	0.24413477204546377	0.5544308120700271	0.20143441588450908
ENSG00000004838	0.3387539003858918	0.3077663451076042	0.353479754506504
ENSG00000004846	0.0	0.0	1.0
ENSG00000004848	0.34656813507335926	0.17858500229322194	0.4748468626334188
ENSG00000004864	0.27371246346277395	0.3907419703928815	0.33554556614434466
ENSG00000004866	0.3344992802089428	0.3960921545681059	0.26940856522295115
ENSG00000004897	0.3566225643820684	0.3789268973974656	0.264450538220466
ENSG00000004939	0.5456777297051121	0.0	0.4543222702948878
ENSG00000004948	0.24543429726308313	0.2201929720358466	0.5343727307010703
ENSG00000004961	0.339829281622512	0.34042598423490295	0.31974473414258503
ENSG00000004975	0.3482284879876532	0.342681893077261	0.3090896189350858
ENSG00000005001	0.0	0.0	1.0
ENSG00000005007	0.26790160500907284	0.34206833069144743	0.39003006429947984
ENSG00000005020	0.4037357412255353	0.35395426016722586	0.24230999860723887
ENSG00000005022	0.3681651047901024	0.3136816164950296	0.3181532787148679
ENSG00000005059	0.22035692832576254	0.4398552026093935	0.339787869064844
ENSG00000005073			
ENSG00000005075	0.10349443671564339	0.2970863213931781	0.5994192418911786
ENSG00000005100	0.29961654317068726	0.38459874037492764	0.31578471645438505
ENSG00000005102	0.0	0.0	1.0
ENSG00000005108	0.23846410786674482	0.3718076492286172	0.389728242904638
ENSG00000005156	0.4318814143075235	0.31973304826373034	0.24838553742874608
