ENSEMBL ID	Human_Kidney_Relative_Gene_Expression_Difference(RPKM)	Chimp_Kidney_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Kidney_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	0.28327364680575007	0.3286471898638507	0.38807916333039916
ENSG00000000005	0.18484028591275978	0.7298425164411587	0.08531719764608157
ENSG00000000419	0.3432131967473726	0.30451794525409337	0.35226885799853397
ENSG00000000457	0.22043135777496417	0.47052194147515214	0.3090467007498838
ENSG00000000460	0.47494383665518236	0.3564628661557521	0.16859329718906557
ENSG00000000938	0.2755003035734746	0.5632519370094918	0.1612477594170336
ENSG00000000971	0.18982409322688515	0.2691621821016063	0.5410137246715085
ENSG00000001036	0.40836187791822637	0.3166270488629089	0.2750110732188647
ENSG00000001084	0.20905945270906956	0.5550644530642401	0.23587609422669045
ENSG00000001167	0.23636764696044293	0.43444195065597957	0.32919040238357744
ENSG00000001460	0.33956265209704134	0.49216595008844183	0.16827139781451686
ENSG00000001461	0.24689331075397103	0.3173726731778035	0.4357340160682254
ENSG00000001497	0.41274322725410967	0.28234191103939815	0.3049148617064921
ENSG00000001561	0.21812670652239227	0.4045285326614029	0.3773447608162048
ENSG00000001617	0.4352857275864977	0.28669758983977006	0.2780166825737323
ENSG00000001626	0.9706854418022717	0.00766029440677861	0.02165426379094972
ENSG00000001629	0.3187595941519038	0.3285033178447623	0.35273708800333387
ENSG00000001630	0.3834838423231937	0.37563962206217283	0.24087653561463332
ENSG00000001631	0.4081400626100914	0.4021958575241647	0.18966407986574388
ENSG00000002016	0.34193454323423744	0.35374897794747356	0.30431647881828894
ENSG00000002330	0.32674899208361496	0.371178801294194	0.302072206622191
ENSG00000002549	0.13861001031249412	0.5240037886929783	0.33738620099452765
ENSG00000002726	0.2044583803221394	0.21148370060427882	0.5840579190735817
ENSG00000002745	0.15670183912551447	0.6498436981831747	0.19345446269131095
ENSG00000002746	0.07955379424655591	0.23327956289073484	0.6871666428627093
ENSG00000002822	0.3161456218703478	0.3910681505078582	0.292786227621794
ENSG00000002834	0.28115485072723384	0.369451311022461	0.34939383825030523
ENSG00000002919	0.2462417255739236	0.2557212480213329	0.4980370264047436
ENSG00000002933	0.3401004567411295	0.5093175520601567	0.1505819911987139
ENSG00000003056	0.25302042519869655	0.3494657700839215	0.3975138047173819
ENSG00000003096	0.1829982701517435	0.4145743914662871	0.40242733838196937
ENSG00000003137	0.7673220962121765	0.15543751634928732	0.07724038743853616
ENSG00000003147	0.43158083043297996	0.3714417485677106	0.19697742099930954
ENSG00000003249	0.17511923452913472	0.48066610295890905	0.34421466251195626
ENSG00000003393	0.3056776867128091	0.29522034313035955	0.39910197015683135
ENSG00000003402	0.31552375207608596	0.3655628834192885	0.3189133645046255
ENSG00000003436	0.23461090667813614	0.515511708582435	0.2498773847394289
ENSG00000003509	0.3449223837728413	0.3131491212925159	0.34192849493464283
ENSG00000003756	0.39639529379799726	0.3329684118541754	0.2706362943478274
ENSG00000003987	0.42368317133813055	0.1860459600394507	0.3902708686224188
ENSG00000003989	0.35736546612128517	0.416746061367186	0.22588847251152877
ENSG00000004059	0.3854117506348927	0.35500835163779565	0.25957989772731155
ENSG00000004139	0.5380391578814272	0.37610475260257814	0.08585608951599452
ENSG00000004399	0.4474083274846714	0.3576024112552582	0.19498926126007027
ENSG00000004455	0.14841863650276563	0.4208646686952258	0.4307166948020086
ENSG00000004468	0.042860800812323845	0.5450601427842845	0.4120790564033916
ENSG00000004478	0.2700485873054573	0.38319511848011834	0.34675629421442433
ENSG00000004487	0.35740152604365	0.38727775617618554	0.2553207177801645
ENSG00000004534	0.47204234386220584	0.44507620284340016	0.08288145329439393
ENSG00000004660	0.4562455575335147	0.3181421274951796	0.22561231497130568
ENSG00000004700	0.31847125413246474	0.4630727866279169	0.21845595923961836
ENSG00000004766	0.2945078651862163	0.3260659549129411	0.3794261799008427
ENSG00000004776	0.21850656809784708	0.48766241291439144	0.29383101898776154
ENSG00000004777	0.29410212567402916	0.20688856198634337	0.4990093123396274
ENSG00000004779	0.20008077999354287	0.24348774743989307	0.556431472566564
ENSG00000004799	0.1693890793937997	0.7720421267357254	0.05856879387047487
ENSG00000004809	0.12766862666195739	0.7181305530413913	0.15420082029665128
ENSG00000004838	0.5616954772025167	0.11656468608371941	0.321739836713764
ENSG00000004846	1.0	0.0	0.0
ENSG00000004848	1.0	0.0	0.0
ENSG00000004864	0.18548510314122424	0.4284166309011093	0.38609826595766633
ENSG00000004866	0.3346203882794338	0.33945933634992087	0.3259202753706454
ENSG00000004897	0.3106140231494614	0.3545932993694212	0.33479267748111735
ENSG00000004939	0.3274108839492968	0.206440854273527	0.4661482617771763
ENSG00000004948	0.11038478843819538	0.274841397979882	0.6147738135819226
ENSG00000004961	0.4585477351122873	0.25805668059910125	0.2833955842886115
ENSG00000004975	0.4127939008632374	0.27815224576206926	0.3090538533746933
ENSG00000005001	0.2805161628595265	0.35765565946965777	0.36182817767081565
ENSG00000005007	0.24368365403503886	0.30330368810549635	0.4530126578594648
ENSG00000005020	0.25386417090400826	0.38149792225124857	0.3646379068447432
ENSG00000005022	0.36496137020716646	0.26572223439785986	0.36931639539497374
ENSG00000005059	0.3868206302925811	0.45484981101482436	0.15832955869259452
ENSG00000005073	0.13682584049837435	0.36437289734387085	0.4988012621577549
ENSG00000005075	0.19103118623551707	0.2878327673092527	0.5211360464552303
ENSG00000005100	0.3550879756974184	0.37804730803044195	0.26686471627213965
ENSG00000005102	0.8927944190378186	0.10720558096218133	0.0
ENSG00000005108	0.458956771553425	0.301792754640356	0.23925047380621897
ENSG00000005156	0.3697994225352944	0.36339771257845666	0.26680286488624894
ENSG00000005175	0.32086022339720516	0.3607257930468923	0.31841398355590256
ENSG00000005187	0.2860557012005694	0.3609193535754847	0.3530249452239459
ENSG00000005189	0.28304448113623204	0.35991811622682324	0.35703740263694467
ENSG00000005194	0.31037832206435473	0.3212433935360617	0.36837828439958353
ENSG00000005206	0.3733964894311935	0.23133173080983604	0.3952717797589705
ENSG00000005238	0.3497384593677104	0.37460041647729564	0.275661124154994
ENSG00000005243	0.29237967193594894	0.2517167710371673	0.4559035570268836
ENSG00000005249	0.28758326059867295	0.542878207577906	0.16953853182342113
ENSG00000005302	0.296916065990573	0.39230510947326636	0.3107788245361607
